Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	13/137	5.984740e-12	1.023390e-09	0	0	1.754271e+01	4.533355e+02	UBE2I;FBXW7;CBL;UBE2L3;CUL4A;FZR1;SOCS1;NEDD4;CDC27;ERCC8;TRIM37;SKP1;CUL4B
KEGG_2019_Human	Chronic myeloid leukemia	9/76	1.653357e-09	1.209247e-07	0	0	2.180303e+01	4.408673e+02	CHUK;HDAC1;CDKN2A;CDK4;E2F1;AKT1;PIK3R1;CBL;CRK
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	2.121487e-09	1.209247e-07	0	0	1.051584e+01	2.100134e+02	EGR1;CDKN2B;CDKN2C;CHUK;CDKN2A;PTEN;PIK3R1;DLG1;CDK4;CDC27;E2F1;AKT1;TCF3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	10/139	2.677763e-08	1.144744e-06	0	0	1.264655e+01	2.205014e+02	PCGF6;PCGF5;PCGF2;DVL2;AKT1;CTNNB1;PCGF1;PIK3R1;TCF3;BMI1
KEGG_2019_Human	MicroRNAs in cancer	13/299	8.623813e-08	2.949344e-06	0	0	7.543529e+00	1.227042e+02	HDAC4;DNMT1;UBE2I;CDKN2A;HDAC1;PTEN;BMI1;SOCS1;ERBB3;E2F1;FSCN1;DNMT3B;CRK
KEGG_2019_Human	Cell cycle	9/124	1.264653e-07	3.604260e-06	0	0	1.267185e+01	2.012707e+02	FZR1;CDKN2B;CDKN2C;CDK4;HDAC1;CDKN2A;CDC27;E2F1;SKP1
KEGG_2019_Human	Hepatocellular carcinoma	9/168	1.653228e-06	3.911130e-05	0	0	9.144757e+00	1.217422e+02	CSNK1A1;CDK4;CDKN2A;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Human papillomavirus infection	12/330	1.829768e-06	3.911130e-05	0	0	6.199778e+00	8.190726e+01	DLG1;CHUK;CSNK1A1;CDK4;HDAC1;PXN;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Pathways in cancer	15/530	2.076612e-06	3.945562e-05	0	0	4.859558e+00	6.358621e+01	CDKN2B;CHUK;CDKN2A;HDAC1;PTEN;PIK3R1;CBL;AR;CDK4;E2F1;DVL2;AKT1;CTNNB1;CRK;SKP1
KEGG_2019_Human	Human cytomegalovirus infection	10/225	2.340698e-06	4.002594e-05	0	0	7.554872e+00	9.794938e+01	CHUK;CDK4;CDKN2A;PXN;E2F1;AKT1;CTNNB1;PIK3R1;CRK;BCAR1
KEGG_2019_Human	Small cell lung cancer	7/93	2.611991e-06	4.060459e-05	0	0	1.298584e+01	1.669381e+02	CDKN2B;CHUK;CDK4;PTEN;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Prostate cancer	7/97	3.465921e-06	4.938937e-05	0	0	1.240618e+01	1.559771e+02	AR;CHUK;PTEN;E2F1;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Breast cancer	8/147	5.679204e-06	7.470338e-05	0	0	9.232029e+00	1.115109e+02	CSNK1A1;CDK4;E2F1;DVL2;PTEN;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Viral carcinogenesis	9/201	7.184094e-06	8.774858e-05	0	0	7.560323e+00	8.954175e+01	HDAC4;DLG1;CDKN2B;CDK4;CDKN2A;HDAC1;PXN;PIK3R1;HDAC6
KEGG_2019_Human	Melanoma	6/72	7.716829e-06	8.797185e-05	0	0	1.440218e+01	1.695440e+02	CDKN2A;CDK4;PTEN;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Cushing syndrome	8/155	8.391652e-06	8.808446e-05	0	0	8.726066e+00	1.019926e+02	CDKN2B;CDKN2C;KMT2A;CDK4;CDKN2A;E2F1;DVL2;CTNNB1
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	9.052451e-06	8.808446e-05	0	0	1.397718e+01	1.623096e+02	PXN;CTNNB1;PIK3R1;CBL;CRK;BCAR1
KEGG_2019_Human	Glioma	6/75	9.787163e-06	8.808446e-05	0	0	1.377391e+01	1.588744e+02	CDKN2A;CDK4;PTEN;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Pancreatic cancer	6/75	9.787163e-06	8.808446e-05	0	0	1.377391e+01	1.588744e+02	CHUK;CDKN2A;CDK4;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Cellular senescence	8/160	1.058843e-05	9.053109e-05	0	0	8.436885e+00	9.665083e+01	CDKN2B;CDK4;CDKN2A;E2F1;PTEN;AKT1;PIK3R1;PPP1CA
KEGG_2019_Human	FoxO signaling pathway	7/132	2.630824e-05	2.142242e-04	0	0	8.916645e+00	9.403163e+01	GABARAPL2;CDKN2B;BCL6;CHUK;PTEN;AKT1;PIK3R1
KEGG_2019_Human	Focal adhesion	8/199	5.077306e-05	3.946452e-04	0	0	6.700890e+00	6.625937e+01	PXN;PTEN;AKT1;CTNNB1;PIK3R1;CRK;BCAR1;PPP1CA
KEGG_2019_Human	Epstein-Barr virus infection	8/201	5.448369e-05	4.050744e-04	0	0	6.630776e+00	6.509837e+01	NCOR2;CHUK;CDK4;HDAC1;NEDD4;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Gastric cancer	7/149	5.709575e-05	4.068072e-04	0	0	7.842401e+00	7.662638e+01	CDKN2B;CSNK1A1;E2F1;DVL2;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Rap1 signaling pathway	8/206	6.476005e-05	4.429587e-04	0	0	6.461690e+00	6.232185e+01	MAGI3;MAGI2;AKT1;CTNNB1;PIK3R1;PFN1;CRK;BCAR1
KEGG_2019_Human	Non-small cell lung cancer	5/66	7.245001e-05	4.764981e-04	0	0	1.288577e+01	1.228350e+02	CDKN2A;CDK4;E2F1;AKT1;PIK3R1
