Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	14/158	1.601547e-11	2.690598e-09	0	0	1.398368e+01	3.475988e+02	RNF43;TCF7L2;CSNK2A1;CTBP1;SIAH1;CSNK2A2;CUL1;APC;TBL1XR1;CTNNB1;EP300;TP53;SKP1;PPARD
KEGG_2019_Human	Adherens junction	10/72	1.600594e-10	9.522552e-09	0	0	2.263441e+01	5.105299e+02	TCF7L2;CSNK2A1;CDH1;CSNK2A2;EP300;MAPK1;CTNNB1;IQGAP1;SSX2IP;ACTB
KEGG_2019_Human	Cell cycle	12/124	1.700456e-10	9.522552e-09	0	0	1.521351e+01	3.422273e+02	RB1;HDAC2;MCM7;CDK4;HDAC1;CUL1;CDK1;EP300;E2F3;TP53;YWHAZ;SKP1
KEGG_2019_Human	Viral carcinogenesis	14/201	4.021016e-10	1.688827e-08	0	0	1.074468e+01	2.324538e+02	RB1;HDAC4;HDAC2;TBP;HDAC1;CHD4;TRAF1;YWHAZ;CDK4;HIST4H4;CDK1;EP300;MAPK1;TP53
KEGG_2019_Human	Pathways in cancer	21/530	5.571545e-10	1.872039e-08	0	0	6.137827e+00	1.307859e+02	RB1;TCF7L2;HSP90AA1;HDAC2;CTBP1;HDAC1;CUL1;TRAF1;STK4;PML;APC;CDH1;CDK4;CTNNB1;EP300;MAPK1;E2F3;TP53;CRK;SKP1;PPARD
KEGG_2019_Human	Hippo signaling pathway	12/160	3.260365e-09	9.129022e-08	0	0	1.149193e+01	2.245687e+02	YAP1;LATS1;PPP2CA;TCF7L2;APC;CDH1;TP53BP2;CTNNB1;NF2;YWHAZ;ACTB;AMOT
KEGG_2019_Human	Chronic myeloid leukemia	9/76	5.806540e-09	1.393570e-07	0	0	1.871326e+01	3.548836e+02	RB1;HDAC2;HDAC1;CTBP1;CDK4;MAPK1;E2F3;TP53;CRK
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	1.835308e-08	3.854146e-07	0	0	1.320955e+01	2.353080e+02	HDAC2;NCOR1;THRA;HDAC1;EP300;MAPK1;CTNNB1;TP53;ACTB;MED17
KEGG_2019_Human	Human papillomavirus infection	15/330	3.176431e-08	5.929338e-07	0	0	6.839636e+00	1.180858e+02	RB1;MAGI1;TCF7L2;HDAC2;TBP;HDAC1;CHD4;PPP2CA;TBK1;APC;CDK4;CTNNB1;EP300;MAPK1;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	9.014872e-08	1.514499e-06	0	0	1.101357e+01	1.786600e+02	ITCH;SIAH1;CUL1;UBE2N;UBE2D1;NEDD4L;BIRC6;BRCA1;PML;SKP1
KEGG_2019_Human	Hepatocellular carcinoma	10/168	6.051805e-07	8.484795e-06	0	0	8.838765e+00	1.265511e+02	RB1;TCF7L2;APC;CDK4;CTNNB1;MAPK1;E2F3;TP53;ACTB;SMARCA4
KEGG_2019_Human	Bladder cancer	6/41	6.060568e-07	8.484795e-06	0	0	2.342542e+01	3.353651e+02	RB1;CDH1;CDK4;MAPK1;E2F3;TP53
KEGG_2019_Human	Prostate cancer	8/97	7.178665e-07	9.277043e-06	0	0	1.242084e+01	1.757174e+02	RB1;TCF7L2;HSP90AA1;EP300;MAPK1;CTNNB1;E2F3;TP53
KEGG_2019_Human	Breast cancer	9/147	1.780687e-06	2.136825e-05	0	0	9.052817e+00	1.198458e+02	RB1;TCF7L2;APC;CDK4;MAPK1;CTNNB1;E2F3;BRCA1;TP53
KEGG_2019_Human	Hepatitis C	9/155	2.761982e-06	3.093420e-05	0	0	8.553299e+00	1.094785e+02	RB1;PPP2CA;TBK1;CDK4;CTNNB1;MAPK1;E2F3;TP53;YWHAZ
KEGG_2019_Human	Endometrial cancer	6/58	4.909011e-06	5.154462e-05	0	0	1.575358e+01	1.925787e+02	TCF7L2;APC;CDH1;MAPK1;CTNNB1;TP53
KEGG_2019_Human	Thyroid cancer	5/37	8.233997e-06	8.137126e-05	0	0	2.120826e+01	2.482902e+02	TCF7L2;CDH1;MAPK1;CTNNB1;TP53
KEGG_2019_Human	Mitophagy	6/65	9.592238e-06	8.952756e-05	0	0	1.387960e+01	1.603726e+02	TBK1;CSNK2A1;UBB;CSNK2A2;NBR1;TP53
KEGG_2019_Human	Non-small cell lung cancer	6/66	1.048624e-05	9.272042e-05	0	0	1.364759e+01	1.564757e+02	RB1;CDK4;MAPK1;E2F3;STK4;TP53
