Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	14/158	2.234752e-13	3.441517e-11	0	0	1.979023e+01	5.764792e+02	TCF7L2;JUN;CTBP2;CSNK2A1;CTBP1;LEF1;CSNK2A2;NFATC1;CCND2;SOX17;MYC;RUVBL1;CTNNB1;EP300
KEGG_2019_Human	Pathways in cancer	20/530	1.170481e-11	9.012703e-10	0	0	8.351217e+00	2.102087e+02	RB1;SMAD2;TCF7L2;JUN;HSP90AA1;NOTCH1;HSP90AB1;CTBP2;CTBP1;HDAC1;LEF1;STAT3;TRAF1;FOS;IGF1R;AR;CCND2;MYC;CTNNB1;EP300
KEGG_2019_Human	Viral carcinogenesis	13/201	9.158584e-11	4.701406e-09	0	0	1.390105e+01	3.213054e+02	RB1;HDAC4;JUN;HDAC1;SRF;STAT3;TRAF1;RBPJ;HDAC6;CCND2;CREB1;HIST4H4;EP300
KEGG_2019_Human	Prostate cancer	10/97	1.541870e-10	5.936199e-09	0	0	2.253556e+01	5.091427e+02	RB1;AR;TCF7L2;HSP90AA1;HSP90AB1;CREB1;LEF1;EP300;CTNNB1;IGF1R
KEGG_2019_Human	Fluid shear stress and atherosclerosis	10/139	5.382229e-09	1.594674e-07	0	0	1.516617e+01	2.887663e+02	PIAS4;MEF2A;JUN;HSP90AA1;HSP90AB1;SUMO1;SUMO2;CTNNB1;FOS;SQSTM1
KEGG_2019_Human	Adherens junction	8/72	6.213015e-09	1.594674e-07	0	0	2.405947e+01	4.546426e+02	SMAD2;TCF7L2;CSNK2A1;CSNK2A2;LEF1;EP300;CTNNB1;IGF1R
KEGG_2019_Human	Breast cancer	10/147	9.246850e-09	2.034307e-07	0	0	1.427477e+01	2.640687e+02	RB1;TCF7L2;JUN;NOTCH1;MYC;LEF1;CTNNB1;BRCA1;FOS;IGF1R
KEGG_2019_Human	Hippo signaling pathway	10/160	2.085860e-08	4.015281e-07	0	0	1.302904e+01	2.304251e+02	YAP1;SMAD2;SOX2;TCF7L2;CCND2;MYC;LEF1;CTNNB1;AMOT;SMAD7
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	3.829808e-08	6.553226e-07	0	0	1.040822e+01	1.777502e+02	RB1;SMAD2;JUN;CCND2;CREB1;KAT5;MYC;SRF;EP300;NFATC1;FOS
KEGG_2019_Human	Notch signaling pathway	6/48	2.588491e-07	3.986276e-06	0	0	2.700272e+01	4.095508e+02	NOTCH1;CTBP2;HDAC1;CTBP1;EP300;RBPJ
KEGG_2019_Human	Hepatitis B	9/163	3.157328e-07	4.420259e-06	0	0	1.130730e+01	1.692518e+02	RB1;SMAD2;JUN;CREB1;MYC;STAT3;EP300;NFATC1;FOS
KEGG_2019_Human	Colorectal cancer	7/86	5.018157e-07	6.439968e-06	0	0	1.687804e+01	2.448166e+02	SMAD2;TCF7L2;JUN;MYC;LEF1;CTNNB1;FOS
KEGG_2019_Human	Transcriptional misregulation in cancer	9/186	9.584659e-07	1.054313e-05	0	0	9.826520e+00	1.361753e+02	CCND2;HIST1H3A;BCL6;PAX7;HDAC1;MYC;TRAF1;BMI1;IGF1R
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	9.584659e-07	1.054313e-05	0	0	9.826520e+00	1.361753e+02	RB1;JUN;CREB1;MYC;STAT3;CTNNB1;EP300;NFATC1;FOS
KEGG_2019_Human	Th17 cell differentiation	7/107	2.213453e-06	2.272478e-05	0	0	1.331952e+01	1.734329e+02	SMAD2;JUN;HSP90AA1;HSP90AB1;STAT3;NFATC1;FOS
KEGG_2019_Human	FoxO signaling pathway	7/132	8.929288e-06	8.594439e-05	0	0	1.064215e+01	1.237275e+02	SMAD2;STK11;CCND2;BCL6;STAT3;EP300;IGF1R
