Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	19/153	4.956298e-21	5.204113e-19	0	0	3.220449e+01	1.505677e+03	RPL4;RPL30;MRPS15;RPL3;RPS8;RPL31;RPS6;RPLP0;RPSA;RPL23A;RPL8;RPL7A;RPS19;RPL36AL;RPL13;RPL35;RPL17;RPS10;RPL26L1
KEGG_2019_Human	Cell cycle	8/124	3.156054e-07	1.656928e-05	0	0	1.391837e+01	2.083409e+02	SMAD4;MYC;RAD21;CHEK1;EP300;SMC3;SMC1A;ATR
KEGG_2019_Human	Systemic lupus erythematosus	7/133	6.920128e-06	2.422045e-04	0	0	1.109315e+01	1.317986e+02	HIST1H3A;HIST1H2AI;H2AFY;HIST4H4;H2AFX;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Fanconi anemia pathway	5/54	9.782333e-06	2.567862e-04	0	0	2.004950e+01	2.312697e+02	BLM;FANCD2;MLH1;FAN1;ATR
KEGG_2019_Human	Necroptosis	7/162	2.500075e-05	5.250158e-04	0	0	9.004431e+00	9.541640e+01	HSP90AA1;CASP8;HIST1H2AI;H2AFY;H2AFX;HIST1H2AE;TRAF2
KEGG_2019_Human	Alcoholism	7/180	4.900709e-05	8.576241e-04	0	0	8.060197e+00	7.998574e+01	HIST1H3A;HIST1H2AI;H2AFY;HIST4H4;H2AFX;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Spliceosome	6/134	7.967956e-05	1.195193e-03	0	0	9.265313e+00	8.744136e+01	PCBP1;SRSF1;SRSF4;SRSF5;SRSF6;SRSF7
KEGG_2019_Human	Viral carcinogenesis	6/201	7.088533e-04	9.303699e-03	0	0	6.061231e+00	4.395521e+01	CASP8;HIST4H4;CHEK1;EP300;TRAF2;HIST1H2BG
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	5/139	8.713877e-04	1.016619e-02	0	0	7.300133e+00	5.143253e+01	SMAD4;MYC;PCGF1;BMI1;POU5F1
KEGG_2019_Human	IL-17 signaling pathway	4/93	1.515624e-03	1.591406e-02	0	0	8.726592e+00	5.665240e+01	HSP90AA1;CASP8;SRSF1;TRAF2
KEGG_2019_Human	Pathways in cancer	9/530	2.032269e-03	1.939893e-02	0	0	3.450086e+00	2.138571e+01	BCR;SMAD4;HSP90AA1;CASP8;MYC;EP300;TRAF2;MLH1;ESR1
KEGG_2019_Human	NOD-like receptor signaling pathway	5/178	2.592611e-03	2.268535e-02	0	0	5.643278e+00	3.360623e+01	HSP90AA1;CASP8;IFI16;NEK7;TRAF2
KEGG_2019_Human	Herpes simplex virus 1 infection	8/492	4.664693e-03	3.767636e-02	0	0	3.273739e+00	1.757256e+01	CASP8;SRSF1;CGAS;SRSF4;TRAF2;SRSF5;SRSF6;SRSF7
KEGG_2019_Human	Human immunodeficiency virus 1 infection	5/212	5.445987e-03	3.862365e-02	0	0	4.708232e+00	2.454343e+01	CASP8;CHEK1;CGAS;TRAF2;ATR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	5/219	6.233134e-03	3.862365e-02	0	0	4.552605e+00	2.311756e+01	SMAD4;MYC;CHEK1;EP300;ATR
KEGG_2019_Human	Mismatch repair	2/23	6.546722e-03	3.862365e-02	0	0	1.819872e+01	9.151755e+01	EXO1;MLH1
KEGG_2019_Human	Adherens junction	3/72	6.621197e-03	3.862365e-02	0	0	8.368510e+00	4.198882e+01	SMAD4;CSNK2B;EP300
KEGG_2019_Human	p53 signaling pathway	3/72	6.621197e-03	3.862365e-02	0	0	8.368510e+00	4.198882e+01	CASP8;CHEK1;ATR
KEGG_2019_Human	Chronic myeloid leukemia	3/76	7.686682e-03	4.247903e-02	0	0	7.908365e+00	3.850003e+01	BCR;SMAD4;MYC
KEGG_2019_Human	Wnt signaling pathway	4/158	9.990552e-03	5.245040e-02	0	0	5.026738e+00	2.315374e+01	SMAD4;MYC;CSNK2B;EP300
KEGG_2019_Human	Colorectal cancer	3/86	1.077256e-02	5.300439e-02	0	0	6.952041e+00	3.149798e+01	SMAD4;MYC;MLH1
KEGG_2019_Human	Hepatitis B	4/163	1.110568e-02	5.300439e-02	0	0	4.867431e+00	2.190489e+01	SMAD4;CASP8;MYC;EP300
KEGG_2019_Human	TGF-beta signaling pathway	3/90	1.217993e-02	5.560403e-02	0	0	6.631068e+00	2.922952e+01	SMAD4;MYC;EP300
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	4/186	1.725900e-02	7.550813e-02	0	0	4.247360e+00	1.724183e+01	CASP8;MYC;EP300;TRAF2
KEGG_2019_Human	Thyroid hormone signaling pathway	3/116	2.381758e-02	1.000338e-01	0	0	5.098634e+00	1.905528e+01	MYC;EP300;ESR1
KEGG_2019_Human	Human cytomegalovirus infection	4/225	3.183906e-02	1.285808e-01	0	0	3.490906e+00	1.203337e+01	CASP8;MYC;CGAS;TRAF2
KEGG_2019_Human	Endometrial cancer	2/58	3.794908e-02	1.475798e-01	0	0	6.812500e+00	2.228716e+01	MYC;MLH1
KEGG_2019_Human	Gastric cancer	3/149	4.485646e-02	1.682117e-01	0	0	3.939620e+00	1.222971e+01	SMAD4;MYC;MLH1
KEGG_2019_Human	Hepatitis C	3/155	4.941698e-02	1.751668e-01	0	0	3.782959e+00	1.137710e+01	CASP8;MYC;TRAF2
KEGG_2019_Human	RIG-I-like receptor signaling pathway	2/70	5.323556e-02	1.751668e-01	0	0	5.606900e+00	1.644520e+01	CASP8;TRAF2
KEGG_2019_Human	Cellular senescence	3/160	5.338417e-02	1.751668e-01	0	0	3.661555e+00	1.072924e+01	MYC;CHEK1;ATR
KEGG_2019_Human	Hippo signaling pathway	3/160	5.338417e-02	1.751668e-01	0	0	3.661555e+00	1.072924e+01	SMAD4;LATS2;MYC
KEGG_2019_Human	MicroRNAs in cancer	4/299	7.475132e-02	2.357984e-01	0	0	2.605384e+00	6.757293e+00	MYC;EP300;BMI1;EZH2
KEGG_2019_Human	Transcriptional misregulation in cancer	3/186	7.635378e-02	2.357984e-01	0	0	3.137196e+00	8.070052e+00	HIST1H3A;MYC;BMI1
