Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Fanconi anemia pathway	9/54	1.427753e-11	1.970299e-09	0	0	3.929703e+01	9.813386e+02	BLM;SLX4;RAD51;FANCD2;PMS2;BRCA1;MLH1;FAN1;ATR
KEGG_2019_Human	Cellular senescence	12/160	8.110672e-11	5.596363e-09	0	0	1.633370e+01	3.795177e+02	RAD50;MRE11;MYC;CHEK1;PTEN;HUS1;E2F3;RAD1;NBN;TP53;RAD9A;ATR
KEGG_2019_Human	Cell cycle	10/124	1.615887e-09	7.433082e-08	0	0	1.734737e+01	3.511694e+02	FZR1;CREBBP;MYC;CHEK1;EP300;E2F3;SMC3;TP53;CDC25B;ATR
KEGG_2019_Human	Homologous recombination	6/41	9.272845e-08	3.199132e-06	0	0	3.272802e+01	5.299842e+02	BLM;RAD50;MRE11;RAD51;BRCA1;NBN
KEGG_2019_Human	Mismatch repair	5/23	1.427776e-07	3.940661e-06	0	0	5.257143e+01	8.286297e+02	MSH6;EXO1;MSH3;PMS2;MLH1
KEGG_2019_Human	Pathways in cancer	15/530	2.129430e-07	4.897689e-06	0	0	5.940215e+00	9.125501e+01	CREBBP;HSP90AA1;PTEN;STK4;MLH1;ESR1;HIF1A;MSH6;CASP8;RAD51;MSH3;MYC;EP300;E2F3;TP53
KEGG_2019_Human	Non-homologous end-joining	4/13	5.960710e-07	1.175111e-05	0	0	8.335849e+01	1.194769e+03	FEN1;XRCC6;RAD50;MRE11
KEGG_2019_Human	MicroRNAs in cancer	10/299	6.025055e-06	1.039322e-04	0	0	6.782353e+00	8.152106e+01	CREBBP;MYC;PTEN;EP300;E2F3;KIF23;BRCA1;TP53;CDC25B;PAK4
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	8.784671e-06	1.346983e-04	0	0	8.685614e+00	1.011223e+02	CREBBP;CASP8;MYC;EP300;E2F3;TP53;HIF1A;GABARAP
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	1.073397e-05	1.481287e-04	0	0	1.033010e+01	1.181980e+02	FZR1;CDC34;FBXW7;AIRE;CUL3;UBR5;BRCA1
KEGG_2019_Human	Viral carcinogenesis	8/201	1.544131e-05	1.826387e-04	0	0	8.004470e+00	8.867723e+01	CREBBP;SNW1;CASP8;CHEK1;EP300;HIST1H2BG;TP53;HDAC6
KEGG_2019_Human	Prostate cancer	6/97	1.588162e-05	1.826387e-04	0	0	1.255220e+01	1.387062e+02	CREBBP;HSP90AA1;PTEN;EP300;E2F3;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	2.859947e-05	2.875470e-04	0	0	7.314934e+00	7.652973e+01	CREBBP;MYC;CHEK1;PTEN;EP300;E2F3;TP53;ATR
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	2.917143e-05	2.875470e-04	0	0	1.573810e+01	1.643422e+02	MYC;PTEN;SIRT6;TP53;HIF1A
KEGG_2019_Human	Hepatitis B	7/163	3.305173e-05	3.040759e-04	0	0	8.597087e+00	8.869990e+01	CREBBP;CASP8;DDX58;MYC;EP300;E2F3;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	4.382719e-05	3.780095e-04	0	0	1.037413e+01	1.041070e+02	CREBBP;MYC;EP300;TP53;ESR1;HIF1A
KEGG_2019_Human	p53 signaling pathway	5/72	4.792827e-05	3.890648e-04	0	0	1.408884e+01	1.401249e+02	CASP8;CHEK1;PTEN;TP53;ATR
KEGG_2019_Human	FoxO signaling pathway	6/132	9.007634e-05	6.905853e-04	0	0	9.049451e+00	8.429430e+01	CREBBP;FBXO25;PTEN;EP300;STK4;GABARAP
KEGG_2019_Human	Colorectal cancer	5/86	1.122389e-04	8.152092e-04	0	0	1.164550e+01	1.059145e+02	MSH6;MSH3;MYC;MLH1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	7/201	1.238734e-04	8.547262e-04	0	0	6.899810e+00	6.207242e+01	SNW1;CASP8;PSMD4;DDX58;MYC;E2F3;TP53
KEGG_2019_Human	Breast cancer	6/147	1.626876e-04	1.069090e-03	0	0	8.080606e+00	7.049261e+01	MYC;PTEN;E2F3;BRCA1;TP53;ESR1
KEGG_2019_Human	Hepatitis C	6/155	2.169645e-04	1.360959e-03	0	0	7.643650e+00	6.448012e+01	CASP8;DDX58;MYC;MX1;E2F3;TP53
KEGG_2019_Human	Endometrial cancer	4/58	2.923923e-04	1.754354e-03	0	0	1.386164e+01	1.127979e+02	MYC;PTEN;MLH1;TP53
KEGG_2019_Human	Human papillomavirus infection	8/330	4.808246e-04	2.666121e-03	0	0	4.766289e+00	3.641449e+01	CREBBP;CASP8;MX1;PTEN;EP300;TP53;PRKCZ;ATR
KEGG_2019_Human	Alcoholism	6/180	4.829930e-04	2.666121e-03	0	0	6.537135e+00	4.991435e+01	HIST1H3A;H2AFY;H2AFZ;H2AFX;HIST1H2BG;HDAC6
KEGG_2019_Human	Renal cell carcinoma	4/69	5.687986e-04	3.019008e-03	0	0	1.150943e+01	8.599831e+01	CREBBP;EP300;HIF1A;PAK4
