Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human papillomavirus infection	28/330	5.919609e-24	1.047771e-21	0	0	1.870840e+01	1.000596e+03	RB1;HDAC2;CDKN1B;HDAC1;TRADD;PSEN1;RELA;PPP2CA;CASP8;CASP3;SPP1;AKT1;EP300;MAPK1;MAPK3;BCAP31;TCF7L2;CHUK;EIF2AK2;TNFRSF1A;CREB1;RHEB;MDM2;CTNNB1;ATM;RAF1;TP53;ATR
KEGG_2019_Human	Pathways in cancer	31/530	1.157599e-21	1.024475e-19	0	0	1.280553e+01	6.173280e+02	RB1;HDAC2;CDKN1B;HDAC1;BRCA2;RELA;CASP8;CDH1;MYC;CASP3;AKT1;EP300;MAPK1;SKP2;RALGDS;MAPK3;TCF7L2;RALBP1;HSP90AA1;CHUK;TRAF2;TRAF1;PML;AR;MSH2;MDM2;CTNNB1;RAF1;TP53;BIRC2;BCL2L1
KEGG_2019_Human	Viral carcinogenesis	22/201	2.381678e-21	1.405190e-19	0	0	2.350231e+01	1.116042e+03	RB1;HDAC2;CDKN1B;SRC;HDAC1;TRADD;EIF2AK2;TRAF2;TRAF1;RELA;HDAC7;CREB1;CASP8;HIST4H4;CASP3;CHEK1;MDM2;EP300;MAPK1;SKP2;TP53;MAPK3
KEGG_2019_Human	Hepatitis C	19/155	1.705731e-19	7.547862e-18	0	0	2.601561e+01	1.124268e+03	RB1;CHUK;TRADD;EIF2AK2;TRAF2;CFLAR;RELA;PIAS1;TNFRSF1A;PPP2CA;CASP8;MYC;CASP3;AKT1;CTNNB1;MAPK1;RAF1;TP53;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	20/186	2.542450e-19	9.000272e-18	0	0	2.261503e+01	9.682849e+02	RB1;CHUK;SRC;TRADD;EIF2AK2;TRAF2;RELA;TNFRSF1A;CREB1;CASP8;UBB;MYC;CASP3;AKT1;CTNNB1;EP300;MAPK1;RAF1;TP53;MAPK3
KEGG_2019_Human	Apoptosis	18/143	9.970042e-19	2.642063e-17	0	0	2.657944e+01	1.101705e+03	CHUK;TRADD;TRAF2;TRAF1;CFLAR;RELA;TNFRSF1A;CASP8;CASP3;AKT1;MAPK1;BIRC6;ATM;RAF1;TP53;BIRC2;BCL2L1;MAPK3
KEGG_2019_Human	Prostate cancer	16/97	1.044884e-18	2.642063e-17	0	0	3.587088e+01	1.485149e+03	RB1;TCF7L2;HSP90AA1;CDKN1B;CHUK;RELA;AR;CREB1;MDM2;AKT1;EP300;MAPK1;CTNNB1;RAF1;TP53;MAPK3
KEGG_2019_Human	TNF signaling pathway	16/110	8.601699e-18	1.903126e-16	0	0	3.088971e+01	1.213798e+03	RIPK3;CHUK;TRADD;TNFAIP3;TRAF2;TRAF1;CFLAR;RELA;TNFRSF1A;CASP8;CREB1;CASP3;AKT1;MAPK1;BIRC2;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	14/76	3.257418e-17	6.406256e-16	0	0	4.030543e+01	1.530116e+03	RB1;HDAC2;CDKN1B;CHUK;HDAC1;RELA;MYC;MDM2;AKT1;MAPK1;RAF1;TP53;MAPK3;BCL2L1
KEGG_2019_Human	Cell cycle	16/124	6.229559e-17	1.102632e-15	0	0	2.686646e+01	1.002512e+03	RB1;HDAC2;CDKN1B;MCM7;PRKDC;HDAC1;MYC;CHEK1;CDC27;MDM2;EP300;ATM;SKP2;TP53;ATR;MCM2
KEGG_2019_Human	Human cytomegalovirus infection	19/225	2.053980e-16	3.305041e-15	0	0	1.711444e+01	6.182008e+02	RB1;CHUK;SRC;TRADD;TRAF2;RELA;TNFRSF1A;CREB1;CASP8;RHEB;MYC;CASP3;MDM2;AKT1;CTNNB1;MAPK1;RAF1;TP53;MAPK3
KEGG_2019_Human	Ubiquitin mediated proteolysis	16/137	3.173000e-16	4.680176e-15	0	0	2.396421e+01	8.552033e+02	PRKN;UBE2I;FBXW7;CUL3;UBE2D1;BRCA1;PML;UBE2L3;PIAS1;SOCS1;CDC27;UBE2N;MDM2;BIRC6;SKP2;BIRC2
KEGG_2019_Human	Epstein-Barr virus infection	17/201	8.488471e-15	1.155738e-13	0	0	1.684516e+01	5.457843e+02	RB1;HDAC2;CDKN1B;CHUK;HDAC1;TRADD;EIF2AK2;TNFAIP3;TRAF2;RELA;CASP8;MYC;CASP3;MDM2;AKT1;SKP2;TP53
KEGG_2019_Human	Small cell lung cancer	13/93	1.996449e-14	2.524082e-13	0	0	2.872042e+01	9.059806e+02	RB1;CDKN1B;CHUK;TRAF2;TRAF1;RELA;MYC;CASP3;AKT1;SKP2;TP53;BIRC2;BCL2L1
KEGG_2019_Human	Pancreatic cancer	12/75	3.880879e-14	4.579437e-13	0	0	3.339570e+01	1.031264e+03	RB1;RALBP1;CHUK;AKT1;MAPK1;BRCA2;RAF1;TP53;RALGDS;RELA;MAPK3;BCL2L1
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	3.753258e-13	4.152042e-12	0	0	2.228121e+01	6.374872e+02	HDAC2;SRC;HDAC1;RHEB;MYC;MDM2;AKT1;EP300;MAPK1;CTNNB1;RAF1;TP53;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	5.356013e-13	5.576555e-12	0	0	1.422479e+01	4.019270e+02	RB1;CHUK;RELA;TNFRSF1A;CREB1;MYC;CHEK1;CDC27;AKT1;EP300;MAPK1;ATM;TP53;BCL2L1;ATR;MAPK3
KEGG_2019_Human	NF-kappa B signaling pathway	12/95	7.312941e-13	7.191059e-12	0	0	2.532296e+01	7.076237e+02	UBE2I;CHUK;TRADD;TNFAIP3;TRAF2;ATM;TRAF1;CFLAR;BIRC2;RELA;TNFRSF1A;BCL2L1
KEGG_2019_Human	Cellular senescence	14/160	1.408850e-12	1.312455e-11	0	0	1.704344e+01	4.650856e+02	RB1;MRE11;RELA;RHEB;MYC;CHEK1;MDM2;AKT1;MAPK1;ATM;RAF1;TP53;ATR;MAPK3
KEGG_2019_Human	Hepatitis B	14/163	1.819019e-12	1.609832e-11	0	0	1.669774e+01	4.513855e+02	RB1;CHUK;SRC;RELA;CREB1;CASP8;MYC;CASP3;AKT1;EP300;MAPK1;RAF1;TP53;MAPK3
KEGG_2019_Human	Bladder cancer	9/41	3.215731e-12	2.710402e-11	0	0	4.811072e+01	1.273152e+03	RB1;SRC;CDH1;MYC;MDM2;MAPK1;RAF1;TP53;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	15/212	4.733219e-12	3.808090e-11	0	0	1.362114e+01	3.551904e+02	CHUK;TRADD;TRAF2;RELA;TNFRSF1A;CASP8;CASP3;CHEK1;AKT1;MAPK1;ATM;RAF1;BCL2L1;ATR;MAPK3
