Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis C	18/155	5.891868e-17	1.084104e-14	0	0	2.056204e+01	7.684113e+02	RB1;GSK3B;CHUK;YWHAB;EIF2AK2;CFLAR;YWHAZ;RELA;PIAS1;PPP2CA;CASP8;MYC;CDK2;AKT1;MAPK1;TP53;YWHAG;MAPK3
KEGG_2019_Human	Viral carcinogenesis	19/201	3.759707e-16	3.458930e-14	0	0	1.643103e+01	5.835813e+02	RB1;YWHAB;SRC;EIF2AK2;YWHAZ;RELA;KAT2B;HNRNPK;CREB1;CASP8;PKM;CHEK1;CDK2;CDK1;EP300;MAPK1;TP53;YWHAG;MAPK3
KEGG_2019_Human	Prostate cancer	14/97	8.869842e-15	5.440170e-13	0	0	2.565542e+01	8.301099e+02	RB1;GSK3B;HSP90AB1;CHUK;RELA;IGF1R;HSP90B1;CREB1;CDK2;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Cell cycle	15/124	1.407151e-14	6.472897e-13	0	0	2.106571e+01	6.718830e+02	RB1;GSK3B;PRKDC;YWHAB;YWHAZ;FZR1;MYC;CHEK1;CDK2;CDK1;EP300;ATM;TP53;YWHAG;ATR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	3.981102e-13	1.465045e-11	0	0	1.447500e+01	4.132909e+02	RB1;GSK3B;BECN1;CHUK;SRC;EIF2AK2;RELA;CREB1;CASP8;UBB;MYC;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Cellular senescence	15/160	6.348259e-13	1.946799e-11	0	0	1.580674e+01	4.439389e+02	RB1;MRE11;FOXO3;RELA;MYC;CHEK1;CDK2;CDK1;AKT1;MAPK1;ATM;CAPN1;TP53;ATR;MAPK3
KEGG_2019_Human	Hepatitis B	15/163	8.342972e-13	2.193010e-11	0	0	1.548397e+01	4.306431e+02	RB1;CHUK;YWHAB;SRC;YWHAZ;RELA;CREB1;CASP8;MYC;CDK2;AKT1;EP300;MAPK1;TP53;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	4.924864e-12	1.132719e-10	0	0	1.210160e+01	3.150860e+02	RB1;CHUK;RELA;KAT2B;CREB1;MYC;CHEK1;CDK2;AKT1;EP300;MAPK1;ATM;TP53;BCL2L1;ATR;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	1.033052e-11	2.112017e-10	0	0	8.857290e+00	2.240533e+02	GSK3B;HSP90AB1;CHUK;YWHAB;FOXO3;YWHAZ;RELA;HSP90B1;IGF1R;PPP2CA;CREB1;MYC;CDK2;AKT1;MAPK1;TP53;YWHAG;BCL2L1;MAPK3
KEGG_2019_Human	Human papillomavirus infection	18/330	2.884535e-11	5.307544e-10	0	0	8.948718e+00	2.171771e+02	RB1;GSK3B;CHUK;CSNK1A1;EIF2AK2;RELA;PPP2CA;CREB1;CASP8;PKM;CDK2;AKT1;EP300;MAPK1;ATM;TP53;ATR;MAPK3
