Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis C	16/155	1.821193e-16	3.387420e-14	0	0	2.498727e+01	9.055854e+02	MAP2K2;YWHAB;BRAF;PPP2R2A;TYK2;YWHAZ;PPP2CA;NRAS;TBK1;YWHAQ;TRAF3;AKT1;CTNNB1;HRAS;YWHAG;MAPK3
KEGG_2019_Human	TGF-beta signaling pathway	11/90	1.777025e-12	1.652633e-10	0	0	2.873866e+01	7.775555e+02	PPP2CA;SMAD4;BMPR2;SMURF2;SMURF1;RPS6KB2;ACVR2B;ACVR2A;MAPK3;SMAD7;BMPR1A
KEGG_2019_Human	Hepatitis B	13/163	4.033226e-12	2.500600e-10	0	0	1.820277e+01	4.775760e+02	SMAD4;MAP2K2;YWHAB;BRAF;TYK2;YWHAZ;NRAS;TBK1;YWHAQ;TRAF3;AKT1;HRAS;MAPK3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	12/139	1.107639e-11	5.150523e-10	0	0	1.965951e+01	4.959349e+02	NRAS;SMAD4;REST;MAP2K2;BMPR2;AKT1;CTNNB1;ACVR2B;HRAS;ACVR2A;BMPR1A;MAPK3
KEGG_2019_Human	Long-term depression	9/60	3.002787e-11	1.117037e-09	0	0	3.572989e+01	8.656958e+02	PPP2CA;LYN;NRAS;MAP2K2;GNAI3;BRAF;HRAS;GNAI2;MAPK3
KEGG_2019_Human	Endocytosis	14/244	4.952008e-11	1.535122e-09	0	0	1.286966e+01	3.053795e+02	HSPA8;SMURF2;SMURF1;CAV1;NEDD4L;WWP1;ARRB1;HLA-A;AP2B1;EPN1;ITCH;HGS;HRAS;ARF6
KEGG_2019_Human	Hippo signaling pathway	12/160	5.834697e-11	1.549949e-09	0	0	1.685206e+01	3.971123e+02	PPP2CA;SMAD4;BMPR2;YWHAQ;YWHAB;CTNNA1;CTNNB1;PPP2R2A;YWHAZ;YWHAG;SMAD7;BMPR1A
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	6.666447e-11	1.549949e-09	0	0	1.017231e+01	2.383510e+02	HSP90AA1;PRKAA2;MAP2K2;HSP90AB1;YWHAB;PPP2R2A;YWHAZ;PPP2CA;NRAS;STK11;YWHAQ;RPS6KB2;AKT1;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Apelin signaling pathway	11/137	1.837361e-10	3.797214e-09	0	0	1.797594e+01	4.029761e+02	NRAS;SMAD4;PRKAA2;MAP2K2;PRKCE;RPS6KB2;GNAI3;AKT1;HRAS;GNAI2;MAPK3
KEGG_2019_Human	Human papillomavirus infection	15/330	2.553822e-10	4.750108e-09	0	0	1.013354e+01	2.238323e+02	HDAC2;MAP2K2;PXN;PPP2R2A;HLA-A;TYK2;PPP2CA;NRAS;TBK1;TRAF3;RPS6KB2;AKT1;CTNNB1;HRAS;MAPK3
