Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	32/530	6.653069e-23	1.304001e-20	0	0	1.353449e+01	6.911301e+02	HDAC2;HSP90AB1;CTBP1;HDAC1;ARAF;KEAP1;PIK3R1;RELA;HSP90B1;CCND1;MYC;AKT1;EP300;JAK2;JAK1;STAT5A;CREBBP;JUN;HSP90AA1;BAD;STAT1;CDKN2A;BRAF;ESR1;NFKB1;RBX1;AR;CDK4;CDK2;GNAS;BCL2;TP53
KEGG_2019_Human	Chronic myeloid leukemia	16/76	1.390261e-20	1.362455e-18	0	0	4.892840e+01	2.237114e+03	STAT5A;HDAC2;HDAC1;CTBP1;BAD;CDKN2A;ARAF;BRAF;PIK3R1;RELA;NFKB1;CCND1;CDK4;MYC;AKT1;TP53
KEGG_2019_Human	Prostate cancer	17/97	2.372412e-20	1.549976e-18	0	0	3.931449e+01	1.776535e+03	CREBBP;HSP90AA1;HSP90AB1;BAD;ARAF;BRAF;PIK3R1;NFKB1;RELA;HSP90B1;AR;CCND1;CDK2;BCL2;AKT1;EP300;TP53
KEGG_2019_Human	Measles	18/138	4.447614e-19	2.179331e-17	0	0	2.795660e+01	1.181355e+03	STAT5A;HSPA8;JUN;CSNK2A1;BAD;STAT1;PIK3R1;RELA;NFKB1;CCND1;CDK4;CSNK2B;CDK2;BCL2;AKT1;TP53;HSPA1A;JAK1
KEGG_2019_Human	Cell cycle	17/124	1.889824e-18	7.408109e-17	0	0	2.935392e+01	1.197935e+03	CDKN2D;CREBBP;HDAC2;PRKDC;HDAC1;CDKN2A;PLK1;SMC1A;RBX1;CCNB1;CCND1;CDK4;CHEK2;MYC;CDK2;EP300;TP53
KEGG_2019_Human	Hepatitis B	18/163	9.439829e-18	3.083677e-16	0	0	2.310722e+01	9.058399e+02	STAT5A;CREBBP;JUN;BAD;STAT1;ARAF;BRAF;PIK3R1;RELA;NFKB1;MYC;CDK2;BCL2;AKT1;EP300;JAK2;TP53;JAK1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	19/219	1.061184e-16	2.971315e-15	0	0	1.780210e+01	6.547962e+02	STAT5A;CREBBP;JUN;CDKN2A;PIK3R1;RELA;NFKB1;POLB;CCND1;KAT5;CDK4;LCK;CHEK2;MYC;CDK2;AKT1;EP300;TP53;JAK1
KEGG_2019_Human	Viral carcinogenesis	18/201	4.092952e-16	1.002773e-14	0	0	1.827374e+01	6.474769e+02	STAT5A;CREBBP;JUN;HDAC2;BAD;CDKN2A;HDAC1;PIK3R1;RELA;NFKB1;POLB;CCND1;CDK4;CDK2;EP300;HIST1H2BG;TP53;JAK1
KEGG_2019_Human	Pancreatic cancer	13/75	9.612031e-16	2.093287e-14	0	0	3.742836e+01	1.294211e+03	BAD;STAT1;CDKN2A;ARAF;BRAF;PIK3R1;RELA;NFKB1;CCND1;CDK4;AKT1;TP53;JAK1
KEGG_2019_Human	Cellular senescence	15/160	6.804850e-14	1.333751e-12	0	0	1.872604e+01	5.677464e+02	CDKN2A;PIK3R1;RELA;NFKB1;PPP1CB;CCNB1;CCND1;RBBP4;CDK4;CHEK2;MYC;CDK2;AKT1;NBN;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	3.379117e-13	6.020973e-12	0	0	2.248308e+01	6.456238e+02	MED1;CREBBP;HDAC2;HDAC1;BAD;STAT1;PIK3R1;ESR1;CCND1;MYC;AKT1;EP300;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	6.278385e-13	1.025470e-11	0	0	1.585788e+01	4.455508e+02	BECN1;CREBBP;JUN;STAT1;PIK3R1;RELA;NFKB1;CCND1;CDK4;MYC;AKT1;EP300;JAK2;TP53;JAK1
KEGG_2019_Human	Hepatitis C	14/155	8.127870e-13	1.225433e-11	0	0	1.781367e+01	4.959024e+02	BAD;STAT1;ARAF;BRAF;PIK3R1;RELA;NFKB1;CCND1;CDK4;MYC;CDK2;AKT1;TP53;JAK1
KEGG_2019_Human	Epstein-Barr virus infection	15/201	1.944575e-12	2.722405e-11	0	0	1.456792e+01	3.928382e+02	JUN;HDAC2;STAT1;HDAC1;PIK3R1;RELA;NFKB1;CCND1;CDK4;MYC;CDK2;BCL2;AKT1;TP53;JAK1
KEGG_2019_Human	Hepatocellular carcinoma	14/168	2.462672e-12	3.217891e-11	0	0	1.629917e+01	4.356732e+02	SMARCB1;BAD;CDKN2A;ARAF;KEAP1;BRAF;PIK3R1;SMARCA2;SMARCA4;CCND1;CDK4;MYC;AKT1;TP53
KEGG_2019_Human	Influenza A	14/171	3.137988e-12	3.844035e-11	0	0	1.598529e+01	4.234095e+02	HSPA8;CREBBP;JUN;STAT1;PIK3R1;RELA;NFKB1;DDX39B;AKT1;EP300;KPNA2;JAK2;HSPA1A;JAK1
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	7.060179e-12	8.139972e-11	0	0	9.875337e+00	2.535646e+02	HSP90AA1;HSP90AB1;BAD;PIK3R1;BRCA1;RELA;NFKB1;HSP90B1;CCND1;CDK4;MYC;CDC37;CDK2;BCL2;AKT1;JAK2;TP53;JAK1
KEGG_2019_Human	Acute myeloid leukemia	10/66	9.136651e-12	9.425177e-11	0	0	3.104637e+01	7.891591e+02	STAT5A;CCND1;BAD;MYC;ARAF;AKT1;BRAF;PIK3R1;RELA;NFKB1
KEGG_2019_Human	Non-small cell lung cancer	10/66	9.136651e-12	9.425177e-11	0	0	3.104637e+01	7.891591e+02	STAT5A;CCND1;BAD;CDKN2A;CDK4;ARAF;AKT1;BRAF;PIK3R1;TP53
KEGG_2019_Human	Human papillomavirus infection	17/330	2.310137e-11	2.263934e-10	0	0	9.930160e+00	2.432008e+02	CREBBP;HDAC2;BAD;STAT1;HDAC1;PIK3R1;TUBG1;RELA;NFKB1;CCND1;CDK4;CDK2;GNAS;AKT1;EP300;TP53;JAK1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	11/100	2.946651e-11	2.750208e-10	0	0	2.164234e+01	5.247784e+02	STAT5A;JUN;CCND1;CDK4;STAT1;BCL2;AKT1;PIK3R1;JAK2;NFKB1;RELA
KEGG_2019_Human	FoxO signaling pathway	12/132	3.496827e-11	3.115355e-10	0	0	1.763929e+01	4.246937e+02	CDKN2D;CREBBP;CCNB1;CCND1;PRMT1;PLK1;CDK2;ARAF;AKT1;EP300;BRAF;PIK3R1
KEGG_2019_Human	Estrogen signaling pathway	12/137	5.427078e-11	4.624814e-10	0	0	1.692943e+01	4.001615e+02	HSPA8;JUN;HSP90AA1;HSP90AB1;GNAS;BCL2;AKT1;PIK3R1;ESR1;HSPA1A;FKBP5;HSP90B1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	6.438358e-11	5.257992e-10	0	0	1.666114e+01	3.909729e+02	JUN;HSP90AA1;HSP90AB1;SUMO2;BCL2;KEAP1;AKT1;PIK3R1;TP53;RELA;NFKB1;HSP90B1
KEGG_2019_Human	Apoptosis	12/143	8.988988e-11	7.047366e-10	0	0	1.614913e+01	3.735687e+02	BECN1;JUN;PARP1;BAD;BCL2;AKT1;PIK3R1;TP53;RELA;NFKB1;CTSS;CTSB
KEGG_2019_Human	Colorectal cancer	10/86	1.382079e-10	1.041875e-09	0	0	2.285319e+01	5.188190e+02	JUN;CCND1;BAD;MYC;ARAF;BCL2;AKT1;BRAF;PIK3R1;TP53
KEGG_2019_Human	Small cell lung cancer	10/93	3.040914e-10	2.207479e-09	0	0	2.091841e+01	4.583996e+02	CCND1;CDK4;MYC;CDK2;BCL2;AKT1;PIK3R1;TP53;RELA;NFKB1
KEGG_2019_Human	Renal cell carcinoma	9/69	4.181015e-10	2.926711e-09	0	0	2.584696e+01	5.581727e+02	JUN;CREBBP;BAD;ARAF;AKT1;EP300;BRAF;PIK3R1;RBX1
KEGG_2019_Human	Prolactin signaling pathway	9/70	4.773072e-10	3.225938e-09	0	0	2.542195e+01	5.456278e+02	STAT5A;CCND1;STAT1;AKT1;PIK3R1;JAK2;ESR1;RELA;NFKB1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	10/99	5.683704e-10	3.713354e-09	0	0	1.950227e+01	4.151691e+02	CCNB1;HSP90AA1;HSP90AB1;PLK1;CDK2;ARAF;AKT1;BRAF;PIK3R1;AURKA
KEGG_2019_Human	Melanoma	9/72	6.182336e-10	3.908832e-09	0	0	2.461242e+01	5.218856e+02	CCND1;BAD;CDKN2A;CDK4;ARAF;AKT1;BRAF;PIK3R1;TP53
KEGG_2019_Human	Tuberculosis	12/179	1.216368e-09	7.303682e-09	0	0	1.264478e+01	2.595645e+02	CREBBP;BAD;STAT1;BCL2;AKT1;EP300;JAK2;RELA;NFKB1;CTSS;HSPD1;JAK1
KEGG_2019_Human	Th17 cell differentiation	10/107	1.229702e-09	7.303682e-09	0	0	1.788660e+01	3.669703e+02	STAT5A;JUN;HSP90AA1;HSP90AB1;LCK;STAT1;JAK2;NFKB1;RELA;JAK1
KEGG_2019_Human	Breast cancer	11/147	1.927075e-09	1.110902e-08	0	0	1.412936e+01	2.835376e+02	JUN;CCND1;CDK4;MYC;ARAF;AKT1;BRAF;PIK3R1;BRCA1;TP53;ESR1
KEGG_2019_Human	Toxoplasmosis	10/113	2.106209e-09	1.179477e-08	0	0	1.683955e+01	3.364269e+02	HSPA8;BAD;STAT1;BCL2;AKT1;JAK2;NFKB1;RELA;JAK1;HSPA1A
KEGG_2019_Human	Endometrial cancer	8/58	2.569813e-09	1.399121e-08	0	0	2.734621e+01	5.408925e+02	CCND1;BAD;MYC;ARAF;AKT1;BRAF;PIK3R1;TP53
KEGG_2019_Human	JAK-STAT signaling pathway	11/162	5.382263e-09	2.851144e-08	0	0	1.271611e+01	2.421167e+02	STAT5A;CREBBP;CCND1;STAT1;MYC;BCL2;AKT1;EP300;PIK3R1;JAK2;JAK1
KEGG_2019_Human	Bladder cancer	7/41	5.601831e-09	2.889365e-08	0	0	3.491554e+01	6.634012e+02	CCND1;CDKN2A;CDK4;MYC;ARAF;BRAF;TP53
KEGG_2019_Human	Protein processing in endoplasmic reticulum	11/165	6.526034e-09	3.279750e-08	0	0	1.246650e+01	2.349619e+02	HSPA8;VCP;HSP90AA1;HSP90AB1;HSPA5;UBE2D3;BCL2;RAD23B;RBX1;HSPA1A;HSP90B1
KEGG_2019_Human	Longevity regulating pathway	9/102	1.424014e-08	6.977667e-08	0	0	1.664769e+01	3.007771e+02	HSPA8;HDAC2;HDAC1;AKT1;PIK3R1;TP53;NFKB1;RELA;HSPA1A
KEGG_2019_Human	p53 signaling pathway	8/72	1.492781e-08	7.136219e-08	0	0	2.134914e+01	3.847123e+02	CCNB1;CCND1;CDKN2A;CDK4;CHEK2;CDK2;BCL2;TP53
KEGG_2019_Human	Glioma	8/75	2.071832e-08	9.668550e-08	0	0	2.039012e+01	3.607470e+02	CCND1;CDKN2A;CDK4;ARAF;AKT1;BRAF;PIK3R1;TP53
KEGG_2019_Human	Antigen processing and presentation	8/77	2.557512e-08	1.165750e-07	0	0	1.979710e+01	3.460859e+02	HSPA8;HSP90AA1;HSP90AB1;HSPA5;HSPA4;CTSS;CTSB;HSPA1A
KEGG_2019_Human	Wnt signaling pathway	10/158	5.364039e-08	2.389436e-07	0	0	1.169275e+01	1.957478e+02	CREBBP;JUN;CCND1;CSNK2A1;CTBP1;MYC;CSNK2B;EP300;TP53;RBX1
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	5.506246e-08	2.391456e-07	0	0	1.406277e+01	2.350563e+02	JUN;BAD;BCL2;AKT1;BRAF;PIK3R1;TP53;NFKB1;RELA
KEGG_2019_Human	ErbB signaling pathway	8/85	5.612602e-08	2.391456e-07	0	0	1.773309e+01	2.960658e+02	STAT5A;JUN;BAD;MYC;ARAF;AKT1;BRAF;PIK3R1
