Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	31/530	9.258004e-24	1.759021e-21	0	0	1.564644e+01	8.298330e+02	CDKN1B;HSP90AB1;ARAF;CUL1;HIF1A;RELA;HSP90B1;IGF1R;GNAI2;RASSF1;CCND2;CCND1;MYC;ERBB2;IKBKG;HRAS;SKP1;NTRK1;HSP90AA1;CDKN2B;BAD;CDKN2A;BRAF;SP1;CDK4;CCNE1;GNAS;BIRC5;KRAS;RAF1;MET
KEGG_2019_Human	Prostate cancer	16/97	9.107970e-20	8.652572e-18	0	0	4.253570e+01	1.864873e+03	HSP90AA1;CDKN1B;HSP90AB1;BAD;ARAF;BRAF;RELA;IGF1R;HSP90B1;CCND1;CCNE1;ERBB2;KRAS;IKBKG;RAF1;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	23/354	1.147644e-18	7.268414e-17	0	0	1.599087e+01	6.605638e+02	NTRK1;HSP90AA1;CDKN1B;HSP90AB1;BAD;RELA;HSP90B1;IGF1R;VTN;CCND2;CCND1;PPP2R1B;PPP2R1A;CDK4;CCNE1;MYC;CDC37;ERBB2;KRAS;IKBKG;RAF1;MET;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	13/76	1.814777e-16	7.076965e-15	0	0	4.307051e+01	1.561108e+03	CDKN1B;BAD;CDKN2A;ARAF;BRAF;RELA;CCND1;CDK4;MYC;KRAS;IKBKG;RAF1;HRAS
KEGG_2019_Human	Bladder cancer	11/41	1.862359e-16	7.076965e-15	0	0	7.507973e+01	2.719351e+03	RASSF1;CCND1;CDKN2A;CDK4;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	MAPK signaling pathway	19/295	1.827216e-15	5.786183e-14	0	0	1.517277e+01	5.149030e+02	MAP2K3;NTRK1;HSPA8;HSPA6;ARAF;HSPB1;BRAF;ARRB2;RELA;IGF1R;MYC;ERBB2;KRAS;IKBKG;RAF1;MET;HRAS;MAP2K5;HSPA1A
KEGG_2019_Human	Cell cycle	14/124	5.001661e-15	1.228528e-13	0	0	2.678414e+01	8.819751e+02	CDKN2D;CDKN2B;CDKN2C;CDKN1B;CDKN2A;PLK1;CUL1;FZR1;CCND2;CCND1;CDK4;CCNE1;MYC;SKP1
KEGG_2019_Human	Hepatitis C	15/155	5.172751e-15	1.228528e-13	0	0	2.275576e+01	7.485592e+02	BAD;DDX58;ARAF;BRAF;RELA;PIAS1;CCND1;PPP2R1B;PPP2R1A;CDK4;MYC;KRAS;IKBKG;RAF1;HRAS
KEGG_2019_Human	Non-small cell lung cancer	11/66	5.664126e-14	1.195760e-12	0	0	4.090103e+01	1.247565e+03	RASSF1;CCND1;BAD;CDKN2A;CDK4;ERBB2;ARAF;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Melanoma	11/72	1.551731e-13	2.948289e-12	0	0	3.686682e+01	1.087359e+03	CCND1;BAD;CDKN2A;CDK4;ARAF;BRAF;KRAS;RAF1;HRAS;MET;IGF1R
KEGG_2019_Human	Pancreatic cancer	11/75	2.481488e-13	4.286206e-12	0	0	3.513338e+01	1.019737e+03	CCND1;BAD;CDKN2A;CDK4;ERBB2;ARAF;BRAF;KRAS;IKBKG;RAF1;RELA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	14/165	2.767277e-13	4.381523e-12	0	0	1.947119e+01	5.630238e+02	HSPA8;VCP;HSP90AA1;HSP90AB1;HSPA5;HSPA6;CUL1;HSP90B1;DNAJA1;ATXN3;DNAJB11;STUB1;HSPA1A;SKP1
KEGG_2019_Human	Estrogen signaling pathway	13/137	4.847572e-13	7.084913e-12	0	0	2.181528e+01	6.185751e+02	HSPA8;HSP90AA1;HSP90AB1;HSPA6;HSP90B1;GNAI2;SP1;GNAS;KRAS;RAF1;HRAS;HSPA1A;FKBP5
KEGG_2019_Human	Long-term depression	10/60	8.290287e-13	1.125110e-11	0	0	4.049388e+01	1.126480e+03	PPP2R1B;PPP2R1A;ARAF;GNAS;BRAF;KRAS;RAF1;HRAS;IGF1R;GNAI2
KEGG_2019_Human	Acute myeloid leukemia	10/66	2.258615e-12	2.860913e-11	0	0	3.614431e+01	9.692557e+02	CCND1;BAD;MYC;ARAF;BRAF;KRAS;IKBKG;RAF1;HRAS;RELA
KEGG_2019_Human	Cellular senescence	13/160	3.590089e-12	4.263231e-11	0	0	1.838059e+01	4.843809e+02	MAP2K3;CDKN2B;CDKN2A;RELA;PPP1CC;CCND2;CCND1;CDK4;CCNE1;MYC;KRAS;RAF1;HRAS
KEGG_2019_Human	Proteoglycans in cancer	14/201	4.150698e-12	4.639015e-11	0	0	1.569405e+01	4.113056e+02	ARAF;BRAF;IQGAP1;HIF1A;IGF1R;PPP1CC;VTN;CCND1;MYC;ERBB2;KRAS;RAF1;MET;HRAS
KEGG_2019_Human	Hepatitis B	13/163	4.553175e-12	4.806129e-11	0	0	1.801025e+01	4.703411e+02	MAP2K3;BAD;DDX58;ARAF;BRAF;RELA;CCNE1;MYC;BIRC5;KRAS;IKBKG;RAF1;HRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	11/99	5.737669e-12	5.737669e-11	0	0	2.552062e+01	6.605749e+02	HSP90AA1;FZR1;HSP90AB1;PLK1;ARAF;BRAF;KRAS;RAF1;IGF1R;AURKA;GNAI2
KEGG_2019_Human	FoxO signaling pathway	12/132	6.693304e-12	6.358639e-11	0	0	2.059583e+01	5.299290e+02	CDKN2D;CDKN2B;CCND2;CDKN1B;CCND1;PLK1;ARAF;BRAF;KRAS;RAF1;HRAS;IGF1R
KEGG_2019_Human	Glioma	10/75	8.524435e-12	7.712584e-11	0	0	3.112559e+01	7.933316e+02	CCND1;CDKN2A;CDK4;ARAF;BRAF;KRAS;CAMK1;RAF1;HRAS;IGF1R
KEGG_2019_Human	Measles	12/138	1.136887e-11	9.818571e-11	0	0	1.960913e+01	4.941528e+02	HSPA8;CCND2;CDKN1B;CCND1;BAD;DDX58;CDK4;CCNE1;HSPA6;IKBKG;RELA;HSPA1A
KEGG_2019_Human	Endometrial cancer	9/58	2.375347e-11	1.962243e-10	0	0	3.681447e+01	9.006032e+02	CCND1;BAD;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Gastric cancer	12/149	2.820596e-11	2.232972e-10	0	0	1.802464e+01	4.378452e+02	CDKN2B;CDKN1B;CCND1;CCNE1;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;MET;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	12/168	1.153295e-10	8.765040e-10	0	0	1.581410e+01	3.618777e+02	CCND1;BAD;CDK4;CDKN2A;MYC;ARAF;BRAF;KRAS;RAF1;MET;HRAS;IGF1R
KEGG_2019_Human	Insulin signaling pathway	11/137	2.033902e-10	1.486313e-09	0	0	1.778972e+01	3.969936e+02	PTPN1;PPP1CC;BAD;PRKAR1A;FASN;ARAF;BRAF;KRAS;RAF1;FBP1;HRAS
KEGG_2019_Human	Human papillomavirus infection	15/330	2.921981e-10	2.056209e-09	0	0	1.002407e+01	2.200642e+02	CDKN1B;BAD;RELA;VTN;CCND2;CCND1;PPP2R1B;PPP2R1A;CDK4;CCNE1;GNAS;KRAS;IKBKG;RAF1;HRAS
KEGG_2019_Human	Breast cancer	11/147	4.344963e-10	2.948367e-09	0	0	1.647332e+01	3.551126e+02	CCND1;SP1;CDK4;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;HRAS;IGF1R
KEGG_2019_Human	Cushing syndrome	11/155	7.663513e-10	5.020922e-09	0	0	1.555183e+01	3.264233e+02	CDKN2B;CDKN2C;CDKN1B;CCND1;SP1;CDK4;CDKN2A;CCNE1;GNAS;BRAF;GNAI2
KEGG_2019_Human	ErbB signaling pathway	9/85	8.141313e-10	5.156165e-09	0	0	2.370335e+01	4.960850e+02	CDKN1B;BAD;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Colorectal cancer	9/86	9.052390e-10	5.439579e-09	0	0	2.339433e+01	4.871360e+02	CCND1;BAD;MYC;ARAF;BIRC5;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Viral carcinogenesis	12/201	9.161397e-10	5.439579e-09	0	0	1.303108e+01	2.711880e+02	CDKN2B;CCND2;CDKN1B;CCND1;BAD;CDK4;CDKN2A;CCNE1;KRAS;IKBKG;HRAS;RELA
KEGG_2019_Human	Human immunodeficiency virus 1 infection	12/212	1.682786e-09	9.688770e-09	0	0	1.230750e+01	2.486461e+02	MAP2K3;CUL4A;BAD;CUL1;KRAS;IKBKG;RAF1;HRAS;RELA;SKP1;CUL4B;GNAI2
KEGG_2019_Human	Central carbon metabolism in cancer	8/65	2.173557e-09	1.214635e-08	0	0	2.783860e+01	5.552937e+02	NTRK1;MYC;ERBB2;KRAS;RAF1;HRAS;MET;HIF1A
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	2.433634e-09	1.321116e-08	0	0	1.188708e+01	2.357669e+02	CDKN2B;CCND2;CDKN2C;CCND1;CDK4;CDKN2A;CCNE1;MYC;KRAS;IKBKG;HRAS;RELA
KEGG_2019_Human	Human cytomegalovirus infection	12/225	3.304550e-09	1.744068e-08	0	0	1.154871e+01	2.255228e+02	CCND1;SP1;CDK4;CDKN2A;MYC;GNAS;KRAS;IKBKG;RAF1;HRAS;RELA;GNAI2
KEGG_2019_Human	Renal cell carcinoma	8/69	3.537163e-09	1.816381e-08	0	0	2.600787e+01	5.061116e+02	BAD;ARAF;BRAF;KRAS;RAF1;HRAS;MET;HIF1A
KEGG_2019_Human	Apoptosis	10/143	5.420049e-09	2.710025e-08	0	0	1.515958e+01	2.885348e+02	NTRK1;BECN1;BAD;BIRC5;KRAS;IKBKG;RAF1;HRAS;RELA;CTSB
KEGG_2019_Human	MicroRNAs in cancer	13/299	8.309547e-09	4.048241e-08	0	0	9.380861e+00	1.745390e+02	CDKN1B;CDKN2A;RASSF1;CCND2;CCND1;CCNE1;MYC;ERBB2;MDM4;KRAS;RAF1;MET;HRAS
KEGG_2019_Human	Antigen processing and presentation	8/77	8.590115e-09	4.080305e-08	0	0	2.298319e+01	4.268588e+02	HSPA8;HSP90AA1;HSP90AB1;HSPA5;HSPA4;HSPA6;CTSB;HSPA1A
KEGG_2019_Human	Focal adhesion	11/199	1.067373e-08	4.946364e-08	0	0	1.188550e+01	2.181641e+02	PPP1CC;VTN;CCND2;CCND1;BAD;ERBB2;BRAF;RAF1;MET;HRAS;IGF1R
KEGG_2019_Human	Oocyte meiosis	9/125	2.528918e-08	1.144034e-07	0	0	1.549843e+01	2.711124e+02	PPP1CC;PPP2R1B;PPP2R1A;CCNE1;PLK1;CUL1;AURKA;IGF1R;SKP1
KEGG_2019_Human	Small cell lung cancer	8/93	3.871791e-08	1.710791e-07	0	0	1.864188e+01	3.181603e+02	CDKN2B;CDKN1B;CCND1;CCNE1;CDK4;MYC;IKBKG;RELA
KEGG_2019_Human	Thyroid cancer	6/37	4.372045e-08	1.887929e-07	0	0	3.768691e+01	6.386216e+02	NTRK1;CCND1;MYC;BRAF;KRAS;HRAS
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	5.615863e-08	2.371142e-07	0	0	1.403693e+01	2.343478e+02	CUL4A;FZR1;FBXW7;CUL3;CUL1;STUB1;PIAS1;SKP1;CUL4B
