Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	5.254678e-20	1.024662e-17	0	0	1.232680e+01	5.472184e+02	HSP90AB1;HDAC1;ARAF;CUL1;RELA;IGF1R;CDC42;RASSF1;RAC2;EP300;RAC3;MAPK1;PDGFRA;MAP2K1;CDKN2B;MAP2K2;BAD;CDKN2A;ARNT;PRKCA;BRAF;PML;RHOA;RBX1;AR;CDK6;MDM2;KRAS;RAF1
KEGG_2019_Human	MAPK signaling pathway	22/295	4.065724e-18	3.964081e-16	0	0	1.612297e+01	6.456273e+02	MAP2K3;PDGFRA;HSPA8;DAXX;MAP2K1;MAP2K2;ARAF;HSPB1;PRKCA;BRAF;MAPK14;RELA;IGF1R;CDC42;RAC2;RAC3;MAPK1;KRAS;RAF1;LAMTOR3;MAP2K5;HSPA1A
KEGG_2019_Human	Prostate cancer	15/97	1.956627e-17	1.271807e-15	0	0	3.449129e+01	1.326974e+03	PDGFRA;MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;BRAF;RELA;IGF1R;AR;MDM2;EP300;MAPK1;KRAS;RAF1
KEGG_2019_Human	Melanoma	13/72	3.529236e-16	1.720503e-14	0	0	4.081625e+01	1.452254e+03	PDGFRA;MAP2K1;MAP2K2;BAD;CDKN2A;ARAF;BRAF;IGF1R;CDK6;MDM2;MAPK1;KRAS;RAF1
KEGG_2019_Human	Glioma	13/75	6.207705e-16	2.017504e-14	0	0	3.883539e+01	1.359843e+03	PDGFRA;MAP2K1;MAP2K2;CDKN2A;ARAF;PRKCA;BRAF;IGF1R;CDK6;MDM2;MAPK1;KRAS;RAF1
KEGG_2019_Human	Pancreatic cancer	13/75	6.207705e-16	2.017504e-14	0	0	3.883539e+01	1.359843e+03	MAP2K1;BAD;CDKN2A;ARAF;BRAF;RELA;CDC42;CDK6;RAC2;RAC3;MAPK1;KRAS;RAF1
KEGG_2019_Human	Chronic myeloid leukemia	13/76	7.451431e-16	2.075756e-14	0	0	3.821703e+01	1.331212e+03	MAP2K1;MAP2K2;HDAC1;BAD;CDKN2A;ARAF;BRAF;RELA;CDK6;MDM2;MAPK1;KRAS;RAF1
KEGG_2019_Human	Cell cycle	15/124	8.825537e-16	2.151225e-14	0	0	2.591219e+01	8.982126e+02	YWHAE;CDKN2D;CDKN1C;CDKN2B;CDKN2C;CDKN2A;HDAC1;CUL1;RBX1;FZR1;TFDP1;CDK6;MDM2;EP300;MCM5
KEGG_2019_Human	VEGF signaling pathway	12/59	1.094061e-15	2.370465e-14	0	0	4.688652e+01	1.615188e+03	CDC42;MAP2K1;MAP2K2;BAD;RAC2;HSPB1;RAC3;MAPK1;PRKCA;KRAS;RAF1;MAPK14
KEGG_2019_Human	Non-small cell lung cancer	12/66	4.645675e-15	9.059067e-14	0	0	4.079424e+01	1.346326e+03	RASSF1;MAP2K1;MAP2K2;CDK6;BAD;CDKN2A;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1
