Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Chronic myeloid leukemia	23/76	1.688408e-33	3.174207e-31	0	0	8.690204e+01	6.557760e+03	MAP2K1;HDAC2;SMAD4;CDKN1B;SHC1;ARAF;PTPN11;BRAF;PIK3R1;CBL;IKBKB;BCR;CDK4;MYC;MDM2;AKT1;MAPK1;KRAS;IKBKG;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Pathways in cancer	37/530	4.180968e-29	3.930110e-27	0	0	1.711598e+01	1.118434e+03	GSK3B;HDAC2;CSF3R;CDKN1B;HSP90AB1;ARAF;PIK3R1;CBL;HSP90B1;IGF1R;GNAI2;IKBKB;CCND2;MYC;AKT1;MAPK1;IKBKG;JAK2;HRAS;MAPK3;JAK1;RALBP1;SMAD4;MAP2K1;HSP90AA1;STAT2;STAT3;PRKCA;BRAF;BCR;CDK4;MDM2;CTNNB1;KRAS;RAF1;FGFR4;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	32/354	1.268041e-28	7.946393e-27	0	0	2.159393e+01	1.387084e+03	YWHAE;GSK3B;CSF3R;CDKN1B;HSP90AB1;PIK3R1;BRCA1;HSP90B1;IGF1R;IKBKB;CCND2;MYC;AKT1;MAPK1;IKBKG;JAK2;HRAS;MAPK3;JAK1;MAP2K1;HSP90AA1;SYK;TSC1;PRKCA;CDK4;CDC37;MDM2;KRAS;RAF1;FGFR4;TP53;EPHA2
KEGG_2019_Human	Prostate cancer	21/97	3.482272e-27	1.636668e-25	0	0	5.417431e+01	3.300413e+03	GSK3B;MAP2K1;HSP90AA1;CDKN1B;HSP90AB1;ARAF;BRAF;PIK3R1;IGF1R;HSP90B1;IKBKB;MDM2;AKT1;MAPK1;CTNNB1;KRAS;IKBKG;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	22/155	3.849999e-24	1.447600e-22	0	0	3.266090e+01	1.760879e+03	YWHAE;GSK3B;MAP2K1;STAT2;STAT3;ARAF;BRAF;PIK3R1;IKBKB;SOCS3;CDK4;MYC;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;RAF1;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Proteoglycans in cancer	23/201	5.360826e-23	1.509508e-21	0	0	2.571218e+01	1.318529e+03	MAP2K1;PXN;STAT3;ARAF;PRKCA;PTPN11;BRAF;PIK3R1;IQGAP1;CBL;PPP1CA;IGF1R;MYC;MDM2;AKT1;CTNNB1;MAPK1;KRAS;RAF1;EZR;TP53;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	26/295	5.620509e-23	1.509508e-21	0	0	1.974264e+01	1.011475e+03	ARAF;HSPB1;ARRB1;IGF1R;IKBKB;MYC;AKT1;MAPK1;IKBKG;PAK2;HRAS;MAP2K5;MAP3K5;MAPK3;MAP2K3;HSPA8;MAP2K1;PRKCA;BRAF;HSPA2;RASA1;KRAS;RAF1;FGFR4;TP53;EPHA2
KEGG_2019_Human	Pancreatic cancer	17/75	1.557465e-22	3.660044e-21	0	0	5.532677e+01	2.778168e+03	RALBP1;MAP2K1;SMAD4;STAT3;ARAF;BRAF;PIK3R1;IKBKB;CDK4;AKT1;MAPK1;KRAS;IKBKG;RAF1;TP53;JAK1;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	22/186	2.401827e-22	5.017150e-21	0	0	2.644561e+01	1.316479e+03	LYN;GSK3B;MAP2K1;SYK;STAT2;STAT3;PIK3R1;IKBKB;HCK;CDK4;MYC;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;RAF1;JAK2;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Hepatitis B	21/163	3.686014e-22	6.929705e-21	0	0	2.889806e+01	1.426187e+03	MAP2K3;SMAD4;MAP2K1;STAT2;STAT3;ARAF;PRKCA;BRAF;PIK3R1;IKBKB;MYC;AKT1;MAPK1;KRAS;IKBKG;RAF1;JAK2;TP53;HRAS;MAPK3;JAK1
