Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endometrial cancer	16/58	2.693982e-21	2.734616e-19	0	0	5.631272e+01	2.667154e+03	GSK3B;BAD;LEF1;ARAF;AXIN1;ILK;BRAF;AXIN2;PIK3R1;EGFR;PIK3CA;APC;ERBB2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	22/168	2.776260e-21	2.734616e-19	0	0	2.319606e+01	1.097943e+03	PRKCG;GSK3B;SMAD4;BAD;CSNK1A1;LEF1;ARAF;AXIN1;PRKCA;BRAF;PIK3R1;AXIN2;EGFR;TGFBR1;IGF1R;APC;PIK3CA;AKT1;CTNNB1;HRAS;CSNK1A1L;BCL2L1
KEGG_2019_Human	Prostate cancer	17/97	6.723668e-19	4.415209e-17	0	0	3.158741e+01	1.321727e+03	GSK3B;CHUK;BAD;LEF1;ARAF;BRAF;PIK3R1;EGFR;IGF1R;IKBKB;AR;PIK3CA;ERBB2;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Breast cancer	19/147	2.141951e-18	1.054911e-16	0	0	2.234721e+01	9.091920e+02	GSK3B;NOTCH1;CSNK1A1;LEF1;ARAF;AXIN1;BRAF;PIK3R1;BRCA1;AXIN2;EGFR;IGF1R;PIK3CA;APC;ERBB2;AKT1;CTNNB1;HRAS;CSNK1A1L
KEGG_2019_Human	Colorectal cancer	16/86	2.727918e-18	1.074800e-16	0	0	3.373987e+01	1.364541e+03	GSK3B;SMAD4;BAD;LEF1;ARAF;AXIN1;BRAF;AXIN2;PIK3R1;TGFBR1;EGFR;PIK3CA;APC;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Adherens junction	15/72	5.235460e-18	1.718976e-16	0	0	3.858285e+01	1.535253e+03	PTPN1;SMAD4;CSNK2A1;SRC;LEF1;ACTN4;IQGAP1;TGFBR1;EGFR;IGF1R;FER;CSNK2B;ERBB2;CTNNB1;ACP1
KEGG_2019_Human	Gastric cancer	18/149	6.046259e-17	1.701590e-15	0	0	2.052637e+01	7.665472e+02	GSK3B;SMAD4;CSNK1A1;LEF1;ARAF;AXIN1;BRAF;PIK3R1;AXIN2;TGFBR1;EGFR;PIK3CA;APC;ERBB2;AKT1;CTNNB1;HRAS;CSNK1A1L
KEGG_2019_Human	Chronic myeloid leukemia	14/76	4.428853e-16	1.090605e-14	0	0	3.285484e+01	1.161524e+03	SMAD4;CHUK;BAD;ARAF;PTPN11;BRAF;PIK3R1;TGFBR1;IKBKB;PIK3CA;MDM2;AKT1;HRAS;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	19/201	8.162748e-16	1.786735e-14	0	0	1.567369e+01	5.445317e+02	PRKCG;SRC;ARAF;MSN;PRKCA;PTPN11;BRAF;PIK3R1;IQGAP1;EGFR;IGF1R;PIK3CA;ERBB2;KDR;MDM2;AKT1;CTNNB1;EZR;HRAS
KEGG_2019_Human	Pathways in cancer	27/530	2.907798e-15	5.728362e-14	0	0	8.443146e+00	2.826038e+02	GSK3B;NOTCH1;LEF1;ARAF;PIK3R1;EGFR;IGF1R;IKBKB;ERBB2;AKT1;HRAS;PRKCG;SMAD4;CHUK;BAD;AXIN1;PRKCA;BRAF;AXIN2;TGFBR1;AR;APC;PIK3CA;TRAF6;MDM2;CTNNB1;BCL2L1
KEGG_2019_Human	Pancreatic cancer	13/75	1.189407e-14	2.130121e-13	0	0	3.028538e+01	9.710321e+02	SMAD4;CHUK;BAD;ARAF;BRAF;PIK3R1;TGFBR1;EGFR;IKBKB;PIK3CA;ERBB2;AKT1;BCL2L1
KEGG_2019_Human	ErbB signaling pathway	13/85	6.511632e-14	1.068993e-12	0	0	2.606590e+01	7.914284e+02	PRKCG;GSK3B;SRC;BAD;ARAF;PRKCA;BRAF;PIK3R1;EGFR;PIK3CA;ERBB2;AKT1;HRAS
KEGG_2019_Human	Hepatitis B	16/163	9.603943e-14	1.455367e-12	0	0	1.600406e+01	4.797060e+02	PRKCG;MAP2K3;SMAD4;CHUK;BAD;SRC;ARAF;PRKCA;BRAF;PIK3R1;TGFBR1;IKBKB;PIK3CA;TRAF6;AKT1;HRAS
KEGG_2019_Human	Focal adhesion	17/199	1.563849e-13	2.200558e-12	0	0	1.381294e+01	4.072946e+02	PRKCG;GSK3B;BAD;SRC;ILK;PRKCA;BRAF;ACTN4;PIK3R1;EGFR;IGF1R;PIK3CA;ERBB2;KDR;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Wnt signaling pathway	15/158	9.640004e-13	1.266054e-11	0	0	1.531235e+01	4.236574e+02	PRKCG;GSK3B;SMAD4;CSNK2A1;CSNK1A1;LEF1;AXIN1;PRKCA;AXIN2;APC;RUVBL1;CSNK2B;CTNNB1;BTRC;CSNK1A1L
KEGG_2019_Human	Insulin signaling pathway	14/137	2.067551e-12	2.545672e-11	0	0	1.650992e+01	4.441938e+02	GSK3B;PTPN1;BAD;ARAF;TSC1;BRAF;PIK3R1;IKBKB;PIK3CA;FLOT1;TRIP10;AKT1;HRAS;FBP1
KEGG_2019_Human	Non-small cell lung cancer	11/66	2.197429e-12	2.546432e-11	0	0	2.848201e+01	7.645636e+02	PRKCG;PIK3CA;BAD;ERBB2;ARAF;AKT1;PRKCA;BRAF;PIK3R1;HRAS;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	20/354	2.395700e-12	2.621961e-11	0	0	8.989406e+00	2.405326e+02	GSK3B;CHUK;BAD;NOS3;TSC1;PRKCA;PIK3R1;BRCA1;EGFR;IGF1R;IKBKB;PIK3CA;CDC37;ERBB2;KDR;MDM2;AKT1;HRAS;EPHA2;BCL2L1
KEGG_2019_Human	Human papillomavirus infection	19/330	6.342901e-12	6.576586e-11	0	0	9.112221e+00	2.349466e+02	GSK3B;NOTCH1;CHUK;BAD;CSNK1A1;AXIN1;TSC1;PIK3R1;AXIN2;EGFR;IKBKB;PKM;APC;PIK3CA;MDM2;AKT1;CTNNB1;HRAS;CSNK1A1L
KEGG_2019_Human	Glioma	11/75	9.461000e-12	9.319085e-11	0	0	2.446560e+01	6.210310e+02	PRKCG;PIK3CA;ARAF;MDM2;AKT1;PRKCA;BRAF;PIK3R1;HRAS;EGFR;IGF1R
KEGG_2019_Human	VEGF signaling pathway	10/59	1.908072e-11	1.789953e-10	0	0	2.886443e+01	7.124418e+02	PRKCG;PIK3CA;SRC;BAD;NOS3;KDR;AKT1;PRKCA;PIK3R1;HRAS
KEGG_2019_Human	FoxO signaling pathway	13/132	2.102744e-11	1.882911e-10	0	0	1.573348e+01	3.868108e+02	SMAD4;CHUK;ARAF;BRAF;PIK3R1;TGFBR1;EGFR;IGF1R;IKBKB;PIK3CA;MDM2;AKT1;HRAS
KEGG_2019_Human	Acute myeloid leukemia	10/66	6.127520e-11	5.248354e-10	0	0	2.524745e+01	5.937101e+02	IKBKB;CHUK;PIK3CA;BAD;LEF1;ARAF;AKT1;BRAF;PIK3R1;HRAS
KEGG_2019_Human	Human immunodeficiency virus 1 infection	15/212	6.721876e-11	5.517540e-10	0	0	1.108460e+01	2.596354e+02	PRKCG;MAP2K3;CHUK;BAD;PRKCA;PIK3R1;CUL4A;IKBKB;PIK3CA;TRAF6;CDK1;AKT1;BTRC;HRAS;BCL2L1
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	7.152773e-11	5.636385e-10	0	0	1.651003e+01	3.856898e+02	PRKCG;GSK3B;NOTCH1;PIK3CA;SRC;BAD;MDM2;AKT1;CTNNB1;PRKCA;PIK3R1;HRAS
KEGG_2019_Human	Melanoma	10/72	1.498831e-10	1.135653e-09	0	0	2.279724e+01	5.157000e+02	PIK3CA;BAD;ARAF;MDM2;AKT1;BRAF;PIK3R1;HRAS;EGFR;IGF1R
KEGG_2019_Human	Hepatitis C	13/155	1.607835e-10	1.173124e-09	0	0	1.316973e+01	2.969902e+02	GSK3B;CHUK;BAD;ARAF;BRAF;PIK3R1;EGFR;IKBKB;PIK3CA;TRAF6;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Ras signaling pathway	15/232	2.392039e-10	1.682971e-09	0	0	1.005274e+01	2.227054e+02	PRKCG;CHUK;BAD;PRKCA;PTPN11;PIK3R1;EGFR;IGF1R;IKBKB;PIK3CA;KDR;AKT1;HRAS;EPHA2;BCL2L1
KEGG_2019_Human	Rap1 signaling pathway	14/206	5.086354e-10	3.455213e-09	0	0	1.053968e+01	2.255416e+02	PRKCG;MAP2K3;SRC;PRKCA;BRAF;PIK3R1;EGFR;IGF1R;PIK3CA;KDR;AKT1;CTNNB1;HRAS;EPHA2
KEGG_2019_Human	Measles	12/138	5.500255e-10	3.611834e-09	0	0	1.361215e+01	2.902253e+02	IKBKB;GSK3B;CSNK2A1;CHUK;PIK3CA;BAD;TRAF6;CSNK2B;AKT1;MSN;PIK3R1;BCL2L1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	5.981580e-10	3.682410e-09	0	0	1.350428e+01	2.867926e+02	IKBKB;CHUK;PIK3CA;SRC;NOS3;SUMO2;KDR;AKT1;CTNNB1;PIK3R1;SQSTM1;BMPR1A
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	12/139	5.981580e-10	3.682410e-09	0	0	1.350428e+01	2.867926e+02	GSK3B;SMAD4;PIK3CA;APC;AXIN1;AKT1;CTNNB1;PIK3R1;AXIN2;HRAS;IGF1R;BMPR1A
KEGG_2019_Human	MAPK signaling pathway	16/295	7.771170e-10	4.639153e-09	0	0	8.375756e+00	1.756851e+02	PRKCG;MAP2K3;CHUK;ARAF;PRKCA;BRAF;EGFR;TGFBR1;IGF1R;IKBKB;TRAF6;ERBB2;KDR;AKT1;HRAS;EPHA2
KEGG_2019_Human	MicroRNAs in cancer	16/299	9.450513e-10	5.475738e-09	0	0	8.255683e+00	1.715513e+02	PRKCG;NOTCH1;PRKCA;KIF23;BRCA1;EGFR;IKBKB;MARCKS;APC;PIK3CA;ERBB2;MDM2;IGF2BP1;EZR;HRAS;EZH2
KEGG_2019_Human	Human cytomegalovirus infection	14/225	1.610649e-09	9.065652e-09	0	0	9.581335e+00	1.939897e+02	PRKCG;GSK3B;CHUK;SRC;TSC1;PRKCA;PIK3R1;EGFR;IKBKB;PIK3CA;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	mTOR signaling pathway	12/152	1.679859e-09	9.192559e-09	0	0	1.224224e+01	2.473489e+02	PRKCG;IKBKB;GSK3B;PIK3CA;CHUK;AKT1;TSC1;PRKCA;BRAF;PIK3R1;HRAS;IGF1R
KEGG_2019_Human	Hippo signaling pathway	12/160	3.021920e-09	1.608968e-08	0	0	1.157579e+01	2.270867e+02	GSK3B;SMAD4;LATS2;APC;LEF1;AXIN1;CTNNB1;AXIN2;NF2;BTRC;TGFBR1;BMPR1A
KEGG_2019_Human	HIF-1 signaling pathway	10/100	4.047039e-09	2.098070e-08	0	0	1.568254e+01	3.030695e+02	PRKCG;PIK3CA;NOS3;ERBB2;AKT1;PRKCA;PIK3R1;ALDOA;EGFR;IGF1R
KEGG_2019_Human	Apoptosis	11/143	1.079917e-08	5.454965e-08	0	0	1.182134e+01	2.168483e+02	IKBKB;CHUK;PIK3CA;BAD;LMNA;AKT1;PIK3R1;CTSV;HRAS;BCL2L1;CTSB
KEGG_2019_Human	Bladder cancer	7/41	2.105420e-08	1.036919e-07	0	0	2.852982e+01	5.042979e+02	SRC;ERBB2;ARAF;MDM2;BRAF;HRAS;EGFR
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	2.203538e-08	1.058773e-07	0	0	1.293644e+01	2.280773e+02	IKBKB;GSK3B;PIK3CA;BAD;TRAF6;AKT1;BRAF;PTPN11;PIK3R1;HRAS
KEGG_2019_Human	Cellular senescence	11/160	3.478874e-08	1.631758e-07	0	0	1.046357e+01	1.797011e+02	MAP2K3;PIK3CA;MDM2;CDK1;AKT1;TSC1;PIK3R1;BTRC;SQSTM1;HRAS;TGFBR1
KEGG_2019_Human	Autophagy	10/128	4.436065e-08	2.032337e-07	0	0	1.194431e+01	2.022281e+02	PIK3CA;BAD;TRAF6;AKT1;TSC1;PIK3R1;HRAS;IGF1R;BCL2L1;CTSB
KEGG_2019_Human	Renal cell carcinoma	8/69	4.712573e-08	2.109948e-07	0	0	1.827661e+01	3.083346e+02	PIK3CA;BAD;ARAF;AKT1;PTPN11;BRAF;PIK3R1;HRAS
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	5.749788e-08	2.517129e-07	0	0	1.401418e+01	2.336377e+02	FZR1;PIK3CA;ARAF;CDK1;AKT1;BRAF;PIK3R1;IGF1R;AURKA
KEGG_2019_Human	Regulation of actin cytoskeleton	12/214	7.815520e-08	3.347081e-07	0	0	8.458028e+00	1.384120e+02	APC;PIK3CA;SRC;ARAF;MSN;BRAF;ACTN4;PIK3R1;IQGAP1;EZR;HRAS;EGFR
KEGG_2019_Human	C-type lectin receptor signaling pathway	9/104	8.840643e-08	3.705546e-07	0	0	1.327324e+01	2.155749e+02	IKBKB;CHUK;PIK3CA;SRC;MDM2;AKT1;PTPN11;PIK3R1;HRAS
KEGG_2019_Human	Leukocyte transendothelial migration	9/112	1.680400e-07	6.896643e-07	0	0	1.223735e+01	1.908912e+02	PRKCG;PIK3CA;MSN;CTNNB1;PRKCA;PTPN11;ACTN4;PIK3R1;EZR
KEGG_2019_Human	Central carbon metabolism in cancer	7/65	5.610380e-07	2.255602e-06	0	0	1.670412e+01	2.404304e+02	PKM;PIK3CA;ERBB2;AKT1;PIK3R1;HRAS;EGFR
KEGG_2019_Human	Relaxin signaling pathway	9/130	6.006023e-07	2.366373e-06	0	0	1.040742e+01	1.490898e+02	PIK3CA;SRC;NOS3;AKT1;PRKCA;PIK3R1;HRAS;TGFBR1;EGFR
KEGG_2019_Human	Choline metabolism in cancer	8/99	7.983966e-07	3.084003e-06	0	0	1.223278e+01	1.717563e+02	PRKCG;PIK3CA;AKT1;TSC1;PRKCA;PIK3R1;HRAS;EGFR
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	8/100	8.623636e-07	3.267031e-06	0	0	1.209920e+01	1.689483e+02	SMAD4;PIK3CA;NOS3;AKT1;PRKCA;PIK3R1;HRAS;TGFBR1
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	9.347631e-07	3.474497e-06	0	0	9.834774e+00	1.365359e+02	CUL4A;FZR1;HERC2;FBXW7;TRAF6;MDM2;HUWE1;BRCA1;BTRC
KEGG_2019_Human	B cell receptor signaling pathway	7/71	1.032246e-06	3.765787e-06	0	0	1.513352e+01	2.085970e+02	IKBKB;GSK3B;CHUK;PIK3CA;AKT1;PIK3R1;HRAS
KEGG_2019_Human	Insulin resistance	8/108	1.551054e-06	5.555595e-06	0	0	1.112676e+01	1.488380e+02	IKBKB;GSK3B;PTPN1;PIK3CA;NOS3;AKT1;PTPN11;PIK3R1
KEGG_2019_Human	Chemokine signaling pathway	10/190	1.748929e-06	6.152483e-06	0	0	7.805556e+00	1.034744e+02	IKBKB;GSK3B;PIK3CA;CHUK;BAD;SRC;AKT1;BRAF;PIK3R1;HRAS
KEGG_2019_Human	Cushing syndrome	9/155	2.614478e-06	9.036002e-06	0	0	8.614398e+00	1.107333e+02	GSK3B;APC;LEF1;AXIN1;WDR5;CTNNB1;BRAF;AXIN2;EGFR
KEGG_2019_Human	Viral carcinogenesis	10/201	2.901215e-06	9.854128e-06	0	0	7.351907e+00	9.373962e+01	PKM;PIK3CA;BAD;SRC;MDM2;CDK1;ACTN4;PIK3R1;HRAS;HDAC6
KEGG_2019_Human	Cell cycle	8/124	4.385145e-06	1.464192e-05	0	0	9.584264e+00	1.182438e+02	GSK3B;SMAD4;FZR1;MCM7;MDM2;CDK1;SFN;MCM2
KEGG_2019_Human	Osteoclast differentiation	8/127	5.238914e-06	1.720110e-05	0	0	9.341224e+00	1.135836e+02	IKBKB;CHUK;PIK3CA;TRAF6;AKT1;PIK3R1;SQSTM1;TGFBR1
KEGG_2019_Human	Long-term depression	6/60	5.772115e-06	1.858422e-05	0	0	1.527469e+01	1.842505e+02	PRKCG;ARAF;PRKCA;BRAF;HRAS;IGF1R
KEGG_2019_Human	Influenza A	9/171	5.848841e-06	1.858422e-05	0	0	7.757289e+00	9.346965e+01	MAP2K3;IKBKB;GSK3B;XPO1;PIK3CA;AKT1;PRKCA;NUP98;PIK3R1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	6.216023e-06	1.943740e-05	0	0	6.712577e+00	8.047292e+01	IKBKB;SMAD4;XPO1;PIK3CA;CHUK;AKT1;PIK3R1;HRAS;TGFBR1;BCL2L1
KEGG_2019_Human	Small cell lung cancer	7/93	6.408848e-06	1.972723e-05	0	0	1.124963e+01	1.345212e+02	IKBKB;CHUK;PIK3CA;TRAF6;AKT1;PIK3R1;BCL2L1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	8/131	6.592898e-06	1.998155e-05	0	0	9.035612e+00	1.077905e+02	PRKCG;PIK3CA;ARAF;PRKCA;BRAF;PTPN11;PIK3R1;HRAS
KEGG_2019_Human	Basal cell carcinoma	6/63	7.690334e-06	2.295448e-05	0	0	1.446857e+01	1.703753e+02	GSK3B;APC;LEF1;AXIN1;CTNNB1;AXIN2
KEGG_2019_Human	Aldosterone-regulated sodium reabsorption	5/37	7.971982e-06	2.344001e-05	0	0	2.135560e+01	2.507058e+02	PRKCG;PIK3CA;SFN;PRKCA;PIK3R1
KEGG_2019_Human	Estrogen signaling pathway	8/137	9.172264e-06	2.607743e-05	0	0	8.612731e+00	9.990187e+01	PIK3CA;SRC;NOS3;AKT1;PIK3R1;HRAS;EGFR;FKBP5
KEGG_2019_Human	Mitophagy	6/65	9.234404e-06	2.607743e-05	0	0	1.397669e+01	1.620259e+02	CSNK2A1;SRC;CSNK2B;HRAS;SQSTM1;BCL2L1
KEGG_2019_Human	Axon guidance	9/181	9.266091e-06	2.607743e-05	0	0	7.302573e+00	8.463061e+01	GSK3B;PIK3CA;SRC;ILK;PRKCA;PTPN11;PIK3R1;HRAS;EPHA2
KEGG_2019_Human	T cell receptor signaling pathway	7/101	1.106861e-05	3.071150e-05	0	0	1.028805e+01	1.174011e+02	IKBKB;GSK3B;CHUK;PIK3CA;AKT1;PIK3R1;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	1.153553e-05	3.156250e-05	0	0	7.094483e+00	8.066482e+01	IKBKB;GSK3B;PIK3CA;CHUK;SRC;AKT1;CTNNB1;PIK3R1;HRAS
KEGG_2019_Human	Longevity regulating pathway	7/102	1.181026e-05	3.187151e-05	0	0	1.017924e+01	1.154992e+02	PIK3CA;AKT1;TSC1;PIK3R1;HRAS;CRYAB;IGF1R
KEGG_2019_Human	Fc epsilon RI signaling pathway	6/68	1.201271e-05	3.197979e-05	0	0	1.329839e+01	1.506647e+02	MAP2K3;PIK3CA;AKT1;PRKCA;PIK3R1;HRAS
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	1.259259e-05	3.307654e-05	0	0	1.007270e+01	1.136442e+02	IKBKB;CHUK;PIK3CA;TRAF6;AKT1;PIK3R1;TGFBR1
KEGG_2019_Human	Toll-like receptor signaling pathway	7/104	1.341735e-05	3.477918e-05	0	0	9.968351e+00	1.118346e+02	MAP2K3;IKBKB;CHUK;PIK3CA;TRAF6;AKT1;PIK3R1
KEGG_2019_Human	Prolactin signaling pathway	6/70	1.421414e-05	3.636605e-05	0	0	1.288151e+01	1.437741e+02	GSK3B;PIK3CA;SRC;AKT1;PIK3R1;HRAS
KEGG_2019_Human	Endocytosis	10/244	1.596802e-05	4.021575e-05	0	0	5.987790e+00	6.613468e+01	SRC;TRAF6;MDM2;CLTA;AP2B1;HRAS;EGFR;AP2M1;TGFBR1;IGF1R
KEGG_2019_Human	Phospholipase D signaling pathway	8/148	1.612713e-05	4.021575e-05	0	0	7.931590e+00	8.752515e+01	PIK3CA;AKT1;TSC1;PRKCA;PTPN11;PIK3R1;HRAS;EGFR
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	8/149	1.693518e-05	4.170288e-05	0	0	7.874938e+00	8.651499e+01	IKBKB;GSK3B;PIK3CA;COX4I1;UQCRC1;AKT1;PIK3R1;NDUFV2
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	1.959448e-05	4.765572e-05	0	0	1.212132e+01	1.313983e+02	PIK3CA;SRC;ILK;CLTA;CTNNB1;PIK3R1
KEGG_2019_Human	Toxoplasmosis	7/113	2.306098e-05	5.540259e-05	0	0	9.117826e+00	9.735438e+01	MAP2K3;IKBKB;CHUK;BAD;TRAF6;AKT1;BCL2L1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	5/48	2.930606e-05	6.955776e-05	0	0	1.588372e+01	1.657898e+02	PRKCG;CLTA;PRKCA;AP2B1;AP2M1
KEGG_2019_Human	JAK-STAT signaling pathway	8/162	3.094943e-05	7.258379e-05	0	0	7.205414e+00	7.481494e+01	PIK3CA;AKT1;PTPN11;PIK3R1;HRAS;EGFR;GFAP;BCL2L1
KEGG_2019_Human	Sphingolipid signaling pathway	7/119	3.222103e-05	7.467697e-05	0	0	8.626748e+00	8.922552e+01	PRKCG;PIK3CA;NOS3;AKT1;PRKCA;PIK3R1;HRAS
KEGG_2019_Human	AMPK signaling pathway	7/120	3.400441e-05	7.789382e-05	0	0	8.549972e+00	8.797084e+01	PIK3CA;AKT1;TSC1;PIK3R1;FBP1;CFTR;IGF1R
KEGG_2019_Human	Gap junction	6/88	5.259341e-05	1.190908e-04	0	0	1.004472e+01	9.896977e+01	PRKCG;SRC;CDK1;PRKCA;HRAS;EGFR
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	6/91	6.350739e-05	1.421699e-04	0	0	9.688725e+00	9.363528e+01	PRKCG;MARCKS;PIK3CA;AKT1;PRKCA;PIK3R1
KEGG_2019_Human	NF-kappa B signaling pathway	6/95	8.079546e-05	1.788394e-04	0	0	9.251404e+00	8.718144e+01	IKBKB;CSNK2A1;CHUK;TRAF6;CSNK2B;BCL2L1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	6/100	1.074678e-04	2.352351e-04	0	0	8.757092e+00	8.002511e+01	PRKCG;MAP2K3;PIK3CA;SRC;PRKCA;PIK3R1
KEGG_2019_Human	Melanogenesis	6/101	1.135562e-04	2.458304e-04	0	0	8.664474e+00	7.870126e+01	PRKCG;GSK3B;LEF1;CTNNB1;PRKCA;HRAS
KEGG_2019_Human	Epstein-Barr virus infection	8/201	1.408063e-04	3.015092e-04	0	0	5.738014e+00	5.088542e+01	MAP2K3;IKBKB;PIK3CA;CHUK;TRAF6;MDM2;AKT1;PIK3R1
KEGG_2019_Human	Long-term potentiation	5/67	1.474333e-04	3.123049e-04	0	0	1.100556e+01	9.709255e+01	PRKCG;ARAF;PRKCA;BRAF;HRAS
