Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	33/530	5.450929e-23	1.052029e-20	0	0	1.286137e+01	6.593209e+02	CDKN1A;NOTCH1;HSP90AB1;CTBP2;ROCK2;CTBP1;ARAF;KEAP1;PIK3R1;HIF1A;HSP90B1;RPS6KA5;MYC;AKT1;EP300;SKP2;SMAD4;MAP2K1;CDKN2B;BAD;STAT1;STAT2;PRKCA;BRAF;NFKB1;TGFBR1;MTOR;AR;CCNE2;RPS6KB1;CDK2;RPS6KB2;CTNNB1
KEGG_2019_Human	Prostate cancer	17/97	8.183688e-20	7.897259e-18	0	0	3.624774e+01	1.593072e+03	MAP2K1;CDKN1A;HSP90AB1;BAD;ARAF;BRAF;PIK3R1;NFKB1;MTOR;HSP90B1;AR;CCNE2;CDK2;AKT1;EP300;CTNNB1;ERG
KEGG_2019_Human	FoxO signaling pathway	17/132	1.919636e-17	1.234966e-15	0	0	2.517121e+01	9.688856e+02	MAP2K1;SMAD4;CDKN1A;CDKN2B;PLK1;ARAF;BRAF;PIK3R1;TGFBR1;KLF2;CCNB1;BCL6;CDK2;AKT1;EP300;SKP2;PCK2
KEGG_2019_Human	Hepatitis B	18/163	3.432533e-17	1.656197e-15	0	0	2.128912e+01	8.070842e+02	SMAD4;MAP2K1;CDKN1A;BAD;STAT1;SRC;STAT2;ARAF;PRKCA;BRAF;PIK3R1;NFKB1;TGFBR1;CCNE2;MYC;CDK2;AKT1;EP300
KEGG_2019_Human	Hepatocellular carcinoma	18/168	5.928542e-17	2.098075e-15	0	0	2.057426e+01	7.687401e+02	SMAD4;MAP2K1;CDKN1A;BAD;ARAF;KEAP1;PRKCA;BRAF;PIK3R1;SMARCA2;ACTB;TGFBR1;MTOR;RPS6KB1;MYC;RPS6KB2;AKT1;CTNNB1
KEGG_2019_Human	Pancreatic cancer	14/75	6.522512e-17	2.098075e-15	0	0	3.819865e+01	1.423614e+03	CDKN1A;MAP2K1;SMAD4;BAD;STAT1;ARAF;BRAF;PIK3R1;TGFBR1;NFKB1;MTOR;RPS6KB1;RPS6KB2;AKT1
KEGG_2019_Human	ErbB signaling pathway	14/85	4.180605e-16	1.152653e-14	0	0	3.280199e+01	1.161548e+03	CDKN1A;MAP2K1;SRC;BAD;ARAF;PRKCA;BRAF;PIK3R1;MTOR;RPS6KB1;MYC;RPS6KB2;AKT1;PAK2
KEGG_2019_Human	Colorectal cancer	14/86	4.965738e-16	1.197984e-14	0	0	3.234477e+01	1.139791e+03	CDKN1A;MAP2K1;SMAD4;BAD;ARAF;BRAF;PIK3R1;TGFBR1;MTOR;RPS6KB1;MYC;RPS6KB2;AKT1;CTNNB1
KEGG_2019_Human	Proteoglycans in cancer	18/201	1.464155e-15	3.139800e-14	0	0	1.683592e+01	5.750730e+02	MAP2K1;DDX5;CDKN1A;ROCK2;SRC;ARAF;PRKCA;BRAF;PIK3R1;HIF1A;ACTB;MTOR;CTTN;RPS6KB1;MYC;RPS6KB2;AKT1;CTNNB1
KEGG_2019_Human	Chronic myeloid leukemia	13/76	2.923669e-15	5.642681e-14	0	0	3.405450e+01	1.139666e+03	CDKN1A;MAP2K1;SMAD4;CTBP2;CTBP1;BAD;ARAF;BRAF;PIK3R1;TGFBR1;NFKB1;MYC;AKT1
