Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	23/295	7.627215e-18	1.388153e-15	0	0	1.427951e+01	5.628240e+02	MAP2K3;HSPA8;MAP2K1;MAP3K1;MAP2K2;HSPA6;ARAF;HSPB1;PRKCA;BRAF;ARRB1;MAPK14;IGF1R;RAP1B;RPS6KA2;MAPK1;KRAS;RAF1;MAP2K7;PAK2;HSPA1A;MAP2K6;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	15/99	2.580862e-16	2.348585e-14	0	0	2.848070e+01	1.022265e+03	MAP2K1;HSP90AB1;ARAF;BRAF;MAPK14;IGF1R;AURKA;GNAI2;RPS6KA2;CDC16;MAPK1;KRAS;RAF1;BUB1;MAPK3
KEGG_2019_Human	Long-term depression	12/60	8.244417e-15	5.001613e-13	0	0	3.900197e+01	1.264804e+03	PPP2CB;MAP2K1;MAP2K2;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;IGF1R;GNAI2;MAPK3
KEGG_2019_Human	Hepatitis B	16/163	2.863222e-14	1.234212e-12	0	0	1.744505e+01	5.440108e+02	MAP2K3;SMAD4;MAP2K1;MAP3K1;MAP2K2;BAD;ARAF;PRKCA;BRAF;MAPK14;MAPK1;KRAS;RAF1;MAP2K7;MAP2K6;MAPK3
KEGG_2019_Human	Long-term potentiation	12/67	3.390692e-14	1.234212e-12	0	0	3.402606e+01	1.055323e+03	RAP1B;MAP2K1;MAP2K2;RPS6KA2;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;MAPK3;PPP1CA
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	1.000331e-13	3.034338e-12	0	0	2.107307e+01	6.307859e+02	YWHAE;MAP2K1;MAP2K2;MAP3K1;BAD;BRAF;MAPK14;RAP1B;RPS6KA2;MAPK1;KRAS;RAF1;MAP2K7;MAPK3
KEGG_2019_Human	VEGF signaling pathway	11/59	2.574734e-13	6.694309e-12	0	0	3.547249e+01	1.028272e+03	MAP2K1;MAP2K2;BAD;PXN;HSPB1;MAPK1;PRKCA;KRAS;RAF1;MAPK14;MAPK3
KEGG_2019_Human	ErbB signaling pathway	12/85	6.691543e-13	1.522326e-11	0	0	2.561277e+01	7.179967e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;MAP2K7;PAK2;MAPK3
KEGG_2019_Human	Influenza A	15/171	9.993636e-13	2.020935e-11	0	0	1.527993e+01	4.222098e+02	MAP2K3;HSPA8;MAP2K1;MAP2K2;HSPA6;PRKCA;MAPK14;XPO1;MAPK1;RAF1;MAP2K7;HSPA1A;MAP2K6;SLC25A6;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	11/68	1.337628e-12	2.434483e-11	0	0	2.985800e+01	8.163215e+02	MAP2K3;MAP2K1;MAP2K2;MAPK1;PRKCA;KRAS;RAF1;MAP2K7;MAPK14;MAPK3;MAP2K6
KEGG_2019_Human	Renal cell carcinoma	11/69	1.581980e-12	2.617458e-11	0	0	2.934173e+01	7.972836e+02	RAP1B;MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;PAK2;MAPK3
KEGG_2019_Human	GnRH signaling pathway	12/93	2.021327e-12	3.065680e-11	0	0	2.307378e+01	6.213139e+02	MAP2K3;MAP2K1;MAP2K2;MAP3K1;MAPK1;PRKCA;KRAS;RAF1;MAP2K7;MAPK14;MAPK3;MAP2K6
KEGG_2019_Human	Prostate cancer	12/97	3.378465e-12	4.729851e-11	0	0	2.198351e+01	5.806637e+02	MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;IGF1R;HSP90B1;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	11/76	4.767287e-12	6.197473e-11	0	0	2.617260e+01	6.822998e+02	BCR;MAP2K1;SMAD4;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.043421e-11	1.266018e-10	0	0	1.279592e+01	3.235566e+02	MAP2K1;MAP2K2;PXN;ARAF;PRKCA;BRAF;IQGAP1;MAPK14;PPP1CA;IGF1R;MAPK1;NANOG;KRAS;RAF1;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	15/212	2.238352e-11	2.546125e-10	0	0	1.207467e+01	2.961034e+02	MAP2K3;MAP2K1;MAP2K2;BAD;PXN;PRKCA;MAPK14;GNAI2;MAPK1;KRAS;RAF1;MAP2K7;PAK2;MAP2K6;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	10/66	2.870430e-11	2.902324e-10	0	0	2.741556e+01	6.654846e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;PPARD;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	10/66	2.870430e-11	2.902324e-10	0	0	2.741556e+01	6.654846e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;MAPK3
KEGG_2019_Human	Hepatitis C	13/155	6.150734e-11	5.891755e-10	0	0	1.432746e+01	3.368654e+02	YWHAE;MAP2K1;MAP2K2;BAD;ARAF;BRAF;PPP2CB;PPP2R2B;MAPK1;KRAS;RAF1;YWHAH;MAPK3
KEGG_2019_Human	Melanoma	10/72	7.042425e-11	6.136239e-10	0	0	2.475494e+01	5.786834e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;IGF1R;MAPK3
KEGG_2019_Human	Oocyte meiosis	12/125	7.080276e-11	6.136239e-10	0	0	1.651286e+01	3.859240e+02	YWHAE;PPP2CB;MAP2K1;RPS6KA2;CDC16;MAPK1;BUB1;IGF1R;YWHAH;AURKA;MAPK3;PPP1CA
KEGG_2019_Human	Autophagy	12/128	9.369234e-11	7.750912e-10	0	0	1.608336e+01	3.713808e+02	PPP2CB;STK11;MAP2K1;MAP2K2;BAD;MAPK1;KRAS;RAF1;ATG7;IGF1R;CTSB;MAPK3
KEGG_2019_Human	Glioma	10/75	1.069657e-10	8.111566e-10	0	0	2.360883e+01	5.420235e+02	MAP2K1;MAP2K2;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;IGF1R;MAPK3
