Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	24/295	1.190142e-19	2.320776e-17	0	0	1.622071e+01	7.068183e+02	MAP2K3;MAP4K1;HSPA8;MAP2K1;TGFB1;MAP3K1;MAP2K2;ARAF;HSPB1;PRKCA;TRAF2;BRAF;NFKB2;IGF1R;RAP1A;RPS6KA2;MAPK1;KRAS;RAF1;PAK2;HRAS;HSPA1A;MAP2K6;MAPK3
KEGG_2019_Human	Prostate cancer	16/97	2.268077e-18	2.211375e-16	0	0	3.398905e+01	1.380894e+03	MAP2K1;HSP90AA1;MAP2K2;HSP90AB1;ARAF;BRAF;IGF1R;HSP90B1;NFKBIA;CCNE2;MDM2;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	28/530	7.792026e-18	5.064817e-16	0	0	1.048768e+01	4.131457e+02	HSP90AB1;ARAF;HIF1A;HSP90B1;IGF1R;GNAI2;RASSF1;DVL1;MAPK1;HRAS;MAPK3;MAP2K1;HSP90AA1;TGFB1;MAP2K2;JAG1;NCOA3;PRKCA;TRAF2;BRAF;PML;NFKB2;NFKBIA;CCNE2;MDM2;CCDC6;KRAS;RAF1
KEGG_2019_Human	Cellular senescence	18/160	1.855077e-17	9.043498e-16	0	0	2.212925e+01	8.525521e+02	MAP2K3;MAP2K1;TGFB1;MAP2K2;IGFBP3;FOXM1;HIPK2;PPP1CA;RAD50;CCNE2;MDM2;MAPK1;KRAS;RAF1;SQSTM1;HRAS;MAP2K6;MAPK3
KEGG_2019_Human	Long-term depression	13/60	8.836703e-17	3.446314e-15	0	0	4.646340e+01	1.717521e+03	MAP2K1;MAP2K2;ARAF;PRKCA;BRAF;IGF1R;GNAI2;PPP2CB;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Long-term potentiation	13/67	4.175517e-16	1.357043e-14	0	0	4.042608e+01	1.431573e+03	MAP2K1;MAP2K2;ARAF;PRKCA;BRAF;PPP1CA;RAP1A;RPS6KA2;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Renal cell carcinoma	13/69	6.291352e-16	1.659829e-14	0	0	3.897836e+01	1.364328e+03	MAP2K1;MAP2K2;TGFB1;ARAF;BRAF;HIF1A;RAP1A;MAPK1;KRAS;RAF1;HRAS;PAK2;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	16/137	6.809555e-16	1.659829e-14	0	0	2.270701e+01	7.929976e+02	HSPA8;MAP2K1;HSP90AA1;MAP2K2;HSP90AB1;SHC1;NCOA3;HSP90B1;GNAI2;MAPK1;KRAS;RAF1;HRAS;HSPA1A;FKBP5;MAPK3
KEGG_2019_Human	Bladder cancer	11/41	1.659219e-15	3.594975e-14	0	0	6.061917e+01	2.063017e+03	RASSF1;MAP2K1;MAP2K2;ARAF;MDM2;MAPK1;BRAF;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Glioma	13/75	1.993875e-15	3.888057e-14	0	0	3.519560e+01	1.191325e+03	MAP2K1;MAP2K2;SHC1;ARAF;PRKCA;BRAF;IGF1R;MDM2;MAPK1;KRAS;RAF1;HRAS;MAPK3
