Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	24/295	6.373873e-17	1.236531e-14	0	0	1.186413e+01	4.424339e+02	MAP2K3;PDGFRA;HSPA8;MAP3K1;ARAF;HSPB1;PRKCA;TRAF2;BRAF;FGF2;EGFR;IGF1R;RAP1B;ERBB3;ERBB4;MYC;ERBB2;KRAS;RAF1;MAP2K7;PAK2;FGFR3;FGFR2;HSPA1A
KEGG_2019_Human	ErbB signaling pathway	15/85	5.011924e-16	4.861566e-14	0	0	2.731797e+01	9.623996e+02	ARAF;CBLB;PRKCA;BRAF;CBL;EGFR;ERBB3;ERBB4;MYC;ERBB2;KRAS;RAF1;MAP2K7;PAK2;HBEGF
KEGG_2019_Human	Proteoglycans in cancer	19/201	8.552703e-15	5.530748e-13	0	0	1.358387e+01	4.400160e+02	SDC4;SDC2;ARAF;PRKCA;BRAF;IQGAP1;CBL;HSPG2;FGF2;EGFR;PPP1CA;IGF1R;ERBB3;ERBB4;MYC;ERBB2;KRAS;RAF1;HBEGF
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	3.485524e-13	1.690479e-11	0	0	8.729974e+00	2.504192e+02	YWHAE;PDGFRA;HSP90AB1;PRKCA;FGF2;EGFR;HSP90B1;IGF1R;RPTOR;PPP2CB;STK11;ERBB3;ERBB4;MYC;CDC37;ERBB2;THEM4;KRAS;RAF1;FGFR3;FGFR2;YWHAH
KEGG_2019_Human	Bladder cancer	10/41	1.346462e-12	5.224272e-11	0	0	3.991734e+01	1.091082e+03	RASSF1;MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;FGFR3;EGFR;HBEGF
KEGG_2019_Human	Endocytosis	17/244	3.259610e-11	1.053941e-09	0	0	9.595203e+00	2.316937e+02	PDGFRA;HSPA8;CBLB;EPS15L1;AP2B1;CBL;EGFR;IGF2R;EPN1;IGF1R;EPN2;UBB;FGFR3;FGFR2;AP2M1;HSPA1A;ARF6
KEGG_2019_Human	Central carbon metabolism in cancer	10/65	1.804770e-10	5.001792e-09	0	0	2.247159e+01	5.041595e+02	PDGFRA;MYC;PGAM1;ERBB2;SLC2A1;KRAS;RAF1;FGFR3;EGFR;FGFR2
KEGG_2019_Human	Prostate cancer	11/97	6.392198e-10	1.550108e-08	0	0	1.588299e+01	3.362552e+02	PDGFRA;HSP90AB1;ERBB2;ARAF;BRAF;KRAS;RAF1;FGFR2;EGFR;IGF1R;HSP90B1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	13/165	1.653920e-09	3.565116e-08	0	0	1.071966e+01	2.167528e+02	HSPA8;HSP90AB1;HSPA5;FBXO2;TRAF2;HSP90B1;DNAJA1;DNAJB11;FBXO6;CALR;MAP2K7;CRYAB;HSPA1A
KEGG_2019_Human	Insulin signaling pathway	12/137	2.134142e-09	4.140236e-08	0	0	1.197266e+01	2.390365e+02	RPTOR;SOCS3;SOCS1;ARAF;FLOT1;CBLB;BRAF;KRAS;RAF1;CBL;FBP1;PPP1CA
KEGG_2019_Human	Rap1 signaling pathway	13/206	2.420252e-08	4.268445e-07	0	0	8.424837e+00	1.477448e+02	MAP2K3;PDGFRA;PRKCA;BRAF;FGF2;EGFR;IGF1R;GNAI2;RAP1B;KRAS;RAF1;FGFR3;FGFR2
KEGG_2019_Human	Pathways in cancer	20/530	2.678029e-08	4.329480e-07	0	0	5.050980e+00	8.806687e+01	PDGFRA;HSP90AB1;ARAF;SLC2A1;PRKCA;TRAF2;BRAF;CBL;FGF2;EGFR;HSP90B1;IGF1R;GNAI2;RASSF1;MYC;ERBB2;KRAS;RAF1;FGFR3;FGFR2
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	3.801124e-08	5.622342e-07	0	0	8.086225e+00	1.381563e+02	PDGFRA;ARAF;BRAF;IQGAP1;FGF2;IQGAP3;EGFR;PPP1CA;KRAS;RAF1;PAK2;FGFR3;FGFR2
KEGG_2019_Human	Long-term depression	8/60	4.057360e-08	5.622342e-07	0	0	1.878253e+01	3.196814e+02	PPP2CB;ARAF;PRKCA;BRAF;KRAS;RAF1;IGF1R;GNAI2
KEGG_2019_Human	Non-small cell lung cancer	8/66	8.722451e-08	1.102344e-06	0	0	1.683440e+01	2.736394e+02	RASSF1;ERBB2;ARAF;PRKCA;BRAF;KRAS;RAF1;EGFR
KEGG_2019_Human	Hepatitis C	11/155	9.091500e-08	1.102344e-06	0	0	9.457809e+00	1.533427e+02	YWHAE;SOCS3;PPP2CB;MYC;ARAF;BRAF;TRAF2;KRAS;RAF1;EGFR;YWHAH
KEGG_2019_Human	Ras signaling pathway	13/232	9.803018e-08	1.118697e-06	0	0	7.414798e+00	1.196599e+02	PDGFRA;PRKCA;FGF2;EGFR;IGF1R;RAP1B;RASSF1;KRAS;RAF1;PAK2;FGFR3;FGFR2;ARF6
KEGG_2019_Human	Melanoma	8/72	1.740761e-07	1.876153e-06	0	0	1.525154e+01	2.373716e+02	PDGFRA;ARAF;BRAF;KRAS;RAF1;FGF2;EGFR;IGF1R
KEGG_2019_Human	Glioma	8/75	2.401247e-07	2.451800e-06	0	0	1.456643e+01	2.220230e+02	PDGFRA;ARAF;PRKCA;BRAF;KRAS;RAF1;EGFR;IGF1R
KEGG_2019_Human	Estrogen signaling pathway	10/137	2.735271e-07	2.623298e-06	0	0	9.696358e+00	1.465301e+02	HSPA8;HSP90AB1;KRAS;RAF1;EGFR;FKBP5;HSP90B1;HBEGF;GNAI2;HSPA1A
KEGG_2019_Human	MicroRNAs in cancer	14/299	2.839653e-07	2.623298e-06	0	0	6.154521e+00	9.277580e+01	PDGFRA;PRKCA;EGFR;RPTOR;MARCKS;RASSF1;SOCS1;ERBB3;MYC;ERBB2;SPRY2;KRAS;RAF1;FGFR3
KEGG_2019_Human	Endometrial cancer	7/58	5.913049e-07	5.214234e-06	0	0	1.665500e+01	2.388482e+02	MYC;ERBB2;ARAF;BRAF;KRAS;RAF1;EGFR
KEGG_2019_Human	GnRH signaling pathway	8/93	1.273311e-06	1.074010e-05	0	0	1.147131e+01	1.557104e+02	MAP2K3;MAP3K1;PRKCA;KRAS;RAF1;MAP2K7;EGFR;HBEGF
