Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	22/295	2.290682e-18	4.375203e-16	0	0	1.663466e+01	6.756615e+02	MAP2K3;NTRK1;ATF2;HSPA8;MAP2K1;MAP3K1;MAP2K2;HSPA6;ARAF;HSPB1;BRAF;MAPK14;IGF1R;MYC;MAPK1;KRAS;MAP2K7;TP53;PAK2;CRK;HSPA1A;MAP2K6
KEGG_2019_Human	Chronic myeloid leukemia	13/76	5.312943e-16	5.073861e-14	0	0	3.932540e+01	1.383122e+03	MAP2K1;HDAC2;MAP2K2;BAD;ARAF;BRAF;RUNX1;MYC;MDM2;MAPK1;KRAS;TP53;CRK
KEGG_2019_Human	Hepatitis B	16/163	1.775330e-15	1.130293e-13	0	0	2.126867e+01	7.223860e+02	MAP2K3;ATF2;MAP2K1;MAP3K1;MAP2K2;BAD;ARAF;BRAF;MAPK14;MYC;CDK2;MAPK1;KRAS;MAP2K7;TP53;MAP2K6
KEGG_2019_Human	Prostate cancer	13/97	1.464568e-14	6.993313e-13	0	0	2.946280e+01	9.385265e+02	GSK3B;MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;BRAF;IGF1R;CDK2;MDM2;MAPK1;KRAS;TP53
KEGG_2019_Human	ErbB signaling pathway	12/85	8.291425e-14	3.167324e-12	0	0	3.101370e+01	9.341627e+02	GSK3B;MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS;MAP2K7;CRK;PAK2
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	2.205659e-13	7.021349e-12	0	0	2.332193e+01	6.796613e+02	NTRK1;GSK3B;MAP2K1;MAP3K1;MAP2K2;BAD;BRAF;MAPK14;MAPK1;KRAS;MAP2K7;TP53;CRK
KEGG_2019_Human	Endometrial cancer	10/58	1.307472e-12	3.302560e-11	0	0	3.861955e+01	1.056744e+03	GSK3B;MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS;TP53
KEGG_2019_Human	Estrogen signaling pathway	13/137	1.383271e-12	3.302560e-11	0	0	1.991835e+01	5.439017e+02	ATF2;HSPA8;MAP2K1;MAP2K2;HSP90AB1;HSPA6;ESR1;ESR2;GNAS;MAPK1;KRAS;HSPA1A;FKBP5
KEGG_2019_Human	Bladder cancer	9/41	1.757140e-12	3.729041e-11	0	0	5.169531e+01	1.399254e+03	MAP2K1;MAP2K2;MYC;ARAF;MDM2;MAPK1;BRAF;KRAS;TP53
KEGG_2019_Human	Breast cancer	13/147	3.431339e-12	6.553858e-11	0	0	1.842257e+01	4.863204e+02	GSK3B;MAP2K1;MAP2K2;ARAF;BRAF;BRCA1;ESR1;ESR2;IGF1R;MYC;MAPK1;KRAS;TP53
KEGG_2019_Human	Pathways in cancer	21/530	3.856940e-12	6.697051e-11	0	0	8.326252e+00	2.188235e+02	NTRK1;GSK3B;MAP2K1;HDAC2;MAP2K2;HSP90AB1;BAD;ARAF;BRAF;ESR1;ESR2;RUNX1;IGF1R;MYC;CDK2;GNAS;MDM2;MAPK1;KRAS;TP53;CRK
KEGG_2019_Human	Hepatitis C	13/155	6.766691e-12	1.077032e-10	0	0	1.737764e+01	4.469357e+02	GSK3B;MAP2K1;MAP2K2;BAD;CD81;ARAF;BRAF;MYC;CDK2;MAPK1;KRAS;TP53;YWHAG
KEGG_2019_Human	Melanoma	10/72	1.254955e-11	1.722009e-10	0	0	2.987790e+01	7.499753e+02	MAP2K1;MAP2K2;BAD;ARAF;MDM2;MAPK1;BRAF;KRAS;TP53;IGF1R
KEGG_2019_Human	Proteoglycans in cancer	14/201	1.262206e-11	1.722009e-10	0	0	1.431618e+01	3.592728e+02	MAP2K1;MAP2K2;ARAF;BRAF;IQGAP1;MAPK14;ESR1;IGF1R;MYC;MDM2;MAPK1;NANOG;KRAS;TP53
KEGG_2019_Human	Influenza A	13/171	2.359548e-11	3.004491e-10	0	0	1.560522e+01	3.818592e+02	MAP2K3;ATF2;HSPA8;GSK3B;MAP2K1;MAP2K2;HSPA6;MAPK14;TRIM25;MAPK1;MAP2K7;HSPA1A;MAP2K6
KEGG_2019_Human	PI3K-Akt signaling pathway	17/354	2.688399e-11	3.209276e-10	0	0	9.860000e+00	2.399874e+02	NTRK1;ATF2;GSK3B;MAP2K1;MAP2K2;HSP90AB1;BAD;BRCA1;IGF1R;MYC;CDC37;CDK2;MDM2;MAPK1;KRAS;TP53;YWHAG
KEGG_2019_Human	Thyroid cancer	8/37	3.605881e-11	4.051313e-10	0	0	5.024739e+01	1.208242e+03	NTRK1;MAP2K1;MAP2K2;MYC;MAPK1;BRAF;KRAS;TP53
KEGG_2019_Human	Colorectal cancer	10/86	7.740274e-11	8.028693e-10	0	0	2.435686e+01	5.670764e+02	GSK3B;MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS;TP53
