Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	39/530	3.733797e-31	7.280904e-29	0	0	1.790309e+01	1.254339e+03	GSK3B;FH;HDAC2;HSP90AB1;FLT4;ARAF;PIK3R1;EGFR;HSP90B1;IGF1R;RASSF1;MYC;ERBB2;CTNNA1;AKT1;IKBKG;HRAS;PRKCG;SMAD4;HSP90AA1;CDKN2B;MAP2K2;JUP;EGF;BAD;CDKN2A;HGF;FN1;PRKCA;BRAF;TGFBR1;BCR;CDK6;CDK4;CTNNB1;KRAS;RAF1;TP53;MET
KEGG_2019_Human	Proteoglycans in cancer	28/201	4.615212e-30	4.499831e-28	0	0	3.287385e+01	2.220569e+03	SDC2;PXN;ARAF;PIK3R1;IQGAP1;EGFR;IGF1R;ERBB3;ERBB4;MYC;ERBB2;AKT1;HRAS;PRKCG;MAP2K2;HGF;FN1;PRKCA;BRAF;PPP1CA;SDC1;CTNNB1;KRAS;RAF1;EZR;TP53;MET;CD44
KEGG_2019_Human	Non-small cell lung cancer	19/66	4.302907e-27	2.796889e-25	0	0	7.561863e+01	4.590845e+03	PRKCG;MAP2K2;EGF;BAD;CDKN2A;ARAF;PRKCA;BRAF;PIK3R1;EGFR;RASSF1;CDK6;CDK4;ERBB2;AKT1;KRAS;RAF1;HRAS;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	31/354	6.117221e-27	2.982145e-25	0	0	1.996285e+01	1.204931e+03	YWHAE;GSK3B;HSP90AB1;FLT4;PIK3R1;EGFR;HSP90B1;IGF1R;ERBB3;PPP2R1A;ERBB4;MYC;ERBB2;AKT1;IKBKG;HRAS;YWHAG;HSP90AA1;MAP2K2;EGF;BAD;HGF;FN1;PRKCA;CDK6;CDK4;CDC37;KRAS;RAF1;TP53;MET
KEGG_2019_Human	Hepatocellular carcinoma	24/168	4.377977e-26	1.707411e-24	0	0	3.255941e+01	1.901164e+03	PRKCG;GSK3B;SMAD4;MAP2K2;BAD;CDKN2A;HGF;ARAF;PRKCA;BRAF;PIK3R1;EGFR;TGFBR1;IGF1R;CDK6;CDK4;MYC;AKT1;CTNNB1;KRAS;RAF1;TP53;MET;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	19/76	9.043346e-26	2.939087e-24	0	0	6.232075e+01	3.593738e+03	HDAC2;SMAD4;MAP2K2;BAD;CDKN2A;ARAF;BRAF;PIK3R1;TGFBR1;BCR;CDK6;CDK4;MYC;AKT1;KRAS;IKBKG;RAF1;HRAS;TP53
KEGG_2019_Human	Prostate cancer	20/97	3.095531e-25	8.623265e-24	0	0	4.897464e+01	2.763868e+03	GSK3B;HSP90AA1;MAP2K2;HSP90AB1;EGF;BAD;ARAF;BRAF;PIK3R1;EGFR;IGF1R;HSP90B1;ERBB2;AKT1;CTNNB1;KRAS;IKBKG;RAF1;TP53;HRAS
KEGG_2019_Human	ErbB signaling pathway	19/85	9.612595e-25	2.343070e-23	0	0	5.379803e+01	2.975114e+03	PRKCG;GSK3B;MAP2K2;EGF;BAD;ARAF;PRKCA;BRAF;PIK3R1;EGFR;ERBB3;ERBB4;MYC;ERBB2;AKT1;KRAS;RAF1;HRAS;PAK2
KEGG_2019_Human	Endometrial cancer	17/58	1.745806e-24	3.616233e-23	0	0	7.614679e+01	4.165597e+03	GSK3B;MAP2K2;EGF;BAD;ARAF;BRAF;PIK3R1;EGFR;MYC;ERBB2;CTNNA1;AKT1;CTNNB1;KRAS;RAF1;HRAS;TP53
KEGG_2019_Human	Melanoma	18/72	1.854478e-24	3.616233e-23	0	0	6.174766e+01	3.374166e+03	MAP2K2;EGF;BAD;CDKN2A;HGF;ARAF;BRAF;PIK3R1;EGFR;IGF1R;CDK6;CDK4;AKT1;KRAS;RAF1;HRAS;TP53;MET
KEGG_2019_Human	Gastric cancer	22/149	2.744788e-24	4.865760e-23	0	0	3.321275e+01	1.801869e+03	GSK3B;SMAD4;CDKN2B;MAP2K2;JUP;EGF;HGF;ARAF;BRAF;PIK3R1;EGFR;TGFBR1;MYC;ERBB2;CTNNA1;AKT1;CTNNB1;KRAS;RAF1;TP53;MET;HRAS
KEGG_2019_Human	MAPK signaling pathway	27/295	5.492443e-24	8.925220e-23	0	0	2.015645e+01	1.079553e+03	FLT4;ARAF;ARRB1;EGFR;IGF1R;ERBB3;ERBB4;MYC;ERBB2;AKT1;IKBKG;PAK2;HRAS;MAP2K5;MAP2K6;PRKCG;MAP2K3;MAP2K2;EGF;HGF;PRKCA;BRAF;TGFBR1;KRAS;RAF1;TP53;MET
KEGG_2019_Human	Hepatitis C	21/155	2.119353e-22	3.125381e-21	0	0	2.974749e+01	1.484571e+03	YWHAE;GSK3B;MAP2K2;EGF;BAD;ARAF;BRAF;PIK3R1;EGFR;CDK6;PPP2R1A;CDK4;MYC;AKT1;CTNNB1;KRAS;IKBKG;RAF1;TP53;HRAS;YWHAG
KEGG_2019_Human	Glioma	17/75	2.404139e-22	3.125381e-21	0	0	5.378177e+01	2.677239e+03	PRKCG;MAP2K2;EGF;CDKN2A;ARAF;PRKCA;BRAF;PIK3R1;EGFR;IGF1R;CDK6;CDK4;AKT1;KRAS;RAF1;HRAS;TP53
KEGG_2019_Human	Pancreatic cancer	17/75	2.404139e-22	3.125381e-21	0	0	5.378177e+01	2.677239e+03	SMAD4;EGF;BAD;CDKN2A;ARAF;BRAF;PIK3R1;TGFBR1;EGFR;CDK6;CDK4;ERBB2;AKT1;KRAS;IKBKG;RAF1;TP53
KEGG_2019_Human	Bladder cancer	14/41	2.003080e-21	2.441254e-20	0	0	9.271672e+01	4.418842e+03	MAP2K2;EGF;CDKN2A;ARAF;BRAF;EGFR;RASSF1;CDK4;MYC;ERBB2;KRAS;RAF1;HRAS;TP53
KEGG_2019_Human	Colorectal cancer	17/86	3.048381e-21	3.496673e-20	0	0	4.518277e+01	2.134419e+03	GSK3B;SMAD4;MAP2K2;EGF;BAD;ARAF;BRAF;PIK3R1;TGFBR1;EGFR;MYC;AKT1;CTNNB1;KRAS;RAF1;HRAS;TP53
