Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	19/134	3.884469e-23	3.845624e-21	0	0	4.302174e+01	2.220028e+03	HSPA8;DDX5;HNRNPA3;ALYREF;HNRNPU;U2AF1;DDX39B;SNRPD2;SNRPD1;U2AF2;SNRNP70;SRSF3;SNRPF;HNRNPC;SNRPD3;SF3B1;RBMX;SRSF9;SNRPB
KEGG_2019_Human	Ribosome	13/153	3.730080e-13	1.846390e-11	0	0	2.238197e+01	6.405087e+02	RPL30;RPL31;RPL22;RPSA;RPL8;RPL6;RPL7;RPS3;RPS20;FAU;RPL15;RPL29;RPL18
KEGG_2019_Human	Systemic lupus erythematosus	6/133	4.133456e-05	1.364040e-03	0	0	1.049881e+01	1.059730e+02	SSB;SNRPD1;H2AFZ;SNRPD3;HIST2H2BE;SNRPB
KEGG_2019_Human	mRNA surveillance pathway	5/91	7.324050e-05	1.812702e-03	0	0	1.280297e+01	1.219068e+02	DDX39B;CPSF1;PABPC4;ALYREF;PABPC1
KEGG_2019_Human	Viral carcinogenesis	6/201	3.955671e-04	7.832229e-03	0	0	6.814175e+00	5.339035e+01	LYN;YWHAE;DDX3X;EIF2AK2;YWHAG;HIST2H2BE
KEGG_2019_Human	Hepatitis C	5/155	8.666993e-04	1.430054e-02	0	0	7.316667e+00	5.158849e+01	YWHAE;ARAF;EIF2AK2;BRAF;YWHAG
KEGG_2019_Human	Progesterone-mediated oocyte maturation	4/99	1.273940e-03	1.801715e-02	0	0	9.165992e+00	6.109721e+01	HSP90AB1;ARAF;BRAF;AURKA
KEGG_2019_Human	Long-term depression	3/60	2.920687e-03	3.614350e-02	0	0	1.135469e+01	6.626525e+01	LYN;ARAF;BRAF
KEGG_2019_Human	Protein export	2/23	5.293080e-03	5.693279e-02	0	0	2.036252e+01	1.067272e+02	HSPA5;SRP14
KEGG_2019_Human	Antigen processing and presentation	3/77	5.891565e-03	5.693279e-02	0	0	8.738690e+00	4.486647e+01	HSPA8;HSP90AB1;HSPA5
KEGG_2019_Human	RNA degradation	3/79	6.325866e-03	5.693279e-02	0	0	8.507866e+00	4.307625e+01	HSPA9;PABPC4;PABPC1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	4/165	7.949543e-03	6.053883e-02	0	0	5.390485e+00	2.606106e+01	HSPA8;HSP90AB1;HSPA5;EIF2AK2
KEGG_2019_Human	RNA transport	4/165	7.949543e-03	6.053883e-02	0	0	5.390485e+00	2.606106e+01	DDX39B;ALYREF;PABPC4;PABPC1
KEGG_2019_Human	Influenza A	4/171	8.987532e-03	6.355469e-02	0	0	5.195236e+00	2.447952e+01	HSPA8;DDX39B;HNRNPUL1;EIF2AK2
KEGG_2019_Human	Alcoholism	4/180	1.070445e-02	6.864800e-02	0	0	4.927323e+00	2.235573e+01	H2AFZ;ARAF;BRAF;HIST2H2BE
KEGG_2019_Human	Prostate cancer	3/97	1.109463e-02	6.864800e-02	0	0	6.872456e+00	3.093495e+01	HSP90AB1;ARAF;BRAF
KEGG_2019_Human	Bladder cancer	2/41	1.623250e-02	9.453042e-02	0	0	1.095451e+01	4.514068e+01	ARAF;BRAF
KEGG_2019_Human	Cell cycle	3/124	2.130021e-02	1.133318e-01	0	0	5.331656e+00	2.052175e+01	YWHAE;RAD21;YWHAG
KEGG_2019_Human	Oocyte meiosis	3/125	2.175055e-02	1.133318e-01	0	0	5.287687e+00	2.024188e+01	YWHAE;YWHAG;AURKA
KEGG_2019_Human	FoxO signaling pathway	3/132	2.504860e-02	1.208587e-01	0	0	4.998989e+00	1.843096e+01	ARAF;BRAF;IL7R
KEGG_2019_Human	PI3K-Akt signaling pathway	5/354	2.684282e-02	1.208587e-01	0	0	3.113021e+00	1.126215e+01	YWHAE;HSP90AB1;CDC37;IL7R;YWHAG
KEGG_2019_Human	Insulin signaling pathway	3/137	2.756036e-02	1.208587e-01	0	0	4.811243e+00	1.727898e+01	ARAF;BRAF;FBP1
KEGG_2019_Human	Measles	3/138	2.807829e-02	1.208587e-01	0	0	4.775362e+00	1.706122e+01	HSPA8;RACK1;EIF2AK2
KEGG_2019_Human	Endometrial cancer	2/58	3.106754e-02	1.281536e-01	0	0	7.622504e+00	2.646222e+01	ARAF;BRAF
KEGG_2019_Human	Acute myeloid leukemia	2/66	3.934639e-02	1.408937e-01	0	0	6.667003e+00	2.157009e+01	ARAF;BRAF
KEGG_2019_Human	Non-small cell lung cancer	2/66	3.934639e-02	1.408937e-01	0	0	6.667003e+00	2.157009e+01	ARAF;BRAF
KEGG_2019_Human	Long-term potentiation	2/67	4.043421e-02	1.408937e-01	0	0	6.564103e+00	2.105816e+01	ARAF;BRAF
KEGG_2019_Human	Necroptosis	3/162	4.204956e-02	1.408937e-01	0	0	4.049631e+00	1.283290e+01	HSP90AB1;H2AFZ;EIF2AK2
KEGG_2019_Human	Renal cell carcinoma	2/69	4.264372e-02	1.408937e-01	0	0	6.367517e+00	2.008872e+01	ARAF;BRAF
KEGG_2019_Human	Hepatitis B	3/163	4.269507e-02	1.408937e-01	0	0	4.024117e+00	1.269074e+01	DDX3X;ARAF;BRAF
KEGG_2019_Human	Melanoma	2/72	4.604071e-02	1.470332e-01	0	0	6.093702e+00	1.875781e+01	ARAF;BRAF
KEGG_2019_Human	Glioma	2/75	4.953392e-02	1.476822e-01	0	0	5.842392e+00	1.755696e+01	ARAF;BRAF
KEGG_2019_Human	Pancreatic cancer	2/75	4.953392e-02	1.476822e-01	0	0	5.842392e+00	1.755696e+01	ARAF;BRAF
KEGG_2019_Human	Chronic myeloid leukemia	2/76	5.071913e-02	1.476822e-01	0	0	5.763150e+00	1.718256e+01	ARAF;BRAF
KEGG_2019_Human	ErbB signaling pathway	2/85	6.183048e-02	1.735588e-01	0	0	5.135898e+00	1.429505e+01	ARAF;BRAF
KEGG_2019_Human	Colorectal cancer	2/86	6.311230e-02	1.735588e-01	0	0	5.074501e+00	1.402003e+01	ARAF;BRAF
KEGG_2019_Human	Proteoglycans in cancer	3/201	7.080043e-02	1.884425e-01	0	0	3.245553e+00	8.593869e+00	DDX5;ARAF;BRAF
KEGG_2019_Human	IL-17 signaling pathway	2/93	7.233148e-02	1.884425e-01	0	0	4.682500e+00	1.229857e+01	HSP90AB1;ELAVL1
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	2/106	9.049900e-02	2.297282e-01	0	0	4.094500e+00	9.836693e+00	ARAF;BRAF
KEGG_2019_Human	Serotonergic synapse	2/113	1.007806e-01	2.494319e-01	0	0	3.834932e+00	8.800439e+00	ARAF;BRAF
KEGG_2019_Human	Neurotrophin signaling pathway	2/119	1.098390e-01	2.625134e-01	0	0	3.637166e+00	8.033551e+00	YWHAE;BRAF
KEGG_2019_Human	AMPK signaling pathway	2/120	1.113693e-01	2.625134e-01	0	0	3.606160e+00	7.915172e+00	FBP1;ELAVL1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	2/131	1.285563e-01	2.928346e-01	0	0	3.296824e+00	6.763067e+00	ARAF;BRAF
KEGG_2019_Human	Vascular smooth muscle contraction	2/132	1.301487e-01	2.928346e-01	0	0	3.271299e+00	6.670431e+00	ARAF;BRAF
KEGG_2019_Human	Pentose phosphate pathway	1/30	1.331965e-01	2.930324e-01	0	0	7.291269e+00	1.469869e+01	FBP1
KEGG_2019_Human	Estrogen signaling pathway	2/137	1.381790e-01	2.973852e-01	0	0	3.149343e+00	6.233197e+00	HSPA8;HSP90AB1
KEGG_2019_Human	Fructose and mannose metabolism	1/33	1.455089e-01	3.064974e-01	0	0	6.606715e+00	1.273456e+01	FBP1
KEGG_2019_Human	Prion diseases	1/35	1.536208e-01	3.077692e-01	0	0	6.217459e+00	1.164697e+01	HSPA5
KEGG_2019_Human	Breast cancer	2/147	1.545496e-01	3.077692e-01	0	0	2.930664e+00	5.472254e+00	ARAF;BRAF
KEGG_2019_Human	Gastric cancer	2/149	1.578683e-01	3.077692e-01	0	0	2.890498e+00	5.335843e+00	ARAF;BRAF
KEGG_2019_Human	Thyroid cancer	1/37	1.616565e-01	3.077692e-01	0	0	5.871454e+00	1.069944e+01	BRAF
KEGG_2019_Human	Primary immunodeficiency	1/37	1.616565e-01	3.077692e-01	0	0	5.871454e+00	1.069944e+01	IL7R
KEGG_2019_Human	MAPK signaling pathway	3/295	1.653633e-01	3.088861e-01	0	0	2.190255e+00	3.941605e+00	HSPA8;ARAF;BRAF
KEGG_2019_Human	Hippo signaling pathway	2/160	1.763493e-01	3.233070e-01	0	0	2.687764e+00	4.664046e+00	YWHAE;YWHAG
KEGG_2019_Human	Hepatocellular carcinoma	2/168	1.899976e-01	3.419956e-01	0	0	2.557197e+00	4.246849e+00	ARAF;BRAF
KEGG_2019_Human	Herpes simplex virus 1 infection	4/492	2.061564e-01	3.644550e-01	0	0	1.748964e+00	2.761825e+00	ALYREF;EIF2AK2;SRSF3;SRSF9
KEGG_2019_Human	Transcriptional misregulation in cancer	2/186	2.211724e-01	3.743556e-01	0	0	2.304932e+00	3.477711e+00	DDX5;FUS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	2/186	2.211724e-01	3.743556e-01	0	0	2.304932e+00	3.477711e+00	LYN;EIF2AK2
