Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	26/354	2.678136e-22	4.954552e-20	0	0	1.868344e+01	9.280392e+02	YWHAE;HSP90AB1;IRS1;YWHAB;EGFR;HSP90B1;IGF1R;RPTOR;STK11;YWHAQ;MAPK1;JAK2;YWHAG;YWHAH;MAP2K1;MAP2K2;BAD;INSR;PRKCA;YWHAZ;PIK3CA;CDC37;BCL2;GRB2;KRAS;RAF1
KEGG_2019_Human	Insulin signaling pathway	19/137	9.893313e-22	9.151314e-20	0	0	3.537542e+01	1.710933e+03	MAP2K1;MAP2K2;BAD;IRS1;INSR;ARAF;IRS2;BRAF;PTPRF;PPP1CA;RPTOR;SOCS3;PIK3CA;MAPK1;GRB2;KRAS;RAF1;FBP1;CRK
KEGG_2019_Human	Hepatitis C	19/155	1.119897e-20	6.906034e-19	0	0	3.066544e+01	1.408723e+03	YWHAE;MAP2K1;MAP2K2;BAD;YWHAB;ARAF;TRAF2;BRAF;YWHAZ;EGFR;SOCS3;PIK3CA;YWHAQ;MAPK1;GRB2;KRAS;RAF1;YWHAG;YWHAH
KEGG_2019_Human	MAPK signaling pathway	23/295	2.380343e-20	1.100908e-18	0	0	1.929023e+01	8.716185e+02	MAP2K3;HSPA8;MAP2K1;MAP3K1;MAP2K2;INSR;ARAF;HSPB1;PRKCA;TRAF2;BRAF;EGFR;IGF1R;RAP1A;RPS6KA2;MAPK1;GRB2;KRAS;RAF1;MAP2K7;PAK2;CRK;HSPA1A
KEGG_2019_Human	Hepatitis B	19/163	2.985381e-20	1.104591e-18	0	0	2.895008e+01	1.301537e+03	MAP2K3;MAP2K1;MAP3K1;MAP2K2;BAD;YWHAB;ARAF;PRKCA;BRAF;YWHAZ;PIK3CA;YWHAQ;BCL2;MAPK1;GRB2;KRAS;RAF1;MAP2K7;JAK2
KEGG_2019_Human	Neurotrophin signaling pathway	17/119	9.303781e-20	2.868666e-18	0	0	3.584964e+01	1.570977e+03	YWHAE;MAP2K1;MAP3K1;MAP2K2;BAD;IRS1;BRAF;RAP1A;PIK3CA;RPS6KA2;BCL2;MAPK1;GRB2;KRAS;RAF1;MAP2K7;CRK
KEGG_2019_Human	ErbB signaling pathway	15/85	5.370601e-19	1.419373e-17	0	0	4.518465e+01	1.900836e+03	MAP2K1;MAP2K2;BAD;ARAF;PRKCA;BRAF;EGFR;PIK3CA;MAPK1;KRAS;GRB2;RAF1;MAP2K7;CRK;PAK2
KEGG_2019_Human	Prostate cancer	15/97	4.382215e-18	1.013387e-16	0	0	3.854891e+01	1.540761e+03	MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;BRAF;EGFR;IGF1R;HSP90B1;PIK3CA;BCL2;MAPK1;GRB2;KRAS;RAF1
KEGG_2019_Human	FoxO signaling pathway	16/132	1.810799e-17	3.722199e-16	0	0	2.932888e+01	1.130634e+03	MAP2K1;MAP2K2;IRS1;INSR;PLK1;ARAF;IRS2;BRAF;EGFR;IGF1R;STK11;PIK3CA;MAPK1;GRB2;KRAS;RAF1
KEGG_2019_Human	Non-small cell lung cancer	13/66	2.876564e-17	5.321644e-16	0	0	5.068671e+01	1.930523e+03	MAP2K1;MAP2K2;BAD;ARAF;PRKCA;BRAF;EGFR;RASSF1;PIK3CA;MAPK1;KRAS;GRB2;RAF1
KEGG_2019_Human	Renal cell carcinoma	13/69	5.364643e-17	9.022355e-16	0	0	4.796410e+01	1.796933e+03	MAP2K1;MAP2K2;BAD;ARAF;BRAF;RAP1A;PIK3CA;MAPK1;KRAS;GRB2;RAF1;CRK;PAK2
KEGG_2019_Human	mTOR signaling pathway	16/152	1.803153e-16	2.779862e-15	0	0	2.499051e+01	9.059517e+02	MAP2K1;MAP2K2;IRS1;INSR;PRKCA;BRAF;IGF1R;RPTOR;STK11;PIK3CA;RPS6KA2;GRB10;MAPK1;GRB2;KRAS;RAF1
KEGG_2019_Human	Estrogen signaling pathway	15/137	9.208932e-16	1.310502e-14	0	0	2.585760e+01	8.952210e+02	HSPA8;MAP2K1;MAP2K2;HSP90AB1;ESR1;EGFR;HSP90B1;GNAI2;PIK3CA;BCL2;MAPK1;GRB2;KRAS;RAF1;HSPA1A
KEGG_2019_Human	Rap1 signaling pathway	17/206	1.205379e-15	1.592822e-14	0	0	1.926236e+01	6.617004e+02	MAP2K3;VASP;MAP2K1;MAP2K2;INSR;PRKCA;BRAF;EGFR;RAP1GAP;IGF1R;GNAI2;RAP1A;PIK3CA;MAPK1;KRAS;RAF1;CRK
KEGG_2019_Human	Human immunodeficiency virus 1 infection	17/212	1.950915e-15	2.406128e-14	0	0	1.866399e+01	6.321583e+02	MAP2K3;MAP2K1;MAP2K2;FBXW11;BAD;LIMK1;PRKCA;TRAF2;GNAI2;PIK3CA;BCL2;MAPK1;KRAS;RAF1;MAP2K7;PAK2;CRK
KEGG_2019_Human	Oocyte meiosis	14/125	6.400728e-15	7.400841e-14	0	0	2.626079e+01	8.582646e+02	YWHAE;MAP2K1;FBXW11;YWHAB;PLK1;YWHAZ;PPP1CA;AURKA;IGF1R;YWHAQ;RPS6KA2;MAPK1;YWHAG;YWHAH
KEGG_2019_Human	Glioma	12/75	7.233677e-15	7.716862e-14	0	0	3.893569e+01	1.267747e+03	MAP2K1;MAP2K2;PIK3CA;ARAF;MAPK1;PRKCA;BRAF;KRAS;GRB2;RAF1;EGFR;IGF1R
KEGG_2019_Human	Progesterone-mediated oocyte maturation	13/99	7.508298e-15	7.716862e-14	0	0	3.118520e+01	1.014229e+03	MAP2K1;HSP90AB1;PLK1;ARAF;BRAF;IGF1R;AURKA;GNAI2;PIK3CA;RPS6KA2;MAPK1;KRAS;RAF1
KEGG_2019_Human	Autophagy	14/128	8.966162e-15	8.685174e-14	0	0	2.556584e+01	8.269351e+02	MAP2K1;MAP2K2;BAD;IRS1;IRS2;MTMR4;IGF1R;RPTOR;STK11;PIK3CA;BCL2;MAPK1;KRAS;RAF1
KEGG_2019_Human	Pathways in cancer	23/530	9.389377e-15	8.685174e-14	0	0	1.022504e+01	3.302604e+02	MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;PRKCA;TRAF2;BRAF;ESR1;EGFR;HSP90B1;IGF1R;GNAI2;RASSF1;PIK3CA;TERT;BCL2;MAPK1;GRB2;KRAS;RAF1;JAK2;CRK
KEGG_2019_Human	Focal adhesion	16/199	1.331632e-14	1.161276e-13	0	0	1.852800e+01	5.919656e+02	VASP;MAP2K1;BAD;PRKCA;BRAF;EGFR;PPP1CA;IGF1R;RAP1A;PIK3CA;BCL2;MAPK1;GRB2;RAF1;PAK2;CRK
KEGG_2019_Human	Endometrial cancer	11/58	1.380977e-14	1.161276e-13	0	0	4.739123e+01	1.512415e+03	MAP2K1;MAP2K2;PIK3CA;BAD;ARAF;MAPK1;BRAF;KRAS;GRB2;RAF1;EGFR
KEGG_2019_Human	Proteoglycans in cancer	16/201	1.558792e-14	1.253811e-13	0	0	1.832584e+01	5.826201e+02	MAP2K1;MAP2K2;ARAF;PRKCA;BRAF;IQGAP1;ESR1;EGFR;PPP1CA;IGF1R;PIK3CA;MAPK1;GRB2;KRAS;RAF1;EZR
KEGG_2019_Human	Colorectal cancer	12/86	4.029782e-14	2.965744e-13	0	0	3.312956e+01	1.021798e+03	MAP2K1;MAP2K2;PIK3CA;BAD;ARAF;BCL2;MAPK1;BRAF;KRAS;GRB2;RAF1;EGFR
KEGG_2019_Human	MicroRNAs in cancer	18/299	4.091815e-14	2.965744e-13	0	0	1.380392e+01	4.255362e+02	MAP2K1;MAP2K2;IRS1;PRKCA;IRS2;EGFR;RPTOR;RASSF1;PIK3CA;BCL2;SPRY2;MAPK1;GRB2;KRAS;VIM;RAF1;EZR;CRK
KEGG_2019_Human	Regulation of actin cytoskeleton	16/214	4.168073e-14	2.965744e-13	0	0	1.711133e+01	5.271784e+02	MAP2K1;MAP2K2;LIMK1;ARAF;BRAF;IQGAP1;EGFR;PPP1CA;PIK3CA;PIP5K1A;MAPK1;KRAS;RAF1;EZR;PAK2;CRK
KEGG_2019_Human	Long-term potentiation	11/67	7.484558e-14	5.128308e-13	0	0	3.975674e+01	1.201582e+03	MAP2K1;MAP2K2;RAP1A;RPS6KA2;ARAF;MAPK1;PRKCA;BRAF;KRAS;RAF1;PPP1CA
KEGG_2019_Human	Melanoma	11/72	1.721070e-13	1.137135e-12	0	0	3.648879e+01	1.072430e+03	MAP2K1;MAP2K2;PIK3CA;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;EGFR;IGF1R
KEGG_2019_Human	Chronic myeloid leukemia	11/76	3.203157e-13	2.043393e-12	0	0	3.423642e+01	9.849637e+02	MAP2K1;MAP2K2;PIK3CA;BAD;ARAF;MAPK1;BRAF;KRAS;GRB2;RAF1;CRK
