Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	32/295	1.616928e-33	2.861963e-31	0	0	3.272170e+01	2.470645e+03	ARAF;HSPB1;ARRB2;EGFR;IGF1R;PAK1;MAPK8;ERBB3;MYC;RPS6KA2;ERBB2;MAPK1;RAC1;MAP2K7;PAK2;HRAS;MAP3K4;MAP2K6;MAPK3;MAP2K3;HSPA8;MAP2K1;MAP3K1;MAP2K2;HSPA6;BRAF;MAPK8IP3;TGFBR2;KRAS;RAF1;MAP3K11;HSPA1A
KEGG_2019_Human	ErbB signaling pathway	17/85	1.075588e-22	9.518956e-21	0	0	5.632670e+01	2.849230e+03	MAP2K1;MAP2K2;ARAF;BRAF;EGFR;PAK1;MAPK8;ERBB3;MYC;ERBB2;MAPK1;KRAS;RAF1;MAP2K7;HRAS;PAK2;MAPK3
KEGG_2019_Human	Colorectal cancer	16/86	7.234518e-21	4.268366e-19	0	0	5.091493e+01	2.361201e+03	MAP2K1;MAP2K2;ARAF;BRAF;RHOA;EGFR;TGFBR2;MSH6;MAPK8;MYC;MAPK1;KRAS;RAC1;RAF1;HRAS;MAPK3
KEGG_2019_Human	Bladder cancer	13/41	1.663402e-20	7.360556e-19	0	0	1.002605e+02	4.566147e+03	MAP2K1;MAP2K2;CDKN2A;ARAF;BRAF;EGFR;MYC;ERBB2;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	19/201	7.994401e-19	2.830018e-17	0	0	2.392966e+01	9.971578e+02	MAP2K1;MAP2K2;ARAF;BRAF;IQGAP1;EGFR;RHOA;IGF1R;PAK1;ERBB3;MYC;ERBB2;MAPK1;NANOG;KRAS;RAC1;RAF1;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	26/530	2.359300e-18	6.959935e-17	0	0	1.266240e+01	5.139435e+02	HSP90AB1;ARAF;EGFR;HSP90B1;IGF1R;GNAI2;MAPK8;MYC;ERBB2;MAPK1;RAC1;HRAS;MAPK3;MAP2K1;MAP2K2;JUP;CDKN2A;BRAF;RHOA;TGFBR2;MSH6;TRAF3;PPARG;KRAS;RAF1;NFE2L2
KEGG_2019_Human	Hepatitis B	17/163	1.166177e-17	2.948762e-16	0	0	2.613115e+01	1.018859e+03	MAP2K3;MAP2K1;MAP3K1;MAP2K2;ARAF;BRAF;TGFBR2;MAPK8;TRAF3;MYC;MAPK1;KRAS;RAF1;MAP2K7;HRAS;MAP2K6;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	13/68	2.638376e-17	5.837408e-16	0	0	5.097233e+01	1.945807e+03	MAP2K3;MAP2K1;MAP2K2;VAV1;MAPK8;MAPK1;KRAS;RAC1;RAF1;MAP2K7;HRAS;MAPK3;MAP2K6
KEGG_2019_Human	GnRH signaling pathway	14/93	5.190425e-17	1.020784e-15	0	0	3.859007e+01	1.447017e+03	MAP2K3;MAP2K1;MAP2K2;MAP3K1;EGFR;MAPK8;MAPK1;KRAS;RAF1;MAP2K7;HRAS;MAP3K4;MAPK3;MAP2K6
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	5.944491e-17	1.052175e-15	0	0	3.171635e+01	1.184970e+03	MAP2K1;MAP3K1;MAP2K2;BRAF;RHOA;MAPK8;IRAK2;RPS6KA2;MAPK1;KRAS;RAC1;RAF1;MAP2K7;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	14/97	9.621114e-17	1.524221e-15	0	0	3.672289e+01	1.354340e+03	MAP2K1;MAP2K2;HSP90AB1;ARAF;BRAF;EGFR;IGF1R;HSP90B1;ERBB2;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Pancreatic cancer	13/75	1.033370e-16	1.524221e-15	0	0	4.520144e+01	1.663799e+03	MAP2K1;CDKN2A;ARAF;BRAF;EGFR;TGFBR2;MAPK8;ERBB2;MAPK1;KRAS;RAC1;RAF1;MAPK3
KEGG_2019_Human	Endometrial cancer	12/58	1.674076e-16	2.279318e-15	0	0	5.567742e+01	2.022544e+03	MAP2K1;MAP2K2;MYC;ERBB2;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Protein processing in endoplasmic reticulum	16/165	3.652460e-16	4.617753e-15	0	0	2.382445e+01	8.468629e+02	HSPA8;VCP;HSP90AB1;HSPA5;HSPA4L;HSPA6;HSP90B1;DNAJA1;DNAJC1;MAPK8;DNAJB11;CALR;P4HB;MAP2K7;HSPA1A;NFE2L2
KEGG_2019_Human	Hepatocellular carcinoma	16/168	4.878796e-16	5.714084e-15	0	0	2.335068e+01	8.232624e+02	MAP2K1;MAP2K2;CSNK1A1;CDKN2A;ARAF;BRAF;EGFR;IGF1R;TGFBR2;MYC;MAPK1;KRAS;RAF1;HRAS;NFE2L2;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	15/137	5.165274e-16	5.714084e-15	0	0	2.701230e+01	9.508167e+02	HSPA8;MAP2K1;MAP2K2;HSP90AB1;HSPA6;EGFR;HSP90B1;GNAI2;MAPK1;KRAS;RAF1;HRAS;HSPA1A;FKBP5;MAPK3
