Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	12/97	2.602106e-12	4.891960e-10	0	0	2.251879e+01	6.006818e+02	AR;MAP2K1;MAP2K2;HSP90AB1;CCND1;ARAF;E2F1;MAPK1;BRAF;KRAS;IGF1R;HSP90B1
KEGG_2019_Human	Bladder cancer	9/41	6.928103e-12	6.512417e-10	0	0	4.391929e+01	1.128525e+03	MAP2K1;MAP2K2;CCND1;MYC;ARAF;E2F1;MAPK1;BRAF;KRAS
KEGG_2019_Human	Cell cycle	12/124	4.977494e-11	3.119229e-09	0	0	1.706682e+01	4.048849e+02	YWHAE;CDK7;STAG2;TFDP1;CCND1;HDAC1;MYC;CDC16;E2F1;SMC3;SMC1A;MAD2L1
KEGG_2019_Human	Glioma	10/75	8.611890e-11	3.707338e-09	0	0	2.417460e+01	5.602535e+02	MAP2K1;MAP2K2;CCND1;ARAF;E2F1;MAPK1;PRKCA;BRAF;KRAS;IGF1R
KEGG_2019_Human	Chronic myeloid leukemia	10/76	9.859941e-11	3.707338e-09	0	0	2.380712e+01	5.485150e+02	MAP2K1;MAP2K2;CCND1;HDAC1;MYC;ARAF;E2F1;MAPK1;BRAF;KRAS
KEGG_2019_Human	Non-small cell lung cancer	9/66	6.343278e-10	1.822101e-08	0	0	2.462536e+01	5.215271e+02	MAP2K1;MAP2K2;CCND1;ARAF;E2F1;MAPK1;PRKCA;BRAF;KRAS
KEGG_2019_Human	Hepatitis C	12/155	6.784420e-10	1.822101e-08	0	0	1.334604e+01	2.817512e+02	YWHAE;MAP2K1;MAP2K2;CCND1;DDX58;MYC;PSME3;ARAF;E2F1;MAPK1;BRAF;KRAS
KEGG_2019_Human	Oocyte meiosis	11/125	9.159035e-10	2.152373e-08	0	0	1.524561e+01	3.172782e+02	YWHAE;AR;MAP2K1;CDC16;MAPK1;SMC3;SMC1A;IGF1R;AURKA;PPP1CA;MAD2L1
KEGG_2019_Human	Proteoglycans in cancer	13/201	1.184874e-09	2.209276e-08	0	0	1.106158e+01	2.273556e+02	MAP2K1;MAP2K2;ARAF;PRKCA;BRAF;PPP1CA;IGF1R;CCND1;MYC;MAPK1;NANOG;ARHGEF1;KRAS
KEGG_2019_Human	Hepatitis B	12/163	1.211562e-09	2.209276e-08	0	0	1.263384e+01	2.593898e+02	MAP2K3;MAP2K1;MAP3K1;MAP2K2;DDX58;MYC;ARAF;E2F1;MAPK1;PRKCA;BRAF;KRAS
KEGG_2019_Human	Melanoma	9/72	1.409355e-09	2.209276e-08	0	0	2.227334e+01	4.539337e+02	MAP2K1;MAP2K2;CCND1;ARAF;E2F1;MAPK1;BRAF;KRAS;IGF1R
KEGG_2019_Human	Progesterone-mediated oocyte maturation	10/99	1.410176e-09	2.209276e-08	0	0	1.763421e+01	3.593772e+02	MAP2K1;HSP90AB1;CDC16;ARAF;MAPK1;BRAF;KRAS;IGF1R;AURKA;MAD2L1
KEGG_2019_Human	MAPK signaling pathway	15/295	1.663953e-09	2.406332e-08	0	0	8.670602e+00	1.752682e+02	MAP2K3;HSPA8;MAP2K1;MAP3K1;MAP2K2;ARAF;HSPB1;PRKCA;BRAF;IGF1R;MYC;MAPK1;KRAS;PAK2;HSPA1A
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	11/139	2.846942e-09	3.823036e-08	0	0	1.356850e+01	2.669877e+02	SMAD1;MAP2K1;MAP2K2;MYC;PCGF2;PCGF3;PCGF1;MAPK1;NANOG;KRAS;IGF1R
KEGG_2019_Human	Alcoholism	12/180	3.760965e-09	4.713742e-08	0	0	1.134562e+01	2.200891e+02	MAP2K1;HIST1H3A;H2AFZ;HIST4H4;HDAC1;HIST3H3;ARAF;MAPK1;BRAF;KRAS;HIST1H2BG;PPP1CA
KEGG_2019_Human	Thyroid cancer	7/37	4.997097e-09	5.586120e-08	0	0	3.587545e+01	6.857381e+02	MAP2K1;MAP2K2;CCND1;MYC;MAPK1;BRAF;KRAS
KEGG_2019_Human	Breast cancer	11/147	5.147139e-09	5.586120e-08	0	0	1.276518e+01	2.436212e+02	MAP2K1;MAP2K2;CCND1;MYC;ARAF;E2F1;MAPK1;BRAF;KRAS;ESR2;IGF1R
KEGG_2019_Human	Endometrial cancer	8/58	5.348413e-09	5.586120e-08	0	0	2.476750e+01	4.717333e+02	MAP2K1;MAP2K2;CCND1;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	ErbB signaling pathway	9/85	6.328650e-09	6.262032e-08	0	0	1.845131e+01	3.483270e+02	MAP2K1;MAP2K2;MYC;ARAF;MAPK1;PRKCA;BRAF;KRAS;PAK2
KEGG_2019_Human	Long-term depression	8/60	7.058405e-09	6.634901e-08	0	0	2.381250e+01	4.469379e+02	MAP2K1;MAP2K2;ARAF;MAPK1;PRKCA;BRAF;KRAS;IGF1R
KEGG_2019_Human	Cellular senescence	11/160	1.252474e-08	1.121263e-07	0	0	1.164376e+01	2.118647e+02	MAP2K3;MAP2K1;RAD50;MAP2K2;CCND1;MYC;E2F1;MAPK1;KRAS;ETS1;PPP1CA
KEGG_2019_Human	Acute myeloid leukemia	8/66	1.531227e-08	1.308503e-07	0	0	2.134267e+01	3.840531e+02	MAP2K1;MAP2K2;CCND1;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	Long-term potentiation	8/67	1.728975e-08	1.413249e-07	0	0	2.097987e+01	3.749765e+02	MAP2K1;MAP2K2;ARAF;MAPK1;PRKCA;BRAF;KRAS;PPP1CA
KEGG_2019_Human	Hepatocellular carcinoma	11/168	2.081136e-08	1.584540e-07	0	0	1.104596e+01	1.953784e+02	MAP2K1;MAP2K2;CCND1;MYC;ARAF;E2F1;MAPK1;PRKCA;BRAF;KRAS;IGF1R
KEGG_2019_Human	Pathways in cancer	18/530	2.109018e-08	1.584540e-07	0	0	5.765625e+00	1.019043e+02	MAP2K1;MAP2K2;HSP90AB1;HDAC1;ARAF;PRKCA;BRAF;ETS1;ESR2;HSP90B1;IGF1R;AR;CCND1;MYC;E2F1;MAPK1;ARHGEF1;KRAS
KEGG_2019_Human	Renal cell carcinoma	8/69	2.191385e-08	1.584540e-07	0	0	2.028996e+01	3.578367e+02	MAP2K1;MAP2K2;ARAF;MAPK1;BRAF;KRAS;ETS1;PAK2
KEGG_2019_Human	Insulin signaling pathway	10/137	3.336852e-08	2.323438e-07	0	0	1.233408e+01	2.123393e+02	MAP2K1;PRKAA2;MAP2K2;FASN;ARAF;MAPK1;BRAF;KRAS;FBP1;PPP1CA
KEGG_2019_Human	Colorectal cancer	8/86	1.262312e-07	8.475521e-07	0	0	1.585417e+01	2.518458e+02	MAP2K1;MAP2K2;CCND1;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	14/354	1.388291e-07	8.999958e-07	0	0	6.589585e+00	1.040497e+02	YWHAE;MAP2K1;PRKAA2;MAP2K2;HSP90AB1;PRKCA;HSP90B1;IGF1R;CCND1;MYC;CDC37;MYB;MAPK1;KRAS
KEGG_2019_Human	FoxO signaling pathway	9/132	2.979864e-07	1.867381e-06	0	0	1.137373e+01	1.709041e+02	MAP2K1;MAP2K2;PRKAA2;CCND1;ARAF;MAPK1;BRAF;KRAS;IGF1R
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	3.103135e-07	1.881902e-06	0	0	8.316000e+00	1.246209e+02	MAP2K1;MAP3K1;MAP2K2;CCND1;MYC;CDC16;E2F1;MAPK1;KRAS;ETS1;MAD2L1
KEGG_2019_Human	Estrogen signaling pathway	9/137	4.088903e-07	2.402230e-06	0	0	1.092667e+01	1.607294e+02	HSPA8;MAP2K1;MAP2K2;HSP90AB1;MAPK1;KRAS;ESR2;HSPA1A;HSP90B1
KEGG_2019_Human	Prolactin signaling pathway	7/70	4.829241e-07	2.751204e-06	0	0	1.705512e+01	2.480396e+02	MAP2K1;MAP2K2;CCND1;IRF1;MAPK1;KRAS;ESR2
