Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid cancer	10/37	5.127479e-15	9.332012e-13	0	0	7.356667e+01	2.420650e+03	NTRK1;MAP2K1;MAP2K2;MYC;TPR;MAPK1;CTNNB1;BRAF;PPARG;KRAS
KEGG_2019_Human	Endometrial cancer	11/58	1.531107e-14	1.393307e-12	0	0	4.691017e+01	1.492222e+03	MAP2K1;MAP2K2;BAD;MYC;ARAF;ILK;MAPK1;CTNNB1;BRAF;KRAS;EGFR
KEGG_2019_Human	Pathways in cancer	22/530	1.162090e-13	7.050010e-12	0	0	9.538386e+00	2.840854e+02	NTRK1;MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;BRAF;HIF1A;EGFR;ESR2;RBX1;IGF1R;GNAI2;MECOM;SP1;MYC;TPR;GNAS;CTNNB1;MAPK1;PPARG;KRAS
KEGG_2019_Human	Estrogen signaling pathway	13/137	6.169889e-13	2.807300e-11	0	0	2.136332e+01	6.006068e+02	HSPA8;MAP2K1;MAP2K2;HSP90AB1;HSPA6;EGFR;ESR2;GNAI2;SP1;GNAS;MAPK1;KRAS;FKBP5
KEGG_2019_Human	Breast cancer	13/147	1.535508e-12	5.589251e-11	0	0	1.975904e+01	5.374886e+02	MAP2K1;MAP2K2;ARAF;BRAF;BRCA1;EGFR;ESR2;IGF1R;SP1;MYC;CTNNB1;MAPK1;KRAS
KEGG_2019_Human	Prostate cancer	11/97	5.601091e-12	1.698997e-10	0	0	2.558656e+01	6.628982e+02	MAP2K1;MAP2K2;HSP90AB1;BAD;ARAF;MAPK1;CTNNB1;BRAF;KRAS;EGFR;IGF1R
KEGG_2019_Human	MAPK signaling pathway	16/295	6.718555e-12	1.746824e-10	0	0	1.196431e+01	3.077956e+02	MAP2K3;NTRK1;HSPA8;MAP2K1;MAP3K1;MAP2K2;HSPA6;ARAF;HSPB1;BRAF;EGFR;IGF1R;MECOM;MYC;MAPK1;KRAS
KEGG_2019_Human	Long-term depression	9/60	3.861997e-11	8.431934e-10	0	0	3.466337e+01	8.311323e+02	MAP2K1;MAP2K2;ARAF;GNAS;MAPK1;BRAF;KRAS;IGF1R;GNAI2
KEGG_2019_Human	Colorectal cancer	10/86	4.169637e-11	8.431934e-10	0	0	2.607105e+01	6.231140e+02	MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;CTNNB1;BRAF;KRAS;EGFR
KEGG_2019_Human	Bladder cancer	8/41	5.312943e-11	9.669556e-10	0	0	4.719430e+01	1.116536e+03	MAP2K1;MAP2K2;MYC;ARAF;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	8.163108e-11	1.350623e-09	0	0	3.156047e+01	7.331121e+02	NTRK1;MAP2K1;MAP2K2;PDHA1;MYC;MAPK1;KRAS;HIF1A;EGFR
KEGG_2019_Human	Renal cell carcinoma	9/69	1.421069e-10	2.155288e-09	0	0	2.945050e+01	6.677735e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;HIF1A;RBX1
KEGG_2019_Human	Melanoma	9/72	2.105273e-10	2.947383e-09	0	0	2.804385e+01	6.248563e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;EGFR;IGF1R
KEGG_2019_Human	Chronic myeloid leukemia	9/76	3.460305e-10	4.498396e-09	0	0	2.636427e+01	5.743322e+02	MAP2K1;MAP2K2;MECOM;BAD;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	ErbB signaling pathway	9/85	9.598730e-10	1.164646e-08	0	0	2.323163e+01	4.823867e+02	MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Proteoglycans in cancer	12/201	1.135474e-09	1.291602e-08	0	0	1.276385e+01	2.628870e+02	MAP2K1;MAP2K2;MYC;ARAF;CTNNB1;MAPK1;BRAF;KRAS;IQGAP1;HIF1A;EGFR;IGF1R
KEGG_2019_Human	Gap junction	9/88	1.313916e-09	1.406663e-08	0	0	2.234603e+01	4.569821e+02	GJA1;MAP2K1;TUBA1A;MAP2K2;GNAS;MAPK1;KRAS;EGFR;GNAI2
KEGG_2019_Human	Rap1 signaling pathway	12/206	1.502962e-09	1.519661e-08	0	0	1.243173e+01	2.525608e+02	MAP2K3;FARP2;MAP2K1;MAP2K2;GNAS;CTNNB1;MAPK1;BRAF;KRAS;EGFR;IGF1R;GNAI2
KEGG_2019_Human	RNA transport	11/165	1.816711e-09	1.740218e-08	0	0	1.423954e+01	2.865883e+02	NUP93;NDC1;UBE2I;NUP107;NUP155;NUP188;TPR;SUMO2;SAP18;RAE1;KPNB1
KEGG_2019_Human	Hepatocellular carcinoma	11/168	2.198494e-09	2.000629e-08	0	0	1.396532e+01	2.784056e+02	MAP2K1;MAP2K2;BAD;MYC;ARAF;CTNNB1;MAPK1;BRAF;KRAS;EGFR;IGF1R
KEGG_2019_Human	Acute myeloid leukemia	8/66	2.851067e-09	2.358610e-08	0	0	2.681812e+01	5.276619e+02	MAP2K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	Non-small cell lung cancer	8/66	2.851067e-09	2.358610e-08	0	0	2.681812e+01	5.276619e+02	MAP2K1;MAP2K2;BAD;ARAF;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	3.786265e-09	2.996088e-08	0	0	1.960396e+01	3.801578e+02	MAP2K1;HSP90AB1;ARAF;MAPK1;BRAF;KRAS;IGF1R;AURKA;GNAI2
KEGG_2019_Human	HIF-1 signaling pathway	9/100	4.141823e-09	3.115386e-08	0	0	1.938755e+01	3.742211e+02	MAP2K1;MAP2K2;PDHA1;MAPK1;ALDOA;HIF1A;EGFR;IGF1R;RBX1
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	4.279376e-09	3.115386e-08	0	0	1.556142e+01	2.998601e+02	PRKN;CUL7;UBE2I;MAP3K1;CDC34;FBXW7;CUL3;UBA1;BRCA1;RBX1
KEGG_2019_Human	Glioma	8/75	8.039407e-09	5.627585e-08	0	0	2.320515e+01	4.325187e+02	MAP2K1;MAP2K2;ARAF;MAPK1;BRAF;KRAS;EGFR;IGF1R
KEGG_2019_Human	Hepatitis C	10/155	1.409827e-08	9.503280e-08	0	0	1.361724e+01	2.461618e+02	MAP2K1;MAP2K2;BAD;MYC;ARAF;CTNNB1;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Hepatitis B	10/163	2.282052e-08	1.483334e-07	0	0	1.290000e+01	2.269833e+02	MAP2K3;MAP2K1;MAP3K1;MAP2K2;BAD;MYC;ARAF;MAPK1;BRAF;KRAS
KEGG_2019_Human	GnRH signaling pathway	8/93	4.472219e-08	2.806703e-07	0	0	1.827451e+01	3.092558e+02	MAP2K3;MAP2K1;MAP2K2;MAP3K1;GNAS;MAPK1;KRAS;EGFR
KEGG_2019_Human	Insulin signaling pathway	9/137	6.590278e-08	3.998102e-07	0	0	1.375758e+01	2.274828e+02	MAP2K1;MAP2K2;BAD;FASN;ARAF;MAPK1;BRAF;KRAS;FBP1
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	8/106	1.248470e-07	7.329725e-07	0	0	1.583994e+01	2.517944e+02	MAP2K1;SP1;ARAF;GNAS;MAPK1;BRAF;EGFR;GNAI2
KEGG_2019_Human	Gastric cancer	9/149	1.358102e-07	7.598352e-07	0	0	1.257072e+01	1.987683e+02	MAP2K1;MAP2K2;MYC;ARAF;CTNNB1;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Adherens junction	7/72	1.377723e-07	7.598352e-07	0	0	2.072816e+01	3.274564e+02	FARP2;SNAI1;MAPK1;CTNNB1;IQGAP1;EGFR;IGF1R
KEGG_2019_Human	Pancreatic cancer	7/75	1.831374e-07	9.803238e-07	0	0	1.981068e+01	3.073236e+02	MAP2K1;BAD;ARAF;MAPK1;BRAF;KRAS;EGFR
KEGG_2019_Human	Cushing syndrome	9/155	1.903679e-07	9.899131e-07	0	0	1.205045e+01	1.864724e+02	MAP2K1;MAP2K2;SP1;GNAS;CTNNB1;MAPK1;BRAF;EGFR;GNAI2
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	2.513323e-07	1.270624e-06	0	0	1.436601e+01	2.183130e+02	MAP2K1;MAP2K2;BAD;MYC;CTNNB1;MAPK1;KRAS;HIF1A
KEGG_2019_Human	Neurotrophin signaling pathway	8/119	3.060621e-07	1.505495e-06	0	0	1.397562e+01	2.096270e+02	NTRK1;MAP2K1;MAP3K1;MAP2K2;BAD;MAPK1;BRAF;KRAS
KEGG_2019_Human	Human cytomegalovirus infection	10/225	4.673490e-07	2.238356e-06	0	0	9.151163e+00	1.333891e+02	MAP2K1;MAP2K2;SP1;MYC;GNAS;CTNNB1;MAPK1;KRAS;EGFR;GNAI2
