Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	39/354	1.864495e-38	3.635764e-36	0	0	2.918176e+01	2.535172e+03	CSF1R;HSP90AB1;IRS1;FLT4;PIK3R3;PIK3R2;PIK3R1;RELA;HSP90B1;IGF1R;ERBB3;ERBB4;CD19;AKT3;KDR;MAPK1;JAK2;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;MAP2K2;BAD;PDPK1;IGF1;GNG11;NFKB1;PTK2;PIK3CA;CDC37;GNB1;GNB3;GRB2;KRAS;TP53
KEGG_2019_Human	MAPK signaling pathway	35/295	1.518143e-35	1.079012e-33	0	0	3.035500e+01	2.433651e+03	CSF1R;FLT4;ARAF;HSPB1;RELA;IGF1R;ERBB3;ERBB4;AKT3;KDR;RAC3;MAPK1;PAK2;HRAS;MAP2K6;MAPK3;PDGFRB;MAP2K3;NTRK1;PDGFRA;HSPA8;MAP2K1;MAP3K1;MAP2K2;HSPA6;BRAF;IGF1;NFKB1;TNFRSF1A;MRAS;GRB2;KRAS;TP53;CRK;HSPA1A
KEGG_2019_Human	Pathways in cancer	42/530	1.660019e-35	1.079012e-33	0	0	2.086014e+01	1.670556e+03	CSF1R;NOTCH1;HSP90AB1;HDAC1;FLT4;ARAF;PIK3R3;PIK3R2;PIK3R1;RELA;HSP90B1;IGF1R;GNAI2;AKT3;RAC3;MAPK1;JAK2;HRAS;MAPK3;APPL1;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;MAP2K2;BAD;BRAF;IGF1;ESR1;GNG11;NFKB1;PTK2;PIK3CA;GNB1;GNAS;GNB3;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	Prostate cancer	25/97	2.237984e-34	1.091017e-32	0	0	7.089777e+01	5.493323e+03	HSP90AB1;ARAF;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;HSP90B1;AKT3;MAPK1;HRAS;MAPK3;PDGFRB;PDGFRA;MAP2K1;MAP2K2;PDPK1;BAD;BRAF;IGF1;NFKB1;PIK3CA;GRB2;KRAS;TP53
KEGG_2019_Human	Proteoglycans in cancer	30/201	1.685436e-33	6.573200e-32	0	0	3.758009e+01	2.835917e+03	DDX5;ARAF;PIK3R3;PIK3R2;PIK3R1;IQGAP1;IGF1R;ERBB3;ERBB4;AKT3;KDR;MAPK1;HRAS;MAPK3;MAP2K1;MAP2K2;PDPK1;CAV1;GAB1;BRAF;IGF1;ESR1;PTK2;MRAS;PIK3CA;GRB2;NANOG;ARHGEF1;KRAS;TP53
KEGG_2019_Human	Ras signaling pathway	31/232	4.533332e-33	1.473333e-31	0	0	3.334902e+01	2.483630e+03	CSF1R;FLT4;PIK3R3;PIK3R2;PIK3R1;RELA;IGF1R;AKT3;KDR;RAC3;MAPK1;PAK2;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;MAP2K1;MAP2K2;BAD;GAB1;IGF1;GAB2;GNG11;NFKB1;MRAS;PIK3CA;GNB1;GNB3;GRB2;KRAS
KEGG_2019_Human	Neurotrophin signaling pathway	24/119	3.505555e-30	9.765475e-29	0	0	5.099807e+01	3.458852e+03	NTRK1;MAP2K1;MAP2K2;MAP3K1;IRS1;PDPK1;BAD;PRKCD;GAB1;PIK3R3;PIK3R2;BRAF;PIK3R1;NFKB1;RELA;PIK3CA;AKT3;MAPK1;GRB2;KRAS;TP53;HRAS;CRK;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	21/76	1.121925e-29	2.734692e-28	0	0	7.493843e+01	4.995390e+03	MAP2K1;MAP2K2;HDAC1;BAD;ARAF;PIK3R3;PIK3R2;BRAF;GAB2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	28/225	5.767648e-29	1.249657e-27	0	0	2.975851e+01	1.934978e+03	PIK3R3;PIK3R2;PIK3R1;RELA;GNAI2;AKT3;RAC3;MAPK1;HRAS;MAP2K6;MAPK3;JAK1;PDGFRA;MAP2K1;MAP2K2;GNG11;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNB1;GNAS;GNB3;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	ErbB signaling pathway	21/85	1.605935e-28	3.131572e-27	0	0	6.437098e+01	4.119657e+03	MAP2K1;MAP2K2;BAD;ARAF;GAB1;PIK3R3;PIK3R2;BRAF;PIK3R1;PTK2;PIK3CA;ERBB3;ERBB4;AKT3;MAPK1;KRAS;GRB2;HRAS;CRK;PAK2;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	26/206	4.500579e-27	7.978299e-26	0	0	2.963819e+01	1.798019e+03	CSF1R;FLT4;PIK3R3;PIK3R2;PIK3R1;IGF1R;GNAI2;AKT3;KDR;RAC3;MAPK1;HRAS;MAP2K6;MAPK3;PDGFRB;MAP2K3;PDGFRA;MAP2K1;MAP2K2;BRAF;IGF1;MRAS;PIK3CA;GNAS;KRAS;CRK
KEGG_2019_Human	Insulin signaling pathway	23/137	5.643024e-27	9.169914e-26	0	0	4.027751e+01	2.434348e+03	MAP2K1;MAP2K2;BAD;IRS1;PDPK1;ARAF;IRS4;PIK3R3;BRAF;PIK3R2;PIK3R1;PIK3CA;FASN;AKT3;MAPK1;GRB2;KRAS;FBP1;CRK;HRAS;RHOQ;FBP2;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	26/212	9.692161e-27	1.453824e-25	0	0	2.867339e+01	1.717492e+03	PIK3R3;PIK3R2;PIK3R1;RELA;GNAI2;AKT3;RAC3;MAPK1;PAK2;HRAS;MAP2K6;MAPK3;MAP2K3;MAP2K1;MAP2K2;BAD;GNG11;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNB1;GNB3;KRAS;CRK;ATR
KEGG_2019_Human	Endometrial cancer	18/58	1.358475e-26	1.892161e-25	0	0	8.583750e+01	5.112554e+03	MAP2K1;MAP2K2;PDPK1;BAD;ARAF;ILK;PIK3R3;PIK3R2;BRAF;PIK3R1;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	25/190	1.643786e-26	2.118268e-25	0	0	3.079194e+01	1.828124e+03	PIK3R3;PIK3R2;PIK3R1;RELA;GNAI2;AKT3;RAC3;MAPK1;JAK2;HRAS;MAPK3;MAP2K1;BAD;PRKCD;BRAF;GNG11;NFKB1;PTK2;HCK;PIK3CA;GNB1;GNB3;GRB2;KRAS;CRK
KEGG_2019_Human	Melanoma	19/72	1.738066e-26	2.118268e-25	0	0	6.900073e+01	4.092740e+03	PDGFRB;PDGFRA;MAP2K1;MAP2K2;BAD;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;IGF1;IGF1R;PIK3CA;AKT3;MAPK1;KRAS;HRAS;TP53;MAPK3
KEGG_2019_Human	Glioma	19/75	4.172060e-26	4.785598e-25	0	0	6.529438e+01	3.815726e+03	PDGFRB;PDGFRA;MAP2K1;MAP2K2;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;IGF1;IGF1R;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Focal adhesion	25/199	5.417917e-26	5.869410e-25	0	0	2.918592e+01	1.697964e+03	FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;IGF1R;AKT3;KDR;RAC3;MAPK1;PAK2;HRAS;MAPK3;PDGFRB;PDGFRA;MAP2K1;BAD;PDPK1;CAV1;BRAF;IGF1;PTK2;PIK3CA;GRB2;CRK
KEGG_2019_Human	Acute myeloid leukemia	18/66	1.987725e-25	2.040033e-24	0	0	7.150240e+01	4.066888e+03	CSF1R;MAP2K1;MAP2K2;BAD;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	22/137	2.234469e-25	2.178607e-24	0	0	3.780748e+01	2.145976e+03	HSPA8;MAP2K1;MAP2K2;HSP90AB1;PRKCD;HSPA6;PIK3R3;PIK3R2;PIK3R1;ESR1;HSP90B1;GNAI2;PIK3CA;AKT3;GNAS;MAPK1;GRB2;KRAS;HRAS;HSPA1A;FKBP5;MAPK3
KEGG_2019_Human	Hepatitis B	23/163	3.765450e-25	3.496489e-24	0	0	3.275426e+01	1.842059e+03	MAP2K3;MAP2K1;MAP3K1;MAP2K2;BAD;ARAF;PIK3R3;BRAF;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;MAPK1;GRB2;KRAS;JAK2;TP53;HRAS;MAP2K6;MAPK3;JAK1
KEGG_2019_Human	Renal cell carcinoma	18/69	4.927461e-25	4.367522e-24	0	0	6.728620e+01	3.765995e+03	MAP2K1;MAP2K2;BAD;ARAF;GAB1;PIK3R3;PIK3R2;BRAF;PIK3R1;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;CRK;PAK2;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	17/66	1.380938e-23	1.170795e-22	0	0	6.551856e+01	3.448680e+03	MAP2K1;MAP2K2;PDPK1;BAD;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;PIK3CA;AKT3;MAPK1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	17/68	2.442880e-23	1.984840e-22	0	0	6.294286e+01	3.277200e+03	MAP2K3;MAP2K1;MAP2K2;PDPK1;PIK3R3;PIK3R2;GAB2;PIK3R1;PIK3CA;AKT3;RAC3;MAPK1;KRAS;GRB2;HRAS;MAPK3;MAP2K6
KEGG_2019_Human	Longevity regulating pathway	19/102	2.551934e-23	1.990509e-22	0	0	4.399403e+01	2.288684e+03	HSPA8;IRS1;HDAC1;HSPA6;IRS4;PIK3R3;PIK3R2;PIK3R1;IGF1;NFKB1;RELA;IGF1R;PIK3CA;AKT3;KRAS;TP53;HRAS;APPL1;HSPA1A
KEGG_2019_Human	Colorectal cancer	18/86	4.011770e-23	3.008827e-22	0	0	5.042138e+01	2.600242e+03	MAP2K1;MAP2K2;BAD;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;PIK3CA;AKT3;RAC3;MAPK1;KRAS;GRB2;HRAS;TP53;APPL1;MAPK3
KEGG_2019_Human	Autophagy	20/128	6.974057e-23	5.036819e-22	0	0	3.589325e+01	1.831175e+03	MAP2K1;MAP2K2;BAD;IRS1;PDPK1;PRKCD;IRS4;PIK3R3;PIK3R2;PIK3R1;IGF1R;MRAS;LAMP1;PIK3CA;AKT3;MAPK1;KRAS;HRAS;CTSB;MAPK3
KEGG_2019_Human	VEGF signaling pathway	16/59	1.168375e-22	8.136895e-22	0	0	6.962703e+01	3.516253e+03	MAP2K1;MAP2K2;BAD;HSPB1;PIK3R3;PIK3R2;PIK3R1;PTK2;PIK3CA;AKT3;KDR;RAC3;MAPK1;KRAS;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	21/155	1.238293e-22	8.326456e-22	0	0	3.063573e+01	1.545362e+03	MAP2K1;MAP2K2;BAD;ARAF;PIK3R3;BRAF;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;PIK3CA;AKT3;MAPK1;GRB2;KRAS;TP53;HRAS;YWHAH;MAPK3;JAK1
KEGG_2019_Human	Pancreatic cancer	17/75	1.557465e-22	1.012353e-21	0	0	5.532677e+01	2.778168e+03	MAP2K1;BAD;ARAF;PIK3R3;PIK3R2;BRAF;PIK3R1;RELA;NFKB1;PIK3CA;AKT3;RAC3;MAPK1;KRAS;TP53;JAK1;MAPK3
