Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	27/354	3.521072e-22	5.880190e-20	0	0	1.699266e+01	8.394053e+02	YWHAE;GSK3B;CDKN1B;HSP90AB1;YWHAB;BRCA1;HSP90B1;RPTOR;IKBKB;CCND2;YWHAQ;MYC;IKBKG;YWHAG;YWHAH;HSP90AA1;BAD;TSC1;YWHAZ;CDK6;CDK4;CDC37;CDK2;MDM2;GRB2;KRAS;TP53
KEGG_2019_Human	Cell cycle	19/124	1.309037e-21	1.093046e-19	0	0	3.473759e+01	1.670357e+03	YWHAE;GSK3B;CDKN1B;YWHAB;CDKN2A;PLK1;YWHAZ;CCND2;CDK6;YWHAQ;CDK4;MYC;CDK2;MDM2;CDK1;TP53;YWHAG;SKP1;YWHAH
KEGG_2019_Human	Hepatitis C	20/155	3.737061e-21	2.080297e-19	0	0	2.867538e+01	1.348775e+03	YWHAE;GSK3B;BAD;YWHAB;ARAF;BRAF;YWHAZ;IKBKB;CDK6;YWHAQ;CDK4;MYC;CDK2;CTNNB1;GRB2;KRAS;IKBKG;TP53;YWHAG;YWHAH
KEGG_2019_Human	Viral carcinogenesis	21/201	3.251451e-20	1.357481e-18	0	0	2.275347e+01	1.021007e+03	YWHAE;CDKN1B;BAD;YWHAB;CDKN2A;YWHAZ;HDAC6;CCND2;CDK6;YWHAQ;CDK4;HIST4H4;CDK2;MDM2;CDK1;GRB2;KRAS;IKBKG;TP53;YWHAG;YWHAH
KEGG_2019_Human	Prostate cancer	16/97	6.983224e-19	2.332397e-17	0	0	3.689168e+01	1.542279e+03	GSK3B;HSP90AA1;CDKN1B;HSP90AB1;BAD;ARAF;BRAF;HSP90B1;IKBKB;CDK2;MDM2;CTNNB1;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	Chronic myeloid leukemia	14/76	2.293850e-17	6.384550e-16	0	0	4.143130e+01	1.587387e+03	CDKN1B;BAD;CDKN2A;ARAF;BRAF;IKBKB;CDK6;CDK4;MYC;MDM2;KRAS;GRB2;IKBKG;TP53
KEGG_2019_Human	Hippo signaling pathway	16/160	2.606224e-15	6.217705e-14	0	0	2.068553e+01	6.946383e+02	YWHAE;GSK3B;YWHAB;YWHAZ;PPP1CA;RASSF1;CCND2;LATS2;YWHAQ;MYC;BIRC5;CTNNB1;NF2;BTRC;YWHAG;YWHAH
KEGG_2019_Human	Pathways in cancer	24/530	1.298765e-14	2.711172e-13	0	0	9.375817e+00	2.997897e+02	GSK3B;HSP90AA1;CDKN1B;HSP90AB1;BAD;CDKN2A;ARAF;BRAF;HSP90B1;IKBKB;RASSF1;CCND2;CDK6;CDK4;MYC;CDK2;MDM2;BIRC5;CTNNB1;GRB2;KRAS;IKBKG;TP53;SKP1
KEGG_2019_Human	Oocyte meiosis	13/125	7.260617e-13	1.347248e-11	0	0	2.104833e+01	5.883248e+02	YWHAE;YWHAB;PLK1;YWHAZ;PPP1CA;AURKA;YWHAQ;CDK2;CDK1;BTRC;YWHAG;SKP1;YWHAH
KEGG_2019_Human	Hepatitis B	14/163	1.296732e-12	2.165542e-11	0	0	1.716418e+01	4.698038e+02	BAD;YWHAB;ARAF;BRAF;YWHAZ;IKBKB;YWHAQ;MYC;CDK2;BIRC5;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	Bladder cancer	9/41	2.576239e-12	3.911199e-11	0	0	4.939546e+01	1.318103e+03	RASSF1;CDKN2A;CDK4;MYC;ARAF;MDM2;BRAF;KRAS;TP53
KEGG_2019_Human	Non-small cell lung cancer	10/66	7.756445e-12	1.079439e-10	0	0	3.160395e+01	8.085081e+02	RASSF1;CDK6;BAD;CDKN2A;CDK4;ARAF;BRAF;KRAS;GRB2;TP53
KEGG_2019_Human	Cellular senescence	13/160	1.739520e-11	2.234615e-10	0	0	1.600843e+01	3.966060e+02	CDKN2A;TSC1;PPP1CA;CCND2;CDK6;CDK4;MYC;CDK2;MDM2;CDK1;KRAS;BTRC;TP53
KEGG_2019_Human	Pancreatic cancer	10/75	2.910653e-11	3.471993e-10	0	0	2.721566e+01	6.602535e+02	IKBKB;CDK6;BAD;CDKN2A;CDK4;ARAF;BRAF;KRAS;IKBKG;TP53
KEGG_2019_Human	Endometrial cancer	9/58	7.181007e-11	7.994855e-10	0	0	3.223063e+01	7.528107e+02	GSK3B;BAD;MYC;ARAF;CTNNB1;BRAF;KRAS;GRB2;TP53
KEGG_2019_Human	Colorectal cancer	10/86	1.175440e-10	1.226865e-09	0	0	2.326363e+01	5.319044e+02	GSK3B;BAD;MYC;ARAF;BIRC5;CTNNB1;BRAF;KRAS;GRB2;TP53
KEGG_2019_Human	MicroRNAs in cancer	15/299	4.297086e-10	4.221255e-09	0	0	9.671910e+00	2.086029e+02	CDKN1B;CDKN2A;BRCA1;RPTOR;IKBKB;RASSF1;CCND2;CDK6;MYC;MDM2;SPRY2;GRB2;KRAS;EZR;TP53
KEGG_2019_Human	Hepatocellular carcinoma	12/168	4.851562e-10	4.462572e-09	0	0	1.379161e+01	2.957824e+02	GSK3B;CDK6;BAD;CDK4;CDKN2A;MYC;ARAF;CTNNB1;GRB2;BRAF;KRAS;TP53
KEGG_2019_Human	FoxO signaling pathway	11/132	5.116165e-10	4.462572e-09	0	0	1.618100e+01	3.461673e+02	IKBKB;CCND2;CDKN1B;PLK2;PLK1;CDK2;ARAF;MDM2;GRB2;BRAF;KRAS
KEGG_2019_Human	Melanoma	9/72	5.344397e-10	4.462572e-09	0	0	2.505057e+01	5.348247e+02	CDK6;BAD;CDKN2A;CDK4;ARAF;MDM2;BRAF;KRAS;TP53
KEGG_2019_Human	Insulin signaling pathway	11/137	7.628465e-10	5.895662e-09	0	0	1.553496e+01	3.261405e+02	RPTOR;IKBKB;GSK3B;BAD;ARAF;TSC1;GRB2;BRAF;KRAS;FBP1;PPP1CA
KEGG_2019_Human	Glioma	9/75	7.766741e-10	5.895662e-09	0	0	2.390829e+01	5.015002e+02	CDK6;CDKN2A;CDK4;ARAF;MDM2;BRAF;KRAS;GRB2;TP53
KEGG_2019_Human	Human cytomegalovirus infection	13/225	1.217630e-09	8.841055e-09	0	0	1.106361e+01	2.270957e+02	GSK3B;CDKN2A;TSC1;IKBKB;CDK6;CDK4;MYC;MDM2;CTNNB1;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	Breast cancer	11/147	1.619201e-09	1.114614e-08	0	0	1.438540e+01	2.911797e+02	GSK3B;CDK6;CDK4;MYC;ARAF;CTNNB1;GRB2;BRAF;KRAS;BRCA1;TP53
KEGG_2019_Human	Human papillomavirus infection	15/330	1.668584e-09	1.114614e-08	0	0	8.706275e+00	1.759651e+02	GSK3B;CDKN1B;BAD;TSC1;IKBKB;CCND2;CDK6;CDK4;CDK2;MDM2;CTNNB1;GRB2;KRAS;IKBKG;TP53
KEGG_2019_Human	ErbB signaling pathway	9/85	2.419639e-09	1.554153e-08	0	0	2.075198e+01	4.117120e+02	GSK3B;CDKN1B;BAD;MYC;ARAF;BRAF;KRAS;GRB2;PAK2
KEGG_2019_Human	Epstein-Barr virus infection	12/201	3.772394e-09	2.333295e-08	0	0	1.136450e+01	2.204208e+02	IKBKB;CCND2;CDK6;CDKN1B;CDK4;MYC;NEDD4;PSMC2;CDK2;MDM2;IKBKG;TP53
KEGG_2019_Human	Acute myeloid leukemia	8/66	6.495980e-09	3.874388e-08	0	0	2.398064e+01	4.520850e+02	IKBKB;BAD;MYC;ARAF;BRAF;KRAS;GRB2;IKBKG
KEGG_2019_Human	Progesterone-mediated oocyte maturation	9/99	9.472450e-09	5.454825e-08	0	0	1.751150e+01	3.235229e+02	HSP90AA1;HSP90AB1;PLK1;CDK2;ARAF;CDK1;BRAF;KRAS;AURKA
KEGG_2019_Human	Measles	10/138	1.258449e-08	7.005367e-08	0	0	1.377651e+01	2.506057e+02	IKBKB;GSK3B;CCND2;CDK6;CDKN1B;BAD;CDK4;CDK2;IKBKG;TP53
