Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cellular senescence	18/160	2.194807e-16	3.745189e-14	0	0	1.892574e+01	6.823725e+02	MAP2K3;MAP2K1;CDKN2A;TSC1;MAPK14;NFKB1;TGFBR1;CCNB1;CHEK2;CHEK1;CDK2;CDK1;AKT1;MAPK1;KRAS;BTRC;MAP2K6;MAPK3
KEGG_2019_Human	Pancreatic cancer	14/75	3.636106e-16	3.745189e-14	0	0	3.339513e+01	1.187212e+03	RALBP1;MAP2K1;SMAD4;CHUK;BAD;CDKN2A;ARAF;BRAF;TGFBR1;NFKB1;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Prostate cancer	15/97	5.981528e-16	4.107316e-14	0	0	2.678591e+01	9.389180e+02	GSK3B;MAP2K1;HSP90AB1;CHUK;BAD;LEF1;ARAF;BRAF;NFKB1;CDK2;AKT1;MAPK1;CTNNB1;KRAS;MAPK3
KEGG_2019_Human	Hepatitis B	17/163	5.623186e-15	2.895941e-13	0	0	1.725039e+01	5.660176e+02	MAP2K3;SMAD4;MAP2K1;CHUK;BAD;ARAF;PRKCA;BRAF;MAPK14;NFKB1;TGFBR1;CDK2;AKT1;MAPK1;KRAS;MAP2K6;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	13/76	1.425709e-14	5.873920e-13	0	0	2.980315e+01	9.501698e+02	MAP2K1;SMAD4;CHUK;BAD;CDKN2A;ARAF;BRAF;TGFBR1;NFKB1;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	14/99	2.114914e-14	7.261204e-13	0	0	2.393685e+01	7.537039e+02	MAP2K1;HSP90AB1;PLK1;ARAF;BRAF;MAPK14;AURKA;CCNB1;CDK2;CDK1;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	3.219392e-14	9.474210e-13	0	0	1.381631e+01	4.292312e+02	MAP2K3;MAP2K1;CHUK;BAD;PXN;PRKCA;TRAF2;MAPK14;NFKB1;CCNB1;CHEK1;CDK1;AKT1;MAPK1;KRAS;BTRC;MAP2K6;MAPK3
KEGG_2019_Human	Hepatitis C	16/155	4.336670e-14	1.116693e-12	0	0	1.693203e+01	5.209831e+02	YWHAE;GSK3B;MAP2K1;CHUK;BAD;ARAF;TRAF2;BRAF;NFKB1;CDK2;AKT1;CTNNB1;MAPK1;KRAS;YWHAH;MAPK3
KEGG_2019_Human	Colorectal cancer	13/86	7.622400e-14	1.744683e-12	0	0	2.570753e+01	7.764985e+02	GSK3B;MAP2K1;SMAD4;BAD;LEF1;ARAF;BRAF;TGFBR1;AKT1;MAPK1;CTNNB1;KRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	11/58	4.902596e-13	1.009935e-11	0	0	3.334349e+01	9.450825e+02	GSK3B;MAP2K1;BAD;LEF1;ARAF;AKT1;MAPK1;CTNNB1;BRAF;KRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	19/295	8.813251e-13	1.650482e-11	0	0	1.028615e+01	2.855162e+02	MAP2K3;MAP2K1;CHUK;ARAF;HSPB1;PRKCA;TRAF2;BRAF;ARRB1;HSPA2;MAPK14;NFKB1;TGFBR1;AKT1;MAPK1;KRAS;FGFR4;MAP2K6;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	17/225	1.162636e-12	1.956440e-11	0	0	1.207034e+01	3.316971e+02	GSK3B;MAP2K1;CHUK;CDKN2A;PXN;TSC1;PRKCA;TRAF2;MAPK14;NFKB1;GNAS;AKT1;CTNNB1;MAPK1;KRAS;MAP2K6;MAPK3
KEGG_2019_Human	FoxO signaling pathway	14/132	1.234647e-12	1.956440e-11	0	0	1.721386e+01	4.720081e+02	MAP2K1;SMAD4;CHUK;PLK1;ARAF;BRAF;MAPK14;TGFBR1;CCNB1;CDK2;AKT1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	11/66	2.197429e-12	3.218348e-11	0	0	2.848201e+01	7.645636e+02	MAP2K1;CHUK;BAD;LEF1;ARAF;AKT1;MAPK1;BRAF;KRAS;NFKB1;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	15/168	2.368469e-12	3.218348e-11	0	0	1.430428e+01	3.829082e+02	GSK3B;SMAD4;MAP2K1;BAD;CDKN2A;LEF1;ARAF;PRKCA;BRAF;TGFBR1;AKT1;CTNNB1;MAPK1;KRAS;MAPK3
KEGG_2019_Human	Viral carcinogenesis	16/201	2.499687e-12	3.218348e-11	0	0	1.269221e+01	3.390707e+02	YWHAE;BAD;CDKN2A;PXN;TRAF2;NFKB1;HDAC6;HIST4H4;CHEK1;CDK2;CDK1;REL;MAPK1;KRAS;YWHAH;MAPK3
KEGG_2019_Human	Cell cycle	13/124	9.425249e-12	1.142118e-10	0	0	1.687427e+01	4.283977e+02	YWHAE;GSK3B;SMAD4;CDKN2A;PLK1;BUB1B;CCNB1;CHEK2;RAD21;CHEK1;CDK2;CDK1;YWHAH
