Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	14/124	8.659444e-14	1.086031e-11	0	0	2.131063e+01	6.409714e+02	HDAC2;MCM7;PRKDC;YWHAB;PLK1;CUL1;YWHAZ;RBX1;CCNB1;YWHAQ;MYC;CDK2;MDM2;YWHAG
KEGG_2019_Human	Hepatitis C	15/155	1.086031e-13	1.086031e-11	0	0	1.806593e+01	5.392876e+02	BAD;YWHAB;ARAF;BRAF;YWHAZ;EGFR;NFKB1;YWHAQ;MYC;CDK2;AKT1;CTNNB1;GRB2;IKBKG;YWHAG
KEGG_2019_Human	Hepatitis B	15/163	2.290255e-13	1.526836e-11	0	0	1.708247e+01	4.971842e+02	BAD;YWHAB;ARAF;BRAF;YWHAZ;NFKB1;IRAK1;YWHAQ;MYC;CDK2;AKT1;BIRC5;GRB2;IKBKG;MAP2K7
KEGG_2019_Human	Viral carcinogenesis	16/201	3.364653e-13	1.682326e-11	0	0	1.467512e+01	4.214735e+02	HDAC2;BAD;YWHAB;HLA-B;YWHAZ;NFKB1;HDAC6;NFKB2;YWHAQ;HIST4H4;CDK2;MDM2;GRB2;IKBKG;PRKACB;YWHAG
KEGG_2019_Human	Prostate cancer	12/97	1.818926e-12	7.275703e-11	0	0	2.327412e+01	6.291640e+02	HSP90AB1;BAD;CDK2;ARAF;MDM2;AKT1;CTNNB1;BRAF;GRB2;IKBKG;NFKB1;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	11/76	2.697153e-12	8.990511e-11	0	0	2.769650e+01	7.378023e+02	HDAC2;BAD;MYC;ARAF;MDM2;AKT1;BRAF;GRB2;IKBKG;NFKB1;BCL2L1
KEGG_2019_Human	Pathways in cancer	22/530	5.560806e-12	1.588802e-10	0	0	7.622047e+00	1.975275e+02	HDAC2;NOTCH1;HSP90AB1;BAD;ARAF;CUL1;BRAF;MLH1;EGFR;NFKB1;RBX1;NFKB2;MYC;CDK2;MDM2;AKT1;BIRC5;CTNNB1;GRB2;IKBKG;PRKACB;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	2.077624e-11	5.194059e-10	0	0	9.178571e+00	2.257673e+02	PRKAA1;PRKAA2;HSP90AB1;BAD;YWHAB;YWHAZ;EGFR;NFKB1;YWHAQ;MYC;CDC37;CDK2;MDM2;AKT1;GRB2;IKBKG;YWHAG;BCL2L1
KEGG_2019_Human	Endometrial cancer	9/58	1.461059e-10	3.246798e-09	0	0	2.959532e+01	6.702360e+02	BAD;MYC;ARAF;AKT1;CTNNB1;BRAF;GRB2;MLH1;EGFR
KEGG_2019_Human	Apoptosis	12/143	1.876514e-10	3.753028e-09	0	0	1.506641e+01	3.374339e+02	BECN1;BAD;CTSL;LMNA;AKT1;BIRC5;CTSV;IKBKG;NFKB1;CTSS;BCL2L1;CTSB
KEGG_2019_Human	Colorectal cancer	10/86	2.570764e-10	4.674117e-09	0	0	2.134599e+01	4.713546e+02	BAD;MYC;ARAF;AKT1;BIRC5;CTNNB1;BRAF;GRB2;MLH1;EGFR
KEGG_2019_Human	Oocyte meiosis	11/125	6.648573e-10	1.108095e-08	0	0	1.575279e+01	3.328793e+02	CCNB1;YWHAQ;YWHAB;PLK1;CDK2;CUL1;PRKACB;YWHAZ;YWHAG;RBX1;AURKA
KEGG_2019_Human	FoxO signaling pathway	11/132	1.193528e-09	1.836197e-08	0	0	1.483621e+01	3.048301e+02	CCNB1;PRKAA1;PRKAA2;PLK1;CDK2;ARAF;MDM2;AKT1;BRAF;GRB2;EGFR
