Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	17/97	1.325027e-20	2.530801e-18	0	0	4.084951e+01	1.869693e+03	MAP2K1;MAP2K2;HSP90AB1;CHUK;ARAF;PTEN;BRAF;PIK3R1;IGF1R;HSP90B1;AR;E2F1;AKT1;MAPK1;CTNNB1;KRAS;RAF1
KEGG_2019_Human	MAPK signaling pathway	21/295	6.490267e-17	6.198205e-15	0	0	1.517828e+01	5.657498e+02	MAP2K3;HSPA8;MAP2K1;MAP3K1;MAP2K2;CHUK;ARAF;HSPB1;PRKCA;TRAF2;BRAF;IGF1R;RAP1B;ERBB3;RPS6KA2;AKT1;MAPK1;KRAS;RAF1;HSPA1A;MAP2K6
KEGG_2019_Human	Hepatocellular carcinoma	17/168	2.039505e-16	1.071686e-14	0	0	2.156452e+01	7.790971e+02	MAP2K1;MAP2K2;CSNK1A1;ARAF;PTEN;PRKCA;BRAF;PIK3R1;IGF1R;TERT;E2F1;DVL2;AKT1;CTNNB1;MAPK1;KRAS;RAF1
KEGG_2019_Human	Proteoglycans in cancer	18/201	2.244368e-16	1.071686e-14	0	0	1.899421e+01	6.844173e+02	MAP2K1;MAP2K2;PXN;ARAF;PRKCA;BRAF;PIK3R1;IQGAP1;CBL;PPP1CA;IGF1R;ERBB3;AKT1;CTNNB1;MAPK1;NANOG;KRAS;RAF1
KEGG_2019_Human	Breast cancer	16/147	5.097375e-16	1.890673e-14	0	0	2.319319e+01	8.166933e+02	MAP2K1;MAP2K2;CSNK1A1;NCOA3;ARAF;PTEN;BRAF;PIK3R1;IGF1R;E2F1;DVL2;AKT1;CTNNB1;MAPK1;KRAS;RAF1
KEGG_2019_Human	Glioma	13/75	6.207705e-16	1.890673e-14	0	0	3.883539e+01	1.359843e+03	MAP2K1;MAP2K2;ARAF;PTEN;PRKCA;BRAF;PIK3R1;IGF1R;E2F1;AKT1;MAPK1;KRAS;RAF1
KEGG_2019_Human	mTOR signaling pathway	16/152	8.741924e-16	1.890673e-14	0	0	2.233484e+01	7.744211e+02	MAP2K1;MAP2K2;CHUK;PTEN;PRKCA;BRAF;PIK3R1;IGF1R;RPTOR;STK11;RPS6KA2;DVL2;AKT1;MAPK1;KRAS;RAF1
KEGG_2019_Human	Pathways in cancer	25/530	8.761499e-16	1.890673e-14	0	0	1.009640e+01	3.500524e+02	HSP90AB1;ARAF;PTEN;PIK3R1;CBL;HSP90B1;IGF1R;RASSF1;TERT;E2F1;DVL2;AKT1;MAPK1;MAP2K1;MAP2K2;CHUK;NCOA3;PRKCA;TRAF2;BRAF;AR;GNAS;CTNNB1;KRAS;RAF1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	14/99	8.908931e-16	1.890673e-14	0	0	3.075805e+01	1.065899e+03	MAP2K1;HSP90AB1;ARAF;BRAF;PIK3R1;IGF1R;AURKA;FZR1;RPS6KA2;CDC27;AKT1;MAPK1;KRAS;RAF1
KEGG_2019_Human	Non-small cell lung cancer	12/66	4.645675e-15	8.873240e-14	0	0	4.079424e+01	1.346326e+03	RASSF1;MAP2K1;MAP2K2;ARAF;E2F1;AKT1;MAPK1;PRKCA;BRAF;KRAS;PIK3R1;RAF1
KEGG_2019_Human	Rap1 signaling pathway	17/206	6.354440e-15	1.103362e-13	0	0	1.719561e+01	5.621181e+02	MAP2K3;MAP2K1;MAP2K2;PRKCA;BRAF;PIK3R1;IGF1R;RAP1B;GNAS;AKT1;CTNNB1;MAPK1;KRAS;PFN1;RAF1;BCAR1;MAP2K6
KEGG_2019_Human	Melanoma	12/72	1.406979e-14	2.239442e-13	0	0	3.670370e+01	1.170655e+03	MAP2K1;MAP2K2;ARAF;PTEN;E2F1;AKT1;MAPK1;BRAF;KRAS;PIK3R1;RAF1;IGF1R
