Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	21/97	4.649454e-26	9.903337e-24	0	0	4.713328e+01	2.749306e+03	GSK3B;HSP90AA1;HSP90AB1;PDPK1;ARAF;PIK3R3;BRAF;MTOR;IGF1R;AR;AKT3;MDM2;AKT1;MAPK1;CTNNB1;KRAS;IKBKG;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	16/58	5.971884e-22	6.231596e-20	0	0	6.240378e+01	3.049661e+03	GSK3B;PDPK1;ARAF;ILK;PIK3R3;BRAF;MYC;AKT3;AKT1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	23/201	8.776896e-22	6.231596e-20	0	0	2.231199e+01	1.081791e+03	PDPK1;PXN;ARAF;PIK3R3;BRAF;ACTB;MTOR;PPP1CA;IGF1R;SMO;CTSL;MYC;AKT3;MDM2;AKT1;CTNNB1;MAPK1;KRAS;RAF1;PRKACA;TP53;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	31/530	2.177773e-20	1.159664e-18	0	0	1.134881e+01	5.137992e+02	GSK3B;HSP90AB1;ARAF;CUL1;PIK3R3;IGF1R;GNG2;MYC;AKT3;GNA12;AKT1;MAPK1;IKBKG;PRKACA;HRAS;MAPK3;SMAD4;HSP90AA1;ZBTB16;PTCH2;TRAF2;BRAF;MTOR;AR;SMO;TRAF6;MDM2;CTNNB1;KRAS;RAF1;TP53
KEGG_2019_Human	Colorectal cancer	16/86	6.152397e-19	2.620921e-17	0	0	3.738937e+01	1.567822e+03	GSK3B;SMAD4;ARAF;PIK3R3;BRAF;MTOR;MYC;AKT3;AKT1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	15/76	3.113876e-18	1.017920e-16	0	0	3.991266e+01	1.608906e+03	SMAD4;ARAF;PIK3R3;BRAF;MYC;AKT3;MDM2;AKT1;MAPK1;KRAS;IKBKG;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	17/116	3.345276e-18	1.017920e-16	0	0	2.828182e+01	1.138032e+03	GSK3B;PDPK1;PIK3R3;ACTB;MTOR;MYC;AKT3;MDM2;AKT1;MAPK1;CTNNB1;KRAS;PRKACA;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	18/143	5.437707e-18	1.447790e-16	0	0	2.388464e+01	9.494902e+02	PDPK1;PIK3R3;TRAF2;CTSV;ACTB;CTSS;CTSL;AKT3;AKT1;MAPK1;KRAS;IKBKG;RAF1;TP53;HRAS;MAP3K5;CTSB;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	14/66	1.450583e-17	3.433047e-16	0	0	4.336366e+01	1.681295e+03	ZBTB16;ARAF;PIK3R3;BRAF;MTOR;MYC;AKT3;AKT1;MAPK1;KRAS;IKBKG;RAF1;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	18/155	2.370417e-17	5.048988e-16	0	0	2.177930e+01	8.337310e+02	GSK3B;ARAF;PIK3R3;TRAF2;BRAF;PPP2R1A;MYC;TRAF6;AKT3;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	20/225	7.321051e-17	1.392986e-15	0	0	1.639191e+01	6.090119e+02	GSK3B;PXN;PIK3R3;TRAF2;MTOR;GNG2;MYC;AKT3;GNA12;MDM2;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;RAF1;PRKACA;TP53;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	22/295	7.847806e-17	1.392986e-15	0	0	1.372766e+01	5.090727e+02	HSPA1L;ARAF;TRAF2;BRAF;ARRB1;ARRB2;IGF1R;RAP1B;MYC;TRAF6;AKT3;GNA12;AKT1;MAPK1;KRAS;IKBKG;RAF1;PRKACA;TP53;HRAS;MAP3K5;MAPK3
KEGG_2019_Human	Glioma	14/75	9.974976e-17	1.550229e-15	0	0	3.694895e+01	1.361342e+03	ARAF;PIK3R3;BRAF;MTOR;IGF1R;AKT3;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	18/168	1.018930e-16	1.550229e-15	0	0	1.987866e+01	7.319840e+02	GSK3B;SMAD4;ARAF;PIK3R3;BRAF;ACTB;MTOR;IGF1R;MYC;AKT3;AKT1;CTNNB1;MAPK1;KRAS;RAF1;TP53;HRAS;MAPK3
