Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	22/124	5.586002e-26	1.055754e-23	0	0	4.061270e+01	2.361504e+03	SMAD2;YWHAE;GSK3B;CREBBP;CDKN2B;SMAD3;CDKN1B;MCM7;PRKDC;BUB1B;CCNB1;CDK6;CCNE2;YWHAQ;CDK4;MYC;CDC16;CDK2;CDK1;EP300;TP53;YWHAH
KEGG_2019_Human	Hepatitis C	18/155	5.871450e-18	5.548520e-16	0	0	2.378946e+01	9.438808e+02	YWHAE;GSK3B;MAP2K1;ARAF;TRAF2;BRAF;PIK3R1;CDK6;YWHAQ;PPP2R1A;CDK4;MYC;CDK2;AKT1;CTNNB1;MAPK1;TP53;YWHAH
KEGG_2019_Human	Hepatitis B	18/163	1.468274e-17	9.250126e-16	0	0	2.246783e+01	8.708498e+02	SMAD2;MAP2K3;CREBBP;MAP2K1;SMAD3;ARAF;PRKCA;BRAF;PIK3R1;YWHAQ;CCNE2;MYC;CDK2;AKT1;EP300;MAPK1;MAP2K7;TP53
KEGG_2019_Human	Prostate cancer	15/97	4.697295e-17	2.219472e-15	0	0	3.232415e+01	1.215290e+03	GSK3B;MAP2K1;CREBBP;CDKN1B;HSP90AB1;ARAF;BRAF;PIK3R1;CCNE2;CDK2;AKT1;EP300;MAPK1;CTNNB1;TP53
KEGG_2019_Human	Gastric cancer	17/149	6.997853e-17	2.645188e-15	0	0	2.311274e+01	8.597557e+02	SMAD2;GSK3B;MAP2K1;CDKN2B;SMAD3;CDKN1B;ARAF;BRAF;PIK3R1;CCNE2;MYC;CDK2;RPS6KB2;AKT1;CTNNB1;MAPK1;TP53
KEGG_2019_Human	Cellular senescence	17/160	2.372555e-16	7.473550e-15	0	0	2.132295e+01	7.671442e+02	SMAD2;MAP2K3;MAP2K1;CDKN2B;SMAD3;PIK3R1;PPP1CA;CCNB1;CDK6;CCNE2;CDK4;MYC;CDK2;CDK1;AKT1;MAPK1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	17/168	5.446413e-16	1.432145e-14	0	0	2.018507e+01	7.094326e+02	SMAD2;GSK3B;MAP2K1;SMAD3;ARAF;PRKCA;BRAF;PIK3R1;ACTB;CDK6;CDK4;MYC;RPS6KB2;AKT1;CTNNB1;MAPK1;TP53
KEGG_2019_Human	Viral carcinogenesis	18/201	6.331592e-16	1.432145e-14	0	0	1.776809e+01	6.218085e+02	YWHAE;CREBBP;CDKN2B;CDKN1B;TRAF2;PIK3R1;HDAC6;CDK6;YWHAQ;CCNE2;CDK4;HIST4H4;CDK2;CDK1;EP300;MAPK1;TP53;YWHAH
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	6.819736e-16	1.432145e-14	0	0	1.233224e+01	4.306609e+02	YWHAE;GSK3B;MAP2K1;CDKN1B;HSP90AB1;PRKCA;PIK3R1;BRCA1;RPTOR;STK11;CDK6;YWHAQ;CCNE2;PPP2R1A;CDK4;MYC;CDK2;RPS6KB2;AKT1;MAPK1;TP53;YWHAH
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	2.884222e-15	5.451180e-14	0	0	1.616213e+01	5.411002e+02	SMAD2;CREBBP;MAP2K1;CDKN2B;SMAD3;BUB1B;PIK3R1;CCNE2;CDK4;MYC;CDC16;CDK2;CANX;AKT1;EP300;MAPK1;TP53;RAN
