Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	16/124	2.190898e-16	4.447522e-14	0	0	2.459633e+01	8.868710e+02	YWHAE;GSK3B;HDAC2;MCM7;PRKDC;CDKN2A;CUL1;RBX1;MYC;CDC16;CDK2;MDM2;CDK1;TP53;YWHAH;MAD2L1
KEGG_2019_Human	Viral carcinogenesis	17/201	3.142818e-14	3.189960e-12	0	0	1.540977e+01	4.791064e+02	YWHAE;HDAC2;CDKN2A;HDAC6;HNRNPK;PKM;HIST4H4;CDK2;MDM2;REL;CDK1;MAPK1;KRAS;IKBKG;PRKACA;TP53;YWHAH
KEGG_2019_Human	Prostate cancer	13/97	9.646697e-14	5.151350e-12	0	0	2.509299e+01	7.520264e+02	GSK3B;HSP90AA1;ARAF;BRAF;IKBKB;CDK2;MDM2;AKT1;MAPK1;CTNNB1;KRAS;IKBKG;TP53
KEGG_2019_Human	Chronic myeloid leukemia	12/76	1.168290e-13	5.151350e-12	0	0	3.018445e+01	8.988346e+02	IKBKB;HDAC2;CDKN2A;MYC;ARAF;MDM2;AKT1;MAPK1;BRAF;KRAS;IKBKG;TP53
KEGG_2019_Human	Pathways in cancer	24/530	1.373838e-13	5.151350e-12	0	0	8.272193e+00	2.449893e+02	GSK3B;HSP90AA1;HDAC2;JUP;EPAS1;CDKN2A;ARAF;CUL1;AXIN1;BRAF;HIF1A;RBX1;IKBKB;APC;MYC;CDK2;MDM2;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;PRKACA;TP53
KEGG_2019_Human	Endometrial cancer	11/58	1.522566e-13	5.151350e-12	0	0	3.740528e+01	1.103950e+03	GSK3B;APC;MYC;ARAF;AXIN1;AKT1;MAPK1;CTNNB1;BRAF;KRAS;TP53
KEGG_2019_Human	Hepatitis C	14/155	2.648947e-12	7.681948e-11	0	0	1.618522e+01	4.314471e+02	YWHAE;GSK3B;ARAF;BRAF;IKBKB;MYC;CDK2;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;TP53;YWHAH
KEGG_2019_Human	Progesterone-mediated oocyte maturation	12/99	3.053608e-12	7.748529e-11	0	0	2.217886e+01	5.880658e+02	HSP90AA1;CDC16;CDK2;ARAF;CDK1;AKT1;MAPK1;BRAF;KRAS;PRKACA;AURKA;MAD2L1
KEGG_2019_Human	Proteoglycans in cancer	15/201	6.807956e-12	1.535572e-10	0	0	1.322513e+01	3.400569e+02	DDX5;RPS6;ARAF;BRAF;HIF1A;ACTB;MYC;MDM2;AKT1;CTNNB1;MAPK1;NANOG;KRAS;PRKACA;TP53
KEGG_2019_Human	Colorectal cancer	11/86	1.394585e-11	2.831008e-10	0	0	2.340753e+01	5.850908e+02	GSK3B;APC;MYC;ARAF;AXIN1;AKT1;MAPK1;CTNNB1;BRAF;KRAS;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	2.062294e-11	3.805869e-10	0	0	1.853752e+01	4.561087e+02	GSK3B;HDAC2;MYC;MDM2;AKT1;MAPK1;CTNNB1;KRAS;PRKACA;TP53;HIF1A;ACTB
KEGG_2019_Human	Gastric cancer	13/149	2.573500e-11	4.353504e-10	0	0	1.545787e+01	3.769119e+02	GSK3B;JUP;ARAF;AXIN1;BRAF;APC;MYC;CDK2;AKT1;CTNNB1;MAPK1;KRAS;TP53
KEGG_2019_Human	Oocyte meiosis	12/125	5.017694e-11	7.835323e-10	0	0	1.705331e+01	4.044273e+02	YWHAE;CDC16;CDK2;CUL1;CDK1;MAPK1;BTRC;PRKACA;RBX1;YWHAH;AURKA;MAD2L1
KEGG_2019_Human	Cellular senescence	13/160	6.338486e-11	9.190805e-10	0	0	1.429319e+01	3.356297e+02	MAP2K3;CDKN2A;TSC1;ZFP36L2;MYC;CDK2;MDM2;CDK1;AKT1;MAPK1;KRAS;BTRC;TP53
KEGG_2019_Human	Hepatocellular carcinoma	13/168	1.170261e-10	1.583753e-09	0	0	1.354997e+01	3.098693e+02	GSK3B;CDKN2A;ARAF;AXIN1;BRAF;ACTB;APC;MYC;AKT1;CTNNB1;MAPK1;KRAS;TP53
KEGG_2019_Human	Insulin signaling pathway	12/137	1.478640e-10	1.876025e-09	0	0	1.540683e+01	3.487294e+02	IKBKB;GSK3B;FASN;RPS6;ARAF;AKT1;MAPK1;TSC1;BRAF;KRAS;PRKACA;FBP1
KEGG_2019_Human	Bladder cancer	8/41	2.768513e-10	3.305930e-09	0	0	3.785636e+01	8.331254e+02	CDKN2A;MYC;ARAF;MDM2;MAPK1;BRAF;KRAS;TP53
KEGG_2019_Human	Breast cancer	12/147	3.367519e-10	3.797813e-09	0	0	1.425836e+01	3.109986e+02	GSK3B;APC;MYC;ARAF;AXIN1;AKT1;CTNNB1;MAPK1;BRAF;KRAS;BRCA1;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	4.157966e-10	4.442458e-09	0	0	1.212906e+01	2.619978e+02	DDX5;HDAC2;JUP;FUS;HIST1H3A;BCL6;EWSR1;MYC;HIST3H3;NSD2;MDM2;REL;TP53
KEGG_2019_Human	Acute myeloid leukemia	9/66	5.938771e-10	6.027852e-09	0	0	2.482206e+01	5.273284e+02	IKBKB;JUP;MYC;ARAF;AKT1;MAPK1;BRAF;KRAS;IKBKG
KEGG_2019_Human	Wnt signaling pathway	12/158	7.770355e-10	7.511343e-09	0	0	1.317675e+01	2.763893e+02	GSK3B;APC;CSNK2A1;WIF1;MYC;CUL1;AXIN1;CTNNB1;BTRC;PRKACA;TP53;RBX1
KEGG_2019_Human	Human papillomavirus infection	16/330	8.226246e-10	7.590582e-09	0	0	8.371675e+00	1.751231e+02	GSK3B;HDAC2;AXIN1;TSC1;IKBKB;PKM;APC;CDK2;MDM2;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;PRKACA;TP53
KEGG_2019_Human	Renal cell carcinoma	9/69	8.939143e-10	7.889766e-09	0	0	2.357738e+01	4.912444e+02	RAP1A;EPAS1;ARAF;AKT1;MAPK1;BRAF;KRAS;HIF1A;RBX1
KEGG_2019_Human	Pancreatic cancer	9/75	1.914685e-09	1.619504e-08	0	0	2.142749e+01	4.301293e+02	IKBKB;CDKN2A;ARAF;AKT1;MAPK1;BRAF;KRAS;IKBKG;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	16/354	2.264715e-09	1.838949e-08	0	0	7.767689e+00	1.546222e+02	YWHAE;GSK3B;HSP90AA1;RPS6;TSC1;BRCA1;IKBKB;MYC;CDK2;MDM2;AKT1;MAPK1;KRAS;IKBKG;TP53;YWHAH
KEGG_2019_Human	Human cytomegalovirus infection	13/225	4.265530e-09	3.330395e-08	0	0	9.878170e+00	1.903790e+02	GSK3B;CDKN2A;TSC1;IKBKB;MYC;MDM2;AKT1;CTNNB1;MAPK1;KRAS;IKBKG;PRKACA;TP53
