Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	34/530	2.417626e-25	4.520961e-23	0	0	1.492737e+01	8.461110e+02	CAMK2B;ARAF;CUL1;BRCA2;GNAI1;HSP90B1;GNAI2;NRAS;FRAT2;BCL2L11;RAC2;PMAIP1;EP300;MAPK1;SKP2;HRAS;JAK1;SMAD2;EGLN1;CDKN2A;ARNT;BRAF;CCNA1;RAD51;TRAF6;CDK2;CTNNB1;KRAS;RAF1;TP53;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Colorectal cancer	14/86	1.619528e-16	1.514259e-14	0	0	3.533002e+01	1.284572e+03	SMAD2;ARAF;BRAF;NRAS;BCL2L11;RAC2;MAPK1;PMAIP1;CTNNB1;KRAS;RAF1;HRAS;SOS2;TP53
KEGG_2019_Human	Pancreatic cancer	13/75	8.629230e-16	4.410671e-14	0	0	3.777053e+01	1.310116e+03	SMAD2;CDKN2A;ARAF;BRAF;BRCA2;RAD51;RAC2;MAPK1;KRAS;RAF1;TP53;JAK1;BCL2L1
KEGG_2019_Human	Prostate cancer	14/97	9.434590e-16	4.410671e-14	0	0	3.063071e+01	1.059730e+03	ARAF;BRAF;HSP90B1;NRAS;CDK2;EP300;MAPK1;CTNNB1;KRAS;RAF1;TP53;HRAS;SOS2;FGFR1
KEGG_2019_Human	Hepatitis B	16/163	4.003656e-15	1.497367e-13	0	0	2.006993e+01	6.653498e+02	SMAD2;PCNA;ARAF;BRAF;CCNA1;NRAS;TRAF6;CDK2;EP300;MAPK1;KRAS;RAF1;TP53;SOS2;HRAS;JAK1
KEGG_2019_Human	Cell cycle	14/124	3.196734e-14	9.963155e-13	0	0	2.308073e+01	7.172121e+02	SMAD2;PCNA;CDKN2A;CUL1;SMC3;CDC20;CCNA1;FZR1;RAD21;CDC27;CDK2;EP300;SKP2;TP53
KEGG_2019_Human	Bladder cancer	10/41	5.089398e-14	1.359596e-12	0	0	5.665430e+01	1.734133e+03	NRAS;CDKN2A;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR3;TP53
KEGG_2019_Human	FoxO signaling pathway	14/132	7.724404e-14	1.805579e-12	0	0	2.150723e+01	6.493421e+02	SMAD2;ARAF;BRAF;NRAS;BCL2L11;CDK2;CAT;EP300;MAPK1;KRAS;RAF1;SKP2;SOS2;HRAS
KEGG_2019_Human	Proteoglycans in cancer	16/201	1.094000e-13	2.273089e-12	0	0	1.591675e+01	4.750157e+02	SMAD2;CAMK2B;ARAF;BRAF;NRAS;ERBB3;FLNA;CTNNB1;MAPK1;KRAS;RAF1;EZR;TP53;SOS2;HRAS;FGFR1
KEGG_2019_Human	Breast cancer	14/147	3.480437e-13	6.508417e-12	0	0	1.906712e+01	5.469679e+02	ARAF;BRAF;BRCA1;BRCA2;NRAS;FRAT2;CTNNB1;MAPK1;KRAS;RAF1;TP53;SOS2;HRAS;FGFR1
