Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Homologous recombination	13/41	3.550249e-20	5.964418e-18	0	0	9.409366e+01	4.213955e+03	TOP3B;BARD1;XRCC3;RPA1;RPA2;BRCC3;BRCA1;BRCA2;BABAM2;RAD51;RPA3;UIMC1;SYCP3
KEGG_2019_Human	Fanconi anemia pathway	12/54	1.308329e-16	1.098996e-14	0	0	5.727850e+01	2.094824e+03	TOP3B;SLX4;RAD51;FANCD2;RPA3;RPA1;PMS2;RPA2;BRCA1;BRCA2;MLH1;POLH
KEGG_2019_Human	Cell cycle	15/124	2.656286e-16	1.487520e-14	0	0	2.835436e+01	1.016913e+03	SMAD2;PCNA;CDKN2A;CUL1;CCNA2;CCNA1;CCNB1;CDC45;CCNE1;MYC;RAD21;CDK2;EP300;SKP2;TP53
KEGG_2019_Human	Mismatch repair	8/23	3.186025e-13	1.338130e-11	0	0	1.029074e+02	2.961144e+03	PCNA;EXO1;MSH3;RPA3;RPA1;RPA2;PMS2;MLH1
KEGG_2019_Human	Cellular senescence	12/160	9.031629e-11	2.564403e-09	0	0	1.616790e+01	3.739263e+02	SMAD2;CCNA2;CCNA1;CCNB1;CDKN2A;CCNE1;MYC;CDK2;HUS1;RAD1;TP53;RAD9A
KEGG_2019_Human	Viral carcinogenesis	13/201	9.158584e-11	2.564403e-09	0	0	1.390105e+01	3.213054e+02	CDKN2A;HDAC6;CCNA2;CDC42;CCNA1;CCNE1;HIST4H4;CDK2;EP300;HIST1H2BG;IKBKG;SKP2;TP53
KEGG_2019_Human	Pathways in cancer	17/530	5.545568e-09	1.330936e-07	0	0	6.830741e+00	1.298542e+02	SMAD2;ROCK2;CDKN2A;CUL1;BRCA2;MLH1;CDC42;CCNA1;RAD51;MSH3;CCNE1;MYC;CDK2;EP300;IKBKG;SKP2;TP53
KEGG_2019_Human	Hepatitis B	10/163	2.490579e-08	5.230216e-07	0	0	1.277163e+01	2.236078e+02	SMAD2;CCNA2;CCNA1;PCNA;CCNE1;MYC;CDK2;EP300;IKBKG;TP53
KEGG_2019_Human	Pancreatic cancer	7/75	1.948827e-07	3.637811e-06	0	0	1.961920e+01	3.031337e+02	CDC42;SMAD2;RAD51;CDKN2A;IKBKG;BRCA2;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	3.967947e-07	6.666151e-06	0	0	9.323038e+00	1.374201e+02	SMAD2;CCNA2;CCNA1;CDKN2A;CCNE1;MYC;CDK2;EP300;IKBKG;TP53
KEGG_2019_Human	p53 signaling pathway	6/72	2.958433e-06	4.518335e-05	0	0	1.716277e+01	2.184967e+02	CCNB1;CCNE1;CDKN2A;CDK2;RCHY1;TP53
KEGG_2019_Human	Small cell lung cancer	6/93	1.313406e-05	1.838768e-04	0	0	1.300624e+01	1.461941e+02	CCNE1;MYC;CDK2;IKBKG;SKP2;TP53
KEGG_2019_Human	Epstein-Barr virus infection	8/201	1.649891e-05	2.132167e-04	0	0	7.926354e+00	8.728673e+01	CCNA2;CCNA1;CCNE1;MYC;CDK2;IKBKG;SKP2;TP53
KEGG_2019_Human	DNA replication	4/36	4.615467e-05	5.538560e-04	0	0	2.319743e+01	2.315918e+02	PCNA;RPA3;RPA1;RPA2
KEGG_2019_Human	Oocyte meiosis	6/125	7.001670e-05	7.841871e-04	0	0	9.493397e+00	9.082121e+01	PPP2CA;CCNB1;CCNE1;CDK2;CUL1;AURKA
KEGG_2019_Human	Human papillomavirus infection	9/330	9.393340e-05	9.359907e-04	0	0	5.378780e+00	4.987702e+01	CCNA2;PPP2CA;CDC42;CCNA1;CCNE1;CDK2;EP300;IKBKG;TP53
KEGG_2019_Human	FoxO signaling pathway	6/132	9.471334e-05	9.359907e-04	0	0	8.962812e+00	8.303737e+01	SMAD2;CCNB1;CDK2;CAT;EP300;SKP2
KEGG_2019_Human	Colorectal cancer	5/86	1.171389e-04	1.093297e-03	0	0	1.153506e+01	1.044171e+02	SMAD2;MSH3;MYC;MLH1;TP53
KEGG_2019_Human	Proteoglycans in cancer	7/201	1.311005e-04	1.120132e-03	0	0	6.833119e+00	6.108498e+01	SMAD2;CDC42;ROCK2;CTSL;MYC;FLNA;TP53
KEGG_2019_Human	Nucleotide excision repair	4/47	1.333490e-04	1.120132e-03	0	0	1.725364e+01	1.539463e+02	PCNA;RPA3;RPA1;RPA2
KEGG_2019_Human	TGF-beta signaling pathway	5/90	1.452486e-04	1.161989e-03	0	0	1.099001e+01	9.711943e+01	PPP2CA;SMAD2;MYC;CUL1;EP300
