Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	13/124	1.351714e-12	2.338465e-10	0	0	1.995030e+01	5.452345e+02	SMAD2;PCNA;CDKN2A;CUL1;BUB1B;CCNA1;FZR1;RAD21;CDK2;MDM2;EP300;SKP2;TP53
KEGG_2019_Human	Fanconi anemia pathway	9/54	6.062497e-11	5.244060e-09	0	0	3.304333e+01	7.773878e+02	RAD51;FANCD2;RPA1;RPA2;FANCC;BRCA1;BRCA2;FANCE;POLH
KEGG_2019_Human	Pathways in cancer	19/530	1.382276e-09	7.971123e-08	0	0	6.544031e+00	1.334952e+02	SMAD2;HSP90AB1;ROCK2;CDKN2A;CUL1;BRCA2;ESR1;ESR2;CCNA1;NRAS;RAD51;PIK3CA;TERT;CDK2;MDM2;CTNNB1;EP300;SKP2;TP53
KEGG_2019_Human	Homologous recombination	7/41	7.382768e-09	3.193047e-07	0	0	3.347613e+01	6.268110e+02	BARD1;RAD51;UIMC1;RPA1;RPA2;BRCA1;BRCA2
KEGG_2019_Human	Viral carcinogenesis	11/201	7.602298e-08	2.191996e-06	0	0	9.656155e+00	1.582859e+02	CCNA1;NRAS;HNRNPK;PIK3CA;CDKN2A;HIST4H4;CDK2;MDM2;EP300;SKP2;TP53
KEGG_2019_Human	Proteoglycans in cancer	11/201	7.602298e-08	2.191996e-06	0	0	9.656155e+00	1.582859e+02	SMAD2;NRAS;DDX5;PIK3CA;ROCK2;MDM2;FLNA;CTNNB1;EZR;TP53;ESR1
KEGG_2019_Human	Prostate cancer	8/97	2.150487e-07	5.314774e-06	0	0	1.469551e+01	2.256114e+02	NRAS;HSP90AB1;PIK3CA;CDK2;MDM2;EP300;CTNNB1;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	1.595429e-06	3.083021e-05	0	0	7.905593e+00	1.055268e+02	SMAD2;CCNA1;NRAS;PIK3CA;TERT;CDKN2A;CDK2;BUB1B;EP300;TP53
KEGG_2019_Human	Tight junction	9/170	1.603884e-06	3.083021e-05	0	0	9.181677e+00	1.225119e+02	PPP2CA;AFDN;PPP2CB;PCNA;ROCK2;MYH14;MYH9;EZR;AMOT
KEGG_2019_Human	Breast cancer	8/147	5.066367e-06	8.764815e-05	0	0	9.385576e+00	1.144373e+02	NRAS;PIK3CA;CTNNB1;BRCA1;BRCA2;TP53;ESR1;ESR2
