Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	14/124	2.181830e-13	3.250927e-11	0	0	1.979141e+01	5.769877e+02	CREBBP;HDAC2;ANAPC7;CCNH;HDAC1;CUL1;CDK7;CCND1;CDK2;CDK1;EP300;ATM;TP53;ATR
KEGG_2019_Human	Wnt signaling pathway	13/158	9.382867e-11	6.990236e-09	0	0	1.380830e+01	3.188274e+02	RNF43;TCF7L2;CREBBP;CTBP2;CSNK2A1;CSNK1A1;CSNK2A2;CUL1;CCND1;RUVBL1;CSNK2B;EP300;TP53
KEGG_2019_Human	Viral carcinogenesis	14/201	1.607086e-10	7.981863e-09	0	0	1.159661e+01	2.615202e+02	CREBBP;HDAC2;HDAC3;HDAC1;EIF2AK2;CHD4;CDC42;HNRNPK;CCND1;HIST4H4;CDK2;CDK1;EP300;TP53
KEGG_2019_Human	Prostate cancer	10/97	1.639828e-09	5.786720e-08	0	0	1.734843e+01	3.509356e+02	AR;TCF7L2;CREBBP;HSP90AB1;CCND1;CDK2;EP300;ERG;TP53;HSP90B1
KEGG_2019_Human	Adherens junction	9/72	1.941852e-09	5.786720e-08	0	0	2.142424e+01	4.297622e+02	CDC42;TCF7L2;CREBBP;CSNK2A1;CDH1;CSNK2A2;CSNK2B;EP300;IQGAP1
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	4.708843e-08	1.169363e-06	0	0	1.186031e+01	2.000981e+02	CUL4A;HERC2;ANAPC7;CUL3;CUL2;CUL1;UBE2N;HUWE1;UBE2D1;PML
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	8.619902e-08	1.720555e-06	0	0	9.517538e+00	1.548181e+02	CDK9;DDX5;HDAC2;NCOR1;FUS;HDAC1;ATM;ERG;BMI1;TP53;PML
KEGG_2019_Human	Human papillomavirus infection	14/330	9.237879e-08	1.720555e-06	0	0	6.817552e+00	1.104264e+02	TCF7L2;CREBBP;HDAC2;CSNK1A1;HDAC1;EIF2AK2;CHD4;CDC42;CCND1;CDK2;EP300;ATM;TP53;ATR
KEGG_2019_Human	Pathways in cancer	17/530	2.071321e-07	3.429187e-06	0	0	5.170125e+00	7.956776e+01	TCF7L2;CREBBP;HDAC2;HSP90AB1;CTBP2;HDAC1;CUL2;CUL1;PML;HSP90B1;CDC42;AR;CCND1;CDH1;CDK2;EP300;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	1.673186e-06	2.493047e-05	0	0	1.100028e+01	1.463123e+02	CREBBP;HDAC2;NCOR1;HDAC3;CCND1;HDAC1;EP300;TP53
KEGG_2019_Human	Spliceosome	8/134	4.934252e-06	6.683669e-05	0	0	9.420217e+00	1.151085e+02	PRPF4;HSPA8;DDX5;HNRNPK;SF3B3;SNRNP70;PRPF40A;PRPF8
KEGG_2019_Human	Measles	8/138	6.136078e-06	7.618964e-05	0	0	9.128514e+00	1.095543e+02	HSPA8;CCND1;CSNK2A1;CSNK2A2;CSNK2B;CDK2;EIF2AK2;TP53
KEGG_2019_Human	Longevity regulating pathway	7/102	7.877309e-06	9.028608e-05	0	0	1.086787e+01	1.277141e+02	HSPA8;HDAC2;HDAC1;EHMT2;IRS4;EHMT1;TP53
KEGG_2019_Human	p53 signaling pathway	6/72	1.176187e-05	1.251799e-04	0	0	1.332862e+01	1.512885e+02	CCND1;CDK2;CDK1;ATM;TP53;ATR
KEGG_2019_Human	Cellular senescence	8/160	1.811261e-05	1.799186e-04	0	0	7.798575e+00	8.515188e+01	CCND1;CDK2;CDK1;ATM;CAPN1;TP53;PPP1CA;ATR
KEGG_2019_Human	Notch signaling pathway	5/48	2.176252e-05	1.982443e-04	0	0	1.694254e+01	1.818837e+02	HDAC2;CREBBP;CTBP2;HDAC1;EP300
KEGG_2019_Human	Protein processing in endoplasmic reticulum	8/165	2.261848e-05	1.982443e-04	0	0	7.548297e+00	8.074220e+01	HSPA8;DNAJB1;HSP90AB1;CUL1;UBE2D1;EIF2AK2;CAPN1;HSP90B1
KEGG_2019_Human	MicroRNAs in cancer	10/299	5.283776e-05	4.373792e-04	0	0	5.169180e+00	5.090756e+01	CREBBP;HNRNPK;CCND1;HDAC1;STMN1;EP300;KIF23;ATM;BMI1;TP53
KEGG_2019_Human	Mitophagy	5/65	9.536998e-05	7.479014e-04	0	0	1.213174e+01	1.123126e+02	CSNK2A1;UBB;CSNK2A2;CSNK2B;TP53
KEGG_2019_Human	Thyroid cancer	4/37	1.304806e-04	9.720808e-04	0	0	1.754125e+01	1.568940e+02	TCF7L2;CCND1;CDH1;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.654612e-04	1.173987e-03	0	0	5.601112e+00	4.876761e+01	CREBBP;CCND1;ANAPC7;CDK2;EP300;ATM;TP53;ATR
KEGG_2019_Human	Chronic myeloid leukemia	5/76	2.004893e-04	1.357860e-03	0	0	1.024648e+01	8.724620e+01	HDAC2;CCND1;CTBP2;HDAC1;TP53
KEGG_2019_Human	Influenza A	7/171	2.135798e-04	1.383626e-03	0	0	6.273435e+00	5.301993e+01	HSPA8;DNAJB1;CREBBP;EIF2AK2;EP300;KPNA2;PML
KEGG_2019_Human	Oocyte meiosis	6/125	2.602429e-04	1.615675e-03	0	0	7.372549e+00	6.085225e+01	AR;ANAPC7;CDK2;CUL1;CDK1;PPP1CA
KEGG_2019_Human	Hedgehog signaling pathway	4/47	3.336748e-04	1.988702e-03	0	0	1.345510e+01	1.077127e+02	CCND1;CSNK1A1;CUL3;CUL1
KEGG_2019_Human	FoxO signaling pathway	6/132	3.489410e-04	1.999701e-03	0	0	6.960494e+00	5.540976e+01	CREBBP;CCND1;CDK2;IRS4;EP300;ATM
KEGG_2019_Human	Huntington disease	7/193	4.447444e-04	2.454330e-03	0	0	5.525237e+00	4.264384e+01	CREBBP;HDAC2;HDAC1;EP300;TP53;RCOR1;AP2M1
KEGG_2019_Human	Epstein-Barr virus infection	7/201	5.666387e-04	2.911351e-03	0	0	5.295238e+00	3.958608e+01	HDAC2;CCND1;HDAC1;CDK2;EIF2AK2;RUNX3;TP53
KEGG_2019_Human	Proteoglycans in cancer	7/201	5.666387e-04	2.911351e-03	0	0	5.295238e+00	3.958608e+01	CDC42;DDX5;CCND1;RPS6;IQGAP1;TP53;PPP1CA
KEGG_2019_Human	Gastric cancer	6/149	6.635403e-04	3.295584e-03	0	0	6.127739e+00	4.484231e+01	TCF7L2;CCND1;CDH1;CSNK1A1;CDK2;TP53
KEGG_2019_Human	Endometrial cancer	4/58	7.475655e-04	3.593137e-03	0	0	1.070830e+01	7.708571e+01	TCF7L2;CCND1;CDH1;TP53
KEGG_2019_Human	Renal cell carcinoma	4/69	1.434909e-03	6.681294e-03	0	0	8.891185e+00	5.820751e+01	CDC42;CREBBP;CUL2;EP300
