Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	17/153	3.551065e-17	5.930278e-15	0	0	2.419730e+01	9.165140e+02	RPL4;RPL30;RPL3;RPS8;RPL31;RPS6;RPLP0;RPSA;RPL23A;RPL8;RPL7A;RPS19;RPL13;RPL35;RPL17;RPS10;RPL26L1
KEGG_2019_Human	NF-kappa B signaling pathway	8/95	9.778190e-08	8.164789e-06	0	0	1.639764e+01	2.646665e+02	SYK;CSNK2B;TRIM25;TRAF2;PRKCQ;BCL10;CARD11;NFKB1
KEGG_2019_Human	T cell receptor signaling pathway	7/101	2.394550e-06	9.811955e-05	0	0	1.315625e+01	1.702723e+02	AKT1;PRKCQ;BCL10;CD247;CD3E;CARD11;NFKB1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	2.731582e-06	9.811955e-05	0	0	1.288086e+01	1.650119e+02	SMAD3;CASP8;PPP2R1A;AKT1;CD247;CD3E;NFKB1
KEGG_2019_Human	Pathways in cancer	14/530	3.281882e-06	9.811955e-05	0	0	5.003876e+00	6.318441e+01	RALA;SMAD4;SMAD3;ARNT;TRAF2;ESR1;NFKB1;ESR2;BCR;AR;CASP8;CCND1;AKT1;EP300
KEGG_2019_Human	Th17 cell differentiation	7/107	3.525253e-06	9.811955e-05	0	0	1.236313e+01	1.552259e+02	SMAD4;SMAD3;PRKCQ;GATA3;CD247;CD3E;NFKB1
KEGG_2019_Human	Pancreatic cancer	6/75	5.630432e-06	1.269943e-04	0	0	1.524586e+01	1.842817e+02	RALA;SMAD4;SMAD3;CCND1;AKT1;NFKB1
KEGG_2019_Human	Chronic myeloid leukemia	6/76	6.083558e-06	1.269943e-04	0	0	1.502731e+01	1.804768e+02	BCR;SMAD4;SMAD3;CCND1;AKT1;NFKB1
KEGG_2019_Human	Viral carcinogenesis	8/201	2.736791e-05	4.484755e-04	0	0	7.352098e+00	7.724217e+01	CASP8;CCND1;SYK;HIST4H4;EP300;TRAF2;HIST1H2BG;NFKB1
KEGG_2019_Human	Epstein-Barr virus infection	8/201	2.736791e-05	4.484755e-04	0	0	7.352098e+00	7.724217e+01	CASP8;CCND1;SYK;AKT1;TRAF2;CD247;CD3E;NFKB1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	2.954030e-05	4.484755e-04	0	0	1.117699e+01	1.165733e+02	SMAD4;SMAD3;CCND1;PRKCD;AKT1;NFKB1
KEGG_2019_Human	C-type lectin receptor signaling pathway	6/104	3.688336e-05	5.132934e-04	0	0	1.071862e+01	1.094130e+02	CASP8;SYK;PRKCD;AKT1;BCL10;NFKB1
KEGG_2019_Human	Necroptosis	7/162	5.263629e-05	6.761739e-04	0	0	7.954032e+00	7.836396e+01	RNF31;CASP8;H2AFY;H2AFX;HIST1H2AE;CHMP4B;TRAF2
KEGG_2019_Human	Prolactin signaling pathway	5/70	6.090979e-05	7.260591e-04	0	0	1.337112e+01	1.297817e+02	CCND1;AKT1;ESR1;NFKB1;ESR2
KEGG_2019_Human	B cell receptor signaling pathway	5/71	6.521489e-05	7.260591e-04	0	0	1.316786e+01	1.269095e+02	SYK;AKT1;BCL10;CARD11;NFKB1
KEGG_2019_Human	NOD-like receptor signaling pathway	7/178	9.525726e-05	9.152669e-04	0	0	7.203947e+00	6.670084e+01	RNF31;CASP8;IFI16;RIPK2;PRKCD;TRAF2;NFKB1
KEGG_2019_Human	Cell cycle	6/124	9.856394e-05	9.152669e-04	0	0	8.892905e+00	8.203532e+01	SMAD4;SMAD3;CCND1;RAD21;EP300;SMC3
KEGG_2019_Human	Tuberculosis	7/179	9.865152e-05	9.152669e-04	0	0	7.161701e+00	6.605893e+01	CASP8;SYK;RIPK2;AKT1;EP300;BCL10;NFKB1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	7/186	1.252732e-04	1.101086e-03	0	0	6.879190e+00	6.180961e+01	CASP8;CCND1;SYK;AKT1;EP300;TRAF2;NFKB1
KEGG_2019_Human	Systemic lupus erythematosus	6/133	1.449201e-04	1.210083e-03	0	0	8.258937e+00	7.300345e+01	HIST1H3A;H2AFY;HIST4H4;H2AFX;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Colorectal cancer	5/86	1.624988e-04	1.292253e-03	0	0	1.072125e+01	9.354117e+01	RALA;SMAD4;SMAD3;CCND1;AKT1
KEGG_2019_Human	Measles	6/138	1.772810e-04	1.338824e-03	0	0	7.944087e+00	6.861923e+01	CASP8;CCND1;CSNK2B;AKT1;CD3E;NFKB1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	6/139	1.843889e-04	1.338824e-03	0	0	7.883958e+00	6.778992e+01	SOX2;SMAD4;SMAD3;AKT1;PCGF1;POU5F1
KEGG_2019_Human	Th1 and Th2 cell differentiation	5/92	2.230495e-04	1.552053e-03	0	0	9.978826e+00	8.390314e+01	PRKCQ;GATA3;CD247;CD3E;NFKB1
KEGG_2019_Human	Prostate cancer	5/97	2.854870e-04	1.907053e-03	0	0	9.434115e+00	7.699478e+01	AR;CCND1;AKT1;EP300;NFKB1
KEGG_2019_Human	HIF-1 signaling pathway	5/100	3.288267e-04	2.030713e-03	0	0	9.134811e+00	7.326100e+01	RPS6;AKT1;EP300;ARNT;NFKB1
KEGG_2019_Human	Hepatitis C	6/155	3.320244e-04	2.030713e-03	0	0	7.031656e+00	5.632569e+01	CASP8;CCND1;PPP2R1A;AKT1;TRAF2;NFKB1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	7/219	3.404788e-04	2.030713e-03	0	0	5.798644e+00	4.630309e+01	SMAD4;SMAD3;CCND1;AKT1;EP300;CD3E;NFKB1
KEGG_2019_Human	Hippo signaling pathway	6/160	3.933746e-04	2.265295e-03	0	0	6.801632e+00	5.332988e+01	SOX2;SMAD4;SMAD3;LATS2;CCND1;PPP2R1A
KEGG_2019_Human	Hepatitis B	6/163	4.342280e-04	2.417203e-03	0	0	6.670650e+00	5.164378e+01	SMAD4;SMAD3;CASP8;AKT1;EP300;NFKB1
KEGG_2019_Human	Thyroid hormone signaling pathway	5/116	6.496434e-04	3.499692e-03	0	0	7.811759e+00	5.733118e+01	CCND1;AKT1;EP300;ATP1A1;ESR1
KEGG_2019_Human	Alcoholism	6/180	7.322061e-04	3.821200e-03	0	0	6.013732e+00	4.341583e+01	HIST1H3A;H2AFY;HIST4H4;H2AFX;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Adipocytokine signaling pathway	4/69	7.643774e-04	3.868213e-03	0	0	1.060388e+01	7.609820e+01	AKT1;TRAF2;PRKCQ;NFKB1
KEGG_2019_Human	RIG-I-like receptor signaling pathway	4/70	8.070120e-04	3.963853e-03	0	0	1.044269e+01	7.437462e+01	CASP8;TRIM25;TRAF2;NFKB1
