Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	13/97	3.462202e-15	3.559416e-13	0	0	3.332596e+01	1.109650e+03	MAP2K1;HSP90AA1;PDPK1;BRAF;NFKB1;NFKBIA;CREB1;CCND1;CCNE2;MDM2;AKT1;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	23/530	3.954906e-15	3.559416e-13	0	0	1.072603e+01	3.557161e+02	MAP2K1;HSP90AA1;JAG1;NCOA3;AXIN1;TRAF2;BRAF;HIF1A;PML;NFKB1;NFKB2;NFKBIA;CCND1;CCNE2;CDH1;DVL1;MDM2;CCDC6;CTNNA1;BAX;AKT1;HRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	11/58	9.044676e-15	5.426806e-13	0	0	4.941784e+01	1.598005e+03	MAP2K1;CCND1;CDH1;PDPK1;AXIN1;CTNNA1;AKT1;BAX;BRAF;HRAS;MAPK3
KEGG_2019_Human	Breast cancer	14/147	3.702427e-14	1.583631e-12	0	0	2.285946e+01	7.069790e+02	MAP2K1;JAG1;SHC1;NCOA3;AXIN1;BRAF;BRCA1;NFKB2;CCND1;DVL1;BAX;AKT1;HRAS;MAPK3
KEGG_2019_Human	Gastric cancer	14/149	4.474925e-14	1.583631e-12	0	0	2.251852e+01	6.921675e+02	MAP2K1;CDX2;SHC1;AXIN1;BRAF;CCND1;CCNE2;CDH1;DVL1;CTNNA1;BAX;AKT1;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	5.278771e-14	1.583631e-12	0	0	2.637992e+01	8.065001e+02	MAP2K1;SHC1;RIPK2;PDPK1;PRKCD;BRAF;NFKB1;NFKBIA;ARHGDIA;BAX;AKT1;HRAS;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	12/101	1.859569e-13	4.735946e-12	0	0	2.871475e+01	8.417230e+02	NFKBIA;MAP2K1;PDPK1;AKT1;BCL10;CD247;CD3E;CD3D;HRAS;CARD11;NFKB1;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	11/76	2.104865e-13	4.735946e-12	0	0	3.570049e+01	1.042074e+03	NFKBIA;MAP2K1;CCND1;SHC1;MDM2;AKT1;BAX;BRAF;HRAS;NFKB1;MAPK3
KEGG_2019_Human	Hepatitis C	13/155	1.652440e-12	3.304880e-11	0	0	1.965623e+01	5.332493e+02	MAP2K1;CD81;TRAF2;BRAF;NFKB1;NFKBIA;CCND1;PPP2R1A;BAX;AKT1;EIF3E;HRAS;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	8.948371e-12	1.610707e-10	0	0	1.477674e+01	3.759135e+02	MAP2K1;CD3E;CD3D;NFKB1;RELB;NFKB2;NFKBIA;CREB1;CCND1;CCNE2;BAX;AKT1;HRAS;MAPK3
KEGG_2019_Human	Thyroid cancer	8/37	1.497374e-11	2.450249e-10	0	0	5.649769e+01	1.408189e+03	MAP2K1;CCND1;CDH1;CCDC6;BAX;BRAF;HRAS;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	13/201	4.487725e-11	6.448610e-10	0	0	1.481215e+01	3.529305e+02	TRAF2;CD3E;CD3D;NFKB1;RELB;NFKB2;NFKBIA;CCND1;CCNE2;MDM2;BAX;AKT1;CD247
KEGG_2019_Human	Cellular senescence	12/160	4.657330e-11	6.448610e-10	0	0	1.721622e+01	4.095737e+02	MAP2K1;CCND1;CCNE2;IGFBP3;MDM2;AKT1;FOXM1;SQSTM1;HRAS;NFKB1;HIPK2;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	12/168	8.248363e-11	1.060504e-09	0	0	1.632672e+01	3.790806e+02	MAP2K1;CCND1;SHC1;DVL1;AXIN1;BAX;AKT1;BRAF;HRAS;ACTB;SMARCA4;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	9/71	1.214484e-10	1.457381e-09	0	0	2.998942e+01	6.847043e+02	NFKBIA;MAP2K1;CD81;AKT1;BCL10;HRAS;CARD11;NFKB1;MAPK3
KEGG_2019_Human	Melanoma	9/72	1.381986e-10	1.554735e-09	0	0	2.951190e+01	6.699890e+02	MAP2K1;CCND1;CDH1;MDM2;AKT1;BAX;BRAF;HRAS;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	10/104	1.779453e-10	1.884127e-09	0	0	2.217357e+01	4.977866e+02	NFKBIA;PRKCD;MDM2;AKT1;BCL10;HRAS;NFKB1;NFKB2;RELB;MAPK3
KEGG_2019_Human	Glioma	9/75	2.012994e-10	2.012994e-09	0	0	2.816619e+01	6.288448e+02	MAP2K1;CCND1;SHC1;MDM2;AKT1;BAX;BRAF;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	11/143	2.375378e-10	2.250358e-09	0	0	1.752039e+01	3.882640e+02	NFKBIA;MAP2K1;PDPK1;DAB2IP;BAX;AKT1;TRAF2;HRAS;ACTB;NFKB1;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	10/116	5.279590e-10	4.751631e-09	0	0	1.965144e+01	4.197941e+02	MAP2K1;CCND1;PDPK1;NCOA3;MDM2;AKT1;HIF1A;HRAS;ACTB;MAPK3
KEGG_2019_Human	Osteoclast differentiation	10/127	1.290520e-09	1.106160e-08	0	0	1.779397e+01	3.642109e+02	NFKBIA;MAP2K1;CREB1;AKT1;TRAF2;SQSTM1;NFKB1;RELB;NFKB2;MAPK3
KEGG_2019_Human	Bladder cancer	7/41	1.742487e-09	1.425671e-08	0	0	4.172479e+01	8.415036e+02	MAP2K1;CCND1;CDH1;MDM2;BRAF;HRAS;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	8/66	1.965478e-09	1.439631e-08	0	0	2.820761e+01	5.654929e+02	MAP2K1;CCND1;AKT1;BRAF;HRAS;PML;NFKB1;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	8/66	1.965478e-09	1.439631e-08	0	0	2.820761e+01	5.654929e+02	MAP2K1;CCND1;PDPK1;AKT1;BAX;BRAF;HRAS;MAPK3
