Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	24/530	4.937343e-17	9.380951e-15	0	0	1.260296e+01	4.732047e+02	GSK3B;CREBBP;CDKN1A;CHUK;HDAC1;CAMK2A;ARNT;TRAF2;ESR1;HIF1A;FOXO1;NFKB1;ESR2;AR;CCND1;CDH1;GNB1;MDM2;AKT1;CTNNB1;EP300;JAK3;APPL1;JAK1
KEGG_2019_Human	Viral carcinogenesis	17/201	1.025427e-16	9.741553e-15	0	0	2.277330e+01	8.384276e+02	CREBBP;CDKN1A;HDAC1;TRAF2;RBPJ;NFKB1;HIST2H2BE;HDAC6;KAT2B;CREB1;CCND1;HIST4H4;MDM2;EP300;HIST1H2BB;JAK3;JAK1
KEGG_2019_Human	Prostate cancer	13/97	1.192593e-15	7.553090e-14	0	0	3.651460e+01	1.254738e+03	GSK3B;CREBBP;CDKN1A;CHUK;FOXO1;NFKB1;AR;CREB1;CCND1;MDM2;AKT1;EP300;CTNNB1
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	1.306948e-14	5.753417e-13	0	0	2.975035e+01	9.510739e+02	GSK3B;CREBBP;HDAC1;ATP1A1;ESR1;HIF1A;FOXO1;KAT2B;CCND1;MDM2;AKT1;CTNNB1;EP300
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	1.514057e-14	5.753417e-13	0	0	2.110826e+01	6.716943e+02	GSK3B;CREBBP;CDKN1A;CHUK;TRAF2;MAPK14;HIF1A;NFKB1;CREB1;CCND1;GNB1;AKT1;CTNNB1;EP300;JAK1
KEGG_2019_Human	Epstein-Barr virus infection	14/201	9.148328e-13	2.896971e-11	0	0	1.778391e+01	4.929705e+02	CDKN1A;CHUK;HDAC1;TRAF2;MAPK14;RBPJ;NFKB1;CCND1;IRAK1;MDM2;AKT1;CD247;JAK3;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	14/225	4.249773e-12	1.153510e-10	0	0	1.574191e+01	4.121885e+02	GSK3B;CDKN1A;CHUK;TRAF2;MAPK14;NFKB1;CREB1;CCND1;GNB1;MDM2;AKT1;CTNNB1;BCAR1;JAK1
KEGG_2019_Human	Human papillomavirus infection	16/330	4.978596e-12	1.182417e-10	0	0	1.232303e+01	3.207177e+02	GSK3B;CREBBP;CDKN1A;CHUK;HDAC1;RBPJ;FOXO1;NFKB1;CREB1;CCND1;PPP2R1A;MDM2;AKT1;CTNNB1;EP300;JAK1
KEGG_2019_Human	HIF-1 signaling pathway	10/100	5.409409e-11	1.141986e-09	0	0	2.530396e+01	5.981931e+02	CREBBP;CDKN1A;CAMK2A;AKT1;ARNT;EP300;ENO1;HIF1A;GAPDH;NFKB1
KEGG_2019_Human	Hepatitis C	11/155	2.376549e-10	4.515443e-09	0	0	1.755079e+01	3.889291e+02	GSK3B;CDKN1A;CCND1;CHUK;PPP2R1A;CD81;AKT1;CTNNB1;TRAF2;NFKB1;JAK1
KEGG_2019_Human	Hepatitis B	11/163	4.078650e-10	7.044941e-09	0	0	1.662033e+01	3.593330e+02	CREBBP;CDKN1A;CREB1;IRAK1;CHUK;AKT1;EP300;MAPK14;JAK3;NFKB1;JAK1
KEGG_2019_Human	Dopaminergic synapse	10/131	7.969925e-10	1.261905e-08	0	0	1.879168e+01	3.936890e+02	PPP1CC;GSK3B;GSK3A;CREB1;PPP2R1A;GNB1;CAMK2A;AKT1;ARRB2;MAPK14
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	9.202469e-09	1.344976e-07	0	0	1.211119e+01	2.241030e+02	KAT2B;CREBBP;CDKN1A;CREB1;CCND1;CHUK;AKT1;EP300;JAK3;NFKB1;JAK1
KEGG_2019_Human	FoxO signaling pathway	9/132	1.579463e-08	2.079712e-07	0	0	1.644678e+01	2.954434e+02	CREBBP;CDKN1A;CCND1;CHUK;MDM2;AKT1;EP300;MAPK14;FOXO1
