Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	22/530	2.080285e-13	3.973344e-11	0	0	9.222506e+00	2.693073e+02	CREBBP;PTEN;TRAF2;STK4;ESR1;HIF1A;NFKB1;MSH6;AR;RAD51;CCND1;MSH3;MYC;RPS6KB2;BAX;AKT1;EP300;E2F3;TP53;HRAS;BIRC2;BIRC3
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	2.450419e-12	2.340150e-10	0	0	2.260053e+01	6.042199e+02	CREBBP;CCND1;PDPK1;MYC;AKT1;EP300;ATP1A1;TP53;ESR1;HIF1A;HRAS;ACTB
KEGG_2019_Human	Small cell lung cancer	11/93	4.713512e-12	2.883231e-10	0	0	2.604675e+01	6.793145e+02	CCND1;MYC;PTEN;AKT1;BAX;TRAF2;E2F3;TP53;BIRC2;NFKB1;BIRC3
KEGG_2019_Human	Cellular senescence	13/160	6.467716e-12	2.883231e-10	0	0	1.745714e+01	4.497693e+02	MRE11;PTEN;HUS1;NFKB1;RAD50;CCND1;MYC;AKT1;E2F3;NBN;TP53;HRAS;RAD9A
KEGG_2019_Human	Prostate cancer	11/97	7.547725e-12	2.883231e-10	0	0	2.483026e+01	6.358973e+02	AR;CREBBP;CCND1;PDPK1;PTEN;AKT1;EP300;E2F3;TP53;HRAS;NFKB1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	6.394365e-10	1.936404e-08	0	0	1.346057e+01	2.849660e+02	CREBBP;CCND1;MYC;BAX;AKT1;EP300;E2F3;TRAF2;TP53;HIF1A;HRAS;NFKB1
KEGG_2019_Human	Breast cancer	11/147	7.096769e-10	1.936404e-08	0	0	1.566184e+01	3.299356e+02	CCND1;MYC;RPS6KB2;PTEN;BAX;AKT1;E2F3;BRCA1;TP53;ESR1;HRAS
KEGG_2019_Human	Endometrial cancer	8/58	1.224139e-09	2.441200e-08	0	0	3.022781e+01	6.203057e+02	CCND1;PDPK1;MYC;PTEN;AKT1;BAX;HRAS;TP53
KEGG_2019_Human	Hepatitis C	11/155	1.249409e-09	2.441200e-08	0	0	1.478574e+01	3.031165e+02	CCND1;PPP2R1A;DDX58;MYC;BAX;AKT1;E2F3;TRAF2;TP53;HRAS;NFKB1
KEGG_2019_Human	Colorectal cancer	9/86	1.357893e-09	2.441200e-08	0	0	2.226399e+01	4.545712e+02	MSH6;CCND1;MSH3;MYC;RPS6KB2;AKT1;BAX;HRAS;TP53
KEGG_2019_Human	Sphingolipid signaling pathway	10/119	1.405927e-09	2.441200e-08	0	0	1.761646e+01	3.590687e+02	PPP2R1A;PDPK1;PTEN;BAX;AKT1;TRAF2;TP53;PRKCZ;HRAS;NFKB1
KEGG_2019_Human	Epstein-Barr virus infection	12/201	1.553930e-09	2.473338e-08	0	0	1.238284e+01	2.511547e+02	CCND1;PSMD4;DDX58;MYC;BAX;AKT1;E2F3;TRAF2;CD247;CD3E;TP53;NFKB1
KEGG_2019_Human	Homologous recombination	7/41	2.921587e-09	4.292485e-08	0	0	3.856021e+01	7.577521e+02	BABAM1;BARD1;RAD50;MRE11;RAD51;BRCA1;NBN
KEGG_2019_Human	Non-small cell lung cancer	8/66	3.533462e-09	4.820652e-08	0	0	2.604795e+01	5.069188e+02	CCND1;PDPK1;AKT1;BAX;E2F3;STK4;HRAS;TP53
