Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	32/530	1.070526e-25	2.055410e-23	0	0	1.755665e+01	1.009445e+03	CDKN1A;PIK3R1;CDC42;RASSF1;BCL2L11;CASP8;CCND1;TERT;CDH1;MYC;CTNNA1;AKT1;EP300;ITGAV;APPL1;CREBBP;SMAD4;HSP90AA1;SMAD3;CHUK;EGF;FN1;AXIN1;ARNT;TRAF2;NFKB1;TGFBR2;AR;RPS6KB1;SP1;CTNNB1;BCL2L1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	20/219	1.183408e-19	1.136072e-17	0	0	2.385179e+01	1.039478e+03	NRP1;CREBBP;SMAD4;CD40;CDKN1A;SMAD3;CHUK;PIK3R1;CD3E;CD3D;NFKB1;TGFBR2;CCNB2;CREB1;CCND1;TERT;MYC;AKT1;EP300;BCL2L1
KEGG_2019_Human	Hippo signaling pathway	18/160	2.075824e-19	1.328528e-17	0	0	2.946065e+01	1.267360e+03	SMAD1;SMAD4;SMAD3;SERPINE1;AXIN1;ACTB;SMAD7;TGFBR2;PAK1;RASSF1;CCND1;PPP2R1B;PPP2R1A;CDH1;MYC;CTNNA1;CTNNB1;BMPR1B
KEGG_2019_Human	TGF-beta signaling pathway	15/90	5.493564e-19	2.636911e-17	0	0	4.505000e+01	1.894152e+03	SMAD1;CREBBP;SMAD4;SMAD3;ZFYVE9;SMURF1;TGFBR2;SMAD7;PPP2R1B;RPS6KB1;PPP2R1A;SP1;MYC;EP300;BMPR1B
KEGG_2019_Human	Pancreatic cancer	14/75	1.597884e-18	6.135876e-17	0	0	5.115196e+01	2.096097e+03	CDKN1A;SMAD4;SMAD3;CHUK;EGF;PIK3R1;NFKB1;TGFBR2;CDC42;CCND1;RPS6KB1;AKT1;ARHGEF6;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	6.145137e-18	1.966444e-16	0	0	1.600588e+01	6.343268e+02	HSP90AA1;CDKN1A;CHUK;EGF;NOS3;PDPK1;FN1;PIK3R1;BRCA1;NFKB1;BCL2L11;CREB1;CCND1;RPS6KB1;PPP2R1B;PPP2R1A;MYC;EIF4EBP1;AKT1;ITGAV;EIF4E;BCL2L1
KEGG_2019_Human	Colorectal cancer	14/86	1.235503e-17	3.388809e-16	0	0	4.331305e+01	1.686284e+03	CDKN1A;SMAD4;SMAD3;EGF;AXIN1;PIK3R1;TGFBR2;BCL2L11;CCND1;RPS6KB1;MYC;AKT1;CTNNB1;APPL1
KEGG_2019_Human	Human papillomavirus infection	21/330	2.341658e-17	5.619980e-16	0	0	1.623443e+01	6.216665e+02	CREBBP;CDKN1A;CHUK;EGF;FN1;AXIN1;PIK3R1;NFKB1;CDC42;CREB1;CASP8;CCND1;TERT;RPS6KB1;PPP2R1B;PPP2R1A;EIF4EBP1;AKT1;CTNNB1;EP300;ITGAV
KEGG_2019_Human	Prostate cancer	14/97	7.272176e-17	1.551398e-15	0	0	3.755192e+01	1.395425e+03	CREBBP;CDKN1A;HSP90AA1;CHUK;PDPK1;EGF;PIK3R1;NFKB1;AR;CREB1;CCND1;AKT1;EP300;CTNNB1
KEGG_2019_Human	Hepatitis C	16/155	9.683324e-17	1.859198e-15	0	0	2.614140e+01	9.639261e+02	CDKN1A;CHUK;EGF;CD81;TRAF2;PIK3R1;NFKB1;MAVS;CASP8;CCND1;PPP2R1B;PPP2R1A;MYC;AKT1;CTNNB1;RIPK1
KEGG_2019_Human	Gastric cancer	15/149	1.372870e-15	2.396282e-14	0	0	2.513950e+01	8.603208e+02	SMAD4;CDKN1A;SMAD3;EGF;AXIN1;PIK3R1;TGFBR2;CCND1;TERT;RPS6KB1;CDH1;MYC;CTNNA1;AKT1;CTNNB1
KEGG_2019_Human	Adherens junction	12/72	2.139430e-15	3.423088e-14	0	0	4.359780e+01	1.472657e+03	CDC42;CREBBP;SMAD4;SMAD3;CDH1;CTNNA1;EP300;CTNNB1;IQGAP1;BAIAP2;ACTB;TGFBR2
KEGG_2019_Human	HIF-1 signaling pathway	13/100	4.030133e-15	5.952197e-14	0	0	3.289017e+01	1.090144e+03	CREBBP;CDKN1A;EGF;NOS3;SERPINE1;ARNT;PIK3R1;NFKB1;RPS6KB1;EIF4EBP1;AKT1;EP300;EIF4E
KEGG_2019_Human	FoxO signaling pathway	14/132	6.152891e-15	8.438250e-14	0	0	2.636698e+01	8.627764e+02	CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;EGF;PDPK1;PIK3R1;TGFBR2;CCNB2;BCL2L11;CCND1;AKT1;EP300
KEGG_2019_Human	Endometrial cancer	11/58	7.272065e-15	9.308243e-14	0	0	5.049722e+01	1.643924e+03	CDKN1A;CCND1;CDH1;PDPK1;EGF;MYC;AXIN1;CTNNA1;AKT1;CTNNB1;PIK3R1
KEGG_2019_Human	Human cytomegalovirus infection	16/225	3.639940e-14	4.367929e-13	0	0	1.732431e+01	5.360875e+02	CDKN1A;CHUK;TRAF2;PIK3R1;NFKB1;CREB1;CASP8;CCND1;RPS6KB1;SP1;MYC;EIF4EBP1;AKT1;CTNNB1;RIPK1;ITGAV
KEGG_2019_Human	Hepatitis B	14/163	1.191648e-13	1.209115e-12	0	0	2.084850e+01	6.204154e+02	CREBBP;SMAD4;CDKN1A;SMAD3;CHUK;PIK3R1;NFKB1;TGFBR2;MAVS;CREB1;CASP8;MYC;AKT1;EP300
KEGG_2019_Human	Epstein-Barr virus infection	15/201	1.196520e-13	1.209115e-12	0	0	1.806360e+01	5.374678e+02	CD40;CDKN1A;CHUK;TRAF2;PIK3R1;CD3E;CD3D;NFKB1;MAVS;BCL2L11;CASP8;CCND1;MYC;AKT1;RIPK1
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.196520e-13	1.209115e-12	0	0	1.806360e+01	5.374678e+02	CDKN1A;PDPK1;CAV1;FN1;PIK3R1;IQGAP1;ACTB;CDC42;PAK1;CCND1;RPS6KB1;MYC;AKT1;CTNNB1;ITGAV
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	12/100	1.299994e-13	1.247995e-12	0	0	2.968382e+01	8.807558e+02	CDC42;SMAD4;SMAD3;CCND1;NOS3;SERPINE1;PRKCD;FN1;AKT1;PIK3R1;NFKB1;TGFBR2
KEGG_2019_Human	Chronic myeloid leukemia	11/76	1.695152e-13	1.549853e-12	0	0	3.648027e+01	1.072733e+03	CDKN1A;SMAD4;SMAD3;CCND1;CHUK;MYC;AKT1;PIK3R1;NFKB1;TGFBR2;BCL2L1
KEGG_2019_Human	Hepatocellular carcinoma	14/168	1.813047e-13	1.559937e-12	0	0	2.016650e+01	5.916567e+02	SMAD4;CDKN1A;SMAD3;AXIN1;PIK3R1;ACTB;TGFBR2;CCND1;TERT;RPS6KB1;MYC;AKT1;CTNNB1;BCL2L1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	12/103	1.868675e-13	1.559937e-12	0	0	2.870088e+01	8.411762e+02	SMAD3;CASP8;PPP2R1B;CHUK;PPP2R1A;SERPINE1;AKT1;PIK3R1;CD3E;CD3D;NFKB1;TGFBR2
KEGG_2019_Human	Small cell lung cancer	11/93	1.679233e-12	1.343386e-11	0	0	2.889250e+01	7.833532e+02	CDKN1A;CCND1;CHUK;MYC;FN1;AKT1;ITGAV;TRAF2;PIK3R1;NFKB1;BCL2L1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	12/139	6.995706e-12	5.372702e-11	0	0	2.052782e+01	5.272719e+02	CDH5;HSP90AA1;CHUK;NOS3;CAV1;AKT1;CTNNB1;ITGAV;PIK3R1;BMPR1B;ACTB;NFKB1
KEGG_2019_Human	Apoptosis	12/143	9.805218e-12	7.240777e-11	0	0	1.989699e+01	5.043510e+02	DAXX;BCL2L11;CASP8;CHUK;PDPK1;AKT1;TRAF2;RIPK1;PIK3R1;ACTB;NFKB1;BCL2L1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	1.316939e-11	9.364901e-11	0	0	1.646834e+01	4.125833e+02	CREBBP;CDKN1A;CHUK;TRAF2;PIK3R1;NFKB1;CREB1;CASP8;CCND1;MYC;AKT1;CTNNB1;EP300
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	1.964425e-11	1.347034e-10	0	0	2.253747e+01	5.556217e+02	MED12;CREBBP;CCND1;PDPK1;MYC;AKT1;CTNNB1;EP300;ITGAV;PIK3R1;ACTB
KEGG_2019_Human	Endocytosis	14/244	2.925298e-11	1.936749e-10	0	0	1.345081e+01	3.262498e+02	SMAD3;ZFYVE9;SMURF1;CAV1;CLTC;NEDD4L;AP2A1;ARRB2;TGFBR2;CDC42;DAB2;AP2M1;SNX6;ARF6
