Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	21/137	3.205573e-22	5.770032e-20	0	0	2.905383e+01	1.437931e+03	UBE2D4;CUL5;UBE2D2;UBE2E3;CUL3;UBE2D3;CUL2;KEAP1;UBE2D1;UBE2E2;UBE2L6;KLHL13;PML;UBE2L3;RBX1;CUL4A;KLHL9;UBE2N;TRIP12;VHL;SKP1
KEGG_2019_Human	Viral carcinogenesis	13/201	2.402343e-09	1.614122e-07	0	0	1.038184e+01	2.060466e+02	CDKN1B;HDAC3;RELA;HNRNPK;CREB1;CCNE1;HIST4H4;CASP3;CDK1;BAX;IKBKG;PRKACA;TP53
KEGG_2019_Human	Protein processing in endoplasmic reticulum	12/165	2.690204e-09	1.614122e-07	0	0	1.170707e+01	2.310232e+02	PDIA3;HSPA8;ATXN3;UBE2D4;UBE2D2;UBE2D3;BAX;UBE2D1;CAPN1;CRYAB;RBX1;SKP1
KEGG_2019_Human	Pathways in cancer	19/530	9.006494e-09	4.052922e-07	0	0	5.754286e+00	1.066000e+02	TCF7L2;CDKN1B;CTBP1;CUL2;KEAP1;ETS1;PML;RELA;EGFR;RBX1;CDH1;CCNE1;CASP3;BAX;VHL;IKBKG;PRKACA;TP53;SKP1
KEGG_2019_Human	Prostate cancer	8/97	5.001662e-07	1.800598e-05	0	0	1.306477e+01	1.895480e+02	TCF7L2;CDKN1B;CREB1;CCNE1;IKBKG;TP53;RELA;EGFR
KEGG_2019_Human	Measles	9/138	7.051719e-07	1.893491e-05	0	0	1.019483e+01	1.444080e+02	HSPA8;CDKN1B;CCNE1;CASP3;CSNK2B;BAX;IKBKG;TP53;RELA
KEGG_2019_Human	Longevity regulating pathway	8/102	7.363575e-07	1.893491e-05	0	0	1.236671e+01	1.746371e+02	HSPA8;CREB1;BAX;PRKACA;TP53;CRYAB;RELA;SOD1
KEGG_2019_Human	Ribosome	9/153	1.673296e-06	3.764916e-05	0	0	9.125926e+00	1.213813e+02	RPS26;RPL5;RPS28;RPS17;RPL23;RPS6;RPL11;RPS3;RPL26
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	3.233754e-06	6.467508e-05	0	0	7.260972e+00	9.179225e+01	PDIA3;CUL4A;CUL5;CASP3;CDK1;BAX;IKBKG;RELA;RBX1;SKP1
KEGG_2019_Human	Small cell lung cancer	7/93	4.896283e-06	8.813309e-05	0	0	1.174588e+01	1.436173e+02	CDKN1B;CCNE1;CASP3;BAX;IKBKG;TP53;RELA
