Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	27/530	1.809388e-18	3.600683e-16	0	0	1.195907e+01	4.885705e+02	EGFR;CDC42;NRAS;CCND1;CDH1;GNA11;E2F1;DVL3;RAC1;SMAD2;APC2;NTRK1;CREBBP;FZD7;AXIN1;NFKB1;RHOA;AR;GNAQ;GNB2;GNAS;MDM2;CTNNB1;KRAS;CALM1;CRK;BIRC3
KEGG_2019_Human	Human cytomegalovirus infection	16/225	1.874747e-13	1.865373e-11	0	0	1.537116e+01	4.504537e+02	EGFR;NFKB1;RHOA;NRAS;CCND1;GNAQ;GNB2;GNA11;E2F1;GNAS;MDM2;CTNNB1;KRAS;RAC1;CALM1;CRK
KEGG_2019_Human	Adherens junction	11/72	2.845959e-13	1.887820e-11	0	0	3.470874e+01	1.002656e+03	CDC42;SMAD2;AFDN;CREBBP;CDH1;ACTN1;CTNNB1;RAC1;BAIAP2;RHOA;EGFR
KEGG_2019_Human	Gastric cancer	13/149	2.912168e-12	1.448804e-10	0	0	1.869176e+01	4.964928e+02	SMAD2;APC2;CSNK1A1;FZD7;AXIN1;EGFR;NRAS;CCND1;CDH1;E2F1;DVL3;CTNNB1;KRAS
KEGG_2019_Human	Human papillomavirus infection	17/330	5.773470e-12	2.297841e-10	0	0	1.095949e+01	2.836069e+02	APC2;CREBBP;CSNK1A1;FZD7;AXIN1;EGFR;NFKB1;CDC42;NRAS;DLG1;CCND1;E2F1;GNAS;MDM2;DVL3;CTNNB1;KRAS
KEGG_2019_Human	Colorectal cancer	10/86	5.967736e-11	1.979299e-09	0	0	2.506326e+01	5.900410e+02	APC2;SMAD2;NRAS;CCND1;AXIN1;CTNNB1;KRAS;RAC1;RHOA;EGFR
KEGG_2019_Human	Proteoglycans in cancer	13/201	1.287206e-10	3.659343e-09	0	0	1.348610e+01	3.071240e+02	SMAD2;FZD7;EGFR;RHOA;CDC42;NRAS;CCND1;MDM2;FLNA;CTNNB1;KRAS;FLNC;RAC1
KEGG_2019_Human	Rap1 signaling pathway	13/206	1.747383e-10	4.346616e-09	0	0	1.313338e+01	2.950773e+02	EGFR;RHOA;CDC42;AFDN;NRAS;CDH1;GNAQ;GNAS;CTNNB1;KRAS;RAC1;CALM1;CRK
KEGG_2019_Human	Prostate cancer	10/97	2.011915e-10	4.352570e-09	0	0	2.188218e+01	4.885584e+02	AR;CREBBP;NRAS;CCND1;MDM2;E2F1;CTNNB1;KRAS;NFKB1;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	12/168	2.187221e-10	4.352570e-09	0	0	1.487934e+01	3.309643e+02	SMAD2;APC2;NRAS;CCND1;CSNK1A1;FZD7;E2F1;AXIN1;DVL3;CTNNB1;KRAS;EGFR
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	2.802154e-10	5.069351e-09	0	0	1.260554e+01	2.772646e+02	APC2;CHRM3;ACTN1;BAIAP2;EGFR;RHOA;CDC42;NRAS;DIAPH3;MYH9;KRAS;RAC1;CRK
KEGG_2019_Human	Breast cancer	11/147	7.805703e-10	1.294446e-08	0	0	1.550899e+01	3.252391e+02	APC2;NRAS;CCND1;CSNK1A1;FZD7;E2F1;AXIN1;DVL3;CTNNB1;KRAS;EGFR
KEGG_2019_Human	Endometrial cancer	8/58	1.313597e-09	1.952637e-08	0	0	2.994113e+01	6.123110e+02	APC2;NRAS;CCND1;CDH1;AXIN1;CTNNB1;KRAS;EGFR
KEGG_2019_Human	Cushing syndrome	11/155	1.373715e-09	1.952637e-08	0	0	1.464145e+01	2.987697e+02	APC2;CCND1;FZD7;GNAQ;GNA11;E2F1;GNAS;AXIN1;DVL3;CTNNB1;EGFR
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	1.533473e-09	2.034408e-08	0	0	1.744619e+01	3.540832e+02	NTRK1;CDC42;NRAS;ARHGDIB;KRAS;RAC1;CALM1;CRK;NFKB1;RHOA
KEGG_2019_Human	Viral carcinogenesis	12/201	1.721604e-09	2.141245e-08	0	0	1.226082e+01	2.474234e+02	CDC42;NRAS;CREBBP;DLG1;CCND1;HIST4H4;ACTN1;MDM2;KRAS;RAC1;NFKB1;RHOA
