Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	2.627695e-15	5.097728e-13	0	0	7.661335e+00	2.572115e+02	CAMK2B;ARAF;LPAR1;CXCR4;ADCY6;GNAI1;GNAI2;NRAS;RASSF5;ABL1;RAC2;PMAIP1;MAPK1;RALGDS;HRAS;JAK1;PDGFRB;EGLN1;BAD;ARNT;BRAF;TRAF4;TRAF6;CTNNB1;KRAS;RAF1;FGFR3;FGFR1;BCL2L1
KEGG_2019_Human	Rap1 signaling pathway	17/206	3.481018e-12	3.376587e-10	0	0	1.117849e+01	2.949298e+02	PDGFRB;LPAR1;BRAF;ADCY6;GNAI1;GNAI2;NRAS;RASSF5;RAC2;CTNNB1;MAPK1;KRAS;RAF1;FGFR3;RALGDS;HRAS;FGFR1
KEGG_2019_Human	ErbB signaling pathway	12/85	1.041086e-11	4.659135e-10	0	0	1.991966e+01	5.037317e+02	CAMK2B;NRAS;SHC3;ERBB3;BAD;ARAF;ABL1;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Chemokine signaling pathway	16/190	1.137599e-11	4.659135e-10	0	0	1.136471e+01	2.863851e+02	SHC3;BAD;CXCR4;BRAF;ADCY6;GNAI1;PIK3CG;GNAI2;HCK;NRAS;RAC2;MAPK1;KRAS;RAF1;DOCK2;HRAS
KEGG_2019_Human	Colorectal cancer	12/86	1.200808e-11	4.659135e-10	0	0	1.964948e+01	4.940948e+02	NRAS;BAD;ARAF;RAC2;MAPK1;PMAIP1;CTNNB1;BRAF;KRAS;RAF1;HRAS;RALGDS
KEGG_2019_Human	Ras signaling pathway	17/232	2.334074e-11	7.546838e-10	0	0	9.813659e+00	2.402464e+02	PDGFRB;SHC3;BAD;NRAS;RASSF5;ABL1;RAC2;MAPK1;SHOC2;KRAS;RAF1;RGL2;FGFR3;RALGDS;HRAS;FGFR1;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	11/76	5.871460e-11	1.627233e-09	0	0	2.039024e+01	4.803602e+02	NRAS;SHC3;BAD;ARAF;ABL1;MAPK1;BRAF;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Renal cell carcinoma	10/69	4.424211e-10	1.072871e-08	0	0	2.030406e+01	4.373242e+02	EGLN1;NRAS;BAD;ARAF;ARNT;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Melanoma	10/72	6.821092e-10	1.470324e-08	0	0	1.931867e+01	4.077366e+02	PDGFRB;NRAS;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Prostate cancer	11/97	8.703904e-10	1.631098e-08	0	0	1.539485e+01	3.211686e+02	PDGFRB;NRAS;BAD;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Glioma	10/75	1.030951e-09	1.631098e-08	0	0	1.842424e+01	3.812489e+02	PDGFRB;CAMK2B;NRAS;SHC3;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Pancreatic cancer	10/75	1.030951e-09	1.631098e-08	0	0	1.842424e+01	3.812489e+02	BAD;ARAF;RAC2;MAPK1;BRAF;KRAS;RAF1;RALGDS;JAK1;BCL2L1
KEGG_2019_Human	Hepatitis C	13/155	1.093004e-09	1.631098e-08	0	0	1.112324e+01	2.295207e+02	BAD;ARAF;BRAF;TYK2;CLDN2;NRAS;TRAF6;MAPK1;CTNNB1;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	Autophagy	12/128	1.356810e-09	1.880151e-08	0	0	1.250836e+01	2.553972e+02	NRAS;PRKAA2;STX17;ATG16L1;BAD;TRAF6;ATG9A;MAPK1;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Endometrial cancer	9/58	1.801937e-09	2.330505e-08	0	0	2.188149e+01	4.405707e+02	NRAS;BAD;ARAF;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Bladder cancer	8/41	2.185661e-09	2.592748e-08	0	0	2.873090e+01	5.729329e+02	NRAS;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	2.271995e-09	2.592748e-08	0	0	6.650023e+00	1.323528e+02	PDGFRB;PRKAA2;BAD;PKN3;LPAR1;BRCA1;PIK3CG;NRAS;ERBB3;MAPK1;KRAS;RAF1;EIF4E2;FGFR3;HRAS;FGFR1;BCL2L1;JAK1
KEGG_2019_Human	Long-term depression	9/60	2.464338e-09	2.656009e-08	0	0	2.102126e+01	4.166696e+02	NRAS;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;GNAI2
KEGG_2019_Human	Gap junction	10/88	5.090945e-09	5.198123e-08	0	0	1.534343e+01	2.929952e+02	PDGFRB;NRAS;LPAR1;MAPK1;KRAS;RAF1;HRAS;ADCY6;GNAI1;GNAI2
KEGG_2019_Human	Non-small cell lung cancer	9/66	5.899240e-09	5.722262e-08	0	0	1.880279e+01	3.562836e+02	NRAS;BAD;RASSF5;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	7.815297e-09	7.219846e-08	0	0	1.224520e+01	2.285834e+02	CAMK2B;NRAS;SHC3;BAD;TRAF6;ABL1;MAPK1;BRAF;KRAS;RAF1;HRAS
KEGG_2019_Human	Melanogenesis	10/101	1.965228e-08	1.732974e-07	0	0	1.314286e+01	2.332210e+02	CAMK2B;NRAS;MAPK1;CTNNB1;KRAS;RAF1;HRAS;ADCY6;GNAI1;GNAI2
KEGG_2019_Human	Apelin signaling pathway	11/137	3.426435e-08	2.769702e-07	0	0	1.048630e+01	1.802508e+02	HDAC4;NRAS;PRKAA2;MAPK1;KRAS;RAF1;HRAS;PIK3CG;ADCY6;GNAI1;GNAI2
KEGG_2019_Human	Insulin signaling pathway	11/137	3.426435e-08	2.769702e-07	0	0	1.048630e+01	1.802508e+02	NRAS;SHC3;PRKAA2;BAD;ARAF;MAPK1;BRAF;KRAS;RAF1;EIF4E2;HRAS
KEGG_2019_Human	Human immunodeficiency virus 1 infection	13/212	4.799603e-08	3.724492e-07	0	0	7.914201e+00	1.333713e+02	CUL5;BAD;CXCR4;GNAI1;GNAI2;NRAS;TRAF6;RAC2;MAPK1;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	5.360520e-08	3.999772e-07	0	0	7.834654e+00	1.311648e+02	PDGFRB;ARAF;LPAR1;CXCR4;BRAF;NRAS;RAC2;MAPK1;KRAS;RAF1;FGFR3;HRAS;FGFR1
KEGG_2019_Human	Axon guidance	12/181	6.814634e-08	4.896441e-07	0	0	8.562529e+00	1.412955e+02	CAMK2B;NRAS;ABL1;RAC2;CXCR4;MAPK1;KRAS;RAF1;EPHB2;HRAS;GNAI1;GNAI2
