Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	28/201	3.287065e-28	6.574130e-26	0	0	2.746283e+01	1.737913e+03	SRC;PIK3R3;PIK3R2;PIK3R1;IQGAP1;EGFR;ACTB;ACTG1;PAK1;CCND1;ERBB3;MYC;ERBB2;AKT1;FLNB;HRAS;CAV1;RDX;MSN;NUDT16L1;ESR1;PTK2;KRAS;RAF1;EZR;SOS1;TP53;CD44
KEGG_2019_Human	Pathways in cancer	32/530	9.456082e-21	8.153769e-19	0	0	1.110614e+01	5.120777e+02	HSP90AB1;CTBP2;PIK3R3;PIK3R2;PIK3R1;EGFR;HSP90B1;RASSF1;FRAT2;CCND1;CDH1;MYC;ERBB2;ABL1;AKT1;HRAS;JAK1;PDGFRA;JUP;CDKN2A;STAT1;ARNT;ESR1;PTK2;CDK4;CCNE1;KRAS;RAF1;CALM1;SOS1;TP53;BCL2L1
KEGG_2019_Human	Regulation of actin cytoskeleton	23/214	1.223065e-20	8.153769e-19	0	0	1.957055e+01	8.973164e+02	PDGFRA;GSN;SRC;RDX;MSN;PIK3R3;BRK1;PIK3R2;ACTN4;PIK3R1;IQGAP1;EGFR;ACTB;PTK2;ACTG1;PAK1;CFL1;KRAS;RAF1;EZR;SOS1;HRAS;BCAR1
KEGG_2019_Human	ErbB signaling pathway	17/85	2.997097e-20	1.498549e-18	0	0	3.895276e+01	1.751084e+03	SRC;PIK3R3;PIK3R2;PIK3R1;EGFR;PTK2;PAK1;ERBB3;MYC;ERBB2;NCK2;ABL1;AKT1;KRAS;RAF1;SOS1;HRAS
KEGG_2019_Human	Focal adhesion	22/199	4.792933e-20	1.917173e-18	0	0	2.004900e+01	8.918707e+02	PDGFRA;SRC;CAV1;PIK3R3;PIK3R2;ACTN4;PIK3R1;EGFR;ACTB;PTK2;ACTG1;PAK1;CCND1;ERBB2;AKT1;FLNB;FYN;TLN1;RAF1;SOS1;HRAS;BCAR1
KEGG_2019_Human	Chronic myeloid leukemia	16/76	1.662811e-19	5.542705e-18	0	0	4.124167e+01	1.783315e+03	CTBP2;CDKN2A;PIK3R3;PIK3R2;PIK3R1;CCND1;CDK4;MYC;ABL1;AKT1;KRAS;RAF1;SOS1;HRAS;TP53;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	26/354	4.958076e-19	1.416593e-17	0	0	1.311823e+01	5.529085e+02	HSP90AB1;IRS1;PIK3R3;PIK3R2;PIK3R1;BRCA1;EGFR;HSP90B1;CCND1;ERBB3;MYC;ERBB2;AKT1;HRAS;JAK1;PDGFRA;YWHAZ;PTK2;CDK4;CCNE1;CDC37;KRAS;RAF1;SOS1;TP53;BCL2L1
KEGG_2019_Human	Non-small cell lung cancer	15/66	6.733558e-19	1.683390e-17	0	0	4.515504e+01	1.889378e+03	CDKN2A;PIK3R3;PIK3R2;PIK3R1;EGFR;RASSF1;CCND1;CDK4;ERBB2;AKT1;KRAS;RAF1;SOS1;HRAS;TP53
KEGG_2019_Human	Bladder cancer	13/41	1.191406e-18	2.647569e-17	0	0	7.027372e+01	2.900295e+03	SRC;CDKN2A;EGFR;RASSF1;CCND1;CDH1;CDK4;MYC;ERBB2;KRAS;RAF1;HRAS;TP53
KEGG_2019_Human	Endometrial cancer	14/58	4.079422e-18	8.158844e-17	0	0	4.849091e+01	1.941604e+03	PIK3R3;PIK3R2;PIK3R1;EGFR;CCND1;CDH1;MYC;ERBB2;AKT1;KRAS;RAF1;SOS1;HRAS;TP53
