Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	39/530	4.330384e-32	8.660768e-30	0	0	1.925178e+01	1.390307e+03	CAMK2B;HSP90AB1;CTBP2;ARAF;HIF1A;GNAI1;GNAI2;IKBKB;NRAS;MAPK8;FRAT2;CCND1;MYC;RAC2;AKT1;PMAIP1;MAPK1;RALGDS;HRAS;MAPK3;JAK1;EGLN1;HSP90AA1;TGFB1;CDKN2A;ARNT;BRAF;PML;SP1;CDK4;TRAF6;MDM2;CTNNB1;KRAS;RAF1;FGFR4;FGFR3;FGFR1;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	18/76	2.152489e-24	2.152489e-22	0	0	6.091055e+01	3.319346e+03	TGFB1;CTBP2;CDKN2A;ARAF;BRAF;IKBKB;NRAS;CCND1;CDK4;MYC;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3;BCL2L1
KEGG_2019_Human	Pancreatic cancer	17/75	9.970875e-23	6.647250e-21	0	0	5.696264e+01	2.885715e+03	TGFB1;CDKN2A;ARAF;BRAF;IKBKB;MAPK8;CCND1;CDK4;RAC2;AKT1;MAPK1;KRAS;RAF1;RALGDS;JAK1;MAPK3;BCL2L1
KEGG_2019_Human	Bladder cancer	14/41	9.742683e-22	4.871341e-20	0	0	9.804444e+01	4.743425e+03	CDKN2A;ARAF;BRAF;NRAS;CCND1;CDK4;MYC;MDM2;MAPK1;KRAS;RAF1;HRAS;FGFR3;MAPK3
KEGG_2019_Human	Colorectal cancer	17/86	1.268256e-21	5.073022e-20	0	0	4.785507e+01	2.302626e+03	TGFB1;ARAF;BRAF;NRAS;MAPK8;CCND1;MYC;RAC2;AKT1;MAPK1;PMAIP1;CTNNB1;KRAS;RAF1;HRAS;RALGDS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	21/201	1.883576e-20	6.278586e-19	0	0	2.345357e+01	1.065227e+03	CAMK2B;TGFB1;ARAF;BRAF;HIF1A;ACTB;PPP1CB;NRAS;CCND1;ERBB3;MYC;MDM2;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;CD44;FGFR1;MAPK3
KEGG_2019_Human	MAPK signaling pathway	23/295	1.968480e-19	5.624228e-18	0	0	1.727202e+01	7.439380e+02	TGFB1;ARAF;BRAF;IKBKB;NRAS;MAPK8;MAPKAPK3;ERBB3;MYC;TRAF6;RASA1;RAC2;AKT1;MAPK1;KRAS;RAF1;FGFR4;FGFR3;HRAS;EPHA2;MAP3K5;FGFR1;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	19/168	3.071240e-19	7.678101e-18	0	0	2.516161e+01	1.072565e+03	TGFB1;CDKN2A;ARAF;BRAF;ACTB;SMARCA4;NRAS;FRAT2;CCND1;CDK4;MYC;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;BCL2L1;MAPK3
KEGG_2019_Human	Ras signaling pathway	21/232	3.839622e-19	8.532494e-18	0	0	1.997630e+01	8.470700e+02	KSR1;IKBKB;NRAS;MAPK8;RASA1;RAC2;AKT1;MAPK1;SHOC2;KRAS;RIN1;RAF1;FGFR4;RGL2;FGFR3;RALGDS;HRAS;EPHA2;FGFR1;BCL2L1;MAPK3
KEGG_2019_Human	Prostate cancer	16/97	4.615812e-19	9.231624e-18	0	0	3.797195e+01	1.603162e+03	HSP90AA1;HSP90AB1;ARAF;BRAF;IKBKB;NRAS;CCND1;MDM2;AKT1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;FGFR1;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	24/354	7.759324e-19	1.410786e-17	0	0	1.496727e+01	6.241386e+02	HSP90AA1;HSP90AB1;BRCA1;PIK3CG;IKBKB;NRAS;STK11;CCND1;ERBB3;CDK4;MYC;MDM2;AKT1;MAPK1;KRAS;RAF1;FGFR4;FGFR3;HRAS;EPHA2;FGFR1;BCL2L1;MAPK3;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	20/225	4.134250e-18	6.890417e-17	0	0	1.939000e+01	7.761278e+02	CDKN2A;HLA-B;GNAI1;GNAI2;IKBKB;NRAS;CCND1;SP1;CDK4;MYC;MDM2;RAC2;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;MAPK3;JAK1
KEGG_2019_Human	Melanoma	14/72	7.095311e-18	1.091586e-16	0	0	4.557011e+01	1.799432e+03	CDKN2A;ARAF;BRAF;NRAS;CCND1;CDK4;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3;FGFR1
KEGG_2019_Human	Glioma	14/75	1.311748e-17	1.873926e-16	0	0	4.332240e+01	1.684054e+03	CAMK2B;CDKN2A;ARAF;BRAF;NRAS;CCND1;CDK4;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Breast cancer	17/147	1.780805e-17	2.374407e-16	0	0	2.532179e+01	9.765826e+02	ARAF;BRAF;BRCA1;NRAS;FRAT2;CCND1;SP1;CDK4;MYC;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;FGFR1;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	18/186	4.797923e-17	5.997403e-16	0	0	2.091195e+01	7.857826e+02	BECN1;HLA-B;HIF1A;PIK3CG;IKBKB;NRAS;MAPK8;CCND1;CDK4;MYC;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;MAPK3;JAK1
KEGG_2019_Human	Cellular senescence	17/160	7.657361e-17	9.008660e-16	0	0	2.300466e+01	8.536634e+02	TGFB1;CDKN2A;IGFBP3;HLA-B;PPP1CB;NRAS;CCND1;CDK4;MYC;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;ATR;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	13/66	9.373814e-17	1.041535e-15	0	0	4.588181e+01	1.693315e+03	ARAF;BRAF;PML;IKBKB;NRAS;CCND1;MYC;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Renal cell carcinoma	13/69	1.745720e-16	1.837600e-15	0	0	4.341728e+01	1.575361e+03	EGLN1;TGFB1;ARAF;ARNT;BRAF;HIF1A;NRAS;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	18/206	2.981390e-16	2.981390e-15	0	0	1.866832e+01	6.673731e+02	BRAF;ACTB;GNAI1;GNAI2;NRAS;RAC2;AKT1;CTNNB1;MAPK1;KRAS;RAF1;FGFR4;FGFR3;RALGDS;HRAS;EPHA2;FGFR1;MAPK3
KEGG_2019_Human	Endometrial cancer	12/58	7.899966e-16	7.523777e-15	0	0	4.835839e+01	1.681639e+03	NRAS;CCND1;MYC;ARAF;AKT1;MAPK1;CTNNB1;BRAF;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	8.826942e-16	8.024493e-15	0	0	1.744939e+01	6.048577e+02	TGFB1;CDKN2A;HLA-B;IKBKB;NRAS;MAPK8;CCND1;KAT5;CDK4;MYC;AKT1;MAPK1;KRAS;HRAS;BCL2L1;ATR;MAPK3;JAK1
KEGG_2019_Human	Hepatitis C	16/155	1.044305e-15	9.080909e-15	0	0	2.206272e+01	7.610630e+02	ARAF;BRAF;IKBKB;NRAS;CCND1;CDK4;MYC;TRAF6;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;MAPK3;JAK1
KEGG_2019_Human	Autophagy	15/128	1.261094e-15	1.050911e-14	0	0	2.523145e+01	8.656102e+02	BECN1;STX17;HIF1A;NRAS;STK11;MAPK8;ATG16L1;TRAF6;AKT1;MAPK1;KRAS;RAF1;HRAS;BCL2L1;MAPK3
KEGG_2019_Human	FoxO signaling pathway	15/132	2.015409e-15	1.612328e-14	0	0	2.436391e+01	8.244247e+02	TGFB1;ARAF;BRAF;IKBKB;NRAS;STK11;MAPK8;CCND1;MDM2;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Hepatitis B	16/163	2.340058e-15	1.800045e-14	0	0	2.085358e+01	7.025278e+02	TGFB1;PCNA;ARAF;BRAF;IKBKB;NRAS;MAPK8;MYC;TRAF6;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	13/85	3.083436e-15	2.284027e-14	0	0	3.374175e+01	1.127404e+03	CAMK2B;ARAF;BRAF;NRAS;MAPK8;ERBB3;MYC;AKT1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	12/66	4.191582e-15	2.993987e-14	0	0	4.117757e+01	1.363212e+03	NRAS;CCND1;CDKN2A;CDK4;ARAF;AKT1;MAPK1;BRAF;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	11/65	1.409871e-13	9.599519e-13	0	0	3.739660e+01	1.106570e+03	NRAS;MYC;AKT1;MAPK1;KRAS;RAF1;HRAS;HIF1A;FGFR3;MAPK3;FGFR1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	16/212	1.479010e-13	9.599519e-13	0	0	1.560135e+01	4.608986e+02	HLA-B;GNAI1;GNAI2;IKBKB;NRAS;MAPK8;TRAF6;RAC2;AKT1;MAPK1;KRAS;RAF1;HRAS;BCL2L1;ATR;MAPK3
KEGG_2019_Human	Apoptosis	14/143	1.487925e-13	9.599519e-13	0	0	2.041550e+01	6.029969e+02	BECN1;ACTB;IKBKB;NRAS;MAPK8;AKT1;PMAIP1;MAPK1;KRAS;RAF1;HRAS;MAP3K5;BCL2L1;MAPK3
KEGG_2019_Human	Regulation of actin cytoskeleton	16/214	1.711538e-13	1.069711e-12	0	0	1.544219e+01	4.539419e+02	NCKAP1;ARAF;BRAF;ACTN4;ACTB;PPP1CB;NRAS;RAC2;MAPK1;KRAS;RAF1;FGFR4;FGFR3;HRAS;FGFR1;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	1.970303e-13	1.194123e-12	0	0	2.354955e+01	6.889520e+02	HIF1A;ACTB;NRAS;CCND1;MYC;MDM2;AKT1;MAPK1;CTNNB1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Axon guidance	15/181	2.272097e-13	1.336528e-12	0	0	1.712958e+01	4.986917e+02	CAMK2B;RHOD;GNAI1;GNAI2;NRAS;RASA1;RAC2;MAPK1;KRAS;RAF1;EPHB2;HRAS;EPHA3;EPHA2;MAPK3
KEGG_2019_Human	Gastric cancer	14/149	2.639422e-13	1.508241e-12	0	0	1.950222e+01	5.648438e+02	TGFB1;ARAF;BRAF;NRAS;FRAT2;CCND1;MYC;AKT1;CTNNB1;MAPK1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	2.755356e-13	1.530753e-12	0	0	2.287958e+01	6.616789e+02	CAMK2B;BRAF;IKBKB;NRAS;MAPK8;TRAF6;AKT1;MAPK1;KRAS;RAF1;HRAS;MAP3K5;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	12/99	6.683343e-13	3.517549e-12	0	0	2.551595e+01	7.153139e+02	NRAS;MAPK8;SP1;RAC2;AKT1;MAPK1;KRAS;RAF1;HIF1A;RALGDS;HRAS;MAPK3
KEGG_2019_Human	Progesterone-mediated oocyte maturation	12/99	6.683343e-13	3.517549e-12	0	0	2.551595e+01	7.153139e+02	HSP90AA1;MAPK8;HSP90AB1;ARAF;AKT1;MAPK1;BRAF;KRAS;RAF1;GNAI1;GNAI2;MAPK3
KEGG_2019_Human	Thyroid cancer	9/37	7.432102e-13	3.811335e-12	0	0	5.801201e+01	1.620148e+03	NRAS;CCND1;MYC;MAPK1;CTNNB1;BRAF;KRAS;HRAS;MAPK3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	13/139	2.080336e-12	1.040168e-11	0	0	1.922844e+01	5.172159e+02	NRAS;MYC;AKT1;CTNNB1;MAPK1;KRAS;RAF1;FGFR4;FGFR3;HRAS;FGFR1;MAPK3;JAK1
KEGG_2019_Human	Long-term depression	10/60	2.221434e-12	1.083626e-11	0	0	3.638716e+01	9.763718e+02	NRAS;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI1;GNAI2;MAPK3
