Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	38/530	1.286449e-29	2.572899e-27	0	0	1.681917e+01	1.118863e+03	RET;HSP90AB1;CTBP2;CTBP1;ARAF;CUL1;HIF1A;CDC42;IKBKB;NRAS;RASSF1;MAPK8;FRAT2;CCND2;CCND1;CDH1;E2F1;RAC2;AKT1;ELOB;RAC1;IKBKG;HRAS;MAPK3;PDGFRA;MAP2K1;HSP90AA1;CDKN2A;HGF;PRKCA;ESR2;CDK4;CCNE1;KRAS;RAF1;FGFR4;TP53;BCL2L1
KEGG_2019_Human	MAPK signaling pathway	28/295	4.211440e-25	4.211440e-23	0	0	2.076828e+01	1.165658e+03	ARAF;CDC42;IKBKB;NRAS;PAK1;MAPK8;ERBB3;RAC2;AKT1;RAC1;IKBKG;HRAS;MAP2K5;MAPK3;MAP4K1;PDGFRA;HSPA8;DAXX;MAP2K1;HGF;PRKCA;MAPK14;KRAS;RAF1;FGFR4;TP53;MAP3K11;EPHA2
KEGG_2019_Human	Pancreatic cancer	18/75	5.698520e-24	3.714232e-22	0	0	5.740995e+01	3.072686e+03	MAP2K1;CDKN2A;ARAF;IKBKB;CDC42;MAPK8;CCND1;CDK4;RAC2;E2F1;AKT1;KRAS;RAC1;IKBKG;RAF1;TP53;MAPK3;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	18/76	7.428465e-24	3.714232e-22	0	0	5.641727e+01	3.004599e+03	MAP2K1;CTBP2;CTBP1;CDKN2A;ARAF;IKBKB;NRAS;CCND1;CDK4;E2F1;AKT1;KRAS;IKBKG;RAF1;HRAS;TP53;MAPK3;BCL2L1
KEGG_2019_Human	Bladder cancer	14/41	2.526270e-21	1.010508e-19	0	0	9.106654e+01	4.319062e+03	MAP2K1;CDKN2A;ARAF;NRAS;RASSF1;CCND1;CDH1;CDK4;E2F1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	22/201	3.430375e-21	1.143458e-19	0	0	2.305230e+01	1.086262e+03	MAP2K1;HGF;CAV1;RDX;ARAF;PRKCA;MAPK14;HIF1A;ACTB;CDC42;NRAS;PAK1;CCND1;ERBB3;AKT1;KRAS;RAC1;RAF1;TP53;HRAS;CD44;MAPK3
KEGG_2019_Human	Melanoma	16/72	8.041241e-21	2.297497e-19	0	0	5.100901e+01	2.360172e+03	PDGFRA;MAP2K1;CDKN2A;HGF;ARAF;NRAS;CCND1;CDH1;CDK4;E2F1;AKT1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	Prostate cancer	17/97	3.623138e-20	9.057846e-19	0	0	3.823648e+01	1.711631e+03	PDGFRA;MAP2K1;HSP90AA1;HSP90AB1;ARAF;IKBKB;NRAS;CCND1;CCNE1;E2F1;AKT1;KRAS;IKBKG;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	15/66	9.591796e-20	2.131510e-18	0	0	5.205357e+01	2.279467e+03	MAP2K1;CDKN2A;ARAF;PRKCA;RASSF1;NRAS;CCND1;CDK4;E2F1;AKT1;KRAS;RAF1;HRAS;TP53;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	2.666818e-19	5.333636e-18	0	0	1.455987e+01	6.226997e+02	HSP90AB1;BRCA1;IKBKB;NRAS;CCND2;CCND1;ERBB3;AKT1;RAC1;IKBKG;HRAS;MAPK3;PDGFRA;MAP2K1;HSP90AA1;HGF;PRKCA;CDK4;CCNE1;KRAS;RAF1;FGFR4;TP53;EPHA2;BCL2L1
