Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	41/354	3.322951e-44	6.612673e-42	0	0	3.886049e+01	3.890436e+03	CSF1R;FLT1;HSP90AB1;IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;BRCA1;RELA;IGF1R;CCND2;CCND1;ERBB3;ERBB4;AKT3;KDR;AKT1;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;HSP90AA1;IGF1;NFKB1;PTK2;PIK3CA;CDK4;GNB1;KIT;GRB2;KRAS;TP53;EPHA2
KEGG_2019_Human	Pathways in cancer	44/530	3.555915e-41	3.538136e-39	0	0	2.788908e+01	2.597516e+03	CSF1R;NOTCH1;HSP90AB1;CTBP2;HDAC1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;HIF1A;RELA;IGF1R;CCND2;CCND1;AKT3;E2F1;AKT1;HRAS;JAK3;MAPK3;APPL1;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;HSP90AA1;CDKN2A;IGF1;ESR1;NFKB1;PTK2;PIK3CA;CDK4;GNAQ;GNB1;KIT;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	Chronic myeloid leukemia	23/76	6.134472e-35	4.069200e-33	0	0	1.024978e+02	8.074420e+03	MAP2K1;CTBP2;HDAC1;CDKN2A;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;RELA;NFKB1;CCND1;PIK3CA;CDK4;AKT3;E2F1;AKT1;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	29/201	8.974711e-34	4.464919e-32	0	0	4.262888e+01	3.243780e+03	DDX5;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;HIF1A;ACTB;IGF1R;CCND1;ERBB3;ERBB4;AKT3;KDR;AKT1;HRAS;MAPK3;MAP2K1;CAV1;GAB1;IGF1;ESR1;PTK2;PIK3CA;GRB2;ARHGEF1;KRAS;TP53;CD44
KEGG_2019_Human	Ras signaling pathway	29/232	6.870291e-32	2.734376e-30	0	0	3.606227e+01	2.587667e+03	CSF1R;FLT1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;AKT3;KDR;AKT1;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;GAB1;IGF1;GAB2;NFKB1;PIK3CA;GNB1;KIT;GRB2;KRAS;EPHA2
KEGG_2019_Human	Prostate cancer	22/97	2.660752e-30	8.824827e-29	0	0	6.839153e+01	4.657391e+03	PDGFRB;PDGFRA;MAP2K1;HSP90AA1;HSP90AB1;PIK3R3;PIK3R2;PIK3R1;IGF1;NFKB1;RELA;IGF1R;CCND1;PIK3CA;AKT3;E2F1;AKT1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	27/225	3.506178e-29	8.885782e-28	0	0	3.357102e+01	2.199588e+03	PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;CCND1;AKT3;E2F1;AKT1;HRAS;MAPK3;JAK1;PDGFRA;MAP2K1;CDKN2A;HLA-B;NFKB1;PTK2;PIK3CA;CDK4;GNAQ;GNB1;GRB2;ARHGEF1;KRAS;TP53;CRK
KEGG_2019_Human	Glioma	20/75	3.572174e-29	8.885782e-28	0	0	8.291745e+01	5.431242e+03	PDGFRB;PDGFRA;MAP2K1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;IGF1;IGF1R;CCND1;PIK3CA;CDK4;AKT3;E2F1;AKT1;KRAS;GRB2;HRAS;TP53;MAPK3
KEGG_2019_Human	Melanoma	19/72	1.197002e-27	2.646705e-26	0	0	8.082333e+01	5.010236e+03	PDGFRB;PDGFRA;MAP2K1;CDKN2A;PIK3R3;PIK3R2;PIK3R1;IGF1;IGF1R;CCND1;PIK3CA;CDK4;AKT3;E2F1;AKT1;KRAS;HRAS;TP53;MAPK3
KEGG_2019_Human	Focal adhesion	25/199	1.545122e-27	3.074792e-26	0	0	3.455109e+01	2.133001e+03	FLT1;FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;ACTB;IGF1R;CCND2;CCND1;AKT3;KDR;AKT1;HRAS;MAPK3;PDGFRB;PDGFRA;MAP2K1;CAV1;ACTN4;IGF1;PTK2;PIK3CA;GRB2;CRK
