Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cellular senescence	22/160	9.623220e-24	1.828412e-21	0	0	3.115641e+01	1.651223e+03	SMAD2;CDKN2B;SMAD3;CDKN2A;FOXO3;NRAS;CCND2;PPP3R2;CCND1;CDK4;CCNE1;MYC;CHEK1;CDK2;E2F1;AKT1;MAPK1;KRAS;E2F5;BTRC;HRAS;ATR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	24/219	1.993432e-23	1.893761e-21	0	0	2.446869e+01	1.278968e+03	SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;CDKN2A;RELB;NRAS;CCND2;PPP3R2;XPO1;CCND1;CDK4;CCNE1;MYC;CHEK1;CDK2;E2F1;AKT1;MAPK1;KRAS;HRAS;BCL2L1;ATR
KEGG_2019_Human	Cell cycle	20/124	4.245066e-23	2.688542e-21	0	0	3.691748e+01	1.901756e+03	SMAD2;CREBBP;SMAD4;CDKN2B;HDAC2;SMAD3;CDKN2A;CDC14B;FZR1;CCND2;CDC45;CCND1;CDK4;CCNE1;MYC;CHEK1;CDK2;E2F1;E2F5;ATR
KEGG_2019_Human	Pathways in cancer	30/530	8.891967e-21	4.223684e-19	0	0	1.250129e+01	5.771738e+02	HDAC2;CTBP2;HIF1A;GLI2;NRAS;FRAT2;CCND2;CCND1;CDH1;MYC;E2F1;AKT1;MAPK1;HRAS;CAMK2G;SMAD2;CREBBP;SMAD4;CDKN2B;SMAD3;CDKN2A;FN1;ESR1;SP1;CDK4;CCNE1;CDK2;KRAS;FGFR4;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	15/76	5.855505e-19	2.225092e-17	0	0	4.511840e+01	1.894149e+03	HDAC2;SMAD4;SMAD3;CTBP2;CDKN2A;NRAS;CCND1;CDK4;MYC;E2F1;AKT1;MAPK1;KRAS;HRAS;BCL2L1
KEGG_2019_Human	Hepatocellular carcinoma	17/168	3.131106e-16	9.915169e-15	0	0	2.095102e+01	7.479508e+02	SMAD2;SMAD4;SMAD3;CDKN2A;ACTB;ACTG1;NRAS;FRAT2;CCND1;CDK4;MYC;E2F1;AKT1;MAPK1;KRAS;HRAS;BCL2L1
KEGG_2019_Human	Gastric cancer	16/149	9.485495e-16	2.574634e-14	0	0	2.219830e+01	7.678746e+02	SMAD2;SMAD4;CDKN2B;SMAD3;NRAS;FRAT2;CCND1;CDH1;CCNE1;MYC;CDK2;E2F1;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	FoxO signaling pathway	15/132	3.339746e-15	7.931896e-14	0	0	2.345679e+01	7.818824e+02	SMAD2;USP7;CREBBP;SMAD4;CDKN2B;SMAD3;FOXO3;NRAS;CCND2;CCND1;CDK2;AKT1;MAPK1;KRAS;HRAS
KEGG_2019_Human	Viral carcinogenesis	17/201	6.440260e-15	1.223649e-13	0	0	1.716474e+01	5.608785e+02	USP7;CREBBP;CDKN2B;HDAC2;CDKN2A;ACTN4;NRAS;CCND2;CCND1;CDK4;CCNE1;HIST4H4;CHEK1;CDK2;MAPK1;KRAS;HRAS
KEGG_2019_Human	Proteoglycans in cancer	17/201	6.440260e-15	1.223649e-13	0	0	1.716474e+01	5.608785e+02	SMAD2;CAV1;FN1;ESR1;HIF1A;ACTB;ACTG1;NRAS;PAK1;CCND1;MYC;AKT1;MAPK1;KRAS;HRAS;CAMK2G;CD44
KEGG_2019_Human	Bladder cancer	10/41	5.089398e-14	8.790778e-13	0	0	5.665430e+01	1.734133e+03	NRAS;CCND1;CDH1;CDKN2A;CDK4;MYC;E2F1;MAPK1;KRAS;HRAS
