Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Citrate cycle (TCA cycle)	7/30	6.712055e-10	1.228306e-07	0	0	4.992562e+01	1.054526e+03	CS;ACLY;IDH3G;IDH1;IDH2;IDH3B;IDH3A
KEGG_2019_Human	Progesterone-mediated oocyte maturation	8/99	2.373530e-07	2.035577e-05	0	0	1.449158e+01	2.210504e+02	CCNB1;HSP90AA1;HSP90AB1;CDK2;CDK1;PRKACA;MAPK14;AURKA
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	3.337011e-07	2.035577e-05	0	0	9.483821e+00	1.414324e+02	ATF1;NTRK1;CEBPA;DDX5;CEBPB;HDAC2;BCL11B;JUP;LDB1;HDAC1
KEGG_2019_Human	Pathways in cancer	15/530	1.546051e-06	7.073183e-05	0	0	4.989346e+00	6.675649e+01	NTRK1;CEBPA;JUN;HSP90AA1;HDAC2;HSP90AB1;JUP;CTBP1;HDAC1;ARNT;ESR1;CDH1;CDK2;CALM1;PRKACA
KEGG_2019_Human	Spliceosome	8/134	2.396850e-06	8.772472e-05	0	0	1.044762e+01	1.352063e+02	EFTUD2;HSPA8;DDX5;HNRNPK;DHX15;HNRNPU;CDC5L;HNRNPC
KEGG_2019_Human	Th17 cell differentiation	7/107	5.719184e-06	1.554131e-04	0	0	1.143835e+01	1.380801e+02	JUN;HSP90AA1;HSP90AB1;NFATC2;NFATC1;GATA3;MAPK14
KEGG_2019_Human	Viral carcinogenesis	9/201	5.944763e-06	1.554131e-04	0	0	7.752101e+00	9.328103e+01	RANBP1;JUN;HDAC2;HNRNPK;HIST4H4;HDAC1;CDK2;CDK1;PRKACA
KEGG_2019_Human	Estrogen signaling pathway	7/137	2.879049e-05	6.004932e-04	0	0	8.785378e+00	9.185522e+01	HSPA8;JUN;HSP90AA1;HSP90AB1;CALM1;PRKACA;ESR1
KEGG_2019_Human	IL-17 signaling pathway	6/93	2.953245e-05	6.004932e-04	0	0	1.118428e+01	1.166523e+02	HSP90AA1;CEBPB;JUN;HSP90AB1;MAPK14;ELAVL1
KEGG_2019_Human	C-type lectin receptor signaling pathway	6/104	5.551584e-05	1.015940e-03	0	0	9.923386e+00	9.723769e+01	JUN;KSR1;NFATC2;NFATC1;CALM1;MAPK14
KEGG_2019_Human	Cellular senescence	7/160	7.730800e-05	1.286124e-03	0	0	7.456004e+00	7.059131e+01	CCNB1;CDK2;CDK1;NFATC2;NFATC1;MAPK14;CALM1
KEGG_2019_Human	Cell cycle	6/124	1.472326e-04	2.165795e-03	0	0	8.233120e+00	7.264491e+01	CCNB1;HDAC2;HDAC1;CDK2;CDK1;MCM3
KEGG_2019_Human	Oocyte meiosis	6/125	1.538543e-04	2.165795e-03	0	0	8.163521e+00	7.167167e+01	CCNB1;CDK2;CDK1;PRKACA;CALM1;AURKA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	6/139	2.738764e-04	3.579956e-03	0	0	7.299026e+00	5.987270e+01	JUN;HSP90AA1;HSP90AB1;SUMO2;MAPK14;CALM1
KEGG_2019_Human	Th1 and Th2 cell differentiation	5/92	3.127964e-04	3.816116e-03	0	0	9.244463e+00	7.460243e+01	JUN;NFATC2;NFATC1;GATA3;MAPK14
KEGG_2019_Human	Human immunodeficiency virus 1 infection	7/212	4.357195e-04	4.983542e-03	0	0	5.550050e+00	4.294913e+01	CCNB1;JUN;CDK1;NFATC2;NFATC1;MAPK14;CALM1
KEGG_2019_Human	Longevity regulating pathway	5/102	5.035149e-04	5.224944e-03	0	0	8.287235e+00	6.293241e+01	HSPA8;HDAC2;HDAC1;EHMT2;PRKACA
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	7/219	5.289289e-04	5.224944e-03	0	0	5.364884e+00	4.047621e+01	FDPS;RANBP1;JUN;CDK2;NFATC2;NFATC1;PRKACA
KEGG_2019_Human	Wnt signaling pathway	6/158	5.424805e-04	5.224944e-03	0	0	6.380500e+00	4.797727e+01	JUN;CSNK2A1;CTBP1;NFATC2;NFATC1;PRKACA
KEGG_2019_Human	Influenza A	6/171	8.210671e-04	7.512764e-03	0	0	5.873920e+00	4.173364e+01	IVNS1ABP;NXF1;FDPS;HSPA8;JUN;MAPK14
KEGG_2019_Human	Amphetamine addiction	4/68	9.498155e-04	8.276963e-03	0	0	9.983871e+00	6.948018e+01	JUN;HDAC1;PRKACA;CALM1
KEGG_2019_Human	MAPK signaling pathway	7/295	2.931135e-03	2.328332e-02	0	0	3.933884e+00	2.294385e+01	NTRK1;HSPA8;JUN;FLNA;NFATC1;MAPK14;PRKACA
KEGG_2019_Human	GnRH signaling pathway	4/93	3.012199e-03	2.328332e-02	0	0	7.170352e+00	4.162450e+01	JUN;PRKACA;MAPK14;CALM1
KEGG_2019_Human	Oxytocin signaling pathway	5/153	3.053550e-03	2.328332e-02	0	0	5.417491e+00	3.137513e+01	JUN;NFATC2;NFATC1;CALM1;PRKACA
KEGG_2019_Human	Notch signaling pathway	3/48	3.589433e-03	2.556067e-02	0	0	1.057440e+01	5.953134e+01	HDAC2;HDAC1;CTBP1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	4/100	3.909238e-03	2.556067e-02	0	0	6.645161e+00	3.684352e+01	NTRK1;PRKACA;CALM1;MAPK14
KEGG_2019_Human	Hepatitis B	5/163	4.000801e-03	2.556067e-02	0	0	5.072039e+00	2.800405e+01	JUN;CDK2;NFATC2;NFATC1;MAPK14
KEGG_2019_Human	T cell receptor signaling pathway	4/101	4.050597e-03	2.556067e-02	0	0	6.576322e+00	3.622824e+01	JUN;NFATC2;NFATC1;MAPK14
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	4/101	4.050597e-03	2.556067e-02	0	0	6.576322e+00	3.622824e+01	FBL;NXF1;CSNK2A1;SBDS
KEGG_2019_Human	Protein processing in endoplasmic reticulum	5/165	4.212873e-03	2.569852e-02	0	0	5.008130e+00	2.739252e+01	HSPA8;HSP90AA1;HSP90AB1;DNAJA2;UBQLN2
KEGG_2019_Human	NOD-like receptor signaling pathway	5/178	5.791353e-03	3.330771e-02	0	0	4.628742e+00	2.384445e+01	JUN;HSP90AA1;HSP90AB1;NEK7;MAPK14
KEGG_2019_Human	Pyrimidine metabolism	3/57	5.824299e-03	3.330771e-02	0	0	8.808000e+00	4.532347e+01	CAD;DCK;NME1
KEGG_2019_Human	Alcoholism	5/180	6.066640e-03	3.364228e-02	0	0	4.575377e+00	2.335708e+01	HDAC2;HIST4H4;HDAC1;CALM1;PRKACA
KEGG_2019_Human	Thyroid hormone signaling pathway	4/116	6.602165e-03	3.553518e-02	0	0	5.691244e+00	2.857208e+01	HDAC2;HDAC1;PRKACA;ESR1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	5/186	6.947668e-03	3.632638e-02	0	0	4.422360e+00	2.197625e+01	JUN;NFATC2;NFATC1;MAPK14;CALM1
