Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	17/72	3.369401e-22	6.233392e-20	0	0	5.279060e+01	2.610080e+03	SMAD2;CREBBP;YES1;SMAD3;CSNK2A1;SRC;CTNND1;CSNK2A2;WAS;IQGAP1;PTPRF;ACTB;ERBB2;EP300;CTNNB1;FYN;PTPN6
KEGG_2019_Human	Pathways in cancer	30/530	9.947950e-20	9.201854e-18	0	0	1.128175e+01	4.936254e+02	FLT3;RELA;CRKL;ERBB2;ABL1;DVL2;STAT4;EP300;IKBKG;SMAD2;STAT5A;STAT5B;CREBBP;JUN;SMAD3;JUP;STAT3;FOS;ESR1;PML;AR;APC;SP1;KIT;RARA;CTNNB1;TP53;SOS2;CRK;PPARD
KEGG_2019_Human	Hepatitis B	18/163	3.432533e-17	2.116728e-15	0	0	2.128912e+01	8.070842e+02	SMAD2;STAT5A;STAT5B;CREBBP;JUN;SMAD3;DDX3X;SRC;STAT3;FOS;RELA;CREB1;STAT4;EP300;IKBKG;TP53;SOS2;TLR2
KEGG_2019_Human	Acute myeloid leukemia	12/66	1.636189e-14	7.567375e-13	0	0	3.638751e+01	1.155079e+03	STAT5A;STAT5B;JUP;FLT3;KIT;STAT3;RARA;IKBKG;SOS2;RELA;PML;PPARD
KEGG_2019_Human	ErbB signaling pathway	12/85	3.931213e-13	1.454549e-11	0	0	2.689098e+01	7.681316e+02	STAT5A;STAT5B;JUN;SRC;ERBB2;ABL1;ABL2;CBLB;SOS2;CRK;CRKL;NCK1
KEGG_2019_Human	Viral carcinogenesis	15/201	5.469219e-12	1.686343e-10	0	0	1.345066e+01	3.488009e+02	STAT5A;STAT5B;SP100;CREBBP;JUN;DDX3X;SRC;SRF;STAT3;RELA;CREB1;HIST4H4;EP300;IKBKG;TP53
KEGG_2019_Human	Th17 cell differentiation	12/107	6.547211e-12	1.730334e-10	0	0	2.064063e+01	5.315370e+02	SMAD2;STAT5A;STAT5B;JUN;SMAD3;LCK;STAT3;RORC;RARA;IKBKG;FOS;RELA
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	1.873353e-11	4.332129e-10	0	0	1.225262e+01	3.026483e+02	SMAD2;STAT5A;STAT5B;CREBBP;JUN;SMAD3;SRF;FOS;RELA;CREB1;LCK;CDC27;EP300;IKBKG;TP53
KEGG_2019_Human	Prolactin signaling pathway	10/70	3.394756e-11	6.978110e-10	0	0	2.683875e+01	6.469805e+02	STAT5A;STAT5B;SOCS1;SRC;STAT3;FOS;SOCS6;SOS2;ESR1;RELA
KEGG_2019_Human	Proteoglycans in cancer	14/201	7.299985e-11	1.328318e-09	0	0	1.238125e+01	2.889854e+02	SMAD2;SRC;CAV1;STAT3;IQGAP1;ESR1;ACTB;TIAM1;ERBB2;CTNNB1;PTPN6;TP53;SOS2;TLR2
KEGG_2019_Human	Chronic myeloid leukemia	10/76	7.898109e-11	1.328318e-09	0	0	2.439148e+01	5.673899e+02	STAT5A;STAT5B;SMAD3;ABL1;IKBKG;SOS2;TP53;CRK;RELA;CRKL
KEGG_2019_Human	MAPK signaling pathway	16/295	1.271417e-10	1.923193e-09	0	0	9.601078e+00	2.187675e+02	JUN;FLT3;SRF;FOS;RELA;CRKL;RASA1;RPS6KA2;ERBB2;KIT;MAPT;IKBKG;TP53;SOS2;CRK;MAP3K5
