Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	33/354	1.758269e-31	3.393458e-29	0	0	2.579056e+01	1.826379e+03	FLT1;IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;BRCA1;FGF2;RELA;IGF1R;ERBB4;KDR;HRAS;YWHAH;MAPK3;JAK1;PDGFRB;PDGFRA;NGFR;MAP2K1;CHUK;PDPK1;GNG11;NFKB1;CREB1;PIK3CA;GNB1;KIT;GRB2;KRAS;GNB5;TP53
KEGG_2019_Human	Prostate cancer	22/97	6.433289e-30	6.208124e-28	0	0	6.530457e+01	4.389516e+03	PDGFRB;PDGFRA;MAP2K1;CREBBP;CHUK;PDPK1;PIK3R3;PIK3R2;PIK3R1;FOXO1;NFKB1;RELA;IGF1R;AR;CREB1;PIK3CA;CTNNB1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	35/530	3.002918e-28	1.931877e-26	0	0	1.804333e+01	1.143456e+03	CTBP1;HDAC1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;FGF2;RELA;FOXO1;IGF1R;HRAS;MAPK3;JAK1;PDGFRB;PDGFRA;CREBBP;MAP2K1;CHUK;FOS;ESR1;GNG11;NFKB1;AR;PIK3CA;GNAQ;GNB1;KIT;CTNNB1;GRB2;KRAS;GNB5;TP53;CRK
KEGG_2019_Human	Ras signaling pathway	26/232	7.448362e-27	3.593835e-25	0	0	2.922661e+01	1.758326e+03	FLT1;FLT4;PIK3R3;FASLG;PIK3R2;FOXO4;PIK3R1;FGF2;RELA;IGF1R;KDR;HRAS;MAPK3;PDGFRB;PDGFRA;NGFR;MAP2K1;CHUK;GNG11;NFKB1;PIK3CA;GNB1;KIT;GRB2;KRAS;GNB5
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	24/186	2.566759e-26	9.907691e-25	0	0	3.359217e+01	1.979404e+03	ATG3;CREBBP;MAP2K1;CHUK;PIK3R3;PIK3R2;PIK3R1;FOS;FGF2;GNG11;RELA;NFKB1;TNFRSF1A;HCK;CREB1;PIK3CA;GNB1;CTNNB1;KRAS;GNB5;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Human cytomegalovirus infection	24/225	2.774497e-24	8.924631e-23	0	0	2.702076e+01	1.465648e+03	PDGFRA;MAP2K1;CHUK;PIK3R3;FASLG;PIK3R2;PIK3R1;GNG11;RELA;NFKB1;TNFRSF1A;CREB1;PIK3CA;GNAQ;GNB1;CTNNB1;GRB2;KRAS;GNB5;TP53;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	Chronic myeloid leukemia	17/76	3.654996e-23	1.007734e-21	0	0	6.078435e+01	3.140324e+03	MAP2K1;CHUK;HDAC1;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	22/201	1.509559e-22	3.641812e-21	0	0	2.721863e+01	1.367602e+03	MAP2K1;DDX5;PDPK1;CAV1;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;ESR1;FGF2;ACTB;IGF1R;PIK3CA;ERBB4;KDR;CTNNB1;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	24/295	1.874140e-21	4.018989e-20	0	0	1.996997e+01	9.530896e+02	PDGFRB;PDGFRA;NGFR;DAXX;MAP2K1;FLT1;CHUK;FLT4;FASLG;FOS;FGF2;RELA;NFKB1;IGF1R;TNFRSF1A;ERBB4;KIT;KDR;GRB2;KRAS;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	19/143	3.323092e-21	6.065284e-20	0	0	3.291857e+01	1.552222e+03	NGFR;DAXX;MAP2K1;CHUK;PDPK1;PIK3R3;FASLG;PIK3R2;PIK3R1;FOS;RELA;ACTB;NFKB1;TNFRSF1A;PIK3CA;KRAS;TP53;HRAS;MAPK3
