Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	19/201	4.289111e-16	7.720400e-14	0	0	1.629980e+01	5.767730e+02	SP100;CREBBP;JUN;HDAC2;HDAC3;SRC;HDAC1;SRF;PXN;SCRIB;RBPJ;RELA;CREB1;CCNE1;HIST4H4;MDM2;EP300;HIST1H2BG;TP53
KEGG_2019_Human	Pathways in cancer	27/530	1.201126e-15	1.081013e-13	0	0	8.803181e+00	3.024378e+02	HDAC2;HSP90AB1;CTBP1;HDAC1;RELA;MECOM;CDH1;CTNNA1;EP300;CTNNA3;TCF7L2;CREBBP;JUN;CHUK;FOS;ESR1;PML;MAPK10;AR;APC;CCNE1;MDM2;RARA;CTNNB1;TP53;SOS2;PPARD
KEGG_2019_Human	Adherens junction	13/72	4.347366e-15	2.608419e-13	0	0	3.304417e+01	1.092744e+03	TCF7L2;CREBBP;CSNK2A1;SRC;CSNK2A2;IQGAP1;ACTB;CDH1;CSNK2B;CTNNA1;EP300;CTNNB1;CTNNA3
KEGG_2019_Human	Wnt signaling pathway	16/158	3.428253e-14	1.542714e-12	0	0	1.721847e+01	5.338440e+02	RNF43;TCF7L2;CREBBP;JUN;CSNK2A1;CTBP1;CSNK2A2;MAPK10;FOSL1;APC;RUVBL1;CSNK2B;CTNNB1;EP300;TP53;PPARD
KEGG_2019_Human	Prostate cancer	13/97	2.450239e-13	8.820862e-12	0	0	2.318028e+01	6.730957e+02	TCF7L2;CREBBP;HSP90AB1;CHUK;RELA;AR;CREB1;CCNE1;MDM2;EP300;CTNNB1;TP53;SOS2
KEGG_2019_Human	Human papillomavirus infection	18/330	3.244650e-11	9.733950e-10	0	0	8.877801e+00	2.144116e+02	HES6;TCF7L2;CREBBP;HDAC2;CHUK;HDAC1;PXN;SCRIB;RBPJ;RELA;CREB1;APC;CCNE1;MDM2;CTNNB1;EP300;TP53;SOS2
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	4.800824e-11	1.234498e-09	0	0	1.713505e+01	4.071227e+02	NCOA2;CREBBP;HDAC2;HDAC3;SRC;HDAC1;MDM2;EP300;CTNNB1;TP53;ESR1;ACTB
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	6.542539e-11	1.472071e-09	0	0	1.111482e+01	2.606437e+02	CREBBP;JUN;CHUK;SRF;FOS;RELA;MAPK10;FOSL1;CREB1;CCNE1;CDC27;EP300;ANAPC5;MSX1;TP53
KEGG_2019_Human	Mitophagy	9/65	9.753136e-10	1.950627e-08	0	0	2.339693e+01	4.854456e+02	MAPK10;JUN;CSNK2A1;UBB;SRC;CSNK2A2;CSNK2B;TP53;RELA
KEGG_2019_Human	Hepatitis B	12/163	2.533877e-09	4.560979e-08	0	0	1.177354e+01	2.330397e+02	MAPK10;CREBBP;JUN;CREB1;CHUK;CCNE1;SRC;EP300;FOS;TP53;SOS2;RELA
KEGG_2019_Human	Chronic myeloid leukemia	9/76	4.063170e-09	6.648823e-08	0	0	1.954478e+01	3.776305e+02	HDAC2;MECOM;CHUK;HDAC1;CTBP1;MDM2;SOS2;TP53;RELA
KEGG_2019_Human	Measles	11/138	5.197988e-09	7.767707e-08	0	0	1.275167e+01	2.432381e+02	MAPK10;HSPA8;JUN;CSNK2A1;CHUK;CCNE1;CSNK2A2;CSNK2B;FOS;TP53;RELA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	5.610010e-09	7.767707e-08	0	0	1.265141e+01	2.403605e+02	MAPK10;JUN;HSP90AB1;SUMO1;CHUK;SRC;CTNNB1;FOS;TP53;ACTB;RELA
KEGG_2019_Human	Endometrial cancer	8/58	8.869508e-09	1.140365e-07	0	0	2.312993e+01	4.288438e+02	TCF7L2;APC;CDH1;CTNNA1;CTNNB1;CTNNA3;SOS2;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.129396e-08	1.355275e-07	0	0	1.020534e+01	1.867475e+02	MAPK10;CREBBP;JUN;CREB1;UBB;CHUK;SRC;CTNNB1;EP300;FOS;TP53;RELA
KEGG_2019_Human	MAPK signaling pathway	14/295	3.277713e-08	3.687427e-07	0	0	7.444405e+00	1.282934e+02	HSPA8;DAXX;JUN;CHUK;SRF;HSPB1;FOS;RELA;MAPK10;RPS6KA3;MECOM;RPS6KA2;TP53;SOS2
KEGG_2019_Human	Ubiquitin mediated proteolysis	10/137	6.142600e-08	5.992936e-07	0	0	1.150656e+01	1.910714e+02	CDC27;UBE2N;MDM2;HUWE1;UBE2D1;ANAPC5;BRCA1;PIAS2;PML;PIAS1
KEGG_2019_Human	Estrogen signaling pathway	10/137	6.142600e-08	5.992936e-07	0	0	1.150656e+01	1.910714e+02	HSPA8;NCOA2;JUN;HSP90AB1;CREB1;SRC;RARA;FOS;ESR1;SOS2
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	6.325877e-08	5.992936e-07	0	0	1.750852e+01	2.902217e+02	CDH1;SRC;PXN;CTNNA1;CTNNB1;CTNNA3;ARPC5;ACTB
KEGG_2019_Human	Th17 cell differentiation	9/107	8.456021e-08	7.610419e-07	0	0	1.334131e+01	2.172740e+02	MAPK10;JUN;HSP90AB1;CHUK;RORC;RARA;GATA3;FOS;RELA
KEGG_2019_Human	Colorectal cancer	8/86	2.070048e-07	1.774327e-06	0	0	1.480591e+01	2.278708e+02	MAPK10;TCF7L2;JUN;APC;CTNNB1;FOS;SOS2;TP53
KEGG_2019_Human	Epstein-Barr virus infection	11/201	2.514239e-07	2.057105e-06	0	0	8.496269e+00	1.291104e+02	MAPK10;PSMC5;JUN;HDAC2;CHUK;CCNE1;HDAC1;MDM2;RBPJ;TP53;RELA
KEGG_2019_Human	Cell cycle	9/124	3.015433e-07	2.359904e-06	0	0	1.135934e+01	1.705531e+02	CREBBP;HDAC2;CCNE1;HDAC1;CDC27;MDM2;EP300;ANAPC5;TP53
KEGG_2019_Human	IL-17 signaling pathway	8/93	3.807301e-07	2.855475e-06	0	0	1.358179e+01	2.007549e+02	MAPK10;FOSL1;JUN;HSP90AB1;CHUK;ANAPC5;FOS;RELA
KEGG_2019_Human	Acute myeloid leukemia	7/66	4.958597e-07	3.570190e-06	0	0	1.701941e+01	2.470702e+02	TCF7L2;CHUK;RARA;SOS2;RELA;PML;PPARD
KEGG_2019_Human	Apoptosis	9/143	1.008197e-06	6.979825e-06	0	0	9.739300e+00	1.344739e+02	MAPK10;DAXX;JUN;TUBA1A;CHUK;FOS;TP53;ACTB;RELA
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	1.058276e-06	7.055173e-06	0	0	8.282407e+00	1.139566e+02	DDX5;HDAC2;HIST1H3A;FUS;HDAC1;MDM2;RARA;TP53;PML;RELA
KEGG_2019_Human	Notch signaling pathway	6/48	1.249900e-06	7.883371e-06	0	0	2.036280e+01	2.767802e+02	HDAC2;CREBBP;HDAC1;CTBP1;EP300;RBPJ
KEGG_2019_Human	Breast cancer	9/147	1.270099e-06	7.883371e-06	0	0	9.455083e+00	1.283661e+02	TCF7L2;JUN;APC;CTNNB1;BRCA1;FOS;TP53;ESR1;SOS2
KEGG_2019_Human	Gastric cancer	9/149	1.421755e-06	8.530531e-06	0	0	9.319065e+00	1.254683e+02	TCF7L2;APC;CDH1;CCNE1;CTNNA1;CTNNB1;CTNNA3;TP53;SOS2
KEGG_2019_Human	Proteoglycans in cancer	10/201	2.135521e-06	1.239980e-05	0	0	7.626139e+00	9.957297e+01	DDX5;SRC;PXN;MDM2;CTNNB1;IQGAP1;TP53;ESR1;SOS2;ACTB
KEGG_2019_Human	Hippo signaling pathway	9/160	2.567296e-06	1.444104e-05	0	0	8.635372e+00	1.111602e+02	TCF7L2;APC;CDH1;TP53BP2;CTNNA1;CTNNB1;SCRIB;CTNNA3;ACTB
KEGG_2019_Human	Tight junction	9/170	4.224869e-06	2.304474e-05	0	0	8.094903e+00	1.001706e+02	MAPK10;ACTR3;ACTR2;MYL6;JUN;TUBA1A;SRC;SCRIB;ACTB
KEGG_2019_Human	Influenza A	9/171	4.432381e-06	2.346555e-05	0	0	8.044526e+00	9.916144e+01	MAPK10;HSPA8;CREBBP;JUN;EP300;KPNA2;PML;RELA;ACTB
KEGG_2019_Human	Th1 and Th2 cell differentiation	7/92	4.768211e-06	2.452223e-05	0	0	1.179795e+01	1.445667e+02	MAPK10;JUN;CHUK;FOS;GATA3;RBPJ;RELA
KEGG_2019_Human	Alcoholism	9/180	6.728798e-06	3.364399e-05	0	0	7.617647e+00	9.071943e+01	HDAC2;CREB1;HIST1H3A;HDAC3;HIST4H4;HDAC1;HIST1H2AE;HIST1H2BG;SOS2
