Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	14/158	4.380518e-14	5.869894e-12	0	0	2.259788e+01	6.950886e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CTNNBIP1;CSNK2A2;NLK;APC;CCND1;MYC;RUVBL1;CTNNB1;PPARD
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	1.339024e-10	8.971459e-09	0	0	1.563773e+01	3.555068e+02	ATF1;TLX3;BCL6;EWSR1;FUS;PAX7;MYC;TRAF1;ERG;KLF3;PML;MEN1
KEGG_2019_Human	Breast cancer	10/147	3.012474e-09	1.345572e-07	0	0	1.620930e+01	3.180346e+02	TCF7L2;APC;CCND1;MYC;CTNNB1;E2F3;BRCA1;FOS;ESR1;FGF2
KEGG_2019_Human	Pathways in cancer	16/530	7.027135e-09	2.354090e-07	0	0	7.270920e+00	1.365005e+02	TCF7L2;CREBBP;CTBP2;CTBP1;TRAF1;FOS;ESR1;FGF2;PML;AR;APC;CCND1;MYC;CTNNB1;E2F3;PPARD
KEGG_2019_Human	Prostate cancer	8/97	2.720199e-08	7.290134e-07	0	0	1.956982e+01	3.409058e+02	AR;TCF7L2;CREBBP;CREB1;CCND1;CTNNB1;E2F3;ERG
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	3.612877e-07	8.068758e-06	0	0	1.114350e+01	1.652982e+02	ATG3;CREBBP;CREB1;CCND1;MYC;CTNNB1;E2F3;FOS;FGF2
KEGG_2019_Human	Cushing syndrome	8/155	1.023423e-06	1.959125e-05	0	0	1.181371e+01	1.629389e+02	ATF2;TCF7L2;CREB1;APC;CCND1;CTNNB1;E2F3;MEN1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	1.416039e-06	2.255079e-05	0	0	9.376667e+00	1.262816e+02	ATF2;CREBBP;CREB1;CCND1;MSX2;MYC;SRF;E2F3;FOS
KEGG_2019_Human	Adherens junction	6/72	1.514605e-06	2.255079e-05	0	0	1.938905e+01	2.598202e+02	TCF7L2;CREBBP;CSNK2A1;CSNK2A2;CTNNB1;NLK
KEGG_2019_Human	Colorectal cancer	6/86	4.310648e-06	5.776268e-05	0	0	1.598468e+01	1.974815e+02	TCF7L2;CCND1;APC;MYC;CTNNB1;FOS
KEGG_2019_Human	Viral carcinogenesis	8/201	7.089259e-06	8.636006e-05	0	0	8.977054e+00	1.064403e+02	ATF2;CREBBP;CREB1;DDX3X;CCND1;HIST4H4;SRF;TRAF1
KEGG_2019_Human	Gastric cancer	7/149	9.285272e-06	1.029699e-04	0	0	1.058734e+01	1.226764e+02	TCF7L2;APC;CCND1;MYC;CTNNB1;E2F3;FGF2
KEGG_2019_Human	Endometrial cancer	5/58	9.989618e-06	1.029699e-04	0	0	1.991971e+01	2.293548e+02	TCF7L2;CCND1;APC;MYC;CTNNB1
KEGG_2019_Human	Hepatitis B	7/163	1.666373e-05	1.594957e-04	0	0	9.630365e+00	1.059559e+02	ATF2;CREBBP;CREB1;DDX3X;MYC;E2F3;FOS
KEGG_2019_Human	Acute myeloid leukemia	5/66	1.888391e-05	1.686963e-04	0	0	1.730031e+01	1.881790e+02	TCF7L2;CCND1;MYC;PML;PPARD
KEGG_2019_Human	Thyroid cancer	4/37	3.290490e-05	2.755786e-04	0	0	2.534992e+01	2.616591e+02	TCF7L2;CCND1;MYC;CTNNB1
KEGG_2019_Human	Chronic myeloid leukemia	5/76	3.754237e-05	2.959222e-04	0	0	1.485616e+01	1.513849e+02	CCND1;CTBP2;CTBP1;MYC;E2F3
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	6/139	6.668832e-05	4.964575e-04	0	0	9.589134e+00	9.220413e+01	APC;MYC;CTNNB1;PAX6;HNF1A;FGF2
KEGG_2019_Human	Hippo signaling pathway	6/160	1.448085e-04	1.021281e-03	0	0	8.272727e+00	7.313172e+01	TCF7L2;APC;CCND1;MYC;CTNNB1;SMAD7
KEGG_2019_Human	Hepatocellular carcinoma	6/168	1.888579e-04	1.265348e-03	0	0	7.861012e+00	6.740437e+01	TCF7L2;APC;CCND1;MYC;CTNNB1;E2F3
KEGG_2019_Human	TNF signaling pathway	5/110	2.178291e-04	1.389957e-03	0	0	1.002837e+01	8.455720e+01	ATF2;CREB1;BCL3;TRAF1;FOS
KEGG_2019_Human	Thyroid hormone signaling pathway	5/116	2.788662e-04	1.640570e-03	0	0	9.483420e+00	7.761969e+01	CREBBP;CCND1;MYC;CTNNB1;ESR1
KEGG_2019_Human	Maturity onset diabetes of the young	3/26	2.815903e-04	1.640570e-03	0	0	2.700815e+01	2.207932e+02	PAX6;HNF1B;HNF1A
KEGG_2019_Human	MAPK signaling pathway	7/295	6.620178e-04	3.696266e-03	0	0	5.181575e+00	3.793026e+01	ATF2;DAXX;MYC;SRF;FOS;NLK;FGF2
KEGG_2019_Human	MicroRNAs in cancer	7/299	7.166107e-04	3.841033e-03	0	0	5.109552e+00	3.699815e+01	CREBBP;UBE2I;APC;CCND1;MYC;E2F3;BRCA1
KEGG_2019_Human	Human cytomegalovirus infection	6/225	8.900121e-04	4.586985e-03	0	0	5.798203e+00	4.072818e+01	ATF2;CREB1;CCND1;MYC;CTNNB1;E2F3
KEGG_2019_Human	Bladder cancer	3/41	1.094088e-03	5.429919e-03	0	0	1.633470e+01	1.113673e+02	CCND1;MYC;E2F3
KEGG_2019_Human	Small cell lung cancer	4/93	1.177204e-03	5.633764e-03	0	0	9.372915e+00	6.321669e+01	CCND1;MYC;E2F3;TRAF1
KEGG_2019_Human	Human papillomavirus infection	7/330	1.271335e-03	5.690265e-03	0	0	4.611859e+00	3.075043e+01	HES6;TCF7L2;CREBBP;CREB1;APC;CCND1;CTNNB1
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	1.273940e-03	5.690265e-03	0	0	9.165992e+00	6.109721e+01	UBE2I;CSNK2A1;CSNK2A2;TRAF1
KEGG_2019_Human	Melanogenesis	4/101	1.597362e-03	6.904726e-03	0	0	8.596419e+00	5.535580e+01	TCF7L2;CREBBP;CREB1;CTNNB1
KEGG_2019_Human	Notch signaling pathway	3/48	1.731287e-03	7.249764e-03	0	0	1.378889e+01	8.768203e+01	CREBBP;CTBP2;CTBP1
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	4/106	1.907308e-03	7.744825e-03	0	0	8.172962e+00	5.117960e+01	ATF2;GCM1;CREB1;FOS
KEGG_2019_Human	Proteoglycans in cancer	5/201	3.251594e-03	1.281511e-02	0	0	5.347644e+00	3.063457e+01	CCND1;MYC;CTNNB1;ESR1;FGF2
KEGG_2019_Human	Cell cycle	4/124	3.366484e-03	1.288882e-02	0	0	6.940702e+00	3.951957e+01	CREBBP;CCND1;MYC;E2F3
KEGG_2019_Human	Basal cell carcinoma	3/63	3.767834e-03	1.402472e-02	0	0	1.033385e+01	5.767587e+01	TCF7L2;APC;CTNNB1
KEGG_2019_Human	FoxO signaling pathway	4/132	4.207863e-03	1.523929e-02	0	0	6.504276e+00	3.558360e+01	CREBBP;CCND1;BCL6;NLK
KEGG_2019_Human	Amphetamine addiction	3/68	4.671180e-03	1.647205e-02	0	0	9.536538e+00	5.117634e+01	ATF2;CREB1;FOS
KEGG_2019_Human	Estrogen signaling pathway	4/137	4.800102e-03	1.649266e-02	0	0	6.258172e+00	3.341312e+01	ATF2;CREB1;FOS;ESR1
KEGG_2019_Human	Measles	4/138	4.924922e-03	1.649849e-02	0	0	6.211155e+00	3.300264e+01	CCND1;CSNK2A1;CSNK2A2;FOS
KEGG_2019_Human	Prolactin signaling pathway	3/70	5.065998e-03	1.655716e-02	0	0	9.250933e+00	4.889307e+01	CCND1;FOS;ESR1
KEGG_2019_Human	Melanoma	3/72	5.480362e-03	1.748496e-02	0	0	8.981884e+00	4.676494e+01	CCND1;E2F3;FGF2
KEGG_2019_Human	Hepatitis C	4/155	7.391232e-03	2.303314e-02	0	0	5.507145e+00	2.702610e+01	CCND1;MYC;CTNNB1;E2F3
KEGG_2019_Human	Cellular senescence	4/160	8.247062e-03	2.479658e-02	0	0	5.329285e+00	2.556937e+01	CCND1;MYC;E2F3;FOXM1
KEGG_2019_Human	PI3K-Akt signaling pathway	6/354	8.327211e-03	2.479658e-02	0	0	3.624954e+00	1.735710e+01	ATF2;CREB1;CCND1;MYC;BRCA1;FGF2
KEGG_2019_Human	TGF-beta signaling pathway	3/90	1.012744e-02	2.950166e-02	0	0	7.117098e+00	3.268532e+01	CREBBP;MYC;SMAD7
KEGG_2019_Human	Aldosterone synthesis and secretion	3/98	1.274566e-02	3.633868e-02	0	0	6.515132e+00	2.842268e+01	ATF1;ATF2;CREB1
KEGG_2019_Human	Glucagon signaling pathway	3/103	1.456067e-02	4.064853e-02	0	0	6.187812e+00	2.617093e+01	ATF2;CREBBP;CREB1
KEGG_2019_Human	AMPK signaling pathway	3/120	2.177803e-02	5.955626e-02	0	0	5.284188e+00	2.022181e+01	CREB1;CCND1;ELAVL1
KEGG_2019_Human	Cocaine addiction	2/49	2.452919e-02	6.573822e-02	0	0	8.709805e+00	3.229501e+01	ATF2;CREB1
KEGG_2019_Human	Osteoclast differentiation	3/127	2.522384e-02	6.627439e-02	0	0	4.984123e+00	1.834140e+01	CREB1;FHL2;FOS
KEGG_2019_Human	Relaxin signaling pathway	3/130	2.678536e-02	6.902381e-02	0	0	4.865650e+00	1.761316e+01	ATF2;CREB1;FOS
KEGG_2019_Human	Dopaminergic synapse	3/131	2.731715e-02	6.906600e-02	0	0	4.827393e+00	1.737977e+01	ATF2;CREB1;FOS
KEGG_2019_Human	Ubiquitin mediated proteolysis	3/137	3.062608e-02	7.599805e-02	0	0	4.609841e+00	1.606946e+01	UBE2I;BRCA1;PML
KEGG_2019_Human	Fluid shear stress and atherosclerosis	3/139	3.177395e-02	7.741290e-02	0	0	4.541590e+00	1.566444e+01	SUMO2;CTNNB1;FOS
KEGG_2019_Human	Apoptosis	3/143	3.413673e-02	8.168433e-02	0	0	4.410938e+00	1.489742e+01	DAXX;TRAF1;FOS
KEGG_2019_Human	Cortisol synthesis and secretion	2/65	4.123792e-02	9.527381e-02	0	0	6.492554e+00	2.070084e+01	ATF2;CREB1
KEGG_2019_Human	Mitophagy	2/65	4.123792e-02	9.527381e-02	0	0	6.492554e+00	2.070084e+01	CSNK2A1;CSNK2A2
KEGG_2019_Human	Non-small cell lung cancer	2/66	4.239237e-02	9.628097e-02	0	0	6.390786e+00	2.019991e+01	CCND1;E2F3
KEGG_2019_Human	JAK-STAT signaling pathway	3/162	4.656376e-02	1.039924e-01	0	0	3.880110e+00	1.190004e+01	CREBBP;CCND1;MYC
KEGG_2019_Human	cGMP-PKG signaling pathway	3/166	4.942867e-02	1.071291e-01	0	0	3.784126e+00	1.137972e+01	ATF2;CREB1;SRF
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2/72	4.956721e-02	1.071291e-01	0	0	5.841237e+00	1.754956e+01	TCF7L2;CTNNB1
KEGG_2019_Human	Thyroid hormone synthesis	2/74	5.204996e-02	1.082310e-01	0	0	5.678408e+00	1.678283e+01	ATF2;CREB1
KEGG_2019_Human	Influenza A	3/171	5.312856e-02	1.082310e-01	0	0	3.670573e+00	1.077328e+01	ATF2;CREBBP;PML
KEGG_2019_Human	Glioma	2/75	5.330779e-02	1.082310e-01	0	0	5.600339e+00	1.641836e+01	CCND1;E2F3
KEGG_2019_Human	Pancreatic cancer	2/75	5.330779e-02	1.082310e-01	0	0	5.600339e+00	1.641836e+01	CCND1;E2F3
KEGG_2019_Human	Alcoholism	3/180	6.011484e-02	1.202297e-01	0	0	3.482345e+00	9.790607e+00	ATF2;CREB1;HIST4H4
KEGG_2019_Human	Insulin secretion	2/86	6.782697e-02	1.336590e-01	0	0	4.864261e+00	1.308873e+01	ATF2;CREB1
KEGG_2019_Human	IL-17 signaling pathway	2/93	7.766714e-02	1.492803e-01	0	0	4.488501e+00	1.146957e+01	FOS;ELAVL1
KEGG_2019_Human	Epstein-Barr virus infection	3/201	7.798224e-02	1.492803e-01	0	0	3.109691e+00	7.933674e+00	CCND1;MYC;E2F3
KEGG_2019_Human	Circadian entrainment	2/97	8.348003e-02	1.575539e-01	0	0	4.298644e+00	1.067417e+01	CREB1;FOS
KEGG_2019_Human	cAMP signaling pathway	3/212	8.816828e-02	1.640910e-01	0	0	2.944378e+00	7.150445e+00	CREBBP;CREB1;FOS
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	2/101	8.942173e-02	1.641440e-01	0	0	4.124128e+00	9.957259e+00	CSNK2A1;CSNK2A2
KEGG_2019_Human	Longevity regulating pathway	2/102	9.092644e-02	1.646506e-01	0	0	4.082680e+00	9.789061e+00	ATF2;CREB1
KEGG_2019_Human	Cholinergic synapse	2/112	1.063677e-01	1.900437e-01	0	0	3.709653e+00	8.312788e+00	CREB1;FOS
KEGG_2019_Human	Autophagy	2/128	1.323735e-01	2.333953e-01	0	0	3.235968e+00	6.543541e+00	ATG3;ATG7
KEGG_2019_Human	Circadian rhythm	1/31	1.426820e-01	2.483038e-01	0	0	6.758844e+00	1.316039e+01	CREB1
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	2/145	1.613818e-01	2.772456e-01	0	0	2.848821e+00	5.196200e+00	ATF2;CREB1
KEGG_2019_Human	Oxytocin signaling pathway	2/153	1.754089e-01	2.975291e-01	0	0	2.696798e+00	4.694141e+00	CCND1;FOS
KEGG_2019_Human	Ferroptosis	1/40	1.801923e-01	3.018221e-01	0	0	5.196756e+00	8.905840e+00	ATG7
KEGG_2019_Human	Homologous recombination	1/41	1.842584e-01	3.048226e-01	0	0	5.066582e+00	8.569697e+00	BRCA1
KEGG_2019_Human	Vasopressin-regulated water reabsorption	1/44	1.963376e-01	3.177097e-01	0	0	4.712387e+00	7.671389e+00	CREB1
KEGG_2019_Human	RNA transport	2/165	1.967903e-01	3.177097e-01	0	0	2.496743e+00	4.058746e+00	UBE2I;SUMO2
KEGG_2019_Human	Hedgehog signaling pathway	1/47	2.082396e-01	3.321917e-01	0	0	4.404392e+00	6.910782e+00	CCND1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	2.121680e-01	3.344767e-01	0	0	4.310465e+00	6.682844e+00	ESR1
KEGG_2019_Human	N-Glycan biosynthesis	1/50	2.199671e-01	3.408442e-01	0	0	4.134111e+00	6.260189e+00	ALG13
KEGG_2019_Human	Tuberculosis	2/179	2.221136e-01	3.408442e-01	0	0	2.297629e+00	3.456936e+00	CREBBP;CREB1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	1/51	2.238380e-01	3.408442e-01	0	0	4.051224e+00	6.064006e+00	DAXX
KEGG_2019_Human	Fanconi anemia pathway	1/54	2.353367e-01	3.543272e-01	0	0	3.821332e+00	5.528466e+00	BRCA1
KEGG_2019_Human	Pathogenic Escherichia coli infection	1/55	2.391321e-01	3.560411e-01	0	0	3.750378e+00	5.365813e+00	CTNNB1
KEGG_2019_Human	Huntington disease	2/193	2.476869e-01	3.647257e-01	0	0	2.127706e+00	2.969404e+00	CREBBP;CREB1
KEGG_2019_Human	Viral myocarditis	1/59	2.541278e-01	3.701427e-01	0	0	3.491027e+00	4.782421e+00	CCND1
KEGG_2019_Human	Focal adhesion	2/199	2.586866e-01	3.727312e-01	0	0	2.062274e+00	2.788480e+00	CCND1;CTNNB1
KEGG_2019_Human	Rap1 signaling pathway	2/206	2.715295e-01	3.870740e-01	0	0	1.990803e+00	2.595378e+00	CTNNB1;FGF2
KEGG_2019_Human	Central carbon metabolism in cancer	1/65	2.760745e-01	3.894103e-01	0	0	3.162787e+00	4.070774e+00	MYC
KEGG_2019_Human	Long-term potentiation	1/67	2.832470e-01	3.928132e-01	0	0	3.066636e+00	3.868364e+00	CREBBP
KEGG_2019_Human	Regulation of actin cytoskeleton	2/214	2.862013e-01	3.928132e-01	0	0	1.914900e+00	2.395655e+00	APC;FGF2
KEGG_2019_Human	Renal cell carcinoma	1/69	2.903492e-01	3.928132e-01	0	0	2.976140e+00	3.680506e+00	CREBBP
KEGG_2019_Human	Renin secretion	1/69	2.903492e-01	3.928132e-01	0	0	2.976140e+00	3.680506e+00	CREB1
KEGG_2019_Human	RIG-I-like receptor signaling pathway	1/70	2.938741e-01	3.928132e-01	0	0	2.932860e+00	3.591591e+00	DDX3X
KEGG_2019_Human	B cell receptor signaling pathway	1/71	2.973817e-01	3.928132e-01	0	0	2.890816e+00	3.505805e+00	FOS
KEGG_2019_Human	p53 signaling pathway	1/72	3.008721e-01	3.928132e-01	0	0	2.849957e+00	3.422998e+00	CCND1
KEGG_2019_Human	Bacterial invasion of epithelial cells	1/74	3.078014e-01	3.928132e-01	0	0	2.771596e+00	3.265774e+00	CTNNB1
KEGG_2019_Human	Leishmaniasis	1/74	3.078014e-01	3.928132e-01	0	0	2.771596e+00	3.265774e+00	FOS
KEGG_2019_Human	PPAR signaling pathway	1/74	3.078014e-01	3.928132e-01	0	0	2.771596e+00	3.265774e+00	PPARD
KEGG_2019_Human	Pertussis	1/76	3.146627e-01	3.946399e-01	0	0	2.697415e+00	3.118897e+00	FOS
KEGG_2019_Human	Thermogenesis	2/231	3.172646e-01	3.946399e-01	0	0	1.771215e+00	2.033389e+00	ATF2;CREB1
KEGG_2019_Human	Antigen processing and presentation	1/77	3.180680e-01	3.946399e-01	0	0	2.661788e+00	3.049052e+00	CREB1
KEGG_2019_Human	ErbB signaling pathway	1/85	3.447146e-01	4.237776e-01	0	0	2.407313e+00	2.563881e+00	MYC
KEGG_2019_Human	Salmonella infection	1/86	3.479721e-01	4.238933e-01	0	0	2.378872e+00	2.511215e+00	FOS
KEGG_2019_Human	Rheumatoid arthritis	1/91	3.640207e-01	4.393085e-01	0	0	2.246145e+00	2.269830e+00	FOS
KEGG_2019_Human	Th1 and Th2 cell differentiation	1/92	3.671832e-01	4.393085e-01	0	0	2.221350e+00	2.225558e+00	FOS
KEGG_2019_Human	Choline metabolism in cancer	1/99	3.888889e-01	4.548570e-01	0	0	2.061953e+00	1.947436e+00	FOS
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	1/100	3.919289e-01	4.548570e-01	0	0	2.041022e+00	1.911774e+00	CCND1
KEGG_2019_Human	HIF-1 signaling pathway	1/100	3.919289e-01	4.548570e-01	0	0	2.041022e+00	1.911774e+00	CREBBP
