Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	28/530	2.290962e-16	4.375738e-14	0	0	8.994024e+00	3.238963e+02	FH;HDAC2;NOTCH1;HSP90AB1;HDAC1;CUL1;CBL;RELA;EGFR;MAPK9;MAPK8;CDH1;AKT2;CASP3;APPL1;TCF7L2;JUN;HSP90AA1;CHUK;ESR1;RHOA;NFKBIA;AR;TRAF3;TRAF6;CTNNB1;CALM1;TP53
KEGG_2019_Human	Epstein-Barr virus infection	18/201	9.985430e-15	9.536085e-13	0	0	1.488197e+01	4.797596e+02	JUN;HDAC2;CHUK;HDAC1;RELA;NFKBIA;NCOR2;MAPK9;MAVS;MAPK8;PSMD4;TRAF3;AKT2;TRAF6;CASP3;TAB1;MAP2K7;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	15/137	9.525223e-14	6.064392e-12	0	0	1.823925e+01	5.468536e+02	MAP3K1;UBE2D4;UBE2D2;UBE2D3;UBE2E1;CUL1;UBE2D1;CBL;CUL4A;CDC23;TRAF6;UBE2N;UBA1;UBE2K;CUL4B
KEGG_2019_Human	NOD-like receptor signaling pathway	16/178	3.089122e-13	1.475056e-11	0	0	1.473251e+01	4.243806e+02	JUN;HSP90AA1;HSP90AB1;CHUK;PRKCD;TXN;RELA;RHOA;NFKBIA;MAPK9;MAVS;MAPK8;TRAF3;TRAF6;RBCK1;TAB1
KEGG_2019_Human	Hepatitis B	15/163	1.249838e-12	4.757018e-11	0	0	1.501524e+01	4.115378e+02	JUN;MAP3K1;CHUK;RELA;NFKBIA;MAPK9;MAVS;MAPK8;TRAF3;AKT2;TRAF6;CASP3;TAB1;MAP2K7;TP53
KEGG_2019_Human	Protein processing in endoplasmic reticulum	15/165	1.494351e-12	4.757018e-11	0	0	1.481353e+01	4.033626e+02	HSPA8;HSP90AA1;HSP90AB1;UBE2D4;UBE2D2;UBE2D3;CUL1;UBE2D1;RAD23A;DNAJB2;ATXN3;MAPK9;MAPK8;UFD1;MAP2K7
KEGG_2019_Human	Fluid shear stress and atherosclerosis	14/139	2.099745e-12	5.729304e-11	0	0	1.648824e+01	4.433556e+02	JUN;HSP90AA1;HSP90AB1;CHUK;TXN;RHOA;RELA;MAPK9;MAPK8;AKT2;CTNNB1;MAP2K7;CALM1;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	4.663878e-12	1.113501e-10	0	0	1.793836e+01	4.680330e+02	JUN;MAP3K1;PRKCD;RHOA;RELA;NFKBIA;MAPK9;MAPK8;AKT2;TRAF6;MAP2K7;CALM1;TP53
KEGG_2019_Human	Measles	13/138	3.126398e-11	6.634912e-10	0	0	1.519710e+01	3.675958e+02	HSPA8;JUN;CHUK;RELA;NFKBIA;MAPK9;MAVS;MAPK8;TRAF3;AKT2;CASP3;TRAF6;TP53
KEGG_2019_Human	Colorectal cancer	11/86	3.806405e-11	7.270233e-10	0	0	2.117246e+01	5.079643e+02	MAPK9;TCF7L2;MAPK8;JUN;AKT2;CASP3;CTNNB1;TP53;RHOA;EGFR;APPL1
KEGG_2019_Human	Apoptosis	13/143	4.913986e-11	8.532466e-10	0	0	1.460889e+01	3.467617e+02	JUN;CHUK;TNFRSF10B;TNFRSF10A;RELA;NFKBIA;MAPK9;MAPK8;TUBA1A;AIFM1;AKT2;CASP3;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	15/212	5.542709e-11	8.822146e-10	0	0	1.125243e+01	2.657369e+02	JUN;CHUK;CUL1;RELA;NFKBIA;CUL4A;MAPK9;MAPK8;AKT2;TRAF6;CASP3;TAB1;CALM1;MAP2K7;CUL4B
KEGG_2019_Human	IL-17 signaling pathway	11/93	9.076010e-11	1.333475e-09	0	0	1.935820e+01	4.476158e+02	NFKBIA;MAPK9;HSP90AA1;MAPK8;JUN;HSP90AB1;CHUK;TRAF3;CASP3;TRAF6;RELA
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	1.098786e-10	1.499058e-09	0	0	1.195418e+01	2.741291e+02	JUN;CHUK;RELA;NFKBIA;MAPK9;MAPK8;UBB;TRAF3;AKT2;CASP3;CTNNB1;CALM1;MAP2K7;TP53
KEGG_2019_Human	Prostate cancer	11/97	1.444011e-10	1.838707e-09	0	0	1.845408e+01	4.181405e+02	NFKBIA;AR;TCF7L2;HSP90AA1;HSP90AB1;CHUK;AKT2;CTNNB1;TP53;RELA;EGFR
KEGG_2019_Human	Toll-like receptor signaling pathway	11/104	3.098307e-10	3.698604e-09	0	0	1.705902e+01	3.735072e+02	NFKBIA;MAPK9;JUN;MAPK8;CHUK;TRAF3;AKT2;TRAF6;TAB1;MAP2K7;RELA
