Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Rap1 signaling pathway	30/206	8.167888e-33	1.502891e-30	0	0	3.534510e+01	2.611476e+03	ITGB1;CSF1R;FLT1;CSF1;SRC;PDGFB;PIK3R2;PIK3CB;GNAI1;IGF1R;GNAI2;NRAS;KDR;RAC2;MAPK1;RALGDS;HRAS;MAPK3;EGF;INSR;HGF;BRAF;PIK3CA;KIT;CTNNB1;KRAS;RAF1;FGFR3;MET;FGFR1
KEGG_2019_Human	Ras signaling pathway	30/232	3.322009e-31	2.290062e-29	0	0	3.075508e+01	2.158378e+03	CSF1R;FLT1;CSF1;SHC1;PDGFB;PIK3R2;PIK3CB;IGF1R;NRAS;KDR;RAC2;MAPK1;RALGDS;HRAS;MAPK3;KSR1;EGF;INSR;HGF;PIK3CA;RASA1;KIT;GRB2;KRAS;RAF1;SOS1;FGFR3;SOS2;MET;FGFR1
KEGG_2019_Human	Pathways in cancer	39/530	3.733797e-31	2.290062e-29	0	0	1.790309e+01	1.254339e+03	ITGB1;CAMK2B;CSF1R;ARAF;PDGFB;PIK3R2;PIK3CB;CBL;GNAI1;IGF1R;GNAI2;FRAT1;NRAS;FRAT2;RAC2;MAPK1;RALGDS;HRAS;MAPK3;JAK1;EGLN1;EGF;HGF;FN1;ARNT;BRAF;FOS;PIK3CA;TRAF6;KIT;CTNNB1;GRB2;KRAS;RAF1;SOS1;FGFR3;SOS2;MET;FGFR1
KEGG_2019_Human	MAPK signaling pathway	31/295	2.130936e-29	9.802305e-28	0	0	2.449794e+01	1.617315e+03	CSF1R;FLT1;CSF1;ARAF;PDGFB;IGF1R;NRAS;MAPK7;ERBB3;KDR;RAC2;MAPK1;HRAS;MAPK3;EGF;INSR;HGF;BRAF;FOS;TRAF6;RASA1;KIT;GRB2;TAB2;KRAS;RAF1;SOS1;FGFR3;SOS2;MET;FGFR1
KEGG_2019_Human	Proteoglycans in cancer	26/201	4.601252e-27	1.693261e-25	0	0	2.956421e+01	1.792876e+03	ITGB1;CAMK2B;SRC;ARAF;PIK3R2;PIK3CB;CBL;IGF1R;NRAS;ERBB3;KDR;MAPK1;HRAS;MAPK3;HGF;FN1;BRAF;PIK3CA;CTNNB1;GRB2;KRAS;RAF1;SOS1;SOS2;MET;FGFR1
KEGG_2019_Human	Renal cell carcinoma	19/69	1.132968e-26	3.474435e-25	0	0	7.107075e+01	4.245935e+03	EGLN1;HGF;ARAF;PDGFB;ARNT;PIK3R2;BRAF;PIK3CB;NRAS;PIK3CA;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2;MET;MAPK3
KEGG_2019_Human	ErbB signaling pathway	20/85	1.694838e-26	4.455003e-25	0	0	5.805128e+01	3.444741e+03	CAMK2B;SHC1;SRC;EGF;ARAF;PIK3R2;BRAF;PIK3CB;CBL;NRAS;PIK3CA;ERBB3;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2;MAPK3
KEGG_2019_Human	Breast cancer	23/147	5.690509e-26	1.308817e-24	0	0	3.591659e+01	2.087774e+03	EGF;SHC1;ARAF;BRAF;PIK3R2;PIK3CB;FOS;IGF1R;FRAT1;NRAS;FRAT2;PIK3CA;KIT;CTNNB1;MAPK1;GRB2;KRAS;RAF1;SOS1;SOS2;HRAS;FGFR1;MAPK3
KEGG_2019_Human	Glioma	19/75	6.816826e-26	1.393662e-24	0	0	6.343683e+01	3.676026e+03	CAMK2B;SHC1;EGF;ARAF;PDGFB;PIK3R2;BRAF;PIK3CB;IGF1R;NRAS;PIK3CA;MAPK1;KRAS;GRB2;RAF1;SOS1;HRAS;SOS2;MAPK3
KEGG_2019_Human	Focal adhesion	25/199	1.038070e-25	1.910048e-24	0	0	2.830603e+01	1.628369e+03	ITGB1;FLT1;SHC1;SRC;PDGFB;PIK3R2;PIK3CB;IGF1R;KDR;RAC2;MAPK1;FYN;HRAS;MAPK3;EGF;HGF;FN1;BRAF;PIK3CA;CTNNB1;GRB2;RAF1;SOS1;SOS2;MET
