Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	19/153	3.015363e-20	4.854734e-18	0	0	2.886983e+01	1.297640e+03	RPL4;RPL30;MRPS15;RPL3;RPS8;RPL31;RPS6;RPLP0;RPSA;RPL23A;RPL8;RPL7A;RPS19;RPL36AL;RPL13;RPL35;RPL17;RPS10;RPL26L1
KEGG_2019_Human	Pathways in cancer	17/530	1.100500e-08	8.859029e-07	0	0	6.484081e+00	1.188202e+02	GSK3B;SMAD4;CSF3R;SMAD3;PRKCB;PRKCA;TRAF2;ESR1;EGFR;ESR2;BCR;CCNE1;ERBB2;IL2RB;EP300;GRB2;PLCG1
KEGG_2019_Human	Cell cycle	9/124	4.407963e-08	2.365607e-06	0	0	1.445924e+01	2.449001e+02	GSK3B;FZR1;SMAD4;SMAD3;CCNE1;RAD21;EP300;SMC3;SMC1A
KEGG_2019_Human	ErbB signaling pathway	7/85	6.249751e-07	2.515525e-05	0	0	1.630699e+01	2.329543e+02	GSK3B;PRKCB;ERBB2;PRKCA;GRB2;PLCG1;EGFR
KEGG_2019_Human	NF-kappa B signaling pathway	7/95	1.334024e-06	3.533151e-05	0	0	1.444662e+01	1.954239e+02	SYK;PRKCB;LCK;CSNK2B;TRIM25;TRAF2;PLCG1
KEGG_2019_Human	MicroRNAs in cancer	11/299	1.356024e-06	3.533151e-05	0	0	7.128175e+00	9.630844e+01	SOCS1;PRKCB;CCNE1;ERBB2;EP300;PRKCA;GRB2;PLCG1;BMI1;EGFR;EZH2
KEGG_2019_Human	Prostate cancer	7/97	1.536152e-06	3.533151e-05	0	0	1.412416e+01	1.890692e+02	GSK3B;CCNE1;ERBB2;EP300;GRB2;ETV5;EGFR
KEGG_2019_Human	HIF-1 signaling pathway	7/100	1.887011e-06	3.797609e-05	0	0	1.366647e+01	1.801311e+02	PRKCB;RPS6;ERBB2;EP300;PRKCA;PLCG1;EGFR
KEGG_2019_Human	Non-small cell lung cancer	6/66	2.286618e-06	4.090506e-05	0	0	1.802182e+01	2.340752e+02	PRKCB;ERBB2;PRKCA;GRB2;PLCG1;EGFR
KEGG_2019_Human	Prolactin signaling pathway	6/70	3.238190e-06	5.213486e-05	0	0	1.689205e+01	2.135238e+02	GSK3B;SOCS1;CISH;GRB2;ESR1;ESR2
KEGG_2019_Human	Adherens junction	6/72	3.822492e-06	5.594738e-05	0	0	1.637851e+01	2.043155e+02	SMAD4;SMAD3;CSNK2B;ERBB2;EP300;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	8/168	6.170524e-06	8.278787e-05	0	0	9.131481e+00	1.095388e+02	GSK3B;SMAD4;SMAD3;PRKCB;PRKCA;GRB2;PLCG1;EGFR
KEGG_2019_Human	Alcoholism	8/180	1.023289e-05	1.267304e-04	0	0	8.489233e+00	9.754048e+01	HIST1H3A;HIST1H2AI;H2AFY;HIST4H4;H2AFX;HIST1H2AE;GRB2;HIST1H2BG
KEGG_2019_Human	Systemic lupus erythematosus	7/133	1.253168e-05	1.412467e-04	0	0	1.007034e+01	1.136664e+02	HIST1H3A;HIST1H2AI;H2AFY;HIST4H4;H2AFX;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Spliceosome	7/134	1.315963e-05	1.412467e-04	0	0	9.990537e+00	1.122772e+02	PCBP1;SRSF1;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	7/139	1.670357e-05	1.680797e-04	0	0	9.609675e+00	1.057053e+02	SOX2;GSK3B;SMAD4;SMAD3;GRB2;BMI1;POU5F1
KEGG_2019_Human	Viral carcinogenesis	8/201	2.274610e-05	2.034512e-04	0	0	7.557475e+00	8.079784e+01	SP100;SYK;CCNE1;HIST4H4;EP300;TRAF2;GRB2;HIST1H2BG
KEGG_2019_Human	Proteoglycans in cancer	8/201	2.274610e-05	2.034512e-04	0	0	7.557475e+00	8.079784e+01	PRKCB;RPS6;ERBB2;PRKCA;GRB2;PLCG1;ESR1;EGFR
KEGG_2019_Human	Gastric cancer	7/149	2.617524e-05	2.218008e-04	0	0	8.928415e+00	9.420099e+01	GSK3B;SMAD4;SMAD3;CCNE1;ERBB2;GRB2;EGFR
KEGG_2019_Human	Th17 cell differentiation	6/107	3.750517e-05	2.922773e-04	0	0	1.068389e+01	1.088798e+02	SMAD4;SMAD3;LCK;IL2RB;GATA3;PLCG1
KEGG_2019_Human	Wnt signaling pathway	7/158	3.812313e-05	2.922773e-04	0	0	8.392430e+00	8.539037e+01	GSK3B;SMAD4;SMAD3;PRKCB;CSNK2B;EP300;PRKCA
KEGG_2019_Human	PI3K-Akt signaling pathway	10/354	4.115616e-05	3.011882e-04	0	0	5.358710e+00	5.411299e+01	GSK3B;CSF3R;SYK;CCNE1;RPS6;ERBB2;IL2RB;PRKCA;GRB2;EGFR
KEGG_2019_Human	JAK-STAT signaling pathway	7/162	4.470961e-05	3.018750e-04	0	0	8.174194e+00	8.186718e+01	CSF3R;SOCS1;CISH;IL2RB;EP300;GRB2;EGFR
KEGG_2019_Human	Hepatitis B	7/163	4.649428e-05	3.018750e-04	0	0	8.121383e+00	8.102039e+01	SMAD4;SMAD3;PRKCB;CCNE1;EP300;PRKCA;GRB2
KEGG_2019_Human	Fc epsilon RI signaling pathway	5/68	4.687500e-05	3.018750e-04	0	0	1.417203e+01	1.412672e+02	SYK;INPP5D;PRKCA;GRB2;PLCG1
KEGG_2019_Human	B cell receptor signaling pathway	5/71	5.774385e-05	3.519881e-04	0	0	1.352580e+01	1.320049e+02	GSK3B;SYK;PRKCB;INPP5D;GRB2
