Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MicroRNAs in cancer	17/299	1.353712e-11	1.786900e-09	0	0	1.026710e+01	2.569401e+02	MIR15A;MIRLET7I;MIR29C;MIR21;MIR451A;MIR29A;MIR16-2;MIR19A;MIR107;EGFR;MIRLET7B;MIR16-1;MIR221;MIR363;IGF2BP1;EZH2;MCL1
KEGG_2019_Human	Ribosome	11/153	5.721296e-09	3.776055e-07	0	0	1.262868e+01	2.396806e+02	RPL10;RPL18A;RPL31;RPL23;RPL11;RPL14;RPL27;RPS20;RPL26;RPL15;RPL19
KEGG_2019_Human	Spliceosome	10/134	2.027233e-08	7.741688e-07	0	0	1.305130e+01	2.311908e+02	EFTUD2;HNRNPM;HSPA8;DDX5;PCBP1;EIF4A3;HNRNPU;HNRNPC;HNRNPA1;HSPA1A
KEGG_2019_Human	Nucleotide excision repair	7/47	2.345966e-08	7.741688e-07	0	0	2.775920e+01	4.876732e+02	CDK7;PCNA;ERCC3;CCNH;GTF2H1;ERCC5;ERCC6
KEGG_2019_Human	Base excision repair	5/33	2.374353e-06	6.268293e-05	0	0	2.789651e+01	3.612818e+02	PCNA;PARP1;NTHL1;APEX1;HMGB1
KEGG_2019_Human	Necroptosis	7/162	1.014378e-04	2.144965e-03	0	0	7.122116e+00	6.549544e+01	HSP90AA1;HSP90AB1;PARP1;H2AFZ;HIST1H2AE;HMGB1;SLC25A5
KEGG_2019_Human	RNA transport	7/165	1.137481e-04	2.144965e-03	0	0	6.985823e+00	6.344192e+01	EEF1A1;FXR1;SUMO1;SUMO3;EIF4A3;SUMO2;EIF4E
KEGG_2019_Human	RNA degradation	5/79	1.768883e-04	2.918657e-03	0	0	1.053096e+01	9.098745e+01	HSPA9;DDX6;CNOT2;CNOT3;HSPD1
KEGG_2019_Human	Basal transcription factors	4/45	2.190023e-04	3.212034e-03	0	0	1.511204e+01	1.273405e+02	CDK7;ERCC3;CCNH;GTF2H1
KEGG_2019_Human	Estrogen signaling pathway	6/137	2.990096e-04	3.946926e-03	0	0	7.174482e+00	5.822117e+01	HSPA8;HSP90AA1;KRT18;HSP90AB1;EGFR;HSPA1A
KEGG_2019_Human	Legionellosis	4/55	4.764185e-04	5.717023e-03	0	0	1.214277e+01	9.288264e+01	EEF1A1;HSPA8;HSPD1;HSPA1A
KEGG_2019_Human	Alzheimer disease	6/171	9.638310e-04	1.060214e-02	0	0	5.686291e+00	3.948899e+01	APP;ATP5F1B;NDUFS2;ATP2A2;ATP5F1C;GAPDH
KEGG_2019_Human	Cell cycle	5/124	1.395535e-03	1.417005e-02	0	0	6.533779e+00	4.295618e+01	RB1;CDK7;PCNA;CCNH;PRKDC
KEGG_2019_Human	Antigen processing and presentation	4/77	1.690630e-03	1.575011e-02	0	0	8.473887e+00	5.408589e+01	HSPA8;HSP90AA1;HSP90AB1;HSPA1A
KEGG_2019_Human	Huntington disease	6/193	1.789785e-03	1.575011e-02	0	0	5.011714e+00	3.170240e+01	ATP5F1B;POLR2A;SIN3A;NDUFS2;SLC25A5;ATP5F1C
KEGG_2019_Human	Fluid shear stress and atherosclerosis	5/139	2.304282e-03	1.901033e-02	0	0	5.797979e+00	3.521104e+01	HSP90AA1;HSP90AB1;SUMO1;SUMO3;SUMO2
