Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	mTOR signaling pathway	10/152	1.984347e-07	2.442418e-05	0	0	1.005818e+01	1.552259e+02	FLCN;PRKAA2;EIF4EBP1;ULK1;LAMTOR1;SKP2;LAMTOR4;TNF;EIF4E;LAMTOR3
KEGG_2019_Human	Hippo signaling pathway	10/160	3.200730e-07	2.442418e-05	0	0	9.517874e+00	1.423371e+02	FBXW11;DLG4;BIRC5;BTRC;LIMD1;WTIP;YWHAZ;ACTB;YWHAG;YWHAH
KEGG_2019_Human	Necroptosis	10/162	3.591790e-07	2.442418e-05	0	0	9.391686e+00	1.393674e+02	RNF31;HSP90AA1;HSP90AB1;PARP1;H2AFX;HIST1H2AE;CHMP4B;SLC25A5;TNF;GLUL
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	9.434158e-07	4.811421e-05	0	0	9.822800e+00	1.362792e+02	HSP90AA1;HSP90AB1;PRKAA2;SUMO1;SUMO3;KEAP1;FOS;TNF;ACTB
KEGG_2019_Human	AMPK signaling pathway	8/120	3.105663e-06	1.267111e-04	0	0	1.007143e+01	1.277287e+02	TBC1D1;CPT1A;EEF2K;PRKAA2;EIF4EBP1;ULK1;SIRT1;FBP1
KEGG_2019_Human	FoxO signaling pathway	8/132	6.316890e-06	2.147743e-04	0	0	9.091244e+00	1.088430e+02	USP7;GABARAPL1;CDKN1B;PRKAA2;SKP2;SIRT1;GABARAP;EGFR
KEGG_2019_Human	Estrogen signaling pathway	8/137	8.311492e-06	2.322265e-04	0	0	8.736656e+00	1.022003e+02	HSPA8;HSP90AA1;HSP90AB1;KRT18;FOS;FKBP4;EGFR;HSPA1A
KEGG_2019_Human	HIF-1 signaling pathway	7/100	9.494820e-06	2.322265e-04	0	0	1.054778e+01	1.219826e+02	EGLN3;CDKN1B;EIF4EBP1;ALDOA;GAPDH;EIF4E;EGFR
KEGG_2019_Human	Longevity regulating pathway	7/102	1.081960e-05	2.322265e-04	0	0	1.032467e+01	1.180539e+02	HSPA8;PRKAA2;EIF4EBP1;ULK1;SIRT1;EIF4E;HSPA1A
KEGG_2019_Human	Apoptosis	8/143	1.138365e-05	2.322265e-04	0	0	8.345820e+00	9.500324e+01	PARP1;LMNA;BIRC5;BIRC6;FOS;TNF;ACTB;MCL1
KEGG_2019_Human	PI3K-Akt signaling pathway	12/354	1.326230e-05	2.459554e-04	0	0	5.033540e+00	5.652960e+01	HSP90AA1;PRKAA2;CDKN1B;HSP90AB1;EIF4EBP1;FGFR3;EIF4E;YWHAZ;EGFR;YWHAG;MCL1;YWHAH
KEGG_2019_Human	Cell cycle	7/124	3.852231e-05	6.548794e-04	0	0	8.373947e+00	8.511508e+01	RB1;CDKN1B;PRKDC;SKP2;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Spliceosome	7/134	6.316802e-05	9.912520e-04	0	0	7.710672e+00	7.455998e+01	HSPA8;SF3B3;HNRNPU;CDC5L;HNRNPC;HNRNPA1;HSPA1A
KEGG_2019_Human	Viral carcinogenesis	8/201	1.283090e-04	1.869645e-03	0	0	5.820577e+00	5.215860e+01	RB1;USP7;PKM;CDKN1B;SKP2;YWHAZ;YWHAG;YWHAH
KEGG_2019_Human	Cellular senescence	7/160	1.913072e-04	2.601779e-03	0	0	6.391925e+00	5.472530e+01	RB1;MAP2K3;FBXW11;EIF4EBP1;BTRC;SLC25A5;SIRT1
KEGG_2019_Human	Antigen processing and presentation	5/77	2.669500e-04	3.403613e-03	0	0	9.605672e+00	7.903978e+01	HSPA8;HSP90AA1;HSP90AB1;TNF;HSPA1A
KEGG_2019_Human	Thermogenesis	8/231	3.303859e-04	3.933204e-03	0	0	5.029853e+00	4.031552e+01	MAP2K3;CPT1A;ATP5F1A;PRKAA2;COX15;NDUFA4;ACTB;SMARCA4
KEGG_2019_Human	MAPK signaling pathway	9/295	3.584156e-04	3.933204e-03	0	0	4.429592e+00	3.514357e+01	MAP2K3;HSPA8;HSPB1;FOS;TNF;FGFR3;LAMTOR3;EGFR;HSPA1A
KEGG_2019_Human	NOD-like receptor signaling pathway	7/178	3.663278e-04	3.933204e-03	0	0	5.713865e+00	4.520800e+01	RNF31;GABARAPL1;HSP90AA1;HSP90AB1;TP53BP1;TNF;GABARAP
