Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	17/153	1.364993e-15	2.511587e-13	0	0	1.895865e+01	6.489097e+02	RPL5;RPS9;RPL31;RPL23;RPL12;RPL34;RPLP0;RPL35A;RPS26;RPS14;RPS27;RPS16;RPS18;RPL37A;RPS20;RPS11;RPL28
KEGG_2019_Human	GnRH signaling pathway	8/93	4.227732e-07	3.403118e-05	0	0	1.338502e+01	1.964443e+02	MAP2K3;CAMK2B;MAP2K4;SRC;CAMK2A;PTK2B;PRKCA;EGFR
KEGG_2019_Human	Alzheimer disease	10/171	5.558562e-07	3.403118e-05	0	0	8.927778e+00	1.285846e+02	APP;GRIN2A;ATP5F1A;ATP5F1B;CDK5;NDUFA4;NDUFS2;ATP2A1;ATP5F1C;GAPDH
KEGG_2019_Human	HIF-1 signaling pathway	8/100	7.398082e-07	3.403118e-05	0	0	1.236221e+01	1.745158e+02	CAMK2B;CDKN1B;CAMK2A;PRKCA;ENO3;GAPDH;EIF4E;EGFR
KEGG_2019_Human	Adherens junction	7/72	9.919745e-07	3.650466e-05	0	0	1.522154e+01	2.104160e+02	CSNK2A1;SRC;CTNND1;CSNK2A2;CSNK2B;IQGAP1;EGFR
KEGG_2019_Human	ErbB signaling pathway	7/85	3.069567e-06	9.413338e-05	0	0	1.267628e+01	1.609124e+02	CAMK2B;MAP2K4;CDKN1B;SRC;CAMK2A;PRKCA;EGFR
KEGG_2019_Human	Amphetamine addiction	6/68	1.070406e-05	2.736153e-04	0	0	1.358339e+01	1.554604e+02	CAMK2B;GRIN2A;CAMK2A;PRKCA;FOS;SIRT1
KEGG_2019_Human	Huntington disease	9/193	1.317955e-05	2.736153e-04	0	0	6.971526e+00	7.833796e+01	ATP5F1A;ATP5F1B;DLG4;NDUFA4;SIN3A;NDUFS2;VDAC2;AP2B1;ATP5F1C
KEGG_2019_Human	Endocytosis	10/244	1.338336e-05	2.736153e-04	0	0	6.119845e+00	6.867383e+01	TSG101;RAB5C;IQSEC1;SRC;NEDD4;VPS37C;AP2B1;FGFR3;EGFR;DNM2
KEGG_2019_Human	Necroptosis	8/162	2.676935e-05	4.679974e-04	0	0	7.362048e+00	7.750950e+01	RNF31;CAMK2B;HSP90AA1;HSP90AB1;CAMK2A;VDAC2;RBCK1;HMGB1
