Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	13/124	5.110916e-12	6.899736e-10	0	0	1.778919e+01	4.625126e+02	YWHAE;PRKDC;HDAC1;SMC3;SMC1A;CDK7;STAG2;TFDP1;CCND1;MYC;CDC16;E2F1;E2F3
KEGG_2019_Human	Ribosome	8/153	1.450420e-05	9.790336e-04	0	0	8.055990e+00	8.975236e+01	RPL10;RPL32;RPL11;RPL13A;RPL35A;RPL15;RPS2;RPS24
KEGG_2019_Human	Viral carcinogenesis	8/201	1.010169e-04	4.128519e-03	0	0	6.037690e+00	5.554809e+01	YWHAE;DDX3X;PKM;CCND1;HIST4H4;HDAC1;LTBR;HIST1H2BG
KEGG_2019_Human	Necroptosis	7/162	1.670408e-04	4.128519e-03	0	0	6.542410e+00	5.690112e+01	RNF31;HSP90AB1;PARP1;H2AFZ;HMGB1;FTL;HIST2H2AC
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.823022e-04	4.128519e-03	0	0	5.517571e+00	4.750543e+01	CCND1;MYC;CDC16;E2F1;E2F3;LTBR;ETS1;RAN
KEGG_2019_Human	Bladder cancer	4/41	2.066105e-04	4.128519e-03	0	0	1.541513e+01	1.307924e+02	CCND1;MYC;E2F1;E2F3
KEGG_2019_Human	Chronic myeloid leukemia	5/76	2.140714e-04	4.128519e-03	0	0	1.009696e+01	8.531123e+01	CCND1;HDAC1;MYC;E2F1;E2F3
KEGG_2019_Human	Alcoholism	7/180	3.182007e-04	5.369637e-03	0	0	5.856341e+00	4.716011e+01	HIST1H3A;H2AFZ;HIST4H4;HDAC1;HIST3H3;HIST1H2BG;HIST2H2AC
KEGG_2019_Human	Systemic lupus erythematosus	6/133	3.917258e-04	5.875886e-03	0	0	6.803839e+00	5.337577e+01	HIST1H3A;H2AFZ;HIST4H4;HIST3H3;HIST1H2BG;HIST2H2AC
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	6/139	4.954107e-04	6.688044e-03	0	0	6.494923e+00	4.942717e+01	SMAD1;PCGF6;MYC;PCGF2;PCGF3;PCGF1
KEGG_2019_Human	Prostate cancer	5/97	6.624226e-04	8.129732e-03	0	0	7.783948e+00	5.697544e+01	AR;HSP90AB1;CCND1;E2F1;E2F3
KEGG_2019_Human	Hepatitis C	6/155	8.778599e-04	9.875924e-03	0	0	5.792779e+00	4.076972e+01	YWHAE;CCND1;MYC;PSME3;E2F1;E2F3
KEGG_2019_Human	Base excision repair	3/33	1.668812e-03	1.732998e-02	0	0	1.416214e+01	9.057601e+01	PARP1;APEX1;HMGB1
KEGG_2019_Human	Pancreatic cancer	4/75	2.055682e-03	1.797698e-02	0	0	8.019455e+00	4.961755e+01	RAD51;CCND1;E2F1;E2F3
KEGG_2019_Human	Oocyte meiosis	5/125	2.055900e-03	1.797698e-02	0	0	5.959239e+00	3.687006e+01	YWHAE;AR;CDC16;SMC3;SMC1A
KEGG_2019_Human	Transcriptional misregulation in cancer	6/186	2.226324e-03	1.797698e-02	0	0	4.787591e+00	2.923975e+01	SMAD1;DDX5;HIST1H3A;HDAC1;MYC;HIST3H3
KEGG_2019_Human	Antigen processing and presentation	4/77	2.263768e-03	1.797698e-02	0	0	7.798955e+00	4.750129e+01	HSPA8;HSP90AB1;HSPA5;PSME3
KEGG_2019_Human	Fluid shear stress and atherosclerosis	5/139	3.255731e-03	2.441799e-02	0	0	5.332847e+00	3.054302e+01	PIAS4;HSP90AB1;PRKAA2;SUMO3;SUMO2
KEGG_2019_Human	Non-homologous end-joining	2/13	3.760350e-03	2.671828e-02	0	0	2.559123e+01	1.428821e+02	XRCC6;PRKDC
KEGG_2019_Human	Small cell lung cancer	4/93	4.473842e-03	3.019843e-02	0	0	6.391723e+00	3.457607e+01	CCND1;MYC;E2F1;E2F3
KEGG_2019_Human	Pathways in cancer	10/530	4.847743e-03	3.116406e-02	0	0	2.795980e+00	1.490046e+01	AR;EGLN3;RAD51;HSP90AB1;CCND1;HDAC1;MYC;E2F1;E2F3;ETS1
KEGG_2019_Human	Cushing syndrome	5/155	5.166990e-03	3.170653e-02	0	0	4.760145e+00	2.506438e+01	CCND1;E2F1;WDR5;E2F3;ASH2L
KEGG_2019_Human	Cellular senescence	5/160	5.899497e-03	3.318467e-02	0	0	4.605423e+00	2.363912e+01	CCND1;MYC;E2F1;E2F3;ETS1
KEGG_2019_Human	Hippo signaling pathway	5/160	5.899497e-03	3.318467e-02	0	0	4.605423e+00	2.363912e+01	YWHAE;SMAD1;CCND1;MYC;TEAD1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	5/165	6.702334e-03	3.619260e-02	0	0	4.460371e+00	2.232549e+01	HSPA8;HSP90AB1;HSPA5;RPN2;RPN1
KEGG_2019_Human	Non-small cell lung cancer	3/66	1.179498e-02	6.124317e-02	0	0	6.732653e+00	2.989353e+01	CCND1;E2F1;E2F3
KEGG_2019_Human	Epstein-Barr virus infection	5/201	1.484937e-02	7.186239e-02	0	0	3.634465e+00	1.530036e+01	CCND1;HDAC1;MYC;E2F1;E2F3
KEGG_2019_Human	Melanoma	3/72	1.490479e-02	7.186239e-02	0	0	6.145342e+00	2.584775e+01	CCND1;E2F1;E2F3
KEGG_2019_Human	Spliceosome	4/134	1.573652e-02	7.325620e-02	0	0	4.366796e+00	1.812994e+01	HSPA8;LSM8;DDX5;HNRNPU
KEGG_2019_Human	Glioma	3/75	1.661698e-02	7.477640e-02	0	0	5.888393e+00	2.412669e+01	CCND1;E2F1;E2F3
KEGG_2019_Human	RNA degradation	3/79	1.906449e-02	8.302280e-02	0	0	5.577350e+00	2.208590e+01	LSM8;CNOT9;HSPD1
