Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	16/153	4.560153e-15	8.801094e-13	0	0	1.986509e+01	6.559735e+02	RPS9;RPL10;RPL34;RPL13A;RPL35A;RPS3A;RPS4X;RPS15A;RPL18A;RPL14;RPS3;RPL26;RPL15;RPS2;RPS24;RPL19
KEGG_2019_Human	Hepatitis B	14/163	3.871879e-12	3.736363e-10	0	0	1.570163e+01	4.125961e+02	PRKCG;JUN;CDKN1A;DDX3X;STAT3;PRKCA;ELK1;RELA;CREB3;MYC;CASP3;GRB2;ATF4;MAP2K6
KEGG_2019_Human	Viral carcinogenesis	13/201	8.171605e-10	5.257066e-08	0	0	1.143572e+01	2.392946e+02	JUN;CDKN1A;DDX3X;TBP;STAT3;RELA;CREB3;PKM;HIST4H4;CASP3;REL;GRB2;ATF4
KEGG_2019_Human	Pathways in cancer	19/530	2.054981e-09	7.997624e-08	0	0	6.369309e+00	1.274053e+02	PRKCG;GSK3B;JUN;CDKN1A;HSP90AB1;LEF1;STAT3;KEAP1;PRKCA;ELK1;RELA;CASP7;RXRA;RAD51;MYC;CASP3;GRB2;PPARG;NFE2L2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	2.071923e-09	7.997624e-08	0	0	1.401989e+01	2.803247e+02	JUN;HSP90AB1;NCF1;SUMO1;SUMO3;SUMO2;KEAP1;SQSTM1;RELA;MAP2K6;NFE2L2
KEGG_2019_Human	Human cytomegalovirus infection	13/225	3.235114e-09	1.040628e-07	0	0	1.012875e+01	1.980089e+02	PRKCG;GSK3B;CDKN1A;STAT3;PRKCA;ELK1;RELA;CREB3;MYC;CASP3;GRB2;ATF4;MAP2K6
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	3.874428e-09	1.068235e-07	0	0	1.131839e+01	2.192244e+02	SMAD1;CDKN1A;RXRA;MAF;NCOR1;MYC;DDIT3;REL;ATM;PPARG;RELA;ETV6
KEGG_2019_Human	Hepatocellular carcinoma	11/168	1.522669e-08	3.673440e-07	0	0	1.141343e+01	2.054443e+02	PRKCG;GSK3B;CDKN1A;MYC;LEF1;KEAP1;PRKCA;GRB2;ELK1;SMARCA4;NFE2L2
KEGG_2019_Human	Apoptosis	10/143	3.776644e-08	8.098804e-07	0	0	1.216258e+01	2.078809e+02	JUN;CASP7;PARP1;CASP3;DDIT3;LMNA;EIF2AK3;ATM;RELA;ATF4
KEGG_2019_Human	ErbB signaling pathway	8/85	9.133905e-08	1.762844e-06	0	0	1.658232e+01	2.687777e+02	PRKCG;GSK3B;CDKN1A;JUN;MYC;PRKCA;GRB2;ELK1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	10/165	1.460423e-07	2.562379e-06	0	0	1.042464e+01	1.640773e+02	HSPA8;HSP90AB1;HSPA5;RPN2;DDIT3;RPN1;EIF2AK3;SYVN1;ATF4;NFE2L2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	11/219	2.291710e-07	3.685833e-06	0	0	8.592657e+00	1.313714e+02	CREB3;JUN;CDKN1A;TBP;MYC;ATM;ELK1;RAN;RELA;ETS2;ATF4
KEGG_2019_Human	Prostate cancer	8/97	2.567311e-07	3.811469e-06	0	0	1.433780e+01	2.175796e+02	GSK3B;CREB3;CDKN1A;HSP90AB1;LEF1;GRB2;RELA;ATF4
KEGG_2019_Human	MAPK signaling pathway	12/295	6.126642e-07	8.172118e-06	0	0	6.920495e+00	9.900078e+01	PRKCG;HSPA8;JUN;MYC;CASP3;DDIT3;PRKCA;GRB2;ELK1;RELA;ATF4;MAP2K6
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	9/149	6.459320e-07	8.172118e-06	0	0	1.031080e+01	1.469554e+02	GSK3B;JUN;CASP7;RXRA;CASP3;DDIT3;EIF2AK3;RELA;ATF4
KEGG_2019_Human	TNF signaling pathway	8/110	6.774812e-07	8.172118e-06	0	0	1.250221e+01	1.775925e+02	CREB3;JUN;CASP7;CASP3;IRF1;RELA;ATF4;MAP2K6
KEGG_2019_Human	Hepatitis C	9/155	9.000758e-07	1.021851e-05	0	0	9.884063e+00	1.375939e+02	GSK3B;CDKN1A;RXRA;MYC;CASP3;STAT3;EIF2AK3;GRB2;RELA
KEGG_2019_Human	Wnt signaling pathway	9/158	1.056763e-06	1.133084e-05	0	0	9.683582e+00	1.332490e+02	PRKCG;GSK3B;JUN;FBXW11;MYC;CHD8;LEF1;PRKCA;BTRC
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	1.468032e-06	1.491212e-05	0	0	7.980036e+00	1.071845e+02	DCAF1;PRKCG;JUN;FBXW11;CASP3;PRKCA;ATM;BTRC;RELA;MAP2K6
KEGG_2019_Human	Colorectal cancer	7/86	1.619304e-06	1.562629e-05	0	0	1.402765e+01	1.870378e+02	GSK3B;CDKN1A;JUN;MYC;CASP3;LEF1;GRB2
KEGG_2019_Human	Osteoclast differentiation	8/127	2.018178e-06	1.854802e-05	0	0	1.070697e+01	1.404038e+02	JUN;NCF1;GRB2;PPARG;SQSTM1;RELA;MAP2K6;FOSL2
KEGG_2019_Human	Endometrial cancer	6/58	2.252161e-06	1.975759e-05	0	0	1.814652e+01	2.359705e+02	GSK3B;CDKN1A;MYC;LEF1;GRB2;ELK1
KEGG_2019_Human	GnRH signaling pathway	7/93	2.747907e-06	2.305852e-05	0	0	1.288130e+01	1.649408e+02	JUN;PRKCD;PRKCA;GRB2;ELK1;ATF4;MAP2K6
