Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	22/153	3.001697e-23	5.403055e-21	0	0	2.932838e+01	1.520978e+03	RPL5;RPS9;RPL10;RPL32;RPL23;RPS5;RPL11;RPL35A;RPS4X;RPS14;RPS16;RPS15A;RPL18A;RPL14;RPS20;RPL26;RPL15;RPS11;RPS24;RPS13;RPL19;RPS23
KEGG_2019_Human	Estrogen signaling pathway	9/137	3.840393e-07	3.456354e-05	0	0	1.101395e+01	1.627038e+02	HSPA8;NRAS;HSP90AA1;HSP90AB1;PIK3CA;FOS;ESR1;EGFR;ESR2
KEGG_2019_Human	Necroptosis	9/162	1.571182e-06	9.427095e-05	0	0	9.202614e+00	1.229808e+02	RNF31;HSP90AA1;HSP90AB1;PARP1;H2AFZ;HIST1H2AE;RBCK1;HMGB1;SLC25A5
KEGG_2019_Human	Prostate cancer	7/97	4.232065e-06	1.904429e-04	0	0	1.201606e+01	1.486725e+02	RB1;HSP90AA1;NRAS;HSP90AB1;PIK3CA;MDM2;EGFR
KEGG_2019_Human	Non-small cell lung cancer	6/66	5.512838e-06	1.984622e-04	0	0	1.535271e+01	1.858973e+02	RB1;NRAS;RXRA;PIK3CA;RASSF5;EGFR
KEGG_2019_Human	Bladder cancer	5/41	8.018966e-06	2.405690e-04	0	0	2.118483e+01	2.485765e+02	RB1;NRAS;MDM2;FGFR3;EGFR
KEGG_2019_Human	Cellular senescence	8/160	1.319715e-05	2.875499e-04	0	0	8.169499e+00	9.178848e+01	RB1;MAP2K3;NRAS;PIK3CA;RASSF5;MDM2;BTRC;SLC25A5
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	1.381340e-05	2.875499e-04	0	0	9.911984e+00	1.109138e+02	NRAS;THRB;RXRA;PIK3CA;SIN3A;MDM2;ESR1
KEGG_2019_Human	Pathways in cancer	14/530	1.437749e-05	2.875499e-04	0	0	4.338619e+00	4.837493e+01	RB1;HSP90AA1;HSP90AB1;FOS;ESR1;EGFR;ESR2;NRAS;RXRA;RAD51;PIK3CA;RASSF5;MDM2;FGFR3
KEGG_2019_Human	Ras signaling pathway	9/232	2.868560e-05	5.163408e-04	0	0	6.291480e+00	6.580331e+01	AFDN;NRAS;PIK3CA;RASSF5;NF1;RIN1;RGL2;FGFR3;EGFR
KEGG_2019_Human	Fluid shear stress and atherosclerosis	7/139	4.445394e-05	7.274281e-04	0	0	8.175367e+00	8.192582e+01	MAP2K4;HSP90AA1;HSP90AB1;PIK3CA;SUMO1;SUMO3;FOS
KEGG_2019_Human	Breast cancer	7/147	6.343563e-05	9.515345e-04	0	0	7.705078e+00	7.447332e+01	RB1;NRAS;PIK3CA;FOS;ESR1;EGFR;ESR2
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	7.763923e-05	1.075005e-03	0	0	1.269551e+01	1.201432e+02	NRAS;PKM;PIK3CA;FGFR3;EGFR
KEGG_2019_Human	Prolactin signaling pathway	5/70	1.107369e-04	1.340931e-03	0	0	1.171598e+01	1.067133e+02	NRAS;PIK3CA;FOS;ESR1;ESR2
KEGG_2019_Human	Hepatitis B	7/163	1.213290e-04	1.340931e-03	0	0	6.909205e+00	6.230033e+01	RB1;MAP2K3;MAP2K4;NRAS;DDX3X;PIK3CA;FOS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.224379e-04	1.340931e-03	0	0	5.867522e+00	5.285409e+01	RB1;MAP2K4;NRAS;KAT5;PIK3CA;FOS;SLC25A5;RAN
KEGG_2019_Human	Melanoma	5/72	1.266435e-04	1.340931e-03	0	0	1.136510e+01	1.019919e+02	RB1;NRAS;PIK3CA;MDM2;EGFR
KEGG_2019_Human	Glioma	5/75	1.537174e-04	1.537174e-03	0	0	1.087637e+01	9.549885e+01	RB1;NRAS;PIK3CA;MDM2;EGFR
KEGG_2019_Human	MAPK signaling pathway	9/295	1.805340e-04	1.710322e-03	0	0	4.889860e+00	4.214860e+01	MAP2K3;MAP2K4;HSPA8;NRAS;MAPKAPK3;NF1;FOS;FGFR3;EGFR
KEGG_2019_Human	Proteoglycans in cancer	7/201	4.365615e-04	3.929054e-03	0	0	5.545143e+00	4.290045e+01	NRAS;DDX5;PIK3CA;MDM2;IQGAP1;ESR1;EGFR
KEGG_2019_Human	Rap1 signaling pathway	7/206	5.055975e-04	4.333693e-03	0	0	5.404444e+00	4.101849e+01	MAP2K3;AFDN;NRAS;PIK3CA;RASSF5;FGFR3;EGFR
KEGG_2019_Human	Hepatitis C	6/155	6.495256e-04	5.314300e-03	0	0	6.154518e+00	4.516966e+01	RB1;PPP2CB;NRAS;RXRA;PIK3CA;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	9/354	6.815096e-04	5.333553e-03	0	0	4.041408e+00	2.946671e+01	PPP2CB;NRAS;HSP90AA1;RXRA;HSP90AB1;PIK3CA;MDM2;FGFR3;EGFR
KEGG_2019_Human	TNF signaling pathway	5/110	9.031355e-04	6.773516e-03	0	0	7.238095e+00	5.073643e+01	MAP2K3;MAP2K4;ITCH;PIK3CA;FOS
KEGG_2019_Human	Hepatocellular carcinoma	6/168	9.883016e-04	7.115772e-03	0	0	5.656905e+00	3.914308e+01	RB1;NRAS;PIK3CA;ARID1A;EGFR;SMARCA4
KEGG_2019_Human	Fc epsilon RI signaling pathway	4/68	1.157405e-03	8.012803e-03	0	0	9.447042e+00	6.387688e+01	MAP2K3;MAP2K4;NRAS;PIK3CA
KEGG_2019_Human	Pancreatic cancer	4/75	1.665789e-03	1.100387e-02	0	0	8.512633e+00	5.445920e+01	RB1;RAD51;PIK3CA;EGFR
