Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	35/354	2.623138e-30	5.534822e-28	0	0	2.022535e+01	1.377613e+03	CSF1R;FLT1;HSP90AB1;IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;GNG2;RXRA;KDR;JAK2;HRAS;JAK3;YWHAH;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;PDPK1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS;TP53
KEGG_2019_Human	Pathways in cancer	37/530	1.382919e-26	1.458980e-24	0	0	1.397531e+01	8.321320e+02	CSF1R;NOTCH1;HSP90AB1;HDAC1;FLT4;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;IGF1R;GNG2;RXRA;RAC3;JAK2;HRAS;JAK3;MAPK3;JAK1;PDGFRB;NTRK1;PDGFRA;MAP2K1;ESR1;NFKB1;PTK2;RAD51;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	Ras signaling pathway	27/232	2.547884e-25	1.792012e-23	0	0	2.270680e+01	1.285872e+03	CSF1R;RAB5C;FLT1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;GNG2;KDR;RAC3;HRAS;MAPK3;PDGFRB;NTRK1;PDGFRA;NGFR;MAP2K1;NFKB1;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	1.012860e-20	4.506520e-19	0	0	3.077221e+01	1.416720e+03	NTRK1;NGFR;MAP2K1;IRS1;PDPK1;PRKCD;PIK3R3;PIK3R2;FASLG;PIK3R1;NFKB1;RELA;PIK3CA;GRB2;KRAS;TP53;HRAS;CRK;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	22/190	1.067896e-20	4.506520e-19	0	0	2.166877e+01	9.964602e+02	MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;FGR;HCK;GNG2;PIK3CA;GNB1;GNB3;RAC3;GRB2;KRAS;JAK2;CRK;HRAS;JAK3;MAPK3
KEGG_2019_Human	Prostate cancer	17/97	2.282554e-19	8.026983e-18	0	0	3.389546e+01	1.454923e+03	PDGFRB;PDGFRA;MAP2K1;HSP90AB1;PDPK1;PIK3R3;PIK3R2;PIK3R1;NFKB1;RELA;IGF1R;PIK3CA;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	19/143	3.772572e-19	1.137161e-17	0	0	2.478616e+01	1.051463e+03	NTRK1;NGFR;MAP2K1;PARP1;PDPK1;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;PIK3CA;LMNA;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	22/225	4.414953e-19	1.164444e-17	0	0	1.790090e+01	7.565657e+02	PDGFRA;MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;GNG2;PIK3CA;GNB1;GNB3;RAC3;GRB2;KRAS;TP53;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	Chronic myeloid leukemia	15/76	4.852240e-18	1.137581e-16	0	0	3.863778e+01	1.540376e+03	MAP2K1;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	MAPK signaling pathway	23/295	1.062211e-17	2.224537e-16	0	0	1.403605e+01	5.485792e+02	PDGFRB;NTRK1;PDGFRA;NGFR;CSF1R;HSPA8;MAP2K1;FLT1;FLT4;FASLG;RELA;NFKB1;IGF1R;TNFRSF1A;KIT;KDR;RAC3;GRB2;KRAS;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Focal adhesion	20/199	1.159711e-17	2.224537e-16	0	0	1.817258e+01	7.086540e+02	PDGFRB;PDGFRA;MAP2K1;FLT1;PDPK1;CAV1;FLT4;ILK;PIK3R3;PIK3R2;PIK3R1;PTK2;IGF1R;PIK3CA;KDR;RAC3;GRB2;CRK;HRAS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	20/201	1.414403e-17	2.486991e-16	0	0	1.796996e+01	6.971847e+02	MAP2K1;DDX5;PDPK1;CAV1;PIK3R3;FASLG;PIK3R2;PIK3R1;IQGAP1;CBL;ESR1;PTK2;IGF1R;PIK3CA;KDR;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	14/65	1.738135e-17	2.821127e-16	0	0	4.281488e+01	1.652275e+03	PDGFRB;NTRK1;PDGFRA;MAP2K1;PIK3R3;PIK3R2;PIK3R1;PKM;PIK3CA;KIT;KRAS;HRAS;TP53;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	1.488042e-16	2.242692e-15	0	0	2.529152e+01	9.217216e+02	MAP2K1;NOTCH1;PDPK1;HDAC1;PIK3R3;ATP2A2;PIK3R2;PIK3R1;ESR1;RXRA;PIK3CA;SIN3A;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	19/206	3.984356e-16	5.604660e-15	0	0	1.638327e+01	5.809343e+02	PDGFRB;PDGFRA;NGFR;CSF1R;MAP2K1;FLT1;FLT4;PIK3R3;PIK3R2;PIK3R1;IGF1R;PIK3CA;KIT;KDR;RAC3;KRAS;CRK;HRAS;MAPK3
KEGG_2019_Human	Hepatitis C	17/155	8.354355e-16	1.053316e-14	0	0	1.959192e+01	6.802037e+02	MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;RXRA;PIK3CA;GRB2;KRAS;TP53;HRAS;YWHAH;MAPK3;JAK1
KEGG_2019_Human	Acute myeloid leukemia	13/66	8.985635e-16	1.053316e-14	0	0	3.795371e+01	1.314934e+03	CSF1R;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;KIT;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	13/66	8.985635e-16	1.053316e-14	0	0	3.795371e+01	1.314934e+03	MAP2K1;PDPK1;PIK3R3;PIK3R2;PIK3R1;RXRA;PIK3CA;KRAS;GRB2;HRAS;JAK3;TP53;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	18/186	1.062877e-15	1.180353e-14	0	0	1.715244e+01	5.913783e+02	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;HCK;GNG2;PIK3CA;GNB1;GNB3;KRAS;JAK2;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	Hepatitis B	17/163	1.963716e-15	2.046279e-14	0	0	1.851088e+01	6.268513e+02	MAP2K1;DDX3X;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PIK3CA;GRB2;KRAS;JAK2;TP53;HRAS;JAK3;MAPK3;JAK1
